hub	网络中心
emotional	情绪
menagerie	动物园
husk	剥……的壳
avengement	报仇
subside	沉淀
power	供以动力
doolie	一年级新生
cluw	工会妇女联盟
contractible	缩小的
frederic	弗雷德里克
renerve	重新振作
working	施工用的
sputteringly	语无伦次
commensuration	相当的
gaulish	高卢人的
previsional	有先见之明
rda	dietary
cheliform	螯状的
canalled	开成运河的
farthest	最大程度地
oblomovism	奥勃洛莫夫作风
supplementation	增补
pulverous	满是粉
deepwater	海洋上的
sliminess	粘性
flowerlike	象花的
hematoblastic	血小板
bibliopegistic	书籍装订蕋Ik/
guage	线规
espieglerie	戏弄
stanhope	印刷机的一种
rewake	再醒
metopon	甲基二氢吗啡酮
running	奔跑
hygeian	健康女神
physiographic	形学
cinquecento	16世纪意大利艺术
concessioner	特许权所有人
rebind	重新装订
amorously	妖艳
volcaniclastic	火山碎屑的
capriciously	善变地
wasteful	不经济的
insessorial	适合于栖止的
racist	种族主义者
brandy	糖果
preemptor	先取者
magnetostatic	静磁的
cariostatic	止龋的
artificer	技师
lychnis	剪秋罗属
hiaa	Association
maiden	无经验
belief	信仰
uses	美国就业局
subsist	供养
jovial	愉快
biopoiesis	无生源说
civilized	有礼
yugawaralite	汤河原沸石
theologically	神学上
lavatory	厕所
peculiar	罕见
reposal	安卧
athleticism	竞技热
weatherize	的越冬御寒性能
moderato	中板
ambulatory	非固定的
chessel	制干酪的模子
overplay	表演过火
machinable	可加工的
unjustly	不法地
semidry	半干的半干冲洗法
process	程序
submarine	水下的
knightly	骑士般的
adsorbable	能吸附
hostess	女房东
sclerosis	硬化症
fingerling	一指长的
inobservantly	不注意
caprine	公山羊
herm	赫姆头像的方形石柱
asymptomatic	无症状的
inchoation	开始
bestowal	给与
point	尖端
concluding	结束的
rosanne	罗赞
spurious	假造
bottom	装底
trituration	研碎物
windsurf	风帆冲浪
worthful	有价值的
comanchean	卡曼奇纪
ally	同盟国
bugger	兽奸者
subdeaconate	职位
foraminiferan	有孔虫目
rattle	发出卡嗒卡嗒声
men	man
tidal	定时涨落的
wont	惯常活动
correspondency	一致
anabaena	项圈藻
jumper	跳跃的动物
seedy	结籽的
superhelix	超螺旋
emotive	使感动
tessellation	镶嵌式铺装
cloudless	无云的
parallel	类似
intellectualize	使知识化
gemmiferous	发芽的
king	国王
cabochon	依天然形状磨圆的宝石
nontoxic	无毒
lamellose	似薄片层
hygiene	卫生
iberian	伊比利亚人
migrant	移居者
goodly	优秀
metapsychical	心理玄学的
contemptuously	轻蔑
unslumbering	一直警惕着的
postilion	左马驭者
kartell	挑战书
bianca	比安卡
extrafloral	在花外的
lah	音
calendric	日历
asphyxiation	窒息
westward	西方的
herbartian	体系的
speechless	酩酊大醉的
aid	有帮助的事物
undispersed	未被驱散
radiology	放射线学
flocky	毛丛状
hornwork	角制品
phonographic	留声机的
deltoid	三角形
ferrovanadium	铁钒
unconquered	未被征服
allegorical	寓言的
diseaseful	产生细菌
syllepses	兼用法
ballistics	发射学
cterm	通信终端协议
molest	困扰
caudal	近尾部
trouvaille	横财
dextral	右侧的
kaross	毛皮毯
jeffersonian	的支持者
hurst	树林
unture	不合标准的
branching	发枝
dqdb	Distributed
antiform	反对在艺术品创作中使用传统形式和材料
jinrikisha	黄包车
quixotic	唐吉诃德式
incogitable	无法想像的
senectitude	晚年
seasonal	季节性
unspliced	非绞接
now	现在
gangliate	有神经节的
pusillanimous	胆小
irredentist	民族统一党员
scandent	攀缘的
ussuri	River
lixiviate	浸出
laxatively	放肆地
curvicostate	具曲脉的
chlorenchyma	绿色组织
loathful	令人讨厌的
heulandite	片沸石
divinely	凭神的力量
semideify	使半神化
rockwork	假山
linewalker	管道巡查工
outridden	outride的过去分词
semiagricultural	半农业
nonnasal	非鼻
sound	探条
spinsterish	适合于老处女
avadavat	=amadavat
membranate	有膜
either	任一的
seedbed	苗床
torrid	热带的
malefactress	女罪犯
hexaemeron	关于创世之论说
slinky	体态富于曲线
ruffly	起波纹
delible	可除掉的
triplication	使作成三份
exertion	尽力
stemmed	去掉茎的
rightness	贴切
acyclic	非循环
setback	复发
vaquero	放牛者
socialism	社会主义运动
foretell	预测
thoth	透特
gentamicin	庆大霉素
axunge	油脂
trifle	浪费
pasteboard	不坚实
lengthman	路段养路工
historic	历史上著名的
endogen	单子叶植物
frontward	朝前
contrive	发明
clairaudient	有超人听力
intraperitoneal	腹膜内
pop	砰
fibrosarcoma	纤维肉瘤
gratuity	贺仪
restauratrice	餐馆女店主
esteem	认为
valence	原子价
pmla	Language
redone	redo
rattle	喋喋不休
mississippi	密西西比河
semidet	半独立式住宅
pseudoplastic	假塑性的
bunnia	零售商
samoyedic	撒摩耶人
hagiolater	圣徒崇拜者
vanessa	蛱蝶
unshaped	粗糙的
vugular	晶簇性
flimflam	骗取
woodlark	森林云雀
ole	对象链接和嵌入
aau	Union
erda	and
chitlings'	NULL)
craniognomy	颅形学
living	生存空间
poleyn	护膝铠甲
accentuate	重读
tuscany	=Toscana
unwarned	未被告诫
photoflash	照相闪光灯
collapsar	黑洞
aseasonal	四季可用的
preconize	宣告
psia	磅/平方英寸
symphonism	交响乐
elicit	得出
sententiousness	简洁
breakdown	崩溃
fullhearted	热情的
home	深入地
bronchitis	支气管炎
key	解答
corymbose	伞状花序
logbook	飞行日志
allosaurus	异龙
carom	碰击而反跳
crape	黑绉纱
butcherly	如屠夫地
manticore	怪兽
augural	前兆
erk	英皇家空军阶级最低的兵
sba	小型企业管理局
supraoptic	视上
slithery	滑的
emmet	蚂蚁
concede	勉强
tack	食物
lone	孤独
homoeothermic	同温
boysenberry	一种杂交草莓
toco	责打
partnership	合伙
exaltedly	得意忘形地
momental	动量的
dropsy	贿余
argillite	硅质粘土岩
mcp	chauvinist
underdog	受压迫者
marquesa	侯爵夫人
farinose	被粉
electric	电动的
yakitori	烤鸡肉串
darkly	呈黑色
facia	计器板
analphabetic	文盲
eumaeus	欧迈俄斯
conquistador	西班牙征服者
chime	敲出和谐的声音
inter	葬
inconsistent	不一致
subastral	星下
dts	Systems
strigous	被硬毛
impenitency	顽固
espiegle	爱戏谑
metamorphose	变质
cynocephalous	似狗头
torricellian	experiment托里切利实验
apologetically	道歉地
spry	活泼
absolute	完全
asdic	潜艇探索器
integumentary	外皮的
polygamical	=polygamous
viscountship	地位
kago	日本轿子
prisage	输入酒税
eclosion	羽化
hence	因此
homopolarity	同极
dittany	白藓属的植物
blundering	笨拙的
co	of
nontitle	赛
chaste	朴素
vela	缘膜
preindustrial	未工业化
aeolic	伊欧里斯语
owl	Window
flour	面粉
interconversion	互变
radiesthesia	感应力
maidless	不雇女仆的
thyself	pro
biracial	代表两种人种
oligochaete	寡毛纲
mundane	世俗
pyrenean	比利牛斯山脉
cymbalo	扬琴
unaffectionate	没有感情的
motorial	运动神经
implacentate	无胎盘的
kickout	踢转板迎浪
seemly	适宜
phatic	仅仅是交际性
clicket	弹簧锁
impromptu	未经准备地
greenish	呈绿色
centripetalism	向心性
conic	二次曲线
srs	Socius
armament	军备
set	规定
heartiness	热心
mhg	German
abasable	可降低的
adeline	艾德琳
vaginated	有叶鞘的
bulge	凸出
laguey	麻烦
minutiose	注意琐碎细节的
yokelines	操舵索
score	终点线
unaffected	自然的
draughty	通风良好的
xxx	罗马数字
queerly	奇妙
interfere	干涉
pern	蜂鹰
ably	能干地
crisscross	十字形的
brightly	明亮
dikereeve	水利管理官
publish	公布
plumate	具羽毛
nannyish	一本正经
unavoidable	不能避免的
multiracial	多民族的
reinspection	重新视察
sideline	倾斜
revival	苏醒
nightmare	可怕的事物
financially	财政上
exteriorly	从外部
supernal	天上的
trashery	垃圾
outrigged	装有外伸支架的
jingbang	一伙
mental	精神
creatinine	肌氨酸酐
grotto	洞穴
jcr	Common
exclusive	唯一的
distiller	蒸馏器
llanero	大草原居民
parma	帕尔马
riven	rive的过去分词
potassium	钾
material	实质性
spokewise	辐射状的
praecipitatio	降水性
scotch	苏格兰语的
turkmen	土库曼苏维埃社会主义共和国
crescentade	新月军
prehistoric	史前
kerne	轻装步兵
palaeoethnobotany	古民族植物学
afford	供应得起
featherheaded	蠢
outward	外出
groschen	奥地利的青铜币
unlooked	未经检查的
reconstituted	再生的
maturate	成熟
variably	不定
magnesian	镁的
lunge	跃进
pfda	Pure
undirected	未受指导的
phenomenal	能知觉的
cockeye	扭曲
unclassified	不保密
usufructuary	用益权的
caravan	旅行队
retreatant	静修者
vociferously	喊叫地
synoptically	概括性地
flagitious	无耻的
unstained	清白
revisability	可修改
hispania	西班牙
erode	受腐蚀
teutomaniac	亲德派
natural	天赋的
bootlick	谄媚
hela	=Hel
impot	惩罚学生做的工作
manacle	给……上手铐
nonsked	不定期的
storytelling	说谎话
invected	作边周的
tightfitting	贴身
assumption	担任
flimsy	脆弱
ping	发出砰或咻的声音
blaze	激发
epistome	口上片
urushiol	漆酚
exploratory	探险
semarang	三宝垄
undated	未标日期
organule	=molechism
lanugo	汗毛
jar	震惊
revulsion	抽回
organon	工具论
forwarder	运输业者
divarication	分歧
veil	遮蔽
repair	补救
copyreader	技术编辑
hid	information
tumble	使滚翻
incurably	不能矫正
uncalled	未经请求的
latifundio	大领
merchant	商业
selvaged	有织边
fellow	学会特别会员
pluriaxial	在次生枝上开花
though	可是
oversimple	过于简单
puzzlist	编迷语的人
farinha	木薯粉
lansdowne	兰丝唐呢绒
frothy	多泡的
towardly	有希望
pennyroyal	薄荷类
appropriation	挪用
transilient	飞越
venturous	好冒险的
canvass	向……拉票或拉生意
forgiven	forgive的过去分词
limnograph	湖水水位测量计
checkage	查对
subscibe	订阅
stagger	摇晃
spreathed	发红的
nonneoplastic	非肿瘤
heady	任性的
purl	金银绉边
payola	贿赂
bigg	大麦之一种
teasy	爱戏弄人
brigandage	抢劫
tike	杂狗
deprecation	反对
subirrigate	地下灌溉
karaism	卡拉派
apart	分别地
reprovable	该责备
windburn	风造成的树皮或树叶损伤
sailmaker	修帆工
proprietorial	所有的
loose	开船
trigamous	一夫三妻
vibrator	振荡器
fallow	不活跃的
jog	慢跑
exuberance	丰富
godlike	庄严
koedoe	=kudu
key	调
vasoactive	作用于血管的
blithely	快乐地
piping	尖音的
jadotville	贾多特维尔(扎伊尔东南部城市利卡西
emit	散发
behead	斩首
phagun	印度历的12月
prealtar	圣坛前的
farrier	兽医
comprehensible	可理解
choice	选择权
panthelism	唯意志论
lazyboots	懒骨头
sportswriter	体育新闻记者
unpromising	没有希望
pardi	当然
geez	古埃塞俄比亚语
bumpkin	土包子
conjunction	关联
perfectible	可完成的
hammal	男仆
buster	茁壮的孩子
overture	建议
mns	Master
field	田赛的
dbcp	二溴氯丙烷
pyaemic	毒血症的
effect	作用
kindling	引火物
crisis	转换期
caseload	待处理案件之数量
chevalier	武士的随从
recreancy	不忠
lumbosacral	腰骶的
cockaigne	安乐乡
supplicatory	祈愿的
frosted	受霜害的
hayley	海莉
unequable	不平和
kirghizian	吉尔吉斯人的
amphiaster	双星体
losing	失败的
feetfirst	死
polygon	多边形
sedgy	莎草
bestialize	使野蛮
far	远方
polycrystalline	多晶的
flagellate	鞭索形的
duodecimal	十二分算的
amygdala	扁桃形结构
hanger	衣架
collective	集体
entrain	乘火车
federal	国内主要的正版软件经销商
skeletonize	大量缩减人员
thoughtfully	仔细
fissure	分裂
agitato	激动地
liquid	易变
isoperimeter	等周图形
macropodous	大胚轴
shank	腿骨
foram	有孔虫
alliance	联盟
rhemish	Testament
superstitious	迷信的
quebrada	山涧
restrictionism	限制主义
universal	通用的
wreathen	的过去分词
monoculture	单一栽培
katabatic	下降的
prentice	徒弟
echo	禁止在屏幕上显示批处理命令行
louisianian	美国路易斯安那州的人或居民
seismetic	=seismal
concordat	协定
phenolate	酚盐
wither	衰退
hammy	闹剧的
temporomandibular	颞下颌
tripartite	三重的
housework	劳动
jilt	抛弃情人的女子
czechish	捷克斯拉夫的
recessional	议会休会的
anthesis	开花期
fantail	扇状尾
typically	作为特色地
eric	科教资源信息中心
natator	游泳者
pipestem	烟斗管
ibm	美国国际商用机器公司
niue	纽埃岛
kemalism	基马尔主义
fenestral	具透明点
theatricals	戏剧
transmissible	可遗传的
triplicate	三个一幅中之一
grassplot	草
painstaker	勤恳的人
fullmouthed	口牙长齐的
fanatic	狂热者
aggravate	加重
swaybacked	背凹了
animated	动
fallen	堕落
aerotactic	趋氧性的
unpardoned	未被宽恕的
upu	Universal
gradient	梯度
noumenally	实在地
lied	德国民谣歌曲
autodyne	自差
surfbird	千鸟属的一种海鸟
bloodless	冷酷
slighting	轻视
rude	残暴的
flush	泛滥的
tokodynamometer	=tocodynamometer
vauntful	自夸的
unordinary	异常
rosyfingered	具有玫瑰色手指的
ostmark	东德的货币单位
sacrament	用土覆盖
efficient	能干的
magnetic	有磁性的
bumbledom	小官僚作风
pallasite	橄榄陨铁
falculate	镰刀状
chump	大肉片
recessive	隐性的
reassure	使……安心
greet	问候
forked	有叉子
beaker	有倾口的烧杯
isolating	绝缘
mainsheet	主桅帆操纵索
ceramic	陶器
ipecacuanha	吐根
tdma	Time
levelheaded	头脑冷静的
aleak	漏水
undisturbed	安静
determine	决定
orchestrion	奥开斯里特翁琴
cystectomy	囊切除术
unexpiated	未赎回
checkroll	核对名册
inflatable	膨胀的
diction	言语
exopoditic	外肢
bib	过多喝酒
intermediate	中间
pinken	使成粉红色
celestially	神圣地
untraceable	难以捉摸
latah	拉塔病
pectinated	栉状
revalidate	使重新生效
lysis	消散
tyke	劣犬
venturi	文丘里管
tankship	油船
cassava	木薯
impactful	有力的
speak	谈话
landsman	同胞
noncommunicant	不受圣餐的人
honeysuckle	忍冬
insurrectional	叛乱
beltway	环路
uplift	情绪高涨
con	反对地
pascual	长在牧场的
eurithermophile	能在摄能在摄氏零下30度氏零下30度与60度与60度之间存活的之存活的
grumblingly	发牢骚着
violaceous	紫罗兰色
unreactive	不起化学反应
sequestration	扣押
homoiotherm	恒温动物
nodulous	有小瘤
sternutation	喷嚏
nepheline	霞石
namaycush	大鳟鱼
fit	适合
falsehearted	背信
rendering	打底
able	能……的
ophiolite	蛇绿岩
python	大蟒
fakement	赝品
voluminal	体积的
rarebit	家兔
blame	谴责
seasoning	调味品
resilient	有回弹力
lionism	捧社会名流
seam	层
uprise	升起
transpositional	置换的
trebuchet	小型秤
presswork	印刷品
suppressible	可隐藏
seapiece	海景画
overexpose	使感光过度
unvalued	未评价过的
slapjack	一种简单的纸牌戏
benchboard	操纵台
undaunted	大无畏
aesthetic	有审美感
changer	动摇者
grill	烤
squirearchy	地主阶级
accountantship	会计职务
gynaecea	闺房
twopenny	两便士的
outcast	被逐的
palatium	宫殿
denunciatory	攻击的
depaint	描写
irradiance	发光
lowing	牛鸣
sleet	下冰雹
wild	野生
shift	推托
snakefly	骆驼虫
chemotactic	趋药性
cluw	Coalition
orkney	奥克尼郡
inductor	感应器
diminishable	可降低的
infringement	侵害
carlish	粗鲁的
amnion	羊膜
currently	当前
atheroma	粉瘤
tremendously	非常地
congratulation	祝词
multiracial	多民族和睦相处的
nonprescription	未经医生处方可以买到
qkt	knight
underpowered	动力不足
periclean	伯里克利的
collaborator	合作者
crick	引起痉挛
poetic	诗歌的
monumental	纪念碑的
contentment	知己
exigence	紧急
melaphyre	暗玢岩
suspectable	有嫌疑的
molybdenian	钼
rhinencephalon	嗅脑
sternly	苛刻
proponent	建议者
beneficiary	受益人
freeze	冻结
unimodal	用单峰分布描述
whereover	在那上面
computistical	统计计算的
dynaturtle'	NULL)
slumgum	蜂房内残留的渣滓
agonize	折磨
nailhead	钉头装饰
idle	无价值
zebrawood	其木材
ptilopod	脚上有羽毛的
baryonium	重子素
flattish	稍平的
bistable	双稳的
lithe	柔软
very	很
scratch	凑合
tactic	策略
envious	嫉妒
loss	伤亡
echopraxis	模仿倾向
tikker	断续器
minoan	克里特文明
burns	络腮胡子
responsive	响应的
wet	弄湿
dahomean	=Dahoman
presence	到场
unbodied	离去躯体
shelleyesque	=Shelleyan
fist	手
criteria	标准
grungy	邋遢
mump	乞求
anile	似老妪
macruran	虾
trimly	整齐地
ultimatum	最后通谍
girn	吼叫
sumotori	相扑运动员
grandpapa	外公
reverently	虔诚
wlm	women''s
hepatatrophia	肝萎缩
iconoclasm	打破旧习
modiste	经营女装或女帽店的人
impeccable	不会做坏事
burdensome	烦累的
humourously	幽默地
deed	事实
palladious	=palladous
toothful	微量
lophodont	脊牙型的
elastomeric	弹性体
remove	距离
privateering	以私掠船巡逻
interfacial	分界面的
rafflesia	大花草属
stillroom	食品储藏室
godavari	哥达瓦里河
correctional	矫正
concuss	使猛烈摇动
mulatto	黄褐色
sigurd	西格德
specific	种的
abduce	外展
incorporation	结合
indwelling	内在的
zymoplastic	成酶的
poaceous	禾本科
arctoid	熊状
madding	发狂
drop	滴
understandable	可以理解的
kino	吉纳紫檀
silicium	硅
aneurysmal	动脉瘤
atheistic	无神论
igo	=go
knives	刀子
acidly	不悦地
pruinose	具粉霜
continued	延续的
gillie	仆役
ultimogeniture	幼子继承制
diffusive	普及
absorptive	有吸收力的
bms	Bachelor
histioid	类组织的
heptagonal	七角的
squish	果酱
genocide	有计划的灭种和屠杀
sponge	依赖某人生活
sentimo	分
gersdorffite	辉砷镍矿
flack	高射炮
nosogeographic	疾病地理学
cinematheque	实验电影院
dependent	随……而定的
climactic	渐层法
probationary	试用
fripper	旧衣商
ppcp	PowerPC
ridge	山脉
field	旷野
bioecology	生物生态学
skilly	麦片粥
denominational	宗派的
repository	智囊团
wollaston	渥拉斯顿环形山
xanthochroous	带黄色的
saltwort	藜科冈羊栖菜属植物
visive	视力的
sheepshank	羊的小腿
transferee	被调任者
treasure	珍爱
dateless	无期限的
paner	削皮器
narrow	眼光短浅
turboelectric	涡轮机发电
reductor	减压器
nbw	by
billyboy	平底驳船
fanatic	盲信
choreman	作短工的工人
sorrow	悲痛
siff	=syph
elva	埃尔娃
sopaipilla	油炸蜜糕
economo	奥地利神经病学家
frenzied	狂热的
echinococcosis	包虫病
wtp	Layer
fontal	洗礼的
manna	甘露
quern	手推磨
screenwash	挡风玻璃自动清洗器所作的洗刷
emulsive	乳剂质的
rivage	海滨
degrease	除油污
subplot	次要情节
eximious	杰出的
ruggedly	险峻地
cyborg	半机械人
voraciously	贪得无厌
cdgps	Differential
occupancy	占有
eroica	Symphony
equipment	装备
gem	美玉
uniform	始终如一的
pki	公用密钥体系结构
karyosome	核粒
reputably	卓越
nucellus	珠心
outcross	使远交
scarification	乱刺
kingside	王翼
dissentient	不赞成的
contentedly	安心
homestay	在当地居民家居住的时期
autoeciousness	寄生
sugariness	糖质
orbit	轨道
misarrangement	把……安排得不适切
typed	打字
triacetate	分子中含有三个醋酸基的
polemical	挑起争端的
courtesy	允许
embed	包埋
arsine	胂
outgroup	外围集团
routinism	墨守成规
radiography	放射线照相术
nonchalant	冷淡的
rattle	吓吱声
ponce	庞塞
monochroic	单色
hygrostat	恒湿器
roman	罗马人
raspy	焦躁的
vertebrae	椎骨
matte	不光滑的
last	楦
roquefort	羊乳干酪
birchite	=Bircher
disjoin	分离
beery	象啤酒的
nyp	尚未出版
april	四月
barbellate	表皮有钩形短刺
rathaus	市议会厅
pachytene	粗线期
packboard	帆布背包
unbearably	不堪忍受
misconduct	明知故犯
prepossessing	灌输
humiliate	羞辱
footfall	脚步
vigesimal	以20为基数的
aftershaft	副羽
christian	信徒
arrect	警戒严密
maelstrom	猛烈的力量
jor	乔(印度传统乐曲拉格
intellectual	显示智力
mol	摩尔
rocklike	坚硬如岩石的
paperbacked	平装
human	人的
ruggedization	耐用
warrant	正当理由
excremental	粪便
commoner	自费学生
keeve	大桶
proportionably	成比例地
channelize	使形成沟渠
smart	漂亮的
pedestrianize	步行
smolder	闷烧
understand	省略
bellyband	肚兜
transcend	超越
heterofil	共轭丝
fasciated	成束
bust	半身像
rich	肥沃的
gum	树脂
bespangled	以发光之金属片装饰
thunderbolt	雷电
metaldehyde	聚乙醛
gladly	欢喜
gyani	吉阿尼
baedeker	入门手册
acpi	高级配置与电源接口
podocarp	罗汉松科
timid	羞怯的
usng	Guard
prius	在前
recursive	递归的
blanch	使变白
blacksmith	锻工
maritime	海上
esb	the
situated	处于……的立场
ruffianly	残暴
pappy	糊
italian	意大利人
refer	提到
interspinous	棘突间的
continuous	连续的
diallel	异雄同雌的
patricide	杀父
gemmate	发芽
coevolve	共同进化
underlying	潜在
pathology	病理学
unture	不忠实的
assessor	审核员
klutz	不善交际的人
inextricable	无法解脱
arrange	排列
sexipolar	六极的
reinfection	再感染
caution	小心
couverture	巧克力层
illegal	违法
washingtonian	的人
reliction	水位渐消退
clitellum	环带
trinitarian	三位一体说
peroxide	过氧化氢
stagirite	古马其顿斯塔利亚人
tastefully	高雅
perversive	曲解
piagetian	皮亚杰
hobohemia	流浪者生活
catridges	字体盒
hurricoon	侦测飓风气球
waterworn	被水冲蚀
pinocytized	被胞饮的
discomfort	不适
philosophical	哲学的
committeewoman	女委员
nephelinite	霞岩
noctiluca	夜光虫
frowsty	肮脏
inaudibly	不可闻地
bobtail	短尾
obtected	有皮壳
suggestive	启发的
qmg	general
mass	群众
riband	缎带
flaccid	没气力的
irene	和平女神
suppressible	可以压制
myotomy	肌切开术
wishfully	渴望
webernesque	韦伯恩音乐的
knoll	小山
neodoxy	新学说
tractile	可拉长的
deep	深
fecund	丰饶的
unriddle	阐明
throughly	十分
secundum	依照
somnambulist	梦游症患者
everywhither	向各方
accentor	鸣禽
intercessory	调解的
great	崇高的
obediently	顺从
taoist	道教
sangfroid	镇静或沉着
consubstantial	同质
wavetable	波表
isolato	离群的人
flagstaff	旗杆
fortitudinous	坚忍不拔
viscounty	头衔等
albata	铜镍合金
dyschronous	不合时的
medulla	骨髓
extraordinaire	特别的
emancipate	释放
co	Cash
shindig	狂欢会
crosscurrent	反对意见
upwafted	被托起
brachydactyl	短指的
tubuliflorous	管状小花
gradgrind	葛擂硬
nonuple	九个一组
fordless	不能徒涉
brackish	可厌
featherbrained	轻浮
reverberation	回响
impulsively	有推动力地
trappean	暗色岩质
iconomatic	名称的
propitiator	劝解者
granger	农民协进会会员
achievable	可有成就
twirl	转动
branch	支脉
ensorcel	迷惑
vigilant	警惕着
infective	有传染性的
wilton	威尔顿机织绒头地毯
snootful	一份酒
trigonometer	研究三角学的人
microporosity	显微疏松
teachableness	适于教学
patina	薄层
freeness	任性
conspire	共谋
equitable	平衡法的
inveterate	根深的
effusive	感情横溢的
angulated	使成角的
smilodon	剑齿虎
variational	变化性
infraction	违反
kabuki	歌舞伎
octan	八日热
fairness	正直
summarization	概要
inquiring	爱追根究底
nundinal	古罗马市集日的
jazzily	有爵士特点
orins	Oak
pierian	缪斯女神
lush	味美
nonpersistent	非持续的
crossed	交叉的
mossback	头脑守旧的人
garage	车库
hegira	逃亡
minister	部长
darkie	轻蔑黑人的称呼
dentinasal	齿鼻音
netting	编网
brainstorm	灵机一动
publication	发表
cubital	尺骨
monarchical	帝王
lord	封建领主
hemispherectomy	大脑半球切除术
whiplike	鞭子似的
pizazzy	有精力
buckshee	意外获得之物
zealand	西兰岛
rectilineal	直线的
laotian	老挝语的
ems	Service
treat	交涉
fallacious	不合理的
gastronomic	美食法的
interplait	使交织
colubrine	蛇似的
wholeness	全体
ripply	潺潺声的
offshoot	支流
horsefeathers	胡说八道
manx	马恩岛猫
myocardium	心肌
loom	织布机
implacability	不缓和
kerne	乡下人
masorete	马所拉学士
labile	易发生变化的
anthologist	选集的编者
unstudied	非娇揉造作
unimaginative	缺乏想象力的
uncover	揭露
heartsease	心平气和
costuming	衣料
ocker	无教养的澳大利亚人
hipshot	股关节脱臼
premolar	前臼齿
vinaceous	葡萄酒
tgwu	and
doorstop	制止门过开之物
carbamic	由氨基甲酸获得的
cissoidal	蔓叶线的
supravital	超活体
theirs	他们的
asyndetic	连接词可省略
proclaim	显露
untrod	untread的过去式和过去分词
titular	有头衔的
dependent	由……决定
cathead	船首锚架
toaster	举杯祝贺者
malleable	有延展性的
superimpregnation	=superfetation
pure	纯净的
tailpipe	排气管
pompous	华而不实
shave	削刮
populate	移民
sceptical	怀疑论
nee	娘家姓的
shaky	虚弱
perceptible	可察觉的
lamellose	包含薄片层
disimprove	使恶化
ghostwrite	代笔
bullethead	笨蛋
indivisible	除不尽的
separate	单独
apolar	无极的
eblaite	埃卜拉语
schefflera	鹅掌柴
drupaceous	可生核果
stream	河流
hpgc	per
haptical	触觉的
consular	领事的
chowtime	开饭时间
header	队长
immune	免疫
schoolteaching	授课
acadian	阿卡迪亚人的
apathetic	缺乏兴趣
appropriative	可拨用
inhabitativeness	爱家
fogbound	为浓雾所围困
corrugated	使起波状
morbid	病态
glitzy	耀眼
uncorruptible	不会腐败
asturias	现构成奥维亚多省
antiscriptural	反对圣经
selenodont	月齿动物
annoying	讨厌的
delimit	划界
tilth	耕过的土地
erect	建立
anury	无尾
posttreatment	治疗后的
depolarize	去偏极
heliced	以螺旋装饰
fault	故障
gramarye	魔法
cubhunting	猎幼狐
beslaver	使满身唾液
psoriasis	银屑癣
tonguefish	舌鳎
unleavened	没放酵粉的
unearned	不相称
recessional	撤回
toxaemic	血毒症的
unput	未提出的
kopfring	弹端环
helianthus	向日葵
nubble	小块
demodulate	使检波
backpedal	变卦
bubblegum	泡泡糖摇滚舞曲
personnel	人员
extension	扩展名
ifo	object
geniture	产生
kite	使上升
crotchety	反复无常
abject	卑鄙的
rapture	欢天喜地
sferics	天电
craggy	崎岖
dibasic	二盐基
ultraright	极右
ilocano	伊洛卡诺人
brakie	制动手
healthy	有益于健康的
pollard	糠
eugenist	优生学家
glob	一团
nucleocapsid	核包核酸
plump	使丰满
unprojected	未计划
largo	宽广地
lattermost	排在最后的
organizer	筹办者
jackeroo	无经验者
homeomorphous	同拓扑的
trunk	把……放入旅行箱内
holoparasitic	全寄生物
intarsiate	木造镶嵌细工的
racemiform	形似串状花的
picara	女无赖
nonnutritively	与营养无关地
histology	组织学
fusional	熔合的
upya	操你妈的
super	上标/下标
gettable	能得到的
nutso	发狂
collective	集体的
epistolary	书信的
rubefaction	皮肤发红
anecdotic	爱谈轶事
likely	或许
selfheal	夏枯草
diatropic	横向性
heterozygote	异质接合体
blur	涂污
risc	Set
unmotherly	与母亲身份不相符
adiaphorous	中立的
gleg	活泼
nevus	=naevus
ogle	注视
boy	男仆
haiphong	海防
nodous	多节
levelheaded	头脑冷静
jocosely	诙谐地
philhellene	爱好希腊的人
intentness	专心
translatability	可译性
fillip	弹指
spirit	诱拐
median	中央
blastema	胚基
exhibition	显示
unimpressive	印象淡薄
phantasmal	幽灵
nonlicet	非法的
prepensely	预先谋画
vastly	巨额地
enlistment	服役期间
injuriously	有害地
sintering	烧结
whomever	whoever的宾格
warn	注意
constituency	顾客
balkh	大夏
stuma	焦虑
level	齐平的
elucidative	说明的
inviolately	未受侵犯
offput	使困窘
space	距离
unpersuaded	未被说服的
hypermetamorphic	fEsIs/
superphysical	超物质世界的
celloidin	火棉
shammas	=shamas
bossy	浮雕装饰
femicide	杀害女人者
wire	电报
sensibly	聪明地
blast	毁灭
bucksaw	木锯
mohock	年轻贵族流氓
thriftily	节俭地
twinborn	双胞胎
moll	女流氓
windup	终结
existent	生存者
flustration	慌乱
fallen	倒下
nanism	矮态
complete	完成的
slub	搓捻
syndic	理事
spcc	Cruelty
parallel	相应
psilophytic	裸蕨植物
export	出口
cleruchy	古希腊将征服土地配给公民之制度
menad	酒神节女祭司
frisk	轻摇
rail	铁轨
finick	懈怠
theism	茶中毒
docile	容易教的
barefaced	公然
plss	portable
stope	采矿场
corporately	团结地
ssrc	Council
unfading	不褪色
pattern	图案
finnicking	吹毛求疵
unconsummated	未完成
humorless	非常严肃的
fancy	异样
water	供以水
geriatrics	老人病学
