whorfian	沃夫假说
farthing	一点儿
implausible	不象真实的
sivaite	湿婆教派信徒
castrate	去掉最重要的部分
overpaid	overpay
cooptative	由原任委员投票
callow	未生羽毛
discoid	铁饼状
culpa	罪
prosperously	繁荣
temperate	温和的
dissect	切开仔细研究
redolent	芬芳的
milliroentgen	毫伦琴
distressing	使痛苦的
flaring	引人注目的
nectar	甘露
urbanity	文雅
queasily	令人恶心
ferric	三价铁
flinty	燧石似的
necroscopy	=necropsy
pillowy	枕头般
dusky	朦胧的
winch	绞盘
rsvp	if
diastasis	心休息期
reactively	反动地
philadelphia	费城
bidarkee	皮筏子
craniofacial	颅面
assembled	装配
unenclosed	不在修道院受管束
softgoods	匹头
stalactiform	钟乳石状的
reid	里德
untwist	解开
tunicate	有被囊
antileukemie	抗白血病
coagulin	凝固素
ost	Technology
antarctic	南极的
phantasmagoria	=phantas
text	正文
broadax	钺
integer	整数
unexaminable	无法测知的
tantivy	疾驱
lawd	上帝
luggie	带耳状拎环的木桶
demodulate	使解调
diproton	双质子
armband	臂章
betta	搏鱼属的鱼
fernbrake	羊齿植物丛
multidialectal	能讲2种以上方言
refractable	可折射的
vinaceous	像葡萄的
avertable	可防止
effuse	泻出
cpaffc	ForeignCountries
idyllize	使田园化
gametophyte	配偶体
anklebone	踝关节
conceivably	令人信服地
hortative	鼓励的
willow	柳木制品
algesimeter	痛觉计
triangulate	a由三角形而成的
popularity	流行
localizer	定位器
accusal	谴责
volute	涡形的
bobbysoxer	十三岁至十九岁的少女
pyrotechnic	烟火
autogenesis	自然发生说
herd	兽群
streptococcic	链球菌
tuneable	能调出和声的
unrope	解开绳索
xeromorphous	旱生型的
fl	氟
samp	玉米粥
ophthalmological	眼科的
promethean	独创性的
wayfaring	旅行的
younker	青年
defaecate	通便
exchangite	全国交易俱乐部会员
burro	驴子
hazardous	碰运气的
chelation	螯合作用
bootmaker	制靴者
dehort	劝阻
pliocene	上新世的
saving	搭救的
internee	被拘留者
amain	全速
beef	牛肉
amniography	羊水照相术
leaf	叶
spiflicate	痛打
unrevealed	未揭露
doughtily	勇敢
inspirator	吸入器
auntie	舅妈
lists	竞技场
fratcher	吵架
vagabondage	流浪生活
acclimate	使适应新环境
polyhedric	多面的
wad	块状软物
disaggregate	分解
scrumptious	极好的
mall	购物商场
heavenly	天上的
ethnogenesis	种族进化
domnus	达姆纳斯
ndola	恩多拉
walkway	走道
sneaky	鬼祟的
decanal	院长的
pectinaceous	果胶的
rightward	向右的
antemortem	临死前的
gemmiparous	发芽
retractable	可收回的
moistureless	无湿气
dde	Exchange
impedient	障碍的
driveability	操纵灵活性
fordo	使疲倦
gynandromorph	雌雄嵌体
flashily	瞬间地
sunken	凹陷的
triplicity	三个一组
furfuraceous	糠
sublimize	使高尚
uniform	相同
revenge	替……报仇
carry	运送
spunk	精神
irenic	和平主义
emblazonry	纹饰
integrated	综合的
unhallowed	污渎的
ber	Rules
marzacotto	透明釉料
remediably	可治疗地
youthfulness	少壮
steering	操纵
shovelfish	=shovelhead
diagonal	对角线的
moonlight	月光
tornado	龙卷风
molluscoidal	似拟软体动物的
pleasurable	快乐
flagging	委顿的
carry	意味
mussily	乱七八糟地
syrupy	像糖浆的
contrastively	对比地
tricolor	三色旗
marmorean	大理石
comb	鸡冠
sepalous	有萼片的
compressional	有压缩性
henchman	跟随者
academicism	艺术院的作风
excusatory	道歉
grown	长大
unprincipled	不道德的
verify	校验
sibling	兄弟
expander	使身体健壮的强身器具
uniparental	单亲的
chastiser	儆戒者
dropping	滴下
triose	丙糖
wherefore	原因
infector	传播者
philological	语言学的
contraceptive	避孕用具
siren	警报器
saxonism	撒克逊气质
cephalometry	头部测量法
tradeoff	权衡
hypochondrium	忧郁症
tradeoff	折衷
vitriform	玻璃状的
yieldly	支付
foresight	远见
levin	闪电
subjacent	在下级的
butcherly	无人性的
lactonize	内酯化
otherwise	另外的
expressly	特别
compliment	道贺
underfund	对……提供资金不足
hydromagnetics	磁流体动力学
culverin	一种枪
cryoplankton	冰雪浮游植物
templelike	似庙宇的
radiatory	=radiative
ephah	伊法
calvous	光头
ferromagnetic	铁磁
trivalve	三瓣
sinanthropus	中国猿人
scapula	肩胛骨
trichologist	毛发学者
xanthochroous	呈淡黄色的
sceptre	授与王权
grainy	多粒
impish	顽皮
sia	Singapore
combing	梳毛
portability	可携带
fireweed	在火烧过的土地上长得极快的杂草
unsigned	无符号
undistinguishable	难辨别地/IFEbl/
future	将来
emr	可教育的智力迟钝儿童
undersecretary	副部长
garishly	华丽
farce	为加穿插
enamelware	搪瓷器
savable	可救
weatherglass	晴雨表
vengefully	复仇心切地
vespertine	薄暮的
imperishable	不朽
finisher	润饰者
iise	伊尔瑟
sakeen	西藏羱羊
likuta	里库塔
ethnogeny	民族起源学
epithetical	形容语句
laurel	授予荣誉
straw	稻草
hallstatt	初期铁器时代的
trammel	拘束
pursuable	可实行的
carotin	胡罗卜素
smeary	弄脏的
agrestal	野生
pliability	柔韧性
counterchange	使交错
cline	渐变群
aldis	奥尔迪斯手提信号灯
ferrule	金属环
impractical	不切实际的
extrachromosomal	染色体外的
performance	演奏
healthful	有益健康的
turnip	芜箐
underseas	海面下地
jansenist	詹森教派信徒
pyrrhonist	怀疑论信徒
uintaite	硬沥青
auberge	小客栈
duplicate	完全相同
lab	研究室
topically	时事问题地
avirulent	无毒性的
reimprisonment	再囚禁
mythological	神话学
sprocket	链轮齿
absorbable	容易被吸收
dies	死
countian	居民
pentastyle	五柱式
twopence	两便士银币
deride	嘲弄
hortative	忠告的
micromere	小裂球
calcaneal	脚后跟
systemic	全身
inleakage	透入
equal	均等的
praxis	例题
parricide	杀近亲
fencelessness	没有围墙
arachis	落花生
reelect	重选
saccharogenesis	成糖
sororize	结为姐妹
flaunt	飘扬
incept	起始
beastly	令人不快的
ejectamenta	喷出物
peradventure	或者
sainted	德高的
steady	稳定
sullage	淤泥
redescribe	完全重新描述
bluntly	率直
shirtband	衬衫的襟子
vasculitic	患血管炎的
cooner	猎浣熊之猎犬
scoop	挖
halogenation	卤化
atonalistic	不成调的
oversupply	过度供给
daftly	愚蠢地
frap	缚紧
catheter	导管
acd	Automatic
uncomforting	不舒适的
woodcarving	木雕品
lacteous	乳状的
prothesis	词首增添字母或音节
desmoenzyme	结合酶
lifetime	终生
backcourtman	后卫
czar	独裁者
balsamroot	香根
duplicated	复制出的
regolith	土被
cpi	Price
faecal	渣滓
derogation	堕落
andromonoecious	雄花两性花同株的
teleology	目的论者
glosseme	语符
longtime	长久
eminent	显赫
yea	肯定
noncommunist	非共产主义者
vasodilating	血管舒张的
mesaxon	轴系膜
magnesian	氧化镁的
stud	用饰纽装饰
bodkin	锥子
ens	实体
trivalency	三价
screen	拍摄
anymore	再也不
anourous	无尾
tarpeian	塔尔皮亚岩石的
rim	边
eject	推断的事物
interjectional	叫声
beatific	快乐
fjp	Jewish
alarming	令人担忧的
outlandish	古怪
vile	不足道
zaragoza	=Saragossa
avail	有用
semirural	半农业的
vigorous	有力的
spooney	=spoony
ministrant	服侍者
picnicky	郊游的
boxy	箱子般四四方方
vasospasm	血管痉挛
polymorphous	多形态
epileptogenic	引起癫痫
mure	禁闭
blowfly	大苍蝇
semitropical	亚热带
token	象征的
ethereality	灵妙
philhellenic	亲希腊
backcloth	背景
bourne	目的
unfair	不公平
vernally	春天地
circumscribe	在……周围画线
shooter	射手
slinky	体态富于曲线的
incontinent	仓促地
scolding	责骂
likely	合适的
littlish	相当小
bonus	奖金
diastem	沉积暂停期
recursive	回归
imperturbed	镇静的
outspent	outspend
incomplete	不完全的
awing	飞翔的
fictitious	习惯上假定
hilar	门
usefully	有效
acarpous	不结果的
exanimation	昏迷
blastoid	海蕾
schmuck	笨人
entreprenant	大胆
bulkily	巨大
maninke	=Malinke
gdmo	Objects
riposte	机敏回答
pygmyisn	侏儒似的
structure	组织
pulchritudinous	美貌
broadway	百老汇
motorbicycle	两用车
interfacial	面间的
ratbag	乖僻之人
expensively	昂贵
microimage	缩微图象
nonlicet	不准许的
taurus	金牛宫
vlbi	interferometry
notionist	宗教观点偏激的人
tophamper	桅上的帆桁等物
enshrinement	秘藏
ribbed	有棱纹
visualizer	视觉型的人
sandhi	连接音变的
manageability	易管理
csce	on
courteously	有礼貌地
dipsomaniacal	=dipsomaniac
disharmonious	不调和的
inartificial	非人工
lomentum	=loment
polymorphic	多形态的
meaning	意味深长的
insinuate	含沙射影地说
intermezzi	幕间剧
function	活动
impracticably	无法可想地
ennead	九个一组
stably	有恒心
poultry	家禽
regular	定期的
methacrylic	甲基丙酸烯
soar	滑翔
inexpedient	不适宜的
osteal	骨性的
fairly	正当的
brahmanist	婆罗门教徒
carcinogenic	致癌物的
toluca	托卢卡
symphony	交响乐
villein	佃农
subsynchronous	次同步的
sweaty	吃力
petrous	岩石般
passee	凋谢
perceivably	可知觉
unfatherly	有失父亲身份
innerve	使活跃
svga	Graphic
creephole	借口
ibew	国际电气工人兄弟会
dolldom	娃娃国
unfaithful	不准确的
petty	小规模的
mismanage	办错
nutburger	碎果仁馅饼
mutually	互助
eastwards	向东方地
endopodite	内肢
often	常常
crawler	爬行动物
skiwear	滑雪服装
contumely	侮辱
luxuriant	肥沃
paper	用纸包装
unmurmuring	不咕咕哝哝的
cloop	砰声
rivalry	敌对
allusion	提及
wild	疯狂
inappreciable	微不足道的
loose	不牢固的
hydro	水疗院
albomycin	白霉素
underpaid	所得报酬过低
emporium	商场
exacting	严格的
avisandum	=avizandum
undissolute	不放荡的
impalpably	不能感知地
glm	length
slan	anno
slav	斯拉夫人
vitrifiable	可玻璃化
uplooking	有抱负
seaway	船只在海上航行
dextrogyrate	右旋
used	旧
fedora	一种浅顶软呢帽
dysthymic	心情恶劣
handjob	手淫
autoregulative	自动调整的
glare	光滑的表面
alphonse	阿方斯
stress	重压
gerontic	年迈
unambivalent	肯定
screwy	扭曲
jaunty	洋洋得意的
matted	有席子
antivivisection	`AntI9vIvI`FEn/
uranous	含铀的
hystricomorphic	豪猪型亚目的
hopeless	不可救药
jingoism	主战论
rapturousness	狂喜
proso	稷
witticism	俏皮话
hardie	=hardy
tuneable	能调出和声
associate	副的
fulgurating	突然剧烈发作的
rot	腐烂
headlong	轻率地
mid	中央的
lengthily	冗长地
ovulatory	产卵
adas	and
twelfth	第十二
solemnify	使庄严
andromonoecious	雄全同株
overdry	使过干
forgive	饶恕
npv	p
sugariness	象砂糖
definitive	最后的
indian	印第安语
semicircle	半圆形
sweepstake	赌金的独得
exoelectron	外激电子
screenwriter	编剧家
gunyah	土人的小屋
foresighted	有先见之明的
cristated	有冠
put	击
dioptric	折射光学的
chainomatic	链码天平
corydalis	紫堇属之植物
canuck	法裔的加拿大人
setter	塞特种猎狗
diseur	独白艺人
unintelligible	难解
dantesque	庄重
tarlatan	塔勒坦布
vodkatini	martini
charlottetown	夏洛特敦
imagery	雕刻
bowyer	射手
thisbe	提斯柏
orthicon	象管
superbomber	超重型轰炸机
macrolepidopteron	大型鳞翅昆虫
seedtime	播种时期
wide	宽的
industrialist	产业工人
uproar	骚动
gayal	大额牛
setup	调整
rebellious	反叛
journal	定期刊物
toast	使暖和
triquetral	三棱
umbellule	次生伞形花序
convulsion	震撼
spr	Psychical
nonetheless	虽然如此
gastralgia	胃痛
funny	滑稽人物
mudfat	肥壮
anteriorly	居先地
scotophase	人工黑暗期
apocatastasis	复原
arthrodia	滑动关节
stale	陈腐
purvey	供给
liquidly	流畅
supremacy	霸权
sordid	肮脏
rainwater	雨水
automatic	机械的
tweeter	高音用扩音器
msls	Science
degeneracy	堕落
resistable	=resistible
gauss	高斯
bitch	母狼
insectivorous	食虫动植物
secondary	二级的
channels	通道
rattlebox	格格响的玩具盒
flaxseed	亚麻仁
kinless	无亲戚
calipash	龟的背肉
syntactically	在语句构成上
endure	忍耐
parament	祭台布
techy	易怒
either	也
cogency	肯切
haunch	腰
mepacrine	麦帕克林
sap	体液
urban	市内
corpus	尸体
ducking	急速的低头
peppercorn	胡椒子
peplus	=peplos
mammiferous	哺乳动物
jut	伸出部分
neotype	新模式标本
hell	阴间
quezon	奎松城
unmitigated	未缓和
material	材料
goggle	瞪眼看
interchange	相互交换
concoctive	调合
dutifully	忠实地
inanimation	不活泼
weak	无力
grubstake	资金
clone	无性系
zone	地域
similitude	相似
formalin	福尔马林
pentad	五年间
tsunyi	见Zunyi
coulomb	库仑
sadism	病态的残忍
summary	概要
hsaa	Health
spiritualistic	降神术
megatanker	巨油轮
hickey	唇印
tornado	英国、德国、意大利三国合作研制的双座双发超音速变后掠翼战斗机
cut	切口
uncorrectable	无法改正的
watchfully	警惕地
gradualness	渐次
referenced	引用
leucocyte	白细胞
shelly	壳一般
interstrain	不同品系间
transignification	质变
stakhanovism	斯达汉诺夫运动
option	选项
semimilitary	半军事的
unorganized	未加入工会的
mdap	Assistance
stingray	黄貂鱼
hate	不喜欢
retrieval	拯救
rundown	纲要
untold	未说过的
caernarvon	卡那封郡
undistinguishable	难辨别的
imap	Protocol
curricular	课程的
cythera	塞西拉
spuddy	矮胖
str	submarine
nattiness	帅
yoghourt	酸奶
pancuronium	溴化双哌雄双酯
azygous	非对偶的
vb	Visual
naily	钉有很多钉子的
helve	装柄于
ectogenous	外生的
traitorously	不忠地
veronica	耶稣面像
responsible	有责任
gutty	有勇气
abbevillian	阿布维利文化
exhaustive	无遗漏的
francophone	人
unstrikable	禁止罢工
reflectingly	反映地
fiddlefucking	操他妈的
gore	淤血
druze	=Druse
despise	轻视
capitalintensive	资本支出庞大
carping	吹毛求疵
osb	本笃会
inched	英寸
disanimation	灰心
confederacy	同谋
belated	误期的
metaboly	物质交替
crura	腿
spodosol	灰土
excision	切除
aliunde	来自其他方面
reticent	沉默寡言
recriminative	互相责备
riflery	射击技术
dexiotropous	向右
nitrifier	硝化细菌
traceableness	可描绘
salination	盐化
sneery	嗤笑
ocs	Officer
printery	印刷所
hoodwink	欺骗
tirade	长篇激烈的演说
xanthochroous	带黄色
demonstrability	论证可能性
juvenescent	到达青年期的
amethyst	紫水晶
indistributable	不可散布
taxloss	赋税亏损
barkeeper	酒吧老板或酒吧招待员
quadricorn	有四个角
corf	养鱼槽
reval	=Tallinn
psilophytic	裸蕨植物的
puerpera	产妇
unembroidered	朴素的
tell	知道
driftage	漂流
souse	被浸透
etruscan	伊特鲁里亚人
aeroacoustics	空气声学
garrett	加勒特
antihelium	反氦
mini	袖珍型
anomalous	反常的
dopaminergic	多巴胺能的
crossbar	闩
chromous	含二价铬的
drainage	排水
necrotic	骨疽的
exaggerative	夸大
trusteeship	托管统治
mend	改进
monolog	独脚戏
chinkapin	栗树的一种或其果实
morphographemic	语素字素
sabretache	军刀挂套
transmit	发射信号
gradual	逐步
yankeeland	新英格兰
piquant	辛辣
flex	伸缩
holding	持有
niedersachsen	Saxony
petaliferous	长有花瓣
checkout	检验
disseminule	传播体
judaize	使犹太化
slimmer	减轻体重者
emptysis	吐血
unneutral	非中立
rhq	Regimental
replacing	更换
suppurative	化脓性
jadish	精疲力竭
oceanicity	海洋度
demisemi	四分之一
whence	从何处
istria	伊斯的利亚
landsting	两院制议会
underage	未到法定年龄
slump	消沉
lampooner	冷嘲热讽者
overland	经过陆
amort	无生气的
radiograph	拍……的射线照片
chromophile	染性
department	处
tonsorial	理发师
lsat	School
meddler	爱管闲事的人
floppy	松软
tallboy	双层衣橱
syndicalism	工会组织主义
bubblehead	笨蛋
debilitate	使虚弱
threnode	葬歌
heterocrine	多种分泌的
overshoot	飞过目标
simple	简朴
mickle	多
lark	百灵鸟
twinkling	荧荧
pleonastic	冗言的
extracanonical	经典以外的
voluminous	大部分的
seismonastic	感震的
inaptly	不合宜地
undermost	最下地
indemnify	赔偿
outstretch	伸出
fricative	摩擦音的
breasthook	尖蹼板
crosspiece	横档
nondirective	不直接提问
reinvest	再授给
upbraiding	谴责
crankish	暴躁
kweilin	见Guilin
liminary	开头
elated	兴高采烈
arctic	北极的
slate	石板
skyward	向上的
hayrack	装有草架之货车
melancholiac	患忧郁症
pustular	脓疱的
fordless	不能徒涉的
unfeigned	真实的
fluoroscope	荧光检查器
nullification	使无价值
riverfront	河边陆
nigrostriatal	黑质纹状体
dalmatic	加冕服
frustrated	落空的
topgallant	最佳
biochemist	生物化学家
uninsured	未保险
belief	信任
propyl	丙烷基
unvexed	安详的
sublimate	升华
prepositional	当前置词的
benignly	亲切地
airily	轻盈
featly	优美的
hairdressing	美发
unsaleable	无销路的
plumbism	铅中毒
explicatory	说明的
swim	使浮起
dragonesque	似龙
diagnose	诊断
supersedure	取代
abbreviatory	缩略的
est	东部时区
unregretted	无人对之表示悔恨
willed	有某种意志
tapette	搞同性性关系的男子
hottish	尚热
vain	徒然的
bmx	bicycle
certain	确定
cagayan	卡格扬河
unaspiring	无上进心
penannular	形不成闭环
antalgic	止痛
trisubstituted	三元取代
equivalve	两壳形式和大小相同
andantino	微急地
slimsy	脆弱的
traditional	惯例
disunite	使分离
spark	火花
pat	正好
woodland	林
resourceless	无方略的
cataleptic	全身僵硬症病人
clipped	省略一部分的
loudly	响亮
unexacting	不严厉的
crosspiece	闩
shrub	灌木
archimandrite	修道院长
logroll	互相捧场
eglantine	野蔷薇的一种
fleshless	瘦
reverential	可敬
pinstripe	细条纹的布料
causeless	无显著原因的
absent	缺席的
testamentary	遗嘱中有
esthesiometer	触觉测量器
mastership	熟练
simulate	冒充
dithyramb	酒神的赞美歌
diphosgene	双光气
jewbaiter	迫害犹太人者
rewinder	倒带装置
opal	乳色玻璃
creepy	爬行
brevet	名誉晋升
aapss	Academy
flittermouse	蝙蝠
rugged	崎岖的
delphic	神谕的
stragglingly	落后
girder	梁
armistice	停战
keeler	用来测量液体的容器
dat	Tape
furnishings	家具
fnma	Mortgage
tangency	接触
swiz	诈取
connexion	联系
housebroken	管教好
forward	早
overaggressive	过于放肆的
impressive	感人的
banka	=Bangka
lifetime	寿命
naturalization	移植
jimberjawed	有突出下颌
dovecote	鸽房
unsheltered	无居所
humourously	幽默
pompano	鲳参鱼
trieste	的里雅斯特湾
repose	长眠
plf	per
pasteurise	=pasteurize
undereducated	受教育不足的
tymbal	鼓室
fetiparous	胎儿未发育完就生产的
mailable	可邮寄的
nc	网络计算机
cotemporaneous	同时代的
clothespress	衣橱
demisable	可让渡
sarcoplasm	肌质
ubiquitarian	基督圣体遍在论者
sabinian	萨比尼安
blame	责备
introduce	引进
trichroic	三色现象的
opuscule	小作品
robe	礼服
stably	稳定地
moulage	印模
probationary	缓刑的
calorigenic	产生热量
tainture	污点
ternate	三出
polarimetric	偏振测定
vendable	=vendible
cartelize	组成卡特尔
bicornuate	新月状
hesperornis	黄昏鸟
magistral	威严傲慢
unload	卸货
detail	详情
zigzag	Z字形的
egodefense	自我防御
approvable	可核准
declivity	倾斜
trigonal	三角形
perennity	持久
austerity	节俭
rappen	分
saving	救助
stuffless	不充实
handshaking	握手
terraneous	陆生
depressor	抑压者
eastward	向东的
theologically	神学
raintight	不漏雨的
experimentation	试验
uncorrected	未订正的
pneumatic	灵魂
semiprofessional	半职业性选手或运动员
topiary	修剪灌木的
portamento	滑音
maritime	海运
teletype	用电传打字机拍发
bracing	支柱
squirely	适合乡绅身份的
triplicity	三倍
eely	滑头滑脑
fold	折叠起来
firth	河口湾
eventless	平凡的
noisome	有毒
thallus	叶状体
methaqualone	安眠酮
pyramidion	方尖塔的顶角锥
undersign	在……的下面签名
redintegration	复原
relocatee	迁至新址者
leprous	患麻疯病
acinar	腺泡
velarize	使软腭化
irreproducible	不能再现的
appoint	指定
luxuriant	奢华的
tail	后部
cebu	宿雾市
cracking	裂化
gestate	创案
howl	嚎啕大哭
orins	of
flickeringly	闪烁
immetrical	无韵律
left	leave的过去式和过去分词
cochleate	螺旋形的
shuddering	震动的
dauntless	不屈不挠
regenerate	起革新作用
rich	丰富
farrier	蹄铁匠
white	白
typology	类型学
mangonel	投石机
yanqui	美国人
credibly	由可靠方面
nasa	Space
wisperer	低语者
thunder	雷声
biogeocoenosis	生态系
quadrivial	四高级学科的
undulatory	波动的
socialise	=socialize
siderolite	铁陨石
unga	General
absently	茫然地
repute	称为
corruptly	可被收买的
url	Resource
chemoprophylactic	化学预防的
impercipient	认识不足的
gemmer	勘探宝石者
boatrace	竞渡
extradite	引渡
esterase	酯酶
loss	损失
unfluctuating	稳定的
sentimentally	富情感
frigga	弗丽嘉
latvian	拉脱维亚
kimberlite	角砾云橄岩
luck	幸运
hyperosteogeny	骨质增生
alcides	阿尔喀德斯
hexapartite	分六部分
eldo	European
whipsaw	用粗木锯锯
supereminent	极为出色
antiallergenic	抗变应性
oddish	有点怪的
several	单独
humidistat	湿度调节器
rusty	迟钝的
ephedrine	麻黄硷
simplicity	简单
quintillion	百万的五次方
unrwa	联合国难民救济及工程局
metagalactic	总星系
book	名册
sagger	制烧箱的耐火黏土
red	赤字
intermarriage	异族结婚
symmetrophobia	不对称
midwinter	仲冬
funny	好笑
stingy	缺乏的
beastly	残忍
deceive	行骗
hoveler	无执照难船救助员
lampless	不点灯的
chiliast	信徒
html	Hypertext
flavopurpurin	媒染3号茜素红
mondain	凡夫俗子
tanning	皮肤晒成褐色
tdma	Division
periodic	定期的
marsh	沼泽地
fusional	熔解的
pigeonite	易变辉石
tache	纽带
innervation	心]运动感觉
adina	艾迪娜
trilobate	具三裂片
vfd	fire
bronchotomy	气管切开术
metol	甲氨基粉
regret	哀悼
footie	=footy
uranalysis	=urinalysis
workpeople	工人们
ipsu	IP
tuft	用丛毛修饰
jagged	锯齿状的
insouciant	漫不经心
stimulus	刺激
freshwater	内河
overstrength	人员超编的
mis	Management
choosing	决定
reliant	依靠
ulnar	尺骨
bivouac	露营
wilmer	威尔默
swat	长打
kolo	科洛舞
unhinge	使失常
pinocytic	=pinocytotic
intercrop	间作
piggish	贪心的
gneissose	片麻岩
flap	拉下的边
iii	罗马数字
adrenotropic	促肾上腺的
niff	臭气
nongovernmental	非政府
nyse	Stock
triphosphate	三磷酸盐
map	图
ito	International
perfect	正确
variceal	静脉曲张的
entomologic	昆虫学的
upswing	提高
wordpad	记事本
insider	权威人士
cytotechnologist	细胞学技士
biting	刺痛
squash	压扁
coiner	伪造货币者
hypocrinism	内分泌不足病
homolog	相同器官
lenitive	轻泻
nasty	污秽
teletypist	电传打字电报员
fluidise	=fluidize
offenceful	有罪的
square	成直角地
paretic	局部麻痹的
pentomic	五群制原子师的
homespun	朴素
fifa	Football
nonviable	无法生活
socius	伙伴
bridewell	感化院
coffee	咖啡豆
tepefy	变微热
somatogamy	拟无配子生殖
unicuspid	单尖
achromatic	非彩色的
hardly	严厉
comprehensivize	使
handle	搬运
artiodactylous	偶蹄动物的
butterbur	菊科蜂斗菜属
reverently	虔诚地
sutra	经典
keckling	包缆绳
thanatopsis	死亡观
moabite	摩押人的
hateless	无憎恨之感的
unattainable	难到达
xenial	异花受粉
clan	氏族
denunciatory	非难的
fretsaw	线锯
veil	掩饰物
color	色彩
parochialism	教区制度
cladogram	进化树
everyday	日常的
piercing	刺穿的
phyllotactical	叶序的
pettitoes	脚趾
phelps	费尔普斯
denotation	指示
preceptive	教训性的
hemodynamic	血液动力学的
asepsis	灭菌法
dasher	猛冲者
carnallite	光卤石
shifting	狡猾
oligochrome	只用少数颜色
highstick	举杆过肩
parthenogenone	单性生殖生物
attorney	律师
forbidding	令人难亲近
ruggedness	粗野
cinzano	沁扎诺牌苦艾酒
undivided	专心
capriform	如山羊
verbal	口头的
elkhound	猎鹿犬
gynogenesis	雌核生殖
proruption	膨胀
burying	埋葬
ordinant	命令
reflex	反映
vain	愚蠢
ruthenic	四价钌
stoutly	刚强
schizocarp	分裂果
mimeograph	油印机
whiney	=whiny
shoeshop	鞋店
bushy	浓密
wearisome	乏味的
entrammel	妨碍
register	挂号
intercommunion	交流
charge	充电
garnishry	装饰品
brs	Road
terotechnology	维修工艺学
laura	劳拉
spck	for
lipotropism	亲脂
leadswinging	装病
psilanthropy	=psilanthropism
protectionism	保护主义
rheometer	血流速度计
charily	节俭地
routeway	通路
unspilt	未流出
cogent	使人信服
cut	删节
exterminatory	根绝
phycomycetous	藻菌
anxiety	忧虑
twirl	旋转的东西
rattail	没毛的马尾巴
froth	泡
phellogen	软木形成层
unrenewable	不可更新的
utter	流通
impermissibility	不允许
ginnel	小巷
programer	节目制作者
scatty	疯狂
vesuvian	火山
proud	自豪的
vadm	Admiral
begrime	弄脏
arytenoidal	杓状的
volumeless	不占容积
client	委托人
lancinating	刺痛的
ostracize	放逐
ikan	鱼
adventure	冒险
philhellenic	爱好希腊
pipelaying	铺设水管之工程
delicatessen	熟食店
fsf	Free
nccj	Conference
zedzap	一种文件传输协议
manhattanite	曼哈顿区人
driegh	=dree
bluff	诈骗
impresario	乐队指挥
rooster	公鸡
wsb	Stabilization
halt	立定
landwards	向陆
matchwood	碎片
jundy	推
potlatch	冬节
unrhythmic	无韵律
calling	职业
unmerciful	无情的
singularity	单一
alimental	食物的
garrote	西班牙的绞刑具
ripsnort	喧闹地行进
pedes	的复数
oscular	嘴的
unjoint	解开结子
unequalable	超不过的
unaspiring	无抱负
deceit	谎言
procuratorship	procurator
lickspittle	献媚者
colorific	给予颜色
dustpan	粪斗
halfway	半路地
punic	古迦太基人的
achaean	希腊的
bmw	Works
religion	宗教
grundy	过分重规矩的人
comate	多毛
reduplication	加倍
uracil	尿嘧啶
unseeing	没有看到
kainite	钾盐镁矾
prostration	俯卧
premise	房屋连地基
toastmaster	致敬酒辞者
fatbrained	脑筋迟钝
ditchdigger	开沟机
windowy	洞多
bhil	比尔人
expiree	前科犯
causal	原因的
sinfully	罪孽深重地
distractible	易于分心
tastefully	风流地
pet	宠物
hide	皮革
scale	数值范围
knight	骑士
extortionist	勒索者
incondite	生硬
undeniable	不可否认
serve	招待
inscriptionless	无碑铭的
dnb	National
saltish	微咸
maldivian	马尔代夫人的
shyly	胆怯地
residue	残余
september	九月
monophobia	孤独恐惧症
dustpan	畚箕
zymogram	酶谱
sterling	纯正
customary	习惯的
semidomesticated	半驯tI`keIFEn/
haply	偶然地
flyaway	不合身
moline	风车式的
glomerulate	聚成密集小群的
granger	农夫
seignory	领
electrothermal	电热
fecundity	多产
brute	畜生
pharmacological	药理学的
russ	俄国人的
colossians	歌罗西书
holometabolous	完全变态的
dynamograph	握力计
maiden	纯洁
drive	干劲
clique	结党
neapolitan	那不勒斯人
crenelation	开垛口
necessitarian	必然论者
monotonous	单调的
lippy	爱顶嘴的
wardian	沃德箱
lutetian	Lutetia
do	给予
electropolar	电极性
rigid	刚硬的
ref	裁判员
flightily	浮躁
rancher	牛仔
chloritic	亚氯酸盐
push	努力争取
splintage	使用夹板
rurally	农村风味
sideward	旁边
dop	合成树脂可塑剂
unconcerned	不关心的
shadberry	唐棣
referrence	谘询
anticyclonic	反气旋的
days	每天
deprave	堕落
bucharest	布加勒斯特
pessimal	最坏
bbb	breakfast
acidize	用酸处理
amniotin	一种春药
atrabilious	沉闷的
grill	烤肉
pock	使有麻点
domesticity	专心于家务
fertilize	使多产
waterproof	不透水的
spumescent	泡沫状的
tony	时髦
misfire	不发火
marsupialization	造袋术
dyschronous	不合时
bevatron	质子加速器
atomix	yeah
flush	泛滥
inebrious	喝醉
out	外出
dignify	故做显贵
marianist	巴黎圣母会成员
tantalization	逗弄
parament	礼罩
tandjungpriok	丹戎不碌
corporation	企业
zigzag	作Z字形
liquid	流动的
vasculitic	患血管炎
geraniaceous	牻牛儿苗科
onlooking	旁观
hemocyte	血球
lacerable	撕得碎的
tinamou	鸟类之一种
justificative	起辩护作用
nikethamide	尼可刹米
confection	糖膏
juvenal	羽毛未丰的
inarguable	没有疑问的
garter	吊袜带吊住
vulture	贪婪的人
extracanonical	未入圣典
