mao	毛式服装的
beethovenian	贝多芬音乐爱好者
flowage	流动
togated	庄严
carbonari	烧炭党
sponsorship	任务等
show	显示
armory	纹章
serrulate	细锯齿边的
sfax	斯法克斯
overridden	override的过去分词
nonfood	与食物无关的
slantindicular	偏斜的
rayleigh	瑞利
pale	无力
microelectrode	微电极
impledge	当
omit	疏忽
cytopathologist	细胞病理学家
potentiostatic	使用稳压器的
previous	在……以前
guarani	瓜拉尼人
respirability	适合呼吸
toothless	无齿
microsphere	微滴
ergometrine	麦角新碱
cryptical	秘密
cenobitism	修道士生活
dissolute	风流的
alps	阿尔卑斯山
declivitous	相当陡
echelon	梯形
pastern	胶
macrostomia	巨口
silence	使沉默
contention	争夺
heirless	无后嗣
improvisatori	即席
pisiform	豌豆状的
safranin	番红精
examine	调查
greasiness	油腻
aseismatic	耐震
ingliding	内向滑音的
sidle	横行
matra	马特勒
reedy	芦苇丛生的
drainless	取用不竭的
inseparate	不分离
gpm	gallons
ebullience	热情
subheading	副标题
chirpily	活泼
consubstantial	/
depurant	净化器
background	背景
spacecraft	太空船
weariful	使人疲倦
map	例如程序中的组信息和公共符号信息等
rehouse	移往新居
king	做国王
entoblast	内胚层
islam	伊斯兰教
halt	暂停
sucrate	糖合物
jd	Delinquency
inexpansible	不能膨胀
pathogenic	致病的
gamin	流浪儿
condition	条件
wolves	贪婪者
budapest	布达佩斯
sloughy	腐肉的
epaxially	轴上
aureola	光轮
adiathermancy	不透红外线性
fantasize	幻想
indirectly	拐弯抹角地
medal	奖章
ululate	哀鸣
dwc	deadweight
wandering	神志恍惚
conservative	守旧的
sun	阳光
effrontery	厚颜无耻的行为
parotic	耳旁
organization	机构
accomplish	完成
tergant	作拱背状
crop	收获
dvd	Digital
epidermoid	像表皮的
straggling	脱离队伍
anteriority	居先
caesarism	君主政治
spiffing	好看
callipee	=calipee
gni	income国民总收入
retral	在后面的
convivial	欢宴
managing	节约
slantwise	倾斜
springlet	小泉
preferential	先取
marmorean	大理石的
athanasian	Athanasius
emplane	乘飞机
argumental	辩论的
areopagite	古希腊雅典最高法院的法官
newfangled	新制
flagellate	鞭索形
thoughtfully	思虑地
conjunctly	接合
gazebo	眺望台
loathful	可厌的
disbelieving	怀疑的
triplicate	三倍的
unembroidered	简单
laboured	谨慎
forworn	极疲倦
flaxen	亚麻色
tab	小报
replicative	复制
frolicly	玩乐
overeat	吃得过多
left	左边
nebular	星云的
cuneal	楔形的
saturnalia	狂欢喧闹
disimprisonment	释放出狱
supersensible	超知觉的
abstractively	抽象
encampment	营
monophonematic	单音素
embank	筑堤
dreamy	梦想
probative	检验
transmigrant	移居
umbelliferous	有伞状花
mature	充分考虑的
prefab	预制的
cracky	疯狂
bicolor	二色的
halliard	升降索
lacrimator	=lachrymator
huntaway	经训练可牧羊的
metafile	元文件
ninth	第九
kinda	有一点
septennate	七年的任期
recurrent	周期性发生
unsure	没有自信的
cede	放弃
needler	刺激别人者
haut	高级的
elementary	元素
subterminal	几乎在末端的
hierocracy	僧侣统治制度
sophisticator	矫揉造作者
partialness	偏爱
organometallic	有机金属
blet	腐烂
certainty	确实的事情
mercy	仁慈
cytology	细胞学
fork	叉形物
counteragent	反作用剂
acronichal	薄暮的
demon	极残忍的人
holmic	含钬的
ablare	喧哗
openhearted	不隐瞒
leprose	皮屑状的
aquakinetics	婴幼儿深水漂浮训练法
nammet	=nummet
refluent	退潮
productile	可拉长
ashlared	用长方石板砌成的
trilaminar	三层的
pickled	烂醉如泥
flowerless	无花
sympathetectomy	交感神经阻断术
sapsucker	啄木鸟的一种
quickwater	水流湍急处
localize	地方化
fitment	设备
fall	下跌
galiot	荷兰的小型商船
engage	啮合
diomede	=Diomedes
formalism	拘泥形式
aerodonetics	空中滑翔学
myth	虚构的故事
principled	有原则的
disjunct	不相连
swirl	使成漩涡
mortal	非常大的
swellheaded	骄傲
backboned	有骨气的
discourteously	粗鲁
lambkin	好孩子
null	无价值
straight	直接
tetrachloromethane	tetrachloride
inductivism	归纳法优越论
pretext	借口
corydon	牧童
glycine	糖胶
sheila	女郎
copartnership	合伙
bha	butylated
monopteros	圆形外柱廊式建筑
fellow	同伴的
ochreous	赭石
clanism	宗族主义
daily	天天
wicked	坏的
tenia	束发带
aeon	永世
klamath	克拉马斯人
annoyingly	烦人地
sinople	铁石英
basting	疏缝的针脚
supposititious	私生的
teleoperator	遥控机器人
nard	甘松
yabber	闲聊
infernally	恶魔似
taa	Administration
dado	护墙板
digestion	消化力
theologian	神学者
insigne	=insignia
goody	感伤
qairwan	=Kairouan
heteromorphosis	异形化
concessively	让步地
fondly	溺爱地
monostome	具单口的
regrade	重新分类
evergreen	常绿的
presenile	未老先衰
earnings	所
aesthetic	审美的
lingala	林加拉语
canonically	宗规上
telltruth	说真话的人
cms	Church
mattoid	精神病边缘者
endergonic	吸能的
vacancy	清闲
familiarity	精通
convulsant	惊厥剂
backlist	重版书
poe	Entry
radix	根
way	路途
fibrosis	纤维化
overparted	分配担任力不胜任的角色
unrwa	Works
sncf	de
nekoite	新硅钙石
decarbonylate	去除碳基化物
diphenylamine	二苯胺
grobian	粗野而邋遢的人
jewfish	暖海鱼
centner	欧洲商用重量单位名称
disfavor	厌恶
anhydrous	无水
phoenician	腓尼基
filthily	丑恶
twinge	使一阵一阵痛
convertite	从良的妓女
eucharistic	圣餐
accidently	=accidentally
nervosity	神经过敏
barege	巴雷格纱罗
owl	Object
incivism	缺少公民意识
seasoning	调料
ninth	九分之一
undomesticated	不爱做家务
disrate	使降级
fauteuil	安乐椅
aroid	天南星科的
fortitudinous	顽强
granuloma	肉芽肿
ravage	毁坏
meiosis	减数分裂
sukie	=sukey
otohemineurasthenia	单耳听觉不全
reliance	依靠的人或物
inviolable	不可亵渎的
vulcanize	硬化
comecon	Assistance
coupe	分隔车房
medaled	佩带徽章的
anetic	缓和
disaster	灾难
windspout	旋风
balkanize	使割据
fat	胖
meditative	爱思考的
allopathy	对抗疗法
ussuriisk	乌苏里斯克
refixation	再设立
fuzzy	失真的
burnable	燃烧的
tristimulus	三色的
lithe	易弯的
southwesternmost	极西南的
norwegian	挪威
desirable	令人想要的
reversing	回动
petrification	僵化
anaclinal	与四周地层反方向下降的
galveston	加尔维斯敦
faille	罗缎
nolo	=nolo
commemorable	该记住的
bobbly	圆块状
truckle	小轮
upheld	uphold的过去式及过去分词
steep	泡
hypnotic	催眠
unprovided	未作准备的
splayfoot	八字脚
swab	拭抹
snooty	傲慢
veronese	意大利之维罗纳Verona的
lor	天啊!
watchfulness	警觉
distressful	苦难重重的
kaapland	Province
grammarian	文法家
computerite	电脑迷
shat	shit
campo	草原
ftc	Federal
bambara	班巴拉人所用之曼丁哥语
mods	牛津大学B
debarkation	下车
expend	消耗
lulea	律勒欧
delouse	驱除虱子
unequalable	无双的
disbelieve	不信
orthonormal	规格化正交
annulate	有环纹的
mealy	粉状的
rhenish	莱茵河
vibrational	摇摆
carpaccio	生牛肉片
emigrator	移民
privateer	私掠船
umbrage	不快
peck	许多
environmental	周围
salutatory	欢迎词
rear	后方的
destitution	缺乏
unicef	Nations
heteronomous	他治的
cyclohexanone	环己酮
fcis	Fellow
disallowance	不许可
hibernal	冬天的
azt	艾滋病防护药
wild	野生的
challie	印花丝毛料
findable	可发现的
cmos	Semiconductor
hectic	患肺结核
severely	严格
translucent	透明
asterism	星群
circumvention	欺骗
thoroughly	十分
trituration	粉状
broadish	稍宽阔的
reproachfully	责备地
homonuclear	同核的
buccal	口腔
tonnish	=tonish
endogenic	内营力
sebacic	癸二酸的
incooperative	不愿意合作的
herbescent	草本的
reexamination	复试
platitude	陈词滥调
medius	中指
latinist	拉丁语学者
homologize	相应
henna	指甲花染料
defining	定义
voltairean	伏尔泰的
accessary	从犯
churr	颤鸣
metapage	元页
yugoslavic	南斯拉夫
pioneer	先遣兵
felicitous	巧妙的
endnote	尾注
textured	手摸时有感觉的
tractarianism	牛津运动
tentaculiferous	具触手
bosh	空话
ate	Equipment
sandal	便鞋
telluride	碲化物
spenglerian	施本格勒理论的
foreseeingly	有预见
parma	深紫色
watertight	水密
tasty	可口
amphisbaena	两头蛇
girlish	少女的
washrag	面巾
acetylco	A
experienced	经历
cinematographic	电影摄影术
operatize	编成歌剧
stony	无情
epimerase	表异构酶
plasmolysis	原形质分离
athenian	雅典
sale	销路
kerbside	街道边
freehand	徒手画
unanswerable	没有责任
choreiform	舞蹈病样
vagotonia	迷走神经兴奋
logged	劈成木材的
fluxionary	不定
fluxion	转变
feneration	高利贷
nucleoid	病毒核心
contratest	对照试验
tasian	塔萨文化
dogie	迷途小牛
rcvs	of
dispermous	具双种子
tendency	倾向
umbrage	树荫
laryngopharyngeal	咽喉的
unexcelled	未被胜过
greatness	伟大
sheugh	溪谷
ordinant	规定的
sundown	日落
stygian	幽暗
filter	滤光器
bustling	熙熙攘攘的
bastioned	具备棱堡
bellow	怒吼
semifascist	半法西斯主义
defensibly	可保卫地
familiarization	熟悉
impregnate	充满
lowland	低
fructifier	使结果实的人或事物
cymous	聚伞花序的
alme	舞女
noncombat	非战斗的
metric	公制
passerine	雀形目
habiliment	服装
unimpressive	无印象的
evolving	进化的
statesmanlike	有政治家风格
shaikh	酋长
zincographer	锌版技师
melioration	改善
pagoda	宝塔
parton	部分子
conversable	易开口的
nascar	of
astronautical	太空航行学
relativism	相对论
unaccompanied	无伴侣
cow	母牛
comment	评论
glamorous	迷人的
flacon	长颈细口瓶
centripetence	向心作用
mellitum	蜜剂
adenectomy	腺切除术
minnesinger	吟游诗人
narcotic	麻醉药
gavage	填喂法
paravane	扫雷器
sailing	航行的
untraceable	难以捉摸的
ddk	Device
craniotomy	穿颅术
telesoftware	电传软件
haematological	血液病学
municipalist	地方自治主义者
hyraces	hyrax
jostler	扒手
obscurant	蒙昧主义
limitrophe	位于边界上的
rockbird	岩鸟
faggy	女性化
churr	颤鸣声
camisole	女背心
pronouncing	发音
tcd	Trinity
sensibly	敏感地
sticky	粘的
diplomacy	外交
trough	水槽
engrammic	印象
laudability	值得赞美
passant	向前直走姿势
overfleshed	肥育过度
hyperverbal	说话过多
brilliantly	灿烂地
demonology	鬼神学
registered	记名的
restoration	赔偿
fated	受命运支配
cubane	立方烷
teeth	牙齿
hygrostat	湿度调节器
exarch	大主教
radicular	根
bountiful	慷慨的
isologue	同构体
kovsh	长柄船形酒杯
jassid	浮尘子科动物
progress	进行
potash	苛性钾
yankeeize	使美国化
jackaroo	当新手
psf	pounds
wickedly	不愉快
hemic	血性
baroque	巴洛克式的
beau	纨绔子弟
pirogen	=piroshki
counterbalance	使平均
consequential	结果
utp	Unshielded
uncinaria	钩虫
pusillanimous	优柔寡断
conifer	松类
ratifier	批准者
ruritanian	理想王国
wimbledon	温布尔登
lovebird	多情鹦鹉
polyglottism	=polyglotism
intentness	集中的
polymorphonuclear	分叶核
miscellanist	杂文作家
basset	露出
townee	本镇人
gradus	辞典
uphove	upheave的过去式和过去分词
chirk	兴致好
unicode	统一的字符编码标准
flagellate	鞭毛藻
practician	开业者
problem	难题
pectinaceous	含果胶
slicer	切薄片的机器
out	在外
jubilant	喜悦的
coverley	柯弗利
basement	地下室
heortology	宗教节日学
venusian	太白星的
psychosomatry	心对身的
muster	征召
cordis	心脏
fizzle	失败
phidias	菲迪亚斯
robinsonade	式的船只遭难故事
windrow	被风吹集于一处之落叶
squash	壁球
microoperation	微操作
anglify	=Anglicize
androphagous	吃人
upu	万国邮政联盟
underemphasis	强调不够
cigs	of
rubicund	红润的
unspilt	未溢出的
amadavat	莓莺
blendo	混合式
phillips	screwdriver
lippitude	烂眼睑边
scruple	迟疑
supervenient	意外发生
veridical	诚实
emcee	主持人
moonlight	月夜
planform	俯视图
pregnant	重要
templet	模板
seedily	不体面
unimodal	用单峰分布描述的
habilimented	穿着服装的
drolly	幽默地
tomentose	被绒毛
kolinsky	其貂皮
bundestag	国联邦议院
oyez	听
unpleasant	使人不愉快的
bacteriostatic	细菌抑制抵频
zonked	醉酒
waiver	放弃
snide	暗讽
collectivistic	集体主义的
merciless	残忍的
corny	粗野的
handcart	手车
nondrinker	戒酒的人
chlorinous	含氯
rasophore	穿黑色宽袖长袍的教士
spicewood	=spicebush
smokable	可以点燃抽吸
periapsis	近拱点
slurry	浆
inappreciative	不欣赏
immobility	不动
sclc	Southern
pigpen	猪舍似的地方
infidel	不信宗教
purulence	含脓
inconstantly	不稳定
aforehand	事先
pollywog	蝌蚪
atrip	起锚
assuringly	保证
scraggly	锯齿状的
inhumanize	使无情
recite	书面陈述
tubocurarine	筒箭毒碱
comique	丑角
impenetrable	难以渗透的
unplagued	未得灾祸
waggish	爱开玩笑的
par	平均的
humourous	滑稽的
penile	影响阴茎
puerperal	分娩
polysaccharide	多聚糖
laconically	简洁
unsexed	失去性征
unfoiled	未被征服的
sprig	用钉子钉上
tubicorn	有洞角
gruntle	嘀咕
bloomy	有粉衣
trivalent	三价的
untrammeled	无阻碍
relievable	可减轻的
aerocab	供短程飞行用的直升机
fulminatory	雷鸣的
breadless	无食的
detached	分开
fusain	炭画笔
devel	重击
jihad	拥护运动
chine	脊椎骨
inspirer	鼓舞人心的
uniform	制服
rectify	调整
kawasaki	川崎
shopping	购物
disaggregate	使崩溃
ustulate	烤焦
idiorrhythmy	住在自治宗教团体的僧侣
capric	公山羊的
befittingly	适当
pokey	监狱
tutoyer	亲密地对待
magnesic	镁
vex	使烦恼
monadelphous	单体雄蕊
underdrift	=undercurrent
cuneal	楔形
heterochthonous	不是土生
uart	Universal
file	提出
bellmouthed	漏斗口
guttate	有斑点的
reexpand	再扩展
parathyroid	副甲状腺的
remote	细微
spotty	多污点
photoeffect	=photoelectric
beadsman	乞丐
contemptibly	下贱
escadrille	飞行小队
amatively	好色地
monticulate	有火山丘
subservience	裨益
welter	挣扎
stockman	畜牧业者
cyanogenetic	生氰
enthronization	登基
flotilla	小舰队
philatelic	集邮
rectificative	校正的
magnesia	氧化镁
lice	白虱
facsimile	摹写
businesslike	事务性
arrisways	对角地
nongovernment	非政治
eurocapital	欧洲资本的
sublime	庄严的
warlock	魔术师
disubstituted	双取代
leister	以鱼叉刺
macroscopical	肉眼可见的
graphitoid	石墨状
dsrv	submergence
drooping	无力
zaguan	门廊
unitarianism	上帝一位论
latitude	纬度
nigerianize	使尼日利亚化
mirthless	沉闷的
tollgatherer	收费员
borderline	边界线
harmonic	谐和的
macrobiosis	长命
changeful	易变
rotproof	防腐的
tritural	适合于粉化
innutrient	缺乏营养
nsa	Security
pertly	傲慢地
punitive	惩罚性的
trothplight	誓约
dowlas	粗花布
dullish	稍钝
concussion	冲击
thenceforth	从那时
richly	富裕
cultrate	小刀状
bibliology	圣经学
wretchedness	悲惨
digressive	离题的
racer	游蛇属
finagle	欺瞒
loss	遗失
brasier	黄铜匠
obiit	卒
draggle	拖湿
institute	学院
ratproofed	使能防鼠
anthropogeography	人文地理分布学
felicitously	恰当地
magistral	主导
surfeit	过度
verifiable	能作证的
dbcp	dibromochloropropane
tubulin	微管蛋白
armenian	亚美尼亚语
hopelessly	无望地
stood	stand的过去式和过去分词
kemalist	基马尔主义者
special	专用
unwary	不注意的
vrml	Modeling
monomaniac	对一事热狂的人
quinquepartite	分成五部
azygous	非对偶
indubitable	确实
cracker	解密高手
unfluctuating	不波动
straight	诚实
festination	慌张步伐
tousy	蓬松的
dyscalculia	计算困难
softly	柔软
dropscene	最后一场
leaseback	售后回租
uterine	母系的
headful	头所能容纳的量
alienage	外国人的身份
misdiagnosis	错误的诊断
unshroud	从……移去遮蔽物
coruscant	闪
spook	鬼
trickster	骗子
baobab	非洲产的一种巨树
itch	发痒
homoplastically	同形
fiercely	猛烈
amphigory	无意义而滑稽的文章
inviolable	不可侵犯
inordinate	紊乱
inhabitativeness	喜欢永远待在同一住所
schizanthus	蛾蝶花
euryhygric	广湿性
cutwater	船头破浪处
general	全面
xpvm	Graphical
implausibility	不象真实
femininely	女人似地
vestige	遗迹
naming	命名
antismog	防烟雾污染的
milliner	女帽制造及贩卖商
downloadable	可下载
agonic	不成角
enshrine	入庙祀奉
dop	phthalate
possessed	着魔的
pegasus	飞马
handbill	传单
abdicant	逊位
aethereally	非人间
watering	灌溉
deluxe	华丽的
rosy	玫瑰红色
rink	冰球场
char	烧焦
cutcha	贫弱
tenfold	十倍的
iterant	重复
rive	破裂
ytterbous	镱
earthborn	人类的
desensitize	使不敏感
issei	第一代移居北美的日本人
radices	树根
finfooted	有蹼的
prosper	使昌隆
backhoe	锄耕机
xxxiv	罗马数字
transplant	移居者
flowerage	花
corticate	有树皮
humoristic	滑稽的
lunisolar	日与月的
homozygosity	纯质性
overcentralized	过分集中的
bolus	大丸药
unimposing	不庄严的
rct	of
unreel	解开
thickly	浓
gayer	华美的
podium	墩座墙
incontinent	仓促
dynamic	动力
repousse	凸纹面
simtel	很大的软件分布网络
chiseled	凿刻的
swith	当即
filemot	枯叶色
mooring	停泊处
rhythmically	有节奏地
nearshore	近岸水域的
ventail	护面具
interstice	空隙
upthrow	向上的投掷
unspeakable	坏透了
cohesion	凝聚
sternum	胸片
cablet	10
combat	格斗
ruffled	有褶饰边
kennelman	养狗场管理员
overbore	的过去式
exhausted	耗尽
consultant	咨询者
sclc	南方基督教领袖会议
tantivy	快跑
seraphic	纯洁的
canvas	彻底讨论探究
pteropodium	翼足目软体动物的足
instance	要求
ranchman	牧场工人
limpkin	涉禽之一种
chardin	de
sublimate	升华物
feeze	猛冲
dirtily	淫邪
moral	精神
burka	的长袍
radiantly	辉煌
manganic	锰的
nondiapausing	非休止中的
ingest	吸收
p	字母P
eirenic	=irenic
bougainville	布干维尔岛
tremissis	早期西欧金币
bizarre	奇异
aureola	光环
choking	憋闷
duplicate	两重的
jarp	打
ascap	of
legendry	传说集
desaturate	降低的饱和度
automatous	机器人的
exsanguine	贫血症的
unbuttoned	解开钮扣
capacity	才能
abolish	废止
nelda	内尔达
another	另外的
clothe	覆盖
canadianize	加拿大化
sootily	熏得乌黑
novel	长篇故事
readily	乐意
cleavable	劈得开
world	社会
piosity	假虔诚
theatric	戏剧
overage	过老的
vexillar	军旗
fall	堕落
revolutionology	革命学
xeromorph	旱生植物
quickening	活泼
brasier	火盆
presiding	主持会议
indebtedness	债务
pollan	白鲑
delectate	使高兴
pitch	扎营
plumage	翅膀
retia	丛
misgivings	担忧
pagandom	异教徒
dryer	干燥剂
cadmean	卡德摩斯
batrachian	蛙类
unvalued	无价值的
gravelly	碎石构成的
orthographist	正字法学者
domination	统治
retroflex	向后弯曲
charger	袭击者
independently	自立
osteria	客栈
mouthwash	无聊话
ravel	解决
lexicographic	词典
herry	=harry
clottish	笨的
cranage	起重机使用权
handweaving	以手织机编织
ericeticolous	成长在石南丛中的
comportable	合适的
pomposo	华丽地
rigescence	生硬
cycle	自行车
vaginate	有鞘
lord	地主
pancratium	揉合拳击和摔交的古代希腊竞技
headspace	顶端空间
catecheticel	问答式教法
unexpanded	未展开
cursive	草书原稿
lymphatism	淋巴器毒血症
tepidity	微温
mongrel	杂种狗
anteriority	先前
squaw	妻子
intertropical	热带的
included	包括
administrivia	新闻
ferrule	装以金属铁
flabellation	用扇扇凉
lace	扎
diverse	变化多的
vetch	野豌豆
infusive	有影响力
super	特级的
alluring	吸引人
anemometric	测定风力
orchotomy	=orchidotomy
neuroanatomical	神经解剖学的
dicty	时髦的
meditate	想
syphiloid	梅毒状的
specialization	特殊化
aught	任何事物
sublunary	地上的
regressive	回归的
clostridial	梭菌属的
ergotamine	麦角胺
veining	叶脉的形成
cornuted	角状的
argute	机灵
rundale	小块土地占有制
dioecious	雌雄异体
globulous	球形
lavage	洗
gallygaskins	=galligaskins
soar	剧增
deign	赐予
rainily	多雨地
uaa	Arab
profundity	深奥
urbicide	城市毁灭
phloroglucinol	间苯三酚
header	收割台
punctulate	有细孔的
pour	流
fallalery	装饰品
bungler	笨拙者
virement	票据交换
unvalued	无价值
isopycnic	恒密
alarmedly	惊恐
abstinent	有节制的
finagle	使用欺骗诡诈手段
sippet	小片
informant	被调查的人
semon	语义子
blatant	炫耀
subcelestial	尘世的
tercet	三拍子
multiparty	包括多党的
emergent	紧急
debug	除去窃听器
term	条款
osmanthus	木犀属植物
motorable	可行驶汽车
certified	被鉴定的
schizozoite	裂体性孢子
enterozoa	内寄生虫
chondrosarcoma	软骨肉瘤
dithyrambic	狂热
biogeocenose	生物地理群落
handless	赤手空拳的
noegenesis	知识产生的过程
coquetry	撒娇
ultraminiaturize	使超缩微
thoro	彻底的
tamber	音质
hitter	击手
statuesque	雕像般
plangent	凄切的
sporeling	萌芽孢子
rebellious	反叛的
veto	否决权
vitriolic	刻薄
covert	隐蔽的
penetration	渗透
unfettered	被除去脚镣
correctional	改正
parlous	危险的
charmed	着迷的
overflight	飞越领空
alice	艾丽丝
cellularity	细胞性
biassed	=biased
acedia	懒惰
acidproof	耐酸的
mordacious	锐利的
devilish	精力旺盛的
hydrogasification	加氢气化
blind	盲目
annemarie	安玛丽
cabas	女用手提包
depletive	使干涸的
zuleika	朱莱卡
undivested	未被剥夺
polyphonic	有许多声音的
convergent	会聚性的
clamp	夹具
lipographic	漏写
peacherino	漂亮姑娘
anaclasis	长短音换位
antianxiety	防止精神不安
obtusely	钝地
unchangeably	不变
macaroni	通心面
betwixt	在……之间
hesperidium	柑果
ingather	收获
ecclesia	教堂
undomesticated	未驯服
garp	Program
salverform	高脚碟状的
halite	岩盐
anomy	社会的反常状态
naillike	像钉的
mainspring	主要原因
hypomotility	运动不足
bronchoconstriction	[医`strIktE支气管收缩的管狭窄
latrine	公共厕所
spark	闪烁
status	地位
utricular	具胞的
toluol	甲苯
sheeplike	温顺
dodgy	善于骗人的
slip	滑过
orphean	迷人的
exterminative	=exterminatory
inauspicious	不幸的
degender	去除中的性别所指
sorb	山梨树
alameda	林荫散步道路
resource	财力
unjoined	未加入
motory	引起运动
ennyyee	倦怠的
convalescence	逐渐康复
displace	取代
glycerol	甘油
pinkish	略带桃色的
springhead	泉源
metaassembler	元汇编程序
amice	披肩
patronizing	要人领情的
assumingly	傲慢地
agonizingly	苦闷地
glover	手套贩卖商
purpure	紫色的
slumberous	催眠
rhapsodic	狂想曲
idoneousness	适合
manrope	舷梯扶索
corporation	大肚皮
shock	吓人
hemianopia	偏盲
otherwise	不同
salutary	有益
terebinthine	松节油的
hatefully	可憎地
quaternate	以四为一组
aarp	Protocol
level	同高的
retroflexed	翻转
struggle	挣扎
resultant	合成的
permeation	透过
surfacely	表面地
movably	可移动
theism	一神论
carcase	架子
progenitive	有生殖力
commonweal	大众福利
polystylar	=polystyle
iupap	Pure
water	雨水
oarage	划具
cloddish	粗鲁
clearcole	底胶
floridity	鲜丽
deviously	绕道地
impressibility	感受性
whenever	只要
indiscrete	不分开
outer	远离中心的
doss	睡卧
officer	指挥
dls	of
bullpout	pout
develop	发达
switchgrass	柳枝稷
swim	潮流
feu	封地
monophyllous	具一叶的
analecta	论集
capitulaitonist	投降主义的
decumbent	爬在地上
upborne	被升高的
damning	咒骂
pragmatistic	实用主义的
byproduct	副产品
interleaf	插页
eugenic	优生学的
kidron	汲沦谷
dls	Science图书馆学博士
gsc	General
hodiernal	今天
enchantment	妖术
cystectomy	胆囊切除术
orthographer	拼字学者
gallionic	迦流
fiftieth	五十分之一
forgetive	富有想像力
headwear	头饰
duds	行李
wizard	男巫的
twisty	转弯抹角
morrow	次日
empanel	记入名簿上
stapler	订书机
fruitive	能享受
elmer	埃尔默
ghostdom	鬼域
cataphatic	用肯定方法所得的
experimentize	进行实验
meroplankton	季节浮游生物
nary	连……也没有
herbary	草本园
taffy	威尔士人
bluehearts	美洲鬼羽箭
reseau	网格
freeze	冷冻
halavah	碎芝麻蜂蜜糖
selective	选择性的
azury	浅蓝色
puckery	起褶
hologynic	限雌遗传
counterviolence	以暴制暴
rare	非常
longbowman	大弓手
overprint	套印
iconoclasm	对偶像攻击
cynegetic	打猎
ionogen	可离子化的基团
hyperpyrexial	高烧的
aim	对……瞄准
inclip	紧抱
info	信息
snowmaking	人工造雪
zirconium	锆
togavirus	囊膜病毒
immanent	固有
britzka	敞篷四轮马车的一种
northerly	北方的
lysis	病势减退
poll	选举中获得
restive	难控制
seek	寻求
piercing	刺穿
conventicle	非国教徒的非法或秘密聚会
salmi	红烧鸟肉
glucagon	胰增血糖素
palmyra	扇叶树头榈
shh	嘘
gunman	持枪的歹徒
electric	电动
bicentennial	二百年
outerwear	外衣
iconize	把……当偶像崇拜
euphuistical	词藻华丽
short	短路
ruination	灭亡
foolproof	极坚固的
papmeat	软食
napless	磨破了的
rammer	撞锤
cancri	Cancer的所有格
elocutionist	雄辩家
nudicaul	裸茎
resonantly	反响地
utricular	小囊状
concern	涉及
petechial	瘀斑
gunstock	枪托
misarrange	排错
blockage	妨碍
venodilation	静脉扩张
fear	敬畏
pilatory	生发剂
hooverize	节约厉行节约
superficiality	浅薄
soucar	放债人
turn	轮流
ue	Machine
empoison	放毒药
expressman	递送工人
myxoid	黏液样
leaven	使发酵
unendued	未赋予的
entirely	一概
impermanent	非永久
autocontrol	自动控制
sympatholytic	阻滞交感神经
width	宽广
rareness	稀薄
songlet	短诗
eschatocol	结尾条款
drawly	拉长语调
trisulphide	三硫化
aneuria	精力衰竭
godparent	名义双亲
righto	对
durable	耐用
thomasina	托马西娜
oriflamme	旗帜
toluidine	甲苯胺
shield	护罩
epsom	Surrey
runtishness	矮小
existing	现有
agonistic	竞赛
tubulate	为……装管
reductionism	简化法
runtishly	发育不良地
thalia	塔利亚
corny	谷类
parachutist	跳伞人
discard	抛弃
uprising	起义
overpowering	压倒性
textual	原文
kgps	千克秒
libido	性欲
evangelization	基督教化
cyclonology	旋风或飓风之研究
unworthily	可耻
gettysburg	盖茨堡
amendatory	修正
correlative	相关
ssid	ID
surge	放松
inductivity	感应率
theorise	=theorize
leaning	爱好
bovine	牛的
antibody	抗体
demanding	苛求的
mannan	甘露聚糖
fasciated	簇生的
mitigant	缓和
unionist	联合主义者
dormouse	冬眠鼠
impoverishment	贫穷
undoubled	松开
webworm	结网毛虫
shunter	能干的组织者
hubbard	笋瓜
jugal	颧骨的
lookit	听着!
cumulate	累积
beekeeper	养蜂人
zapu	Union津巴布韦非洲人民联盟
superinfection	重复感染
insobriety	头脑不清
vertical	垂直面
dehortative	劝阻
reapply	再运用
lcvp	vehicle
accredited	可信任的
rundlet	隆勒
agglutinative	胶合性
abridgement	删节本
strickle	油石
slam	冲击
involve	潜心于
arhat	阿罗汉
influx	流入
gainfully	有收入
rampart	城墙
kilocycle	千周
tractive	牵引
implausible	难信
sawbuck	锯木架
adrastus	阿德拉斯托斯
rhapsode	史诗吟诵者
toque	羽饰丝绒帽
biplane	双翼飞机
dewalee	排灯节
mummerset	玛迈塞特
undraw	被……拉回
overtime	超时
excruciate	使苦恼
theroid	兽性
geometer	尺蠖
raob	探空仪观测
contrariwise	顽固
gmwu	and
sakel	=Sakellaridis
vergilian	似弗吉尔之诗的
table	嵌合
mutch	帽子之一种
iceman	善于在冰的行走的人
overly	极度地
maculate	有斑点的
sanctified	批准的
bullish	上扬
hieratic	僧侣用
condyloid	髁状的
nysa	=Neisse
millwright	技工
commeasurable	可相比
sunghua	River
shakable	可动摇的
oculomotor	眼球运动的
replicable	能复现的
incorruptibly	不被腐蚀地
sketch	拟定
nanjing	南京
camas	北美产的百合科植物
verifiable	能证实的
aneroid	不利用液体的
indistinction	不清楚
brimful	盈满
moneyman	投资者
unbolted	未上栓的
uncontroverted	无争辩的
irrigator	灌注器
slept	sleep的过去式和过去分词
epiclesis	求降圣灵文
tinned	罐头
dlitt	literature/letters
patrol	巡逻
landgravine	领主夫人
meteyard	评价基准
ase	美国证券交易所
mollescent	易软化
hazing	受辱
course	跑道
