dover	多佛
zebec	小型三桅船
intermissive	=intermittent
hefa	Act
intrepid	勇猛的
mistress	情妇
xanthein	黄色色素
slosh	泥泞
unparalleled	空前的
grocer	食品商
glazer	加光工人
transcontinental	横穿大路的列车
sniff	吸气声
loosely	松散
landholding	土地所有的
vernally	青春
la	老挝人民共和国
housewarming	乔迁庆宴
elate	使得意
virilism	男性化现象
untransferable	不可转移的
libido	性的冲动
ssbn	Submarine
put	移动
disturbing	烦扰的
cervicitis	子宫颈炎
rehumanize	使改邪归正
flavodoxin	黄素氧
touch	涉及
sublunar	月下
dlitt	文学博士
unhappy	不快乐的
beachbound	往海滨去的
scalp	头皮
unrig	卸除船上索具
bhc	六氯
obelisk	短剑号
lithoprint	石版印刷
bloodiness	血污
underwater	在水下的
reconcilably	不矛盾
feoff	采邑
unholy	不合理的
flannel	用法兰绒包
llewellyn	卢埃林
providence	神的眷顾
unaccented	不发重音
monition	告诫书
pulldown	折叠式的
sailor	海员
vulturine	贪婪
inconsolable	极为伤心的
paramagnetic	顺磁性的
lamaster	逃兵
unfixed	解脱的
pyrolysis	高温分解
ringway	=ring
millier	ton
doing	干
fuzz	使模糊
pulsate	有规律的跳动
hospitably	亲切
cryolite	冰晶石
nhk	日本广播协会
subdivisible	可以细别
diametric	直径的
radius	范围
chlorotic	变色病的
interlacustrine	湖间
typhonic	台风
vertiginous	迅速变化的
unliquefied	未液化的
eruptive	暴发
devolatilization	液化作用
vehement	猛烈的
begirt	被围的
cryptological	暗号
uncloister	使自由
pretersensual	超感觉的
worthful	宝贵的
hindustani	印度斯坦语
zadar	扎达尔(旧称扎拉
figwort	元参科的植物
limit	界限
aptotic	固定
unstriped	非横纹
flickering	忽隐忽现的
hypaethral	户外
condescension	谦虚
cryptological	暗号的
functionary	官员
autolatry	自我崇拜
schizophreniform	精神分裂症样
pert	无礼的
biosensor	生物传感器
overlay	覆盖
jingling	叮当响
subaquatic	半水生的
sheikh	n教长
indolently	不痛地
bitterly	苦苦地
contretemps	不幸
netlike	形成网壮
imply	意味
cosher	给好吃的东西
unusual	与众不同
incitant	刺激的
alamein	阿拉曼
tedious	单调乏味
incoherence	无内聚力
inadvertently	不注意
pinyin	拼音
dipartite	区分
crenate	圆锯齿状
martially	勇敢
tuc	Union
unsoldierly	非军人
twine	缠绕
ringtoss	投环游戏
inexcusable	没法辩解
overset	推翻
pervasion	渗透
compaction	压紧
expect	期待
gimcracky	华而不实
homologate	批准
rowdyish	粗暴的
ditto	与前同地
septuplicate	一式七分
encyclopaedic	百科全书式
keitloa	非洲犀
by	经
demarcative	分界
fizz	兴奋
submetallic	亚金属
cruiseway	供乘船游览用的河道
parmigiano	用帕尔马干酪调制
zonetime	区时
smack	少量
kk	KK音标
jin	神灵
caver	探察洞穴的人
lopsided	倾向一方
amethyst	紫色
polynomial	由
logarithmize	查对数
conclusion	结束
idc	Internet
trimonthly	每三个月一次
monospermy	单精受精
scissor	剪刀
wobbler	思想动摇的人
glassine	薄玻璃纸
endomixis	内合
galactose	半乳糖
impromptu	未经准备
zooplankton	浮游动物
involute	纷乱
gridder	足球选手
ccsa	Common
romeo	罗密欧
aerotactic	趋氧性
facility	敏捷
ultraminiaturize	使成为tFEraIzd/
tommyrot	瞎说
patternize	把……构成图案
swellish	漂亮
cs	铯
judea	南部
protractor	量角器
mild	淡味的
heartrending	令人心碎
brimstony	似硫黄
gerrymander	为本党利益改划选举区分
operon	操纵子
resupinate	颠倒
martyrologist	殉教史研究者
corresponsively	反应地
hydrofoil	水翼
silvical	森林学
vote	表决
pathogenicity	致病性
autobiographic	自传的
birdie	小鸟
inexactitude	不正确
rsvp	请回复
cragged	峭壁多的
sulphinyl	亚硫酰基
indecomposable	不能分解
kampar	金宝
hyperaggressive	咄咄逼人
kerchiefed	围着头巾的
trunk	树干
joshua	约书亚书
postponement	延缓
jaguarundi	美洲山猫
tcp	/用于网络的一组通讯协议
semicivilized	半文明的
arroyo	峡谷
vsat	Terminal
commissary	委员
wll	Local
gsm	for
moneyless	一文不名
cuspidor	痰盂
gerontophil	嗜耄癖的
yell	呼喊
bitterness	苦味
scapegrace	不可救药的恶棍
stipple	点画
pittypat	劈劈拍拍地
disposal	配置
mischance	灾难
pet	生气
accelerometer	加速计
static	静态
notional	实义
pda	Digital
benne	胡麻子
semispherical	=hemispheric
angiography	血管造影术
lunatic	大傻瓜
conscienceless	没良心
glogg	格拉格
guzzle	喝酒化掉
special	专用的
contrary	执拗
against	逆着
mao	毛式服装
tray	碟
innuendo	暗讽
ludicrous	愚蠢
voltaic	电流
ankylose	使僵硬
bottom	查明真相
alleviative	减轻
garniture	装饰品
undismayed	不泄气的
shit	对……胡扯
gelatiniform	胶状
eminence	显赫
reman	重新获得勇气
ferruginous	铁锈的
latinesque	如拉丁
solaceful	带来安慰
undereducated	未受良好教育
disbursement	支出
japanophile	崇拜日本的人
frisco	Francisco
conduplicate	折合状的
oatcake	燕麦硬饼
co2	二氧化碳
agglutinative	会胶合的
pug	拳师
unspeakably	无法形容地
laver	紫菜类
solar	日光
suited	适合的
couth	有礼貌的
guevarist	格瓦拉主义者
freckle	雀斑
earnings	收入
doeskin	一种类似母鹿皮细软白织品
sequestered	幽静的
sempre	一直
pettifogging	讼棍的
gearchange	lever
bronchogenic	影响支气管的
theist	一神论者
unbeliever	不轻信者
tampan	波斯锐绿蜱
anterolateral	在前面偏一边
oaec	for
adenalgia	腺痛
seabed	海床
tolerable	可容忍的
wallflower	桂足香
executioner	死刑执行人
taking	迷人的
watering	灌溉的
pokey	破旧的
powerpoint	微软公司生产的制作幻灯片和简报的软件
dissector	解剖器
file	列队行进
cymose	聚伞花序
tracheitis	气管炎
zincify	包以锌
cssr	Socialist
experiment	做试验
vdi	Virtual
imbrute	堕落
trichloroacetaldehyde	三氯乙醛
bivariate	双变的
yunnan	云南
strobic	旋转的
tsinghai	青海
cilice	粗毛布所制衬衣
handtailor	定制
menthene	薄荷烯
userid	在电子邮件地址中@符号之前的名称
dead	不流动的
implicit	固有
fairly	清楚
spaniard	西班牙人
restitution	归还
cardiotonic	强心剂
scissile	易裂开
panellist	小组辩论
unsuccessful	不成功
flatling	以的扁平面打击
primitive	原始的
pickwickian	匹克威克的
resist	反抗
cyprian	放纵的
embassage	使命
irrepressibly	无法抑制地
annoyingly	烦人
strychnin	番木鳖碱
jingoism	沙文主义
bargainor	出让人
pgup	pageup
polemical	好辩的
syphilitic	感染梅毒的
getaway	逃走
roubaix	鲁贝
tufty	簇生的
zonta	职业妇女的互助福利俱乐部
musing	冥想的
rerecording	再录音
repressurize	对……再增压
vanadinite	钒铅矿
arras	挂毯
femininely	娇弱
dawdler	游手好闲的人
fibrotic	纤维化
vapidly	无趣地
trotty	快步的
striate	加条纹
sty	猪圈
iodic	碘的
westralian	西澳大利亚的
unforensic	不适于公开辩论
chaste	贞洁的
witch	女巫
varia	杂集
percent	百分数
karman	cannula
nymphomaniacal	女色情狂的
effortful	充满努力的
mating	杂交
isogamy	同配生殖
iontophoresis	离子电渗疗法
elegance	典雅
irremovability	无法移动
sebe	by
nephalist	禁酒主义者
tannage	鞣革
otp	Open
fly	飞越
baskerville	巴斯克维尔体
overnight	整夜
plumbiferous	产铅
neoterize	造新字
glare	闪耀
unpeg	拔木栓
wealthy	富有的
phase	相
tumorous	肿瘤性的
radicle	原子团
joint	接合处
quibblingly	推诿
magnesite	菱镁矿
adas	Development
underpinner	支柱
bimetal	=bimetallic
stiffly	顽固地
slabber	口水
luxuriously	奢侈地
firer	开炮者
wbs	south
praetorian	执政官阶级的人
halfback	中卫
illuminable	可被照明的
rhinoplasty	鼻整形术
somal	神经元体细胞的
tell	传闻
arrogation	篡夺
testudo	保护物
junket	野餐
governable	可控制的
duplicate	复写
verdin	黄头小山雀
when	……的时候
laryngectomize	为……作喉头切除术
expire	终止
frg	Republic
alawite	阿拉维派教徒
exarchate	之职
mnas	National
odorously	芳香地
zoonosis	动物寄生物病
drafty	通风良好
sociable	好交际
cetrimide	溴化十六烷基三甲铵
scalenotomy	斜角肌切开术
endorsement	背书
relatively	相关地
filespec'	NULL)
molecular	分子的
engage	接合
extraparliamentary	国会权力以外的
scapement	擒纵轮
tangerine	橘子
trevira	特雷维拉
unifactorial	单基因的
spadicose	生肉穗花序
defer	推迟
loan	借出
sleepful	睡眠的
custodes	的复数
catty	狡猾
bacillus	细菌
campy	不自然的
aluminothermics	铝冶术
fcis	Chartered
degenerative	退化
economist	节约者
estrepement	使土地枯竭
beluga	白鲸
cryptic	隐藏
fungo	为练习守备所击的飞球
prayerful	常常祷告
image	作……的像
variceal	脉管曲张的
stolidly	迟钝
clarification	澄清
ageusia	味觉的丧失
exteriorize	将器官由腹取出
belgravia	嗜好等
justiciary	高等法院法官
while	一会儿
insistency	强迫
numega	Check的系统软件公司
pyroligneous	焦木
cicala	=cicada
descendant	后代
wise	告诉
bedel	捧持校长权标的属员
rotund	圆形的
accuse	非难
strafford	斯特拉福德
snipe	香烟屁股
sequitur	结论
cowpox	牛痘
functionary	职务的
seromuscular	浆膜肌膜的
diapsid	具双窝
boundlessly	无穷
superpersonality	超人格存在
headgear	头饰
advanced	年老
set	事先做好的
unsocial	不善交际
busily	忙碌地
evadingly	逃避地
voltammeter	电压电流两用表
behaviouristic	行动主义
blur	弄污
antiperiodic	抗周期性病药
frugally	节省地
procellous	狂暴的
pussycat	猫
outshoot	伸出
extract	求根
farinose	具粉的
probabilize	使成为可能
misbound	装订失当的
extrahepatic	肝外
stratovolcano	成层火山
silt	淤塞
caffeol	咖啡醇
sternly	坚决地
corporation	公司
milter	产卵期的雄鱼
devise	设计
tinned	罐头的
synoecete	=synoekete
visitorial	巡察
europatent	欧洲发明专利
streptovaricin	曲线链丝菌素
discrete	不连续
springwater	天然泉水
reasoningly	推论
resplendently	灿烂地
alow	在船底
ashlaring	镶墙石板
gawky	笨拙
wiretapper	搭线窃听者
certain	可靠的
hundredthly	第一百个地
fond	宠爱
braise	炖
feoff	授予封
leadenhearted	没有恻隐之心的
skurfing	=skateboarding
defrock	解除僧职
alfafoetoprotein	=alphafetoprotein
disengaged	闲散的
zigzag	曲折的
labradorian	拉布拉多半岛的
raid	of
reputably	卓越地
corollar	花冠的
ctd	Committee
dissension	争执
skillfully	技术好
sutlej	萨特累季河
paradoxical	荒谬的
rotl	罗特尔
efficient	有效率的
arid	无趣的
bailiff	主管家
considerate	考虑周到
sacrifice	献出
mystery	神秘
eighth	第八
annihilable	可毁坏的
collage	抽象拚贴画
zoom	缩放
unhidden	不隐藏的
shoogle	来回摇
wba	Association
radionuclide	放射性核
marengo	油炸后加西红柿和蘑菇一起炖的
megaric	=Megarian
flecklessly	无斑点地
schooling	学费
parapeted	有胸墙
sigri	炉灶
sustentive	支撑
immunosuppress	咭种萍
undersell	以低于市价售出
gemmaceous	像芽体
unemployment	失业
isometry	等容
diminishable	可缩减
plenism	物质空间论
harmonically	调和
moravian	摩拉维亚的
arbitration	公断
quelea	红嘴奎利亚雀
undignified	不庄重的
animalize	使动物化
shark	骗子内行
intracranial	颅骨内
indistinctly	不明了
civvies	平民
intraspinal	脊柱内
spaceplane	航天飞机
competitory	竞争
dictum	法官的附带意见
reusage	重复使用
miocene	中新世的
flakey	古怪的
stannic	锡
metoestrum	后情期
psid	per
redaction	编写
uncustomed	未经海关通过的
fatten	长肥
tribalism	部落制
knowledgeble	博学
chromophoric	发色团的
biomere	生物层段
cashmere	山羊绒
usable	便于使用
ineluctable	不可避免的
bromidic	平庸
grillage	格排垛
zombiism	蛇神崇拜
wimshurst	维姆胡斯特起电机
umw	Workers
dioestrous	有间情期
casually	随便
ademption	撤消遗赠
coralberry	珊瑚莓果
discommender	反对者
musket	步枪
unconsummated	未实现的
sterling	纯银制
grot	洞穴
contagion	传染病
matchmaker	安排体育比赛的人
introductive	序文
abiogenetic	自然发生
assay	化验
afternoon	下午
wistful	想望
divinity	神性
piscina	浴池
choplogic	好辩
unmoving	不感动人
scirrhous	硬癌
versification	诗律
calcicolous	钙生
ranking	队
worth	值钱
ornithologic	鸟类学
lent	四旬斋
caput	头
cumulus	积云
concern	关系到
depressing	阴沉的
saving	节俭的
peril	危险
ramallah	拉马拉
infant	婴儿的
bibliotheca	藏书
virosis	患病毒性疾病
conciliationism	Ist/
huffish	发怒的
gesticulation	姿势
infernally	可憎
coryphee	芭蕾舞的首席舞手
oblomov	奥勃洛莫夫(俄国作家冈察洛夫
reflorescent	再开花的
corvette	轻巡洋舰
impecuniosity	没有钱
junius	朱尼厄斯
overchoice	过多的选择余
indicial	指标的
atelic	未完成的
coly	鼠鸟
converted	修改的
militarise	军国化
saphenous	隐静脉的
frowst	闷居室内
blaze	公开宣布
selenologist	月球学家
planish	打平
restis	索状体
autochthon	土生的动植物
bondon	软乳酪
crass	粗糙
kingdom	王国
consilient	符合
surveillant	监督
wearily	疲倦
inapparent	不显著的
leguminous	豆科
ground	土地的
sweltering	闷热的
spumous	泡沫状
vsat	Small
euphemize	委婉地说
echinoid	海胆状的
cement	水泥
volley	进行群射
hearten	激励
luxurious	奢侈
sapor	味觉
expect	盼望
felting	制毯法
batman	勤务员
scoline	琥珀胆碱
subaltern	次长
downcast	悲哀的
espousal	拥护
paycheck	薪水
garrison	驻军
locator	土地
linseed	亚麻仁
nonresident	不住在任所的
hors	……之外
winterless	无冬天征象
remittal	免除
luny	=loony
force	力量
pearly	珍珠似
seacopter	水上直升飞机
springer	蹦跳的人
imploringly	恳求地
locky	成束
lodestar	北极星
asianic	小亚细亚的
melilot	草木犀属植物
unidentifiable	无法鉴定的
trisome	三体细胞
garmenture	服装
jams	宽短裤
beloved	心爱的
lanolated	有羊毛脂
autogeny	单性生殖
cementitious	似水泥
extorsively	敲诈地
binary	二元的
scissor	剪取
bacteriostasis	细菌抑制
kreisler	克莱斯勒
indicate	显示
tex	telegraph
felibre	普罗旺斯作家学会会员
copperbelt	铜带
corbelled	以承材支撑
enormous	巨大
dooda	激动
negativistic	否定论
softpanel'	NULL)
propeller	尤指轮船
chenar	=chinar
athambia	沉着
hit	击中
exiguity	些须
honorific	尊敬
caseate	干酪化
dampish	稍湿的
paymistress	工薪女出纳员
amnionic	羊膜的
standing	常设的
meridian	正午
cacodorous	有恶臭
unclimbable	不可攀登
rambling	流浪性
assumingly	无礼地
reexplore	重新探测
solubilisation	=solubilization
offender	罪犯
apices	见
triangulate	对……作三角测量
balladry	民谣
innate	先天
hemipterous	半翅类的
spck	Knowledge
remembrance	记忆力
castalian	诗之泉
vegetal	植物
melodrama	情节剧
hedgepig	棱型拒马障碍物
melaleuca	白千层属灌木
powerfully	强烈
dubitant	半信半疑
homonymy	歧义
irradiation	照射
surname	姓
extra	特佳的
sayest	say的第二人称
morningtide	早晨
diffusive	扩及的
toploftical	=toplofty
bachian	巴赫音乐的
heredity	形质遗传
recollected	冷静
trihydric	三羟的
quizzy	爱打听的
motorial	发动的
commanding	指挥的
babylonish	巴比伦
rational	理性
parky	寒冷
spuriously	伪造
complication	因素
eff	v弄糟
inarticulacy	拙于辞令
decoy	猎鸟时以引诱别的鸟集于一地的真鸟或假鸟
forenoon	上午
miocene	中新统的
qiviut	北极麝牛身上的绒毛
kosciusko	是澳大利亚山脉
trommel	矿石筛
middlescent	中年期的
dialyze	透析
cuso	Canadian
albescent	变白
biodegradable	生物所能分解的
crepuscular	黄昏的
cryptography	密码系统
thievery	赃物
annunciatory	可预告作用
disyoke	使脱离桎
athena	雅典娜
discard	丢弃
land	登岸
uno	联合国组织
patinize	=patinate
towardly	乐意地
legality	合法
polydipsia	烦渴
mohist	墨子信徒
sublimely	卓越地
segregative	易分离
alky	酒精
venerable	庄严
destructivity	破坏能力
ac	锕
psyche	精神
effulgent	光辉灿烂
irremediable	不能治疗
unsmart	不机智
rebeldom	起义者
moslemic	伊斯兰教
tayside	泰赛德区
decreasingly	渐减地
overestimate	评价过高
tartar	难对付的人
aeronautical	航空学的
depositional	沉积
chymic	化学的
nickelous	二价镍的
unaware	没觉察到
sulfamethoxypyridazine	sulphamethoxypyridazine
akala	生于夏威夷的一种灌木或攀藤
illume	照明
bicuspidate	有两个尖头
frank	率直的
extinguishable	可绝灭
recapitalize	调整……的资本
and	然后
standardbearer	掌旗官
anomic	没有目的的
subjectless	无题的
remunerative	有报酬的
ute	轻便小货车
molluscoidal	似拟软体动物
herm	头像方碑
recalcitration	顽抗
jady	如玉
elaborate	精心制作的
slicer	刨煤机
basle	=Basel
nonnegotiable	不可谈判的
cig	雪茄烟
sigmoidoscope	S
objectionable	引起反对
shoddy	假冒的
enslave	奴役
dumbstruck	吓得发懵
pentagrid	五栅管
ranine	蛙科动物的
tricolor	三基色
piglet	小猪
exstipulate	无托叶的
platemaker	制版机
counteroffensive	反击
whisk	扫
voluminous	庞大
sacrifice	祭品
subjoin	附加
footpad	拦路贼
moslemic	穆斯林的
water	使湿
steep	急剧升降
share	分享
overfulfil	超额完成
deserved	当然的
pursuable	可追赶
flaring	花哨的
queue	行列
laxativeness	放肆
fallol	做作
sequentially	继续地
if	要是
guzzle	狂饮
raughty	愉快
accountant	会计师
slowly	迟缓
serpentine	蜿蜒的
evangelism	福音传道
episcopalian	主教派
proficiency	熟练
weathercock	风标
freemasonry	同病相怜
exultant	欢跃
whiff	喷气
postbag	邮袋
direction	方向
paint	油漆
subjoinder	添加的东西
medium	媒体
checkered	多变
description	描述
sheerly	完全
acesodyne	止痛药
uncommunicative	沉默寡言的
abduce	把……引开
hardhat	主张使用暴力的保守份子
depressive	郁闷的
wrinkly	易生皱纹的
tricksy	欺骗
hesitantly	迟疑地
difform	不同形状的
illustrational	举例说明的
straighten	弄直
crustaceous	硬皮
reconvence	再聚会
immediate	知觉
nitrid	=nitride
inorganization	无组织
computerite	电脑技术人员
funky	胆战心惊
greaten	使变大
asset	有用的东西
faulty	有过失
africanism	非洲民族主义
reject	拒绝
astrodome	天文航行舱
footling	愚昧
essentiality	重要性
feeling	富于感情的
serif	衬线
thermolabile	感热的
stouten	坚定
operation	工作
cantonment	宿营地
widest	广阔的
beechwood	山毛榉材
bungler	经验不够的人
avdp	avoirdupois
mcluhanize	使麦克卢恩化
man	雇工
captivation	着迷
great	重大的
usom	美国援外使团
clinometer	倾斜仪
uncontemplated	意外的
betty	贝蒂
phosphomonoesterase	磷酸单酯酶
gertie	格蒂
teletype	打字电报通讯
jeffersonian	Jefferson
insinuating	曲意巴结的
melton	麦尔登呢
unlearned	无学问的
wodginite	锡锰钽矿
crushing	决定性
photophobe	避光生物
gangsterdom	强盗或流氓行为
foremost	最先的
barefoot	赤脚
locomotive	机车
yaud	老而无用的马
dogberry	山茱萸的果实
aryan	雅利安语系的
palpebrate	有眼睑的
extremity	穷困
reprehensibly	应受斥责
christen	命名为
technetronic	电子技术所支配的
attestor	证人
grandfatherly	慈祥
receptacle	插座
hell	狂饮
polyhalite	杂卤石
aggiornamento	现代化
cottontail	棉尾兔
peace	静寂
untearable	不能撕开
drearily	厌倦地
rotissomat	电热轮转自动烤肉器
counterworker	敌手
chivalrous	有武士风度
scholastic	学校的
estate	阶层
arraignment	传讯
race	急流
stadtholder	=stadholder
goggle	瞪眼
innerspring	内装弹簧
triradiate	向三方射出
minbar	敏拜尔
withal	依然
supervisory	监督
immortal	不朽
fighting	战斗
aclinic	无倾角的
queenie	奎尼
internationally	在国际间
shield	遮蔽
jilin	吉林
felonious	重罪的
neanderthaloid	有尼安德特人体形特征
excommunication	逐出教会
bhajan	祈祷歌
victual	给……供应储备食物
perpent	=perpend
violetta	维奥莱塔
chemiloon	连有短裤的女用内衣
filial	子女的
stalactical	钟乳石的
kennel	置于狗窝
pool	池
sclaff	轻拍声
debacle	溃裂
sciurine	像松鼠
tanrec	=tenrec
minuteness	微小
proletariate	劳动阶级
californicate	使加利福尼亚化
warp	使不正常
clamshell	蛤壳式挖泥机
dependence	信赖
successional	连续性的
hallstattian	铁器时代初期文化的
favorite	喜爱的
oppression	压迫
slab	板层
conceptualize	使有概念
osculatory	接触
orbiculate	完整
geat	耶阿特人
olio	杂录
bairam	拜兰节
fireworks	烟火
pocket	据为己有
karma	因缘
yamato	大和民族的
decrease	减少之量
amassment	积蓄
storting	挪威议会
rondelet	短回旋诗体
literalness	无修饰
exploitability	可利用性
polygonal	多角形的
concelebration	共祝圣餐
shameless	不知羞耻的
restlessly	慌张
denudation	裸露
reactance	电抗
anguilla	安圭拉岛
vain	自负
clan	党派
pleonastic	重复
bloodsucking	吸血动物的
procryptic	原隐色
consubstantial	同质的
unorganized	无条理
peg	销子
soundless	无声的
fiche	微缩胶片
jackknife	vi对折
gremial	司教用覆膝盖布
supe	=super
ruthless	残忍
generalizable	可概括
fibrolane	菲帛罗兰
ponce	为妓女拉客的人
coati	长鼻浣熊
enigmatical	不可思议的
nbs	of
washeteria	自助洗衣店
party	党
obtuse	圆头
adverbial	状语
levan	果聚糖
origination	发源
antifungal	抗真菌的
diligently	坚持不懈地
exosmic	渗入
take	占领
sequential	有顺序的
crabbed	潦草的
suzerain	领主
anthroposociology	人类社会学
shortchange	欺骗
una	United
membranate	膜
gax	gaseous
borderland	边陲
trombone	长号
acinaciform	弯刀状
damsel	年轻女人
afterdinner	宴会后的
thunderbolt	突发事件
outrigger	舷外支架
matronly	主妇似的
deathsman	死刑执行人
fany	First
idolater	皈依者
pressure	压力
alabamian	阿拉巴马州
apologist	辩护者
exertive	使努力
laguey	麻烦的
ligamentum	韧带
superdense	超密的
conceptism	警名派
genially	和蔼地
aerify	使气化
ree	筛
doest	do的第二人称单数现在式
conjuring	魔术
euclidian	欧几里得的
satire	讽刺
hypocytosis	血细胞减少
firebox	燃烧室
babbitt	巴比特
baalim	Baal的复数
oreography	=orography
cardiometer	心力计
serac	冰塔
garden	园
intentness	集中
spottiness	遍处斑点
ribose	核糖
spiny	多剌的
ragpicker	拾破烂的人
hexaemeric	创世之六天记述的
undermost	最低地
spyglass	小望远镜
icrp	International
mimicry	模仿
sinaitic	西奈山
unobserved	无人遵守
punctilio	拘泥形式
catchlight	光滑或潮湿面所反射的亮光
stilt	使踏上高
hydromedusan	水螅水母
reportable	可报告
superphysical	超物质世界
alien	外侨
ernestine	欧内斯廷
slipcase	书套
bunch	捆成一束
prior	在前的
frondescence	发叶过程
bribeable	=bribable
phenolase	酚酶
landwind	breeze
indefeasible	不能废弃的
vaticanist	教皇至上论者
flattering	谄媚
superorder	总目
pickax	镐
tundzha	登萨河
nasa	Aeronautics
bulky	大的
leasing	说谎
scuff	以足擦地
run	跑
avowable	可明言
lacunule	小孔
raccoon	浣熊毛皮
deathlike	死了一样的
epiphyll	叶附生植物
bonesetter	正骨大夫
rumour	谣言
transmigrant	迁移者
hypersomnia	睡眠过度
poky	迟钝的
delaney	clause
cover	藉口
demulsify	反乳化
thrust	冲
coronae	光圈
material	肉体的
typhoidal	类伤寒的
triacetate	三醋酸基的
preservatize	用防腐剂处理
temporary	暂时的
uscgr	Reserve美国海岸警卫队后备队
bicorporeal	有两个身体
calloused	变得无情
aficionado	狂热爱好者
anathematise	诅咒
opioid	peptide
picket	放哨
mither	=mother
foist	偷偷插入
daylong	整天的
centrifugalize	利用离心机而分离
syllepsis	一语双叙法
hoop	环绕
univac	Universal
weftwise	纬向
percutaneous	经由皮肤的
microbial	微生物
customable	可征关税的
faultily	有缺点地
pasiphae	帕西法厄
sedimentation	沉降
obvert	将换置
titrimetry	滴定测量
iil	integrated
shall	将
criminatory	控告
egoistically	任性地
infelicific	不带来幸福的
excess	过度
remit	汇款
inedibility	不适于食用
fzs	Fellow
passe	凋谢
monocular	单眼用
covalence	共价
crabwise	横斜
enchantment	魔法
roguish	无赖
dyscrasite	安银矿
savour	品尝
unquiet	动荡
gurk	打嗝
outer	外部
qintar	昆塔
verism	真实主义
wire	用金属丝卷起
impassable	不能通行
couchy	茅草
miraculous	奇迹
ruralise	=ruralize
stownlins	偷偷地
spasmolytic	解痉
trisection	三等分
discarnate	脱离肉体
kasbah	土民区
nodulous	有小瘤的
pronation	手掌向下
underlay	铺在……下面
matripotestal	以女族长为权威的
fricassee	炖重汁肉丁
declaratory	宣言
televisionless	无电视机
abo	土著居民的
antichrist	基督的敌人
halloween	诸圣日前夕
relieve	救济
kanamycin	卡那徽素
reimport	再输入的东西
resiniferous	生树脂的
heartrending	伤心的
uppermost	至上的
poetical	诗
effectually	有法律效力地
laith	不想
wicket	售票窗
flapdoodle	梦话
picketboat	侦察艇
mesocolon	结肠系膜
crannog	湖中人工岛上之住宅
heliograph	照相制版
showman	玩杂耍的人
presternum	胸骨柄
wbs	by
proportionately	相称地
mawsie	羊毛衫
bdtr	Burst
sensualist	感觉论者
scopolamine	东莨菪碱
nummular	硬币形的
demonic	有魔力
kindergarten	初级的
moot	提出……供讨论
telecontrol	遥控
ceriferous	产蜡
queerish	奇怪
neck	脖子
shlock	=schlock
tripleheaded	三头的
lauryl	alcohol月桂醇
largo	缓慢地
addle	使腐坏
beerslinger	酒吧侍者
pelagian	洋面的
quitclaim	放弃合法权利
excoriation	苛责
condensable	可压缩
tricksy	顽皮
lacunose	多孔的
pharmaceutic	调药的
fireclay	耐火土
indefensible	不能防卫
bicorporal	有两个主要部分
wizardly	神汉的
lively	真实的
bridie	布赖迪
oleic	油
ectotrophic	外生
eduction	离析
divagation	误入歧途
sausage	腊肠
pneumatically	由空气作用
whencesoever	无论如何
remissible	可宽恕
nira	全国工业复兴法
mamillate	乳头状的
nonvolatile	非易失性的
lokanta	酒家
cornerways	斜
gushy	流出
kula	库拉
cycas	苏铁
crosscourt	斜线地
whole	全部
embog	使陷入泥沼
uddered	有乳腺
alley	小路
menstrual	每月
trestlework	叉架工程
cragginess	崎岖
impelling	强有力的
nwbw	west
repetend	循环节
sweetening	使味道变甜的物
system	体制
unfailingly	无穷尽地
swash	冲洗
leafleteer	发传单的人
abolishment	革除
collect	集中
fasching	嘉年华会
mow	扫除
babesiasis	焦虫病
dislikeful	令人嫌恶的
hydrometallurgical	9haIdrEJme`tAltE`l\:dVIkEl/adjEdVI/
nongraduate	非毕业生
distress	使忧伤
lightweight	不能胜任者
extravaganza	内容狂妄的作品
cheer	欢呼
lovelace	浪子
reciprocitarian	互惠
impayable	极贵重
drizzly	下毛毛雨
stop	阻止
notarization	公证
atomix	Development
resemblance	类同之处
slab	厚片
lasecon	激射光转换器
temporal	颞
pantomime	舞剧
disapprove	不赞成
bulltrout	鳟鱼
employless	无业
alternate	交替
bernadine	伯娜丁
sixer	得6分的一击
quadrilled	形成许多大小相同的方格
choice	精选
pleurotomy	胸膜切开术
krilium	土壤改良剂
umbrageously	易怒
faggot	束薪
bndd	and
bultery	伙食房
scrupulously	小心翼翼
emblematize	象征
glaucoma	绿内障
ingathering	收入
biradial	两侧辐射对称
att	Telegraph
lop	垂耳兔
interline	印刷于行间
spadefoot	锄足蟾
occident	西方
renew	更新
earthworm	蚯蚓
rigorous	严厉
publication	出版
barrage	阻塞
ecc	Error
vivat	=viva
persecutor	迫害者
peloid	疗效泥
monacid	=monoacid
welter	翻滚
barology	重力论
coacher	教练
hydrophanous	浸入水中变透明
hogwild	如痴如狂的
copyread	对……作文字编辑工作
degressively	递减
isolated	单独
ablactate	使断奶
shophar	=shofar
popinjay	花花公子
timeball	标准报时球
beauteously	美丽地
basal	基础
opaque	不传热
shoulder	侧翼
departmentalise	=lIzEm/
subcaudal	尾下
ebony	乌梅
helpless	无能
fairly	公正
effluvial	恶臭的
enos	以挪士
diseuse	独白艺人
mrbm	missile
commemorative	纪念的
retinued	在随员簇拥下
succous	液的
candied	甜蜜的
ncaa	Athletic
salacity	好色
hitchy	蹒跚的
parhelion	假日
exegetical	解经的
animality	兽性
impedimenta	妨碍行进或运动的东西
marcobrunner	莱茵河流域产的白葡萄酒
