sterling	标准纯银
dualpurpose	肉兼用
venule	小翅脉
laborsome	吃力
sclerous	硬化的
protective	给予保护
dumpishly	愚笨
sociology	社会学
impavid	无惧的
ytterbite	硅铍钇矿
imploringly	恳求
mineragraphy	矿相学
phat	容易排字
regular	经常
dialectal	乡音
sailorman	水手
killing	使人疲乏
muddle	混合
disfavour	不赞成
extraocular	眼外
tipsy	倾斜的
salbutamol	嗽必妥
petite	小
flibbertigibbet	轻浮
railsplitter	劈木头作为栏杆者
avengingly	复仇
manipulation	操纵
guidelines	指导方针
mott	丛林
present	当面
vagabond	流浪者
topmaul	锤
aromatic	芬芳的
reversion	隔代遗传
coalhole	地下煤库通到街上的洞穴
justiciable	可在法庭裁判
preagricultural	人类开始从事农业前的
ippf	Parenthood
censorable	可诟病
basilar	头盖骨底部
salopian	Shropshire地方的或人的
outfox	以计取胜
optional	随意的
investigative	好研究
dateless	年代不详的
morbidly	病态
loathly	不情愿地
are	在
cnd	Nuclear
disturbedly	不安地
helminth	寄生虫
advised	细想过的
gambling	赌博
unentangled	不纠缠的
specific	特效药
worked	作装饰用
cornfed	看来营养健康而带土气的
slicker	骗子
checkstring	号铃索
lacerative	有伤害或撕裂力
demarcative	分界的
penna	廓羽
otiose	闲着的
pendular	摆动
incurvate	弯曲
unapproved	未经批准的
curmudgeonly	不和悦的
veiling	面纱布料
knuckle	指节
undulatory	波动
poseur	装模作样的人
calculated	有计划的
knobbly	棘手的
monogamous	一夫一妻的
ace	欧洲盟军司令部
epistoler	书信作家
blacktailed	黑尾鹿
epigeal	贴地生长
smiley	=smily
epndb	decibels有效感觉噪声分贝
meretricious	适合娼妓的
overtly	公然地
downcourt	前场篮下
maisonnette	小屋
hawash	哈瓦希河
coon	浣熊
tonsilar	扁桃腺
strikebound	因罢工而歇业的
preoral	口前
sunfish	翻车鱼
superduty	超耐用
sufferable	可忍耐
resiniferous	生树脂
cliquy	分为派系
duff	揉好的面团
disclose	透露
dictionary	词典
voltaism	流电
stuffless	单薄
dinaric	Alps迪纳拉山脉
condonation	宽恕
tatting	梭织
gap	裂口
gossipist	=gossip
mshe	of
tup	公羊
snitch	告发者
tetrasepalous	四萼片的
vintage	洒
hyperbolize	运用夸张法
hardy	努力地
ergogram	肌力描记波
flitch	裁成板
squamose	鳞状
bulkiness	笨大
outcast	被驱逐者
redressal	修正
catalepsy	全身僵硬症
assumptive	假设的
luteous	略带绿色之黄金色
catling	两刃切断刀
disconcert	使仓皇失措
instreaming	涌进的
spark	闪光
segue	继续
fatbrained	愚钝
excursion	远足
hypermetamorphic	复变态期
romanesque	罗马式
dyadic	二价
balky	倔强的
huh	哼!
hypopnea	呼吸不足
bastinado	打脚掌的刑罚
burdock	牛蒡属
lacquering	上漆
hydroacoustic	水底传音
scrubby	矮小
iktas	所有物:目前我们所需要的东西全有了
unqualified	无资格的
nasally	鼻地
wanderyear	=Wanderjahr
ceaselessly	不停
truculence	好战
hood	覆盖
bleary	眼睛模糊的
sudamina	汗疹
divisive	区分的
desired	渴望的
aerometer	气体计
lumper	居间人
extensibility	展开性
epigynous	上位
manioc	树薯
edrophonium	氯化腾喜龙
rush	急需的
shift	转移
desiccant	去湿
microassembler	微汇编程序
lowlife	卑劣的人
mainspring	主发条
nailless	不用钉
carboxylate	羧酸酯
prefrontal	前额
viatic	道路的
enterectomy	肠切除术
fruitlessly	无益地
quivery	震动
skip	跳
falsehearted	不忠实的
automata	自动控制
tutti	全体的
conversible	=conversable
nubble	小瘤
fane	教堂
acumination	尖头
nonnasal	非鼻音
pharmacy	配药业
antiozonant	抗臭氧剂
ephemerous	=ephemeral
airbus	"空中客车"大型客机
inaccurate	不准确的
fulmination	闪电
county	县
semifluid	半流质的
responsible	可依赖的
illfare	逆境
plerome	中柱原
interwar	两次战争之间的
preceding	在前的
fenian	芬尼亚主义
tuft	丛生植物
foursquare	正方形
oaten	麦杆制的
senhorita	小姐
cccs	商品信贷公司
blusher	使脸色红润的化妆品
pathbreaker	开拓者
covered	隐蔽着
bleb	水泡
ovoflavin	=riboflavin
balletic	象芭蕾舞
beslave	使为奴
harmless	无害
chine	山脊
overceiling	超出最高限额
chiropractic	脊椎指压治疗法
strange	不惯的
nyse	纽约证券交易所
fenrir	芬里厄
monohydroxy	一羟基
bluebottle	青蝇
spatioperceptual	空间知觉
indelibility	不能消除
pedunculate	有花梗的
rentable	可出租
forcibly	硬
intomb	埋葬
chaff	谷壳
tobacco	烟草
obstinate	顽固的
pruinose	覆盖白粉的
limation	抛光
olfactory	嗅觉的
solutrean	梭鲁特期的
crudity	生硬
textured	有织纹的
clavate	棍棒状
rift	不和
unphysiologic	生理上不健全
anticyclone	反气旋
newfangled	新奇
froghopper	沫蝉
adversely	逆
cooperation	协作
marking	记分
supposititious	想象的
podzolization	灰壤化作用
maduro	色深味浓的
laccolith	岩盖
breccia	角砾岩
trimmer	整顿者
woodenly	呆板
newfashioned	新款式
counterplot	对抗另一计谋的计谋
enophthalmus	眼球内陷
hemmer	缝边器
loon	懒人
redware	红土陶
gyrate	旋涡状
zoroastrianism	明教
marionette	牵线木偶
asbestic	=asbestine
otb	场外赛马赌博
prad	马
costive	沉默寡言的
upstand	竖柱
petroliferous	产石油的
climber	登山者
exit	离开当前命令行外壳
yawata	八幡(原日本九州岛北岸港市
panopticon	圆形监狱
unidentifiable	无法辨认的
arbitrational	关于仲裁
prolixity	冗长
bat	蝙蝠
royston	冠鸦
bootmaker	靴匠
kitty	Kitty
outbound	开往外国
hemishere	地球的半面
craftily	狡猾
semitone	半音程
refraction	折射
symbolistic	象征主义
abherent	信徒
avascular	无血管的
academe	学术界
expositive	解释
subregion	亚区
redemandable	再要求的
rehear	再审
baloney	大香肠
satiation	使饱足
antichloristic	阴氢剂的
transit	运输线
ornamentation	装饰
superduper	非常好的
subordination	次要
computator	=computer
footle	傻事
inviolateness	无污点
underlay	垫起
waste	浪费
weekender	周末旅行者
complement	补足物
maris	玛丽斯
ballproof	子弹打不穿
chill	寒意
scheme	图解
aok	一切正常
deterrable	可制止
rampart	防卫
diverticular	支囊
enable	授予权利或方法
selfless	无私
vizier	维齐尔
campy	装模作样的
vagotomy	迷走神经切断术
blanky	比blankety
mothy	多蛾的
ur	吾珥
set	固定
volcanoclastic	=volcaniclastic
electrokinetic	动电学
rail	以横木围栏
campanulaceous	吊钟花科的
rancherie	居留地
begird	围绕
decillion	decillion的
kiang	西藏野驴
depasture	放牧
nectared	甘美的
benchboard	控制盘
frankfurt	法兰克福香肠
lacune	洼地
fail	忘记
lushly	多青草
emotively	动情
glucosan	失水葡萄糖
fontina	意大利果仁味羊奶干酪
fingerful	一点儿东西
limitless	无界限的
debouche	出口
unreasonable	不讲道理
shellheap	=kitchen
brownware	棕色陶器
atlas	地图
tumultuary	混乱
nulliparous	从未生育过者的
nooky	多角隅的
skip	跳读
debark	卸载
sure	的确
brassiness	黄铜
validly	妥当
proteide	蛋白质
chagigah	祭品
hermitship	隐居
bicoastal	大西洋和太平洋东西海岸的
telefilm	电视影片
effeminacy	柔弱
fairyism	仙气
whoopee	狂欢
draft	为……打样
invidious	易招嫉妒
astonished	惊讶的
adumbrative	暗示
fibrous	含纤维
corded	用索子捆扎的
igneous	火的
mancunian	曼彻斯特
plo	Organization
ripe	成熟的
mysid	糖虾
nukualofa	努库阿洛法
thrust	强加
unwatered	未浇水的
monophysite	基督一性论者
stabbing	伤感情
armipotence	军备充实
inseparate	不分离的
doghouse	犬舍
brutal	残忍
inconsolably	无法安慰地
triable	可判定的
sawder	花言巧语
female	柔和
interlard	使混杂
sting	刺激
eec	European
rocambole	小蒜
elegiac	挽歌的
gynaecoid	似女性的
immunocompetence	9ImjJnEJ`kCmpIItLns/n免一钚
scuzzy	阴暗
lsv	surface
cromer	克罗默
autarkist	自给自足主义者
rectifiable	可纠正
panchromatic	全色的
fanciness	空想
narcissistic	自我陶醉的
jemadar	尉官
unlearned	没有文化的人们
dunderpate	大傻瓜
heel	脚后跟
antimonial	含锑的
acinus	小核果
wheatworm	小麦线虫
fullmouthed	大声
surely	的确地
overwhelm	受打击
catalepsis	全身僵硬症
cracky	多裂缝的
insensibly	极微地
chuffy	不高兴的
stealing	贼赃
puristic	用语简洁
activity	行为
pledge	抵押
qda	agreement大量折扣协议
exoteric	一般人所能理解的
affreighter	租船运货
bushy	灌木茂密
autoclave	高压锅
agrestial	农田中野生
slicken	擦亮
northerner	北国人
homozygotic	纯质性的
scent	嗅猎
clavicle	锁骨
mts	机器翻译系统
lateral	横的
spiritualist	唯心论者
rail	抱怨
barbary	北非伊斯兰教地区
partner	舞伴
sifter	筛子
lovelorn	害相思病
pyrotechnic	烟火的
heavier	巨大
samos	satellite
landtax	地租
agony	极大的痛苦
antifibrinolysin	抗血纤维蛋白溶酶
monophoto	莫诺照相排字机
galwegian	加罗韦的
infant	幼稚
atmospherically	由大气压所致
biltong	干肉片
pulley	滑轮
proportional	成比例
cacti	仙人掌
zaniness	疯狂
block	块
cranky	摇荡不稳的
wet	湿的
ubiquity	到处存在
rbe	biological
deliberative	协商
spado	无生育能力的人
fidelista	支持菲德尔·卡斯特罗者
victual	吃
hydrodynamicist	流体动力学者
mummer	伶人
abiochemistry	无机化学
hypergolic	自行着火
flatwoods	低洼地区的树林
comtian	实证论
without	在屋外
hyperphysical	与物质无关
premonstratensian	普雷蒙特雷修会的
psittaceous	鹦鹉
carbonaceous	碳
liege	臣民
townswoman	女同乡
irreparability	不可修补
sexism	蔑视女性
gaullist	戴高乐主义者
fall	垮台
thali	大浅盘
psychotic	精神病患者
airsick	患航空病的
rattly	吵闹
destain	退色
kep	篮子
smart	聪明
ectohormone	外激素
residue	剩余物
birch	桦树
premo	多媒体对象表示环境标准
microparasite	微寄生物
unhang	取下
fosbury	背越式跳高
killfile	可以过滤UseNet消息的文件
irresoluble	不能解释
milan	米兰
whistle	汽笛声
boisterous	喧闹的
drysalter	干货商
tucket	喇叭调
geoponic	农业
iamap	Physics
rhombohedral	斜方六面体的
loose	散漫
humourously	滑稽
subdeacon	副助祭
prelexical	词前
reviewable	应检查的
nondestructive	非破坏性的
aaup	Professors
dna	脱氧核糖核酸
sacrifice	供奉
chinanet	中国邮电部建设的公用主干网
shin	胫骨
dense	密集的
project	发射
landslip	地滑
plus	加上
larker	嘲弄者
positive	积极
thievish	偷偷摸摸
puppetry	傀儡
naphtha	石脑油
breakup	完结
requite	报答
creditable	可信的
manhelper	漆刷加长杆
exceed	超过其他
photography	摄影
former	模型
sportfishing	垂钓用
pizzazz	=pizazz
rare	稀罕
fascinating	醉人的
maidenly	适合于少女的
kanaka	夏威夷及南洋群岛的土人
disinfection	消毒
penitential	忏悔的
wysiwyg	You
trivial	微不足道的
bourree	法国十七世纪活泼的奥弗涅舞蹈
blastocele	分裂腔
fuegian	火地岛
scholarship	奖学金
ornithorhynchus	鸭嘴兽
bacchantic	崇拜酒神的
homozygously	纯合子地
slack	软弱的
sunfall	日落
monastical	出家
longeron	纵梁
pneumatolytic	气成
endoscopic	内窥镜检查
teleutospore	冬孢子
biennial	二年生
sough	飒飒声
dehydrocanned	脱水装罐头的
lavvy	盥洗室
whisper	低声说
bewitching	使人着迷
disunion	分裂
concent	答应
tokomak	=tokamak
piggish	猪一般
mib	Management
cragged	岩多
keap	扣留
pelagian	洋面
pull	拉
upshift	加速
grasping	抓的
magnetogasdynamic	mA^`ni:tEJ9AsdaI`nAmIk/
undefendable	无法防御的
civet	香猫香
entry	登录
histrionic	戏剧的
epidural	硬脑膜外
ecclesiastes	传道书
chiefy	空军上士
nonclaim	在期限内未提出要求
involucrate	有总苞
biowarfare	=biological
malaguena	其舞曲
target	对象
savourless	缺少风味的
peculiar	特殊的
germanist	德国文学专家
fallacious	使人误解
doohickey	装置
oddly	古怪
novillo	小公牛
subpolar	近极
typeface	打字机字体
panzer	装甲
jmb	Board入学考试联合委员会
extortive	敲诈
sakellaridis	萨克拉里德斯棉
vivific	使生动的
listenership	听众
jauntily	高兴地
conversation	交谈
revisionary	校订
pelagic	浮游的
ramshorn	扁卷螺
affect	感动
unclog	使畅通
castiron	健康的
standfast	固执的态度
exclaim	惊叫
avariciously	贪财地
undoubled	展开
configurate	使成形
rasped	易怒的
fright	惊骇
affinitive	密切相关的
obstreperous	任性的
underthings	内衣裤
nonflying	不能飞
doorman	看门的人
overbrim	使满出
reappraise	重新评价
gastrectasia	胃扩张
carry	运载
eprom	可擦可编程只读存储器
bec	bachelor
cyanurate	氰尿酸酯
provisionality	暂时性
assify	愚弄
slopewash	斜坡冲刷物
idle	无价值的
outward	公开
lpg	Gas
eyeservice	尊敬的眼神
juju	符咒
pundit	梵文学家
sourly	酸酸
clon	=clone
scherzando	戏谑的
haulageway	道
variorum	有诸家注解的
briskly	精神勃勃
passably	也还过得去
apodous	=apodal
bajan	巴巴多斯人
seedy	褴褛的
lawk	糟了!
upland	高地
councilor	议员
defensive	自卫的
untamable	难驯服的
hit	袭击
phyletic	种类的
rule	水线
sinologue	汉学家
qarnns	Naval
merohedral	缺面
usable	可用的
great	非常
enforceable	可强迫的
labradorite	富拉玄武岩
petty	小型
lustreless	平淡乏味的
acrostic	离合诗
compelled	强要
swink	苦工
bate	抑制
primitive	粗糙
nonnasal	非鼻的
mormon	摩门教徒
cecrops	刻克洛普斯
villainous	坏人似
narcissistic	自恋的
echo	反射
reconveyance	送还
corroboratory	确定的
haemostatic	能够止血
rotuma	罗图马岛
rostellate	有蕊喙
oscular	接吻
fumarate	延胡索酸盐
anthropological	lly//
cobbly	用鹅卵石铺的
ruridecanal	乡村主任牧师
ingressive	进入的
jocularity	戏谑
termly	定期
vendible	可被普遍接受
acuate	尖
unhuman	非人类的
gruesome	可憎
vernal	和煦
vomerine	犁骨的
physical	身体
dominion	控制
remittent	弛张热
stacte	制造香料的没药
disappreciation	低估
malconduct	恶行
vbscript	Visual
copyboy	送稿件的工友
torpedo	用鱼雷进攻
adios	一路平安
storewide	包括店内全部商品
halophyte	盐土植物
coxcombical	浮夸的
litigiosity	好争论
sick	厌恶
tittivate	装饰
handicap	使不利
toothcomb	缜密调查
chip	削成碎片
settler	托管财产者
infinitude	无限之物
euphausid	磷虾目浮游甲壳动物
paradoxical	荒谬
tumbrel	施肥车
feasible	可行的
unknowing	没查觉的
nonadmission	不接纳
lophodont	脊齿型
cerebrotonic	表示大脑紧张型特性的
prohibit	禁止
dysteleologist	无目的论
nidificant	筑巢
worthless	无益的
narrater	叙述者
accordionist	手风琴师
linguini	扁面条
polyptych	多联画屏
caesarism	专制政治
programme	编程
tapeti	小野兔
spacer	逆电流器
milanese	米兰
wmo	World
rvsvp	s''il
jacobus	James
turncap	旋帽
bufflehead	小鸭的一种
mastoid	乳头状的
thelitis	乳头炎
uropygial	尾臀
lagune	泻湖
foil	烘托
nephelite	=nepheline
deplumation	换羽毛
kemalist	基马尔式的
swagger	虚张声势吓人
uncomely	不正派的
klutz	笨手笨脚的人
banderol	飘带
profluent	平稳流动的
jollily	愉快
mossbunker	=menhaden
tridimensional	立体
ballistically	发射地
extensible	可扩张的
fill	供应
dmd	牙科学博士
rbe	effect
odense	欧登塞
diametrically	直接
millionairess	百万富翁的妻子
kwangju	光州
msgm	Science
cabrilla	热带海水鲈鱼
lenience	仁慈
attend	出席
valiant	英勇的
reliquary	圣骨匣
ecogeographical	生态地理
lop	闲荡
liquor	喝酒
noisome	有害
exclusion	被排除在外的事物
overblouse	女式长罩衫
jsp	Page
auric	正金的
narcose	昏迷
fillet	用带缚
unhired	未租入的
unsought	未寻求的
ozonide	臭氧化物
exegetical	解经
welsh	逃避食言
affection	倾向
cutaneous	影响皮肤
outwit	瞒骗
dll	动态链接库
wildflower	野花
crush	压碎
kermit	由哥伦比亚大学设计
lactoproteid	乳蛋白质
cave	洞穴
masticatory	咀嚼用的
flocculous	像毛状物的
spoony	傻子
planes	位面
incisive	深刻的
fiction	虚构
scenic	戏剧性的
ulan	=uhlan
derange	扰乱
refractile	能折射的
evadingly	推托地
unploughed	未犁过
segetal	在谷类田间生长的
generic	普通的
sexualize	使有性关系
choleraic	霍乱
cist	用来装圣器的箱子
herder	牧者
impressionistic	印象主义的
herbivorous	食草的
pfc	private
discussible	可议论的
implacental	无胎盘动物
bromo	止头痛药
indicate	简要地说明
undeflected	不偏离
sauceboat	船型酱油容器
deride	嘲笑
deflationary	放出空气的
abreaction	消散
concerted	协定的
holothurian	海参
reconcilability	一致
equimultiple	等倍量
iaz	artillery
aristotelean	思想偏重于实际之人
uricosuric	促尿酸尿
aboriginal	原来
bowlful	一满碗
breton	法国布里多尼地区
diallage	异剥石
sidebone	叉骨
gnathitis	颔炎
rtl	Resistor
flix	海狸绒
censorable	须受检查
uniparental	单亲
when	什么时侯
chargeable	可充电
canonicate	牧师或僧侣之职位
flavourless	无味
flexuous	动摇不定的
antimonic	含锑的
corvet	驱潜快艇
hhfa	Agency
acne	痤疮
ochreous	含赭石
arithmancy	数字算命法
coward	胆小的人
buhr	细砂质磨石
frantically	疯狂似
idle	不作事
pathfinder	探险者
duplicity	不诚实
returnee	回国人员
habited	穿着法衣的
monophonematic	单音位
pastis	法国茴香酒
catgut	肠线
agoing	在进行中
bandstand	演奏台
polycistronic	多顺反子性的
grinder	脱衣舞女演员
sneezy	引起喷嚏的
lps	Privy
undistributed	未分发
fido	业余爱好者网络
crocky	老朽
elaborately	精巧
thuriferous	产乳香的
moronity	低能
carline	老太婆
jeez	呀
figueras	费卡洛斯
unnumbered	未编号的
billingual	北京双语教育电子有限公司
khalkhas	柯尔克孜族
tandoori	唐杜里烹饪法
birdy	如鸟的
hectic	狂热
glimpse	一瞥
sleighing	橇运
shush	嘘!
chessman	棋子
executive	实行
aggressive	敢作敢为
morning	上午
pickeer	搜索
repugnant	不一致
annectent	连接的
partnership	合伙契约
flickery	闪烁
astigmatic	纠正散光的
modeling	建模
amercement	罚款
praxis	实习
buzz	逼近
concentricity	集中性
dead	完全地
denicotinize	除去尼古丁
lordship	贵族身份
file	文件
opponent	对抗
reciprocate	互给
anoint	施以涂油礼
leary	空的
intracranial	头颅内的
catalyzer	催化剂
unphysiologic	生理上不健全的
consecrated	被视为神圣
adsorbability	吸附力
brimless	无边
whoredom	卖淫
music	音乐
table	制表
peitaiho	见
mistress	女主人
mnas	Sciences
visitator	巡查员
deltoideus	=deltoid
pop	枪击
spindle	装锭子于
percipience	知觉
totter	踉跄
spread	敷
spectroscopy	分光镜使用
imputable	可归因
affirmatory	承诺
clearsighted	聪明的
nondefense	与军事防御无关
statistic	统计
quirky	诡诈
micritic	微晶灰岩含量高
pogo	该游戏的工具
zinky	含锌
evolving	进化
kick	踢
navigate	航空
hepatocele	肝膨出
fieriness	火性子
lumpenproletarian	`lQmpEn9prEJlI`teErIEn/
lateritization	=laterization
starveling	挨饿
laughton	劳顿
sesquipedalian	多音节
vote	公认
unordinary	不普通
tortilla	玉米粉圆饼
matrilocal	入赘
relativize	使相对化
illative	推论
cbu	bomb
attributive	归属
harsh	粗糙
heresy	异教
preventable	可预防
quirk	怪癖
amole	皂用植物
cowshed	牛棚
nervine	有镇定作用
transpiration	蒸发
manorialize	置……于庄园制度下
scrubboard	洗衣板
lockage	水闸的构筑
last	最近
peak	消瘦
wisteria	柴藤
hemosiderosis	血铁质
interlingua	国际语
flavourful	有香味
boozeroo	简陋的小酒店
film	影片
criminaloid	本性有犯罪倾向之人
page	页
telecommunication	电讯信局
cylindrical	圆柱的
myxoedema	黏液腺瘤病
derivation	引出
varuna	伐楼拿
receivable	可接受的
shoreless	无法上岸的
hyenoid	像土狼
dentary	牙齿的
phylogenic	动植物种类史的
ulterior	将来的
interstellar	星际的
colette	科莱特
locky	成束的
argumentum	论点
bowsprit	船首斜桅
sublunary	月下
milchig	乳制品的
impersonify	=personify
salina	盐碱滩
mediaperson	通讯员
intended	已经订婚
heavy	大量地
basal	基本的
disoperative	阻碍的
bangladeshi	孟加拉国的
spider	蜘蛛
anthrosphere	人类活动圈
darner	缝补台
hit	打中
crenated	圆锯齿状
upwafted	被托起的
strain	过度的疲劳
idiomorphic	自形
regretful	遗憾的
oary	有桨
inflectional	屈折的
anomie	社会的反常状态
bivariate	双变
olympic	奥林匹斯山的
astrut	趾高气扬
fragment	片段
distress	危难
notional	想象
cooking	烹饪
statuesque	雕像般的
quinquepartite	由五部构成
acknowledge	承认
holistic	全盘的
epiphenomenalism	副现象论
sculk	=skulk
manstopping	大威力
epicurean	享乐主义者
nauseating	恶心
ioc	Committee
howbeit	虽然
translunary	虚构的
noncommunicable	不会传染
phagocytosis	噬菌作用
elint	电子侦察所得的情报
punctulated	有细孔
biocoenosis	生物群落
whittle	削
vitaceous	葡萄属植物的
amortization	摊还
inedita	未发表的文学作品
incendiarism	煽动
uddi	Description
glooming	怒容
sba	Business
frondage	茂盛的叶
petrographical	岩相学的
rickety	患佝偻病
prohibition	阻止
lcm	Lowest
learned	学术上
vulgate	通行
plantigrade	踯行动物
inconscious	无意识
lymphad	单桅单甲板平底船
windbaggary	夸夸其谈
sodwork	草皮建筑物
crush	压服
hih	His
picaroon	做海盗
reflector	反射体
pondok	芦棚
malpais	熔岩区
brainless	无头脑的
unscrupulously	不客气
scheme	计划
unco	奇怪
illness	疾病
eponym	齐名的人
zincoid	锌的
wanderer	迷路的动物
trillionth	第一兆
socialistic	社会主义
clumsiness	笨拙
dakoit	强盗帮员
adapter	适配器
denasalize	使鼻音减低
frondent	叶子很茂盛的
aproposity	巧合
sporangium	芽孢囊
aew	early
stygian	狱
vorticular	=vortical
fidelism	=Fidelismo
perivascular	血管周
lip	嘴唇
semiography	=semeiography
demystification	非神秘化启蒙
bdtr	Rate
perfervid	非常热心的
spermatogonium	精原细胞
blunderingly	粗笨地
salacity	猥亵
hygrometric	测湿
start	削减战略武器条约START
carotenoid	类胡罗卜素
smack	拍击
aurelian	蛹的
duskily	微黑地
creedal	信条
hemiolia	三比二
wile	欺骗
faultfinder	挑剔
cartagena	喀他赫纳
inoxidized	未经氧化
key	栓
funny	古怪
lacedaemonian	古代斯巴达的
professional	自由职业者
rigorous	严酷的
tricorne	三角的
hmas	Ship澳大利亚皇家海军舰艇
hexahydroxy	六元的
knit	密接
unvouched	未被证实
ncv	c
raza	种族意识
lancet	小刀
zootomy	比较解剖学
runout	避开
streamy	多溪流
weave	迂回行进
ohioan	俄亥俄州
husky	谷
overlying	overlie的现在分词
tom	雄猫
moot	无实际意义
weak	虚弱
pemmican	干肉饼
ballonet	气囊
latterly	后来
catoptric	反射的
region	区域
worldbeater	举世无比的人
tumidness	突出
kil	公里
brunch	早午餐
detector	发现者
synthetical	综合
slaver	流涎弄脏
unhallowed	不圣洁
isallobar	等气压图
flitch	料板
comparison	比较
probusing	赞成用校车接送
dicty	时髦
latticing	装格子
preggers	怀胎
raises	加薪
bim	Management
zedonk	斑驴
hemiolia	黑米奥拉比例
mhs	Message
feed	饲养
durable	耐用的
mammalia	哺乳类
aeon	万古
scribe	作者
pembrokeshire	彭布鲁克郡
sufism	苏非派禁欲神秘主义
unfleshly	精神的
towardly	有希望的
reviviscent	复活的
anesthesia	=anaethesia
hmf	Forces英国军队
eusol	优苏
unfed	未得到支持的
mystical	神秘
spasmic	=spasmodic
hydremic	稀血症的
canterer	慢跑之动物
carnation	荷兰石竹
runback	持球跑动进攻
direct	直率
metainfective	传染后的
naevi	痣
polyclonal	多元性繁殖系的
pontoon	架浮桥于
slavish	卑屈
expedite	畅通
hex	十六进制
majestic	宏伟
dislikeful	讨厌的
whoseso	whoso的所有格
farmisht	糊涂
encore	再演唱的要求
traducian	=traducianist
swordbill	刀嘴蜂鸟
radiculose	有很多细根的
rite	教派
alluvium	淤积层
caprylic	羊脂酸的
gravitino	引力微子
salivous	唾液的
sophisticate	久经世故的人
maidenlike	像处女的
cuprous	亚铜
unrestrained	无限制的
muckle	多量
swathe	包装品
guileful	诡计多端的
natural	简单自然的
russet	赤褐色的
unfadingly	不褪色
hesperidium	柠檬果
plainstones	扁石
accidentally	意外
misguide	误导
sole	唯一的
quiesce	静默
decorous	有礼貌的
perrier	毕雷矿泉水
andante	缓慢地
hokey	做作的
lappic	拉普兰语
molecularity	分子状
russophobe	惧俄者
toynbeean	汤因比历史观
silicic	硅的
blackhearted	心肠黑
ethene	乙烯
limit	限定
azedarach	楝树
insistently	强求
impenitent	不悔悟的人
daffadilly	水仙
mmf	force
ravelin	半月堡
rootle	用鼻尖挖掘
blocking	模块化
baume	波美比浮计的
oneself	亲自
matchmark	装配标记
repulsive	严拒
ionopause	电离层顶
levy	征集
enduringly	耐久地
embroil	使卷入
winning	得胜的
infective	影响别人的
gnarl	咆哮
desponding	意志消沉的
fhwa	Highway
lexiconize	编辑的辞典
rumination	反刍
veiled	隐藏
bernicle	goose欧洲黑雁
unshaped	未定型
dead	废弃了的
guttiferous	产树胶的
wink	使眼色
petrol	汽油
malice	恶意
surely	确
paunchy	大肚子的
wired	以线加强
esl	language非母语英语课程
approximator	近似者
cerebral	脑的
cramp	以铁箍扣紧
ahem	啊咳
amoral	超道德
gag	箝口物
phonotactics	音位结构学
titlark	云雀之类
unhcr	Refugees
contrastive	对比的
treat	谈判
hydrometeorological	/
empyrean	最高天
spiritualization	神灵化
trumpeter	号兵
bond	债券
clincher	紧钳
neglige	家常服
cisalpine	其南侧的
remissness	不小心
fifa	de
chlorophyllite	绿叶石
service	仆人的
ontogeny	个体发生
irresponsibility	无责任
enticing	引诱
landwards	向陆地
halfway	中途
superintend	指挥
pathoneurosis	病位性神经症
marburg	青猴病
punjabi	Punjab
aim	打算
dye	染料
shave	刮
heeled	带手枪的
repulsive	排斥的
shred	最少量
probationership	缓刑期间
flank	侧翼包围
allegorize	寓言化
rosewater	有玫瑰香水味的
intrant	入学者
westward	西方
deplethoric	体液缺乏的
cottonpicking	剥棉籽乡亲联谊会
meany	刻薄鬼
advocacy	辩护
unthinking	未加思虑
gallantly	献殷勤地
heteropolar	有极
entrain	产生
clinical	临床
portfire	点火装置
diptera	双翅目
kinglessness	无君主
pleuroperitoneal	胸膜腹膜的
sextuple	由六个部分构成
fade	平淡
coyote	山狗
ladybug	瓢虫
insusceptibly	不受影响地
genetics	遗传学
dona	太太
tuberculoid	结核样
dateline	日界线
yamma	美洲驼
stuporous	不省人事的
usurper	篡夺者
faultfinding	找茬子
insymbol	内部符号
atapi	Packet
liebfraumilch	莱茵白葡萄酒
musketoon	短滑膛枪
primitive	简单
plan	设计图
unshifted	未更换的
assertory	断言的
oofy	有钱
aram	Associate
preclassical	古典期前的
expatriation	放弃国籍
middlescent	中年
hydroid	水螅虫的
countrymen	同胞
bahai	巴哈教
way	远远地
menad	心情暴躁的女人
uncondescending	不俯就
optional	可选择的
historiated	=storiated
tannish	浅棕色
suxamethonium	琥珀胆碱
stodginess	笨拙
mastigophoran	鞭毛虫
discipular	追随者
ponder	沉思
chicklet	姑娘
vulturine	秃鹰似的
superradiance	超发光
wold	无树木的山
optics	光学
recuperative	使恢复的
idioplasmatic	细胞原质
embassy	大使及其随员
favorite	幸运儿
skeletonize	节略成概要
emergent	自然发生的
opposed	敌对的
jd	Juvenile
fifa	国际足球联盟
marsh	湿
heeled	带着钱的
yardman	园丁
equatorward	朝赤道方向
autodial	自动拨号
iffy	有问题
eudaemonic	幸福
vive	活泼
waxlight	蜡烛
caustic	刻薄
reable	使复原
privity	私下知悉
multigerm	多胚芽的
sniffable	可吸入
buckhound	猎犬的一种
incorporable	可结合
paced	步伐
springhalt	跛行症
workload	工作量
charming	迷人
chrestomathy	读本
bulldozer	推土机
cipher	密码
vision	幻想
aeromedicine	航空医学
calendric	按日历
vizagapatam	=Visakhapatnam
absentee	未上班者
fairness	清晰
peck	配克
blustering	狂暴
extemportize	演唱
aesculin	七叶树素
