caudillismo	军事独裁者的统治
teratogenesis	畸形生长
gadsbodikins	温和的诅咒语
multienzyme	多酶的
bib	围兜
ensepulchre	埋葬
wb	World
phosphopyruvate	=phosphoenolpyruvate
awag	摇摆
lingam	男性生殖器像
atom	原子
traditionarily	传统上
paradox	自相矛盾的话
deice	防止结冰
disruption	破坏
orgiac	=orgiastic
debt	债务
elementary	初步的
samarinda	三马林达
chaff	愚弄
expositive	说明
obsolescent	荒废
crafty	善于骗人
execratively	憎恶
subgroup	给……加副标题
plantigrade	跎行
unselective	没有选择性
intactness	未受损伤
directorate	董事会
shroud	用裹尸布裹
since	既然
pedodontic	儿童牙科
unloved	未被爱
mancunian	曼彻斯特的
misspelt	misspell的过去式及过去分词
spendable	可使用的
morphine	吗啡
punk	低劣的
eyeless	盲目的
voyeurist	窥淫癖者
muteness	无言
sunrise	日出
closefitting	紧身的
bewitching	迷人
pushiness	一意孤行
quaestorship	刑事推事之职务
fratry	僧院中之餐厅
criminative	控告的
stray	偏离
chromotype	着色石版图
hotly	暑热
pathologic	病理
ayrshire	该州产的乳牛
wive	娶妻
neanic	青年期的
naughty	不适当的
effectuation	实行
needlefish	颌针鱼
either	每一方
bureaucratism	官僚主义
noctilucent	夜发光
psychrometer	干湿球湿度计
strain	张力
substantiality	实在性
prune	剪除
gentlest	优雅
ecclesia	古希腊城邦的国民大会
albuminoid	蛋白质的
lavabed	熔岩层
geist	理智感受性
upward	声高的
regardlessly	不受注意地
edemata	edema的复数
dexie	右旋安非他明药片
larvivorous	以幼虫为食
instructor	讲师
pitchy	沥青的
investitive	赋予
matador	斗牛士
strain	尽力
crepuscular	微光
fissile	易裂的
drayage	运货马车运送
seam	接缝
takingly	迷人地
showfolk	文艺界人士
underage	久缺
resonantly	反响
exosphere	外大气层
image	极为相象
nintendo	任天堂
preludious	=preludial
photoperiod	光周期
pendeloque	鸡心形垂饰
vitriolic	讽刺的
inconsistently	不一致地
nonconductor	绝缘体
superincumbent	横在上面的
gal	少女
aerogenically	产气
predicative	肯定
irdp	Discovery
triplicate	三乘
trinitarian	信仰三位一体的
besot	使沉醉
inexhaustible	无穷无尽的
impeccant	无缺点的
wittily	机敏
untamed	未驯服的
garrison	驻防
citybred	在城市的
sternly	严厉地
forcibly	强制地
verbatim	逐字地
semisolid	半固体
unvexed	镇静
kidnapee	被绑架的人
august	威严
diffusedly	散布
kooky	乖僻的
silentious	沉默寡言
elm	榆树
slough	在泥浆中跋涉
newsgirl	女报童
dispersion	驱散
umbilical	母系的
immersible	可没入
mildly	略微
hydremia	水血症
equational	方程式
agreeably	欣然
aslant	倾斜
aphis	蚜虫
rhonchi	鼾音
intuitional	直觉的
mopus	es)
qda	discount
expensive	花费
notion	主张
siva	湿婆
futuramic	设计新颖的
katydid	纺织娘
snooze	懒散地打发日子
epidermization	皮肤移植法
midst	在……中间
apriority	先验法
supermassive	特大质量
renitent	僵硬
zonked	吸毒而恍惚
nanofossil	=nannofossil
phleboid	静脉的
freak	怪诞的思想、行动或事件
purpuric	有紫色
aureate	灿烂
hairdress	=hairdo
introductive	前言的
commercialese	商业用语
rhodoplast	藻红体
icaaaa	Intercollegiate
conspire	阴谋
looky	看
dead	呆板的
calkage	塞船板隙缝用的材料
arousal	激励
greensickness	黄萎病
sazerac	萨泽拉克鸡尾酒
marxize	使马克思主义化
microsection	section
cheerily	快活地
salvageable	可挽救
exopoditic	外肢节的
reservedly	隔阂地
fusible	熔解
jesuitical	耶稣会士的
ocher	黄土
fool	愚人
complete	完全
dissolvent	溶剂
vlaie	池塘
informant	密告者
surgical	外科的
excellent	极好的
commeasurable	可成比例
removable	可移动的
ingenuous	坦白的
contratest	对照试验的
unlikeness	不象
cmos	Metal
kermit	一种文件传输协议
physicky	药物似的
divert	转移
mucedinous	霉的
teratogenic	产生畸形的
whirlabout	盘旋
rigour	严格
unpunishable	不能受惩罚
centrosphere	中心球
agrapha	耶稣之遗言
didactical	教导
panoptic	展示全景的
plumbeous	铅
bedewed	为……所沾湿
spotty	多斑点
azul	警察
septuple	七倍的
oblique	不坦率
frantically	疯狂似地
summing	求和
caravaggesque	卡拉瓦乔
felicitous	善于措词
blindfold	蒙骗
locutionary	非语内表现行为的
larcenist	盗窃犯
fyke	长袋网
apache	美洲印第安人的一种族
mixer	搅拌器
composedly	从容地
proconsular	地方总督的
opisthograph	古字板
register	把……挂号
credenza	餐具橱
nonofficial	非公式的
pleasurably	快乐
yestermorn	在昨天早晨
undersecretary	次长
softgoods	纺织品
josh	戏弄
pure	无垢
tarpon	大海鲢
jumbled	混乱
absorbability	可吸收性
since	自从
acclamation	欢呼
chromoprotein	色素蛋白
acd	Distributor
hostess	女老板
lousily	不洁
demotic	通俗
aconitum	=aconite
beerburst	=beer
cotquean	好骂街的女人
apoplectic	中风的
dockize	为……设船坞
supersecret	绝密
crampon	铁钩
photoenvironment	光照环境
msee	of
waltz	旋转
ruggedize	使坚固
yseult	=lseult
extendible	可扩张的
dahabiah	尼罗河的三角帆客船
fenny	住在沼泽地的
misfit	与……不相称
depredation	破坏痕迹
subseptate	具有不完全隔膜的
amitosis	直接核分裂
giggly	傻笑
gripesack	旅行包
pecuniary	金钱的
vocational	职业
commute	减刑
verbicidal	滥用词语
bookbinder	装订商
puffy	自大的
slate	含板岩的
congratulation	贺辞
dahomeyan	=Dahoman
tother	另一个的
sussy	可疑
picnicky	行乐
hummock	小丘
ruttish	淫荡
executor	执行者
birdcage	鸟笼
omicron	15
techy	暴躁
temperable	可回火
bathymetric	测海学的
multilateral	多国
freeload	不劳而获
perissodactylate	奇蹄
riverway	河道
automobilism	汽车使用法
lambdoidal	人字形
axillary	腋生的
oddish	有点怪
operationalize	使用于操作
ethically	伦理上
calcariferous	有距的
animative	使有生气的
homothermal	=homoiothermal
shoddy	假冒
pursy	肥胖的
thermolysin	嗜热菌蛋白酶
morganatic	贵贱通婚
mdr	Daily
nailer	自动敲钉机
overproud	太骄傲
uda	Access
abyssinian	阿比西尼亚的
indra	因陀罗
nannyish	正人君子
infective	影响别人
fumagillin	烟曲霉素
fearful	可怕的
extractible	可引出
diaspore	传播体
gsc	Corps参谋团
hyperadrenalism	肾上腺机能亢进
byzantine	东罗马帝国
imaum	=imam
cowson	狗养
neocolonial	新殖民主义
aristaeus	阿里斯泰俄斯
cauterant	烧灼物
fra	兄弟
longhand	普通书法
speck	斑点
posted	有地位
psychotogen	致精神错乱药物
inflator	充气机
elaterite	弹性沥青
ichor	腐流
tilburg	提耳堡
lymphous	淋巴的
pararuminant	类反刍动物
anathematise	咒
present	赠送
gin	轧
peaky	多峰的
liege	臣民的
ceremonially	仪式上
oxyhemoglobin	氧基血红素
acetabuliform	碟状的
gape	呵欠
checkgate	堰门
freeform	任意
dimitrovo	季米特洛沃(保加利亚西部城市佩尔尼克
undissembled	非伪装
dcs	Stimulator脊柱刺激器
smart	聪明的
oersted	磁场强度的CGS
musicalize	编成音乐剧
bisectrix	等分线
panglossian	过分乐观
exility	稀少
fissipedal	足趾分裂的
deuteranomal	绿色弱者
cliquy	分为派系的
permeate	透入
incidence	落下的方式
spancel	拴马索
denish	丹麦
rubbaboo	=rubaboo
substantiality	实体
haikou	海口
asocial	自我中心的
cautionry	替人作保
cultivation	教养
psammophile	喜沙生物
sellout	背叛
concoct	调制
fetch	取得
laxatively	有轻度腹泻
insessorial	习惯于栖止的
ohmage	欧姆阻抗
receptive	善于接受
unstriped	无条纹
fescennine	粗俗的
paraplegia	截瘫
guitar	吉他
waterfall	瀑布
breechblock	闩体
tabernacular	临时房屋的
epicontinental	陆缘的
firecracker	鞭炮
odds	优势
craped	戴黑绉纱的
firmly	坚定
witty	诙谐的
wonderment	惊奇
tachyauxesis	局部生长过速
inundatory	压倒性的
boatyard	造船厂
flaunt	夸耀
triplicity	三位一体
unwedded	没有结婚
stannous	含有锡
precatory	委托的
upcast	向上投掷之物
jobseeker	求职者
refinement	精巧
unflawed	完美无缺
lowery	阴暗
workday	工作日
accelerograph	加速器
umw	Mine
sometimes	不时
binovular	=biovular
hirsutism	多毛症
widen	扩展
knight	授以爵位
england	英国
valiantly	英勇
flatheaded	平顶的
dcvo	of
stemware	有脚的器皿
motorial	发动
fellowship	团体
harpy	残酷贪婪的人
camelback	一种翻新的橡胶
immiserize	使贫苦
wound	伤寒
mort	通知猎物已死的号角声
clonic	阵挛
gautama	释迦牟尼之俗姓
junky	无价值的
antibacterial	抗菌药
indeterminable	不能解决
astolat	阿斯托拉脱
mild	轻微的
searcher	搜索者
sarcoplasm	肌浆
vanishingly	消遁似地
milankovich	米兰柯维奇理论的
finnicking	挑三拣四
wink	眨眼
praiseworthy	值得称颂的
hearse	灵车
retorsion	报复行为
charcutier	食品商人
impartiality	公平
msy	maximum
genal	颊的
concomitant	伴随的
giddily	头晕
favorable	起促进作用的
checkroll	点名簿
ptv	television
barney	大吵大闹
fughetta	小赋格曲
dovap	多普勒测速和定位系统
misdeem	错认
wow	使叫绝
conicity	锥度
pad	垫
received	被认为标准
dodecagonal	十二边形
netted	用网捕获
xystus	小径
lollardism	罗拉德派的教义及信仰
uranology	天文学
aggression	进攻
gag	随口科白
exertion	发挥
quadrable	可为平方
shade	颜色深浅
scent	发觉
skerry	孤岩
subepidermal	表皮下
rowanberry	花楸浆果
pvm	Parallel
negrophile	亲近黑人的人
lamaite	喇嘛教徒
communicant	报导者
heterogenous	异源
aphanitic	非显晶岩的
motory	运动神经
abluent	洗净的
ocdm	Civil
pretensive	=pretentious
dinosaurian	似恐龙
mace	豆蔻香料
viticultural	葡萄栽培的
plicate	有褶的
swapo	西南非洲人民组织
laminar	薄片状的
handmade	手制的
srs	Societatis
current	涌流
congealment	凝结
devilish	如恶魔般的
flirty	=flirtatious
apyrexia	无热
nerc	Environment
lateralization	偏利
harddisk	硬盘
staff	杆
ruthenic	钌
tantamount	等价
hitlerian	希特勒政权的
emanative	发散
inefficiently	无效率
asinine	愚蠢
versitron	高敏度温差遥感器
marigold	万寿菊
chesterfieldian	温文儒雅的
doozy	非常显眼
unlighted	未被照亮
slumberland	睡乡
conduit	导管
wolf	狼吞虎咽
erythrism	红须发
cataphract	古罗马军人或马匹之甲胄
unavoidably	不得已地
happening	意外发生的事
slim	变细
thermal	热量
unprejudiced	公平的
lumbaginous	腰痛的
scraggly	起伏
floorer	使人沮丧的消息
pubic	阴部
pandemic	全国流行
entrance	入口
foudroyant	爆发的
inflation	夸张
cognate	同词源
trepan	陷阱
zootechnical	畜牧学的
slic	储蓄借贷保险公司
sack	麻布袋
exosphere	外逸层
brcs	Cross
aswoon	晕倒
point	点
pion	介子
directionality	定向性
gastroenterology	肠胃病学
acadian	阿卡迪亚的
gummatous	似梅毒瘤
whereby	凭什么
battlewise	富有战场经验
seventeeth	十七分之一的
reducing	减轻体重法
nucleolonema	核仁丝
coptic	埃及基督徒的
podzol	灰化土
evertor	外转肌
lessened	减少
galluses	吊裤带
suckle	吸奶
vivandier	随军小贩
feather	翎毛
choice	抉择
exorable	可说服
bittersweet	又苦又甜的
tail	为……装尾
continued	延续
jawbone	下颚骨
metacercaria	后囊蚴
epaxially	轴后
fytte	诗歌的一节
fiver	五元美钞
espanol	西班牙文
contradictious	异议多的
websterite	矾石
udder	乳房
monthly	每月的
protestant	新教
fair	直接地
portliness	肥大
transcaucasia	外高加索(指高加索地区
menopausic	=menopausal
nonnutritive	没有营养
peremptorily	不容分说
depressible	可抑低的
atheneum	雅典庙宇
plangent	凄切
fijian	斐济语
glottal	用声门发声
dicky	衬衫的胸襟
typhlosis	视觉缺失
esol	for
ingratiatory	讨好的
tryout	预赛
esc	EPSON公司开发的页描述语言
aspishly	似毒蛇
collodium	火棉胶
pekalongan	北加浪岸
status	状况
imperatorial	至尊
dink	漂亮的
trepan	钻孔机
distant	冷漠
unendowed	不赋有
uptodate	直到现代的
remote	遥远
affection	疾病
scalar	梯状的
exuberant	非凡的
emasculate	柔弱
arbutus	杨梅属
tamely	没骨气地
rotational	转动
garlicky	大蒜似的
uncensored	无保留的
cosign	连署保证
orthotics	矫正术
podded	富裕的
divine	神
chill	寒心
finegrained	有细密纹理
phony	假冒的
varied	各式各样
deluxe	豪华
hoppingly	卖力
nympha	小阴唇
lathwork	覆以板条
snuggery	舒适的家
diligent	用功
reattempt	再尝试
transmitter	话筒
sowntown	商业区的
megarian	麦加拉学派的
dish	碟
abate	使被废除
tripeman	牛肚商贩
sulphurous	含有硫磺
fashionable	时髦的
safety	保险装置
solidarist	社会连带主义者
anatomise	解剖
perpendicular	垂直
spinsterhood	未婚
radiation	辐射
belly	涨满
ruder	rude的比较级
strangles	腺疫
anchorage	抛锚地点
zanu	African
hydrotropically	向湿性地
unexaggerated	未夸张
floatability	浮动性
unfrequent	不常见的
tetraspermous	四种子的
roentgenolucent	X光可通过
construct	构造
inspectorate	检查员
enlarger	放大机
ethnology	人种学
rodent	啮齿目
final	最后的
denegation	否认
matsu	见Mazu
scale	依比例决定
utilitarian	功利主义的
tibiotarsus	胫跗节
procryptic	原隐色的
jab	刺戳
backroom	暗中的
bioplast	原生体
reindoctrination	再予以思想训练
gangster	士匪
damsite	水库所在
orthopterology	直翅目昆虫学
pohai	Bohai
fantabulous	极妙
dependent	随……而定
vastness	巨大
ball	球
somniferous	使爱睡
nabobess	财主的老婆
schipperke	狐头竖耳无尾短毛小黑犬
cloistral	隐居的
civilize	使开化
scaphoid	船状
repaper	用纸重新包
bedevil	使痛苦
receving	接受
prostaglandin	前列腺素
recess	隐窝
mistaken	犯错
inunction	涂擦
fan	扇
home	深入
pintoresque	可作绘画题材的
jackaroo	实习
laurette	劳蕾特
sirius	天狼星
newfashioned	新型的
indelible	去不掉的
unquestioning	不问是非
candidly	率直地
unguardedly	没防备
zapu	People''s
politeness	优雅
unsubmissive	不顺从
extensible	可延长的
salary	薪水
march	使行进
obsequious	拍马屁
frump	邋遢的女人
warehouseman	仓库老板
trailer	用拖车载运
triunitarian	=Trinitarian
boracic	含硼的
wring	扭绞
syllabically	每音节
beguilement	欺瞒
byland	半岛
phlogistic	炎
hematothermal	温血的
aggravation	更恶化
land	使登陆
length	时间的长短
consols	统一公债
acanthous	=acanthoid
incised	有锯齿状边缘
fiend	撒旦
seaside	滨海城镇
eisegetical	穿凿附会的
astride	跨着
lawks	糟了!
neurohypophysis	神经垂体
musca	苍蝇座
ergotoxine	麦角毒碱
futilitarian	悲观
gasbag	气囊
erythrism	异常的红色素沉着
sillographer	讽刺文学作家
psychoactive	作用于精神的
antimonsoon	反季节风
limbless	无大枝
bonaire	博内尔岛
limonitic	褐铁矿
belting	调带装置
miniskirt	迷你短裙
catalina	Catalina
tenderer	偿还人
formulist	形式主义者
heterogametic	形成两种胚细胞
gasiform	气体状
admit	承认
entomolite	昆虫化石
yaqui	雅基族
sustenance	生计
acta	America''s
winelist	酒单
renminbi	人民币
pa	私人助理
advance	提升
culpable	不周到的
vitalist	活力论者
unitarian	一神教派信徒
discomfiture	失败
sup	啜饮
uppermost	最初
smooth	一块平地
piquant	开胃的
predormition	半睡期
aswandam	阿斯旺水坝
enamel	瓷釉
blastocoel	分裂腔
recallable	记得起的
advocacy	拥护
financing	筹措资金
lumber	废物
sobering	使清醒的
photoelastic	光弹性
bulldoze	威吓
apoplexy	中风
upset	使不适
truman	杜鲁门
dyspeptic	消化不良
blowout	保险丝烧断
ethical	与伦理有关
dichromism	二色视
misdoer	做坏事者
proconsul	地方总督
explicit	清楚
negatively	消极地
abutter	相邻房地产的业主
plicate	折成扇状
nav	value
interterm	小学期
weirdie	怪事
charm	迷人
hook	钩住
smallage	块根芹
outdoor	野外
tide	潮汐
kelep	肉食蚁
blindfold	看不清的
disputative	爱争论
gormandizer	狼吞虎咽的人
sensualism	肉欲主义
shiny	闪耀的
parlous	极
consultant	商议者
compulsively	禁不住
bearish	粗暴
nother	各异
npl	National
trailing	蔓延的
ellipsoidal	椭圆体的
tale	故事
virelay	古代法国的一节二韵诗
tractable	易管教的
examinator	主考人
dislocation	脱臼
piscatology	捕鱼学
kelp	海藻灰
salpingogram	输卵管造影图
antifebrile	解热的
khond	孔德人
allosteric	变构的
reason	辩论
field	领域
rabies	狂犬病
easement	减轻
enforcement	执行
hydraulics	水力学
eradiculose	没有小根
lacrimal	泪的
prawn	捕虾
wrecky	身体垮了的
sealery	海豹渔场
recording	记录
mill	打
unholy	不洁净
irreversible	不能撤回的
narita	成田机场
immortalize	使不朽
heliotype	胶版画
riyadh	利雅
pleonastic	冗言
phlegmasia	炎症
tcs	traffic
diocese	主教教区
remorseless	冷酷的
desinence	末行
scan	浏览
embay	成港湾状
microzyme	酵母菌
journalize	在日记中记录
plasticine	橡皮泥
bilocular	二格
bnoc	英国国家石油公司
shm	harmonic
panetela	一端尖削的细长雪茄
distinct	清楚的
csma	载波侦听多路访问/冲突避免
eucharistic	圣体
antichristianism	反基督
risk	冒险
coryphaeus	领导者
oap	Old
pilot	引水
entopic	正
compulsory	必修
ramous	多枝的
magnisonant	夸大
surround	围绕
disciplinarian	训育的
minutiose	注意琐碎细节
revalidate	使从新有法律效力
flinthead	朱鹭
caliper	用卡钳测量
cell	电池
inosculate	密切结合
inveterate	根深
rompy	=romping
farthing	英国最小的钱币
lidar	激光雷达
crinoid	海百合类的
imperturbable	冷静
drearily	可怕
businesslike	有效率
inkling	暗示
cumulus	堆积
tough	吃苦耐劳
winking	瞬眼
jinnee	神仙
holozoic	全动物营养性
lousy	生虱的
hernial	脱肠的
laughter	笑声
triumphal	凯旋
tincal	粗硼砂
conglomeratic	=conglomerate
ardent	燃烧般的
headband	头饰带
jade	老马
interpolatory	撺改
prodigal	浪费
circumvolute	缠绕
mabela	南非高粱粉
incalculably	不可胜数
cupbearer	上酒人
wee	一点点
semidocumentary	半记录性电影
internuncial	中间人
boffo	卖座的好戏
mtu	Test
elbowy	用肘推
unromantic	平淡无奇的
foamy	全是泡沫
counterworker	对手
aerobiosis	好氧生活
smegma	包皮垢
indetectable	不可察觉的
leadsman	测深员
denverite	丹佛人
lad	少年
balanced	安定
speos	古埃及的洞穴庙宇
rot	腐败
gossip	闲话
tricerium	三支烛台
cockshut	暮色
abstinent	禁欲的
millstone	磨石
difform	不相似的
bullish	似公牛
isophene	=isophane
tocopherol	生育酚
ivb	invalidity
undulated	波状的
hypomnesia	记忆力减低
direct	由西向东运行的
fiery	暴躁的
stratocruiser	同温层飞机
racemiferous	长总状花序的
enterprise	进取心
haft	把手
run	参赛
underproduce	使生产不足
gaga	天真地
wilco	照办!
style	风度
cummin	孜然芹
drably	无光彩地
variational	变化性的
nephrite	软玉
vacuum	用真空吸尘器打扫
weight	势力
dismission	不予考虑
uncorrupted	未腐败
osteoarthritis	骨关节炎
methimazole	他巴唑
clamorously	鼓躁
audiometric	听力测定
gis	information
congenitally	先天地
nib	钢笔尖
plangorous	悲哀的
wheatland	适宜种小麦的
phantasmagoria	千变万化的风綞l/
decarbonization	脱碳
hep	消息很灵通
pix	影片
thump	重击声
indri	马达加斯加大狐猴
caldera	喷火山口
imitator	仿效者
execution	完成
tentatively	试验性地
hanepoot	非洲白葡萄
digitize	将资料数字化
contemporaneity	同时代
overconfidence	过分相信
amantadine	金刚
behead	砍头
sorority	女学生联谊会
placentiform	胎盘形
oniony	洋葱似
youngly	以适合年轻人的方式
junketing	旅游
makah	=Makkah
turkmenian	土库曼人的
adopted	被采用
entry	进入
gooseberry	醋栗酒
jet	墨黑
theirselves	=themselves
jadish	下贱
bale	灾难
earthfall	塌方
mmpi	Inventory
philological	文献学的
lycian	利西亚
peacherino	惹人喜爱的事物
proof	有耐力
niftic	俏皮
circumterrestrial	围绕地球的
gagger	塞住别人的口
radiovisor	电视
hexastyle	六柱
nonexistence	不存在的事
pectoral	肺病
nipa	尼巴椰子
technopolitan	技术社会
vamp	鞋面
unblushing	不脸红的
howl	怒号
undiscernible	辨别不出
umbrellawort	紫茉莉属植物
punitive	刑罚的
uranous	四价铀的
suggest	提出
tubulate	成管
barococo	过分精雕细凿的
motoscafo	摩托艇
unmoving	不动人的
leisurable	从容
steading	小农场
datary	负责审查僧职候选人资格之主教
cunner	青鲈
undermanned	人员不足的
erection	勃起
corrugated	缩成皱纹的
senior	年长的
usom	States
inconsiderable	不足取的
snr	Ratio
roric	带露水的
mcat	Medical
footsie	调情
meandrine	成襞皱的
rule	裁定
equinox	昼夜平分点
branch	分部
electrical	电
burghley	Baron
trivial	琐细
theocrat	神政主义者
montera	布帽
desiccant	去湿的
uda	通用数据访问
cystinuria	胱氨酸尿
electrotherapy	电疗法
commonwealth	联邦
trampolin	弹床
rejigger	重新安排
untrammeled	无阻碍的
chipper	活泼的
fwpca	Control
caballer	与别人合作图以阴谋手段达成目的者
carp	吹毛求疵
bitumastic	沥青砂胶
guileless	正直
revivable	可苏醒
nutwood	坚果树的木材
nonmedical	非医学的
unisonance	=unison
afterhours	业余
phantasmatic	=phantasmal
transpositional	置换
filemot	枯叶色的
plank	支架
bethanechol	氨甲酰甲胆碱
roller	滚筒
vermifuge	杀虫药
pandemonium	混战场
aviculture	养鸟
usurious	进行高利剥削的
valentinite	锑华
leg	腿
ideological	意识形态的
uscf	Federation
flense	剥皮
betacism	音的混淆
chiastic	交错法
zahidan	扎黑丹
thermolabile	热不稳定
hippish	悲伤
adiaphoresis	不能出汗
gunning	射击
bailiwick	执行官之职
cemetery	公墓
debilitated	操劳过度
cocurriculum	辅助课程
swingeing	猛烈的
transplant	迁移
general	常规
preatomic	原子能利用以前
surveying	测量
styrofoam	聚苯乙烯泡沫塑料
travesty	漫画
resultless	无结果
tumult	骚动
kmps	second
bullmastiff	牛头獒
gunfignt	枪战
outsit	比……坐得更久
huh	哈!
styrolene	=styrene
anorthic	三斜
keeler	驳船船员
blocking	舞台场面调度设计
molestation	调戏
shift	移位
yauld	活跃的
lacet	带子
steering	指导
palship	好友关系
stannous	锡
anthropomorphosis	AnWrEpEJ5mC:f:fEsIs/
supervisory	管理
imperturbable	沉着的
analgesia	无痛觉
divisionism	点彩派
countryfolk	同胞
cocky	过于自信
illogic	不合逻辑
interuniversity	大学间
jaundiced	患黄疸病的
insensibly	没有知觉
endways	末端向前地竖着
felicitous	快乐的
claque	拍手喝彩者
infective	感染别人
unpromising	无前途
flyman	轻便马车之御者
recumbently	躺着地
reconstructive	改造的
image	偶像
bland	柔和
unbridgeable	不能架桥的
licet	那是准许
supernal	高的
fatiguesome	令人疲惫
ephyra	蝶状幼体
limy	含石灰
convention	大会
bisque	桔黄色的
primary	初级
wongai	枣子
sheeplike	绵羊般的
ludicrously	可笑
microstomatous	小口
embassy	大使的派遣
plummet	垂直落下
coadjutress	女助理
streaked	有条斑纹的
humble	粗陋的
magnetizer	导磁体
calory	小卡路里
unclubbable	不爱交际
visive	可看见的
catheterize	将导管插入
oleiferous	含油的
precoital	性交前的
intergovernmental	政府间
lossmaking	老是亏损的
aok	一切正常而顺当地
adele	阿黛尔
extra	额外的
unnecessary	多余
ancillary	补助的
hypertonic	张力亢进的
briery	多荆棘
undoable	不能做不了的
saprobe	腐生生物
unpriestly	不适于教士的
sneaker	卑鄙者
lathy	细长
stem	阻止
fix	整理
unstained	无污垢的
canna	美人蕉科
libertine	放荡不羁者
leaven	酵素
polarise	=polarize
noctambulism	梦行症
screwy	疯疯癫癫
incontrollable	不能控制的
dishwatery	枯燥
cornball	不懂世故的
trichroism	三色性
swash	吓唬
bosk	丛林
concurrence	同时发生
snuffer	以鼻吸表示轻视者
anthropophagite	食人的野蛮人
copolymerize	共聚合
peaceably	和平地
uninterpretable	无法解释
hoot	呵斥
sporular	孢子
heteropolar	异极
unofficially	非正式地
harsh	荒芜的
wildling	野生动物或野生植物
pecul	=picul
excitement	激动
bankroll	提供资金
vestibule	前庭
material	具体
bergson	柏格森
cassock	法衣
nineteenth	第十九
adamic	亚当的
lifer	无期徒刑犯
polyclonal	多细胞株
field	原野
astronaut	宇航员
reedbuck	小苇羚
nettie	内蒂
justly	应得地
stipe	叶柄
ordinant	命令的
overweighted	重量超过的
cardsharper	以诈赌纸牌为生者
istanbul	伊斯坦布尔
approbate	承认
foreplay	性交前的爱抚
thanedom	=thanage
granger	农民
affront	冒犯
blessedly	神圣地
fos	on
annihilationism	t//
enterological	肠病学的
freeway	高速公路
overdrive	虐待
saurophagous	以蜥蜴为食的
catalogic	如目录
toyland	小人国
waste	地面风化物
mertensian	mimicry
uncombed	未梳理过
bugbear	吓人的东西
secondhand	间接地
sunfed	United
capybara	水豚
quietus	解除
chastise	惩罚
jugulum	翅轭
organza	透明硬纱
quench	平息
puppet	傀儡
heaviest	巨大
penelope	Odysseus的忠实妻子
photoactive	光敏的
fabrikoid	一种防水假皮
interpenetration	渗透
scape	表示"景
mokha	=Mocha
wrinkly	老人
homilist	怖道者
abortive	夭折
predestinarian	命运注定的
external	外用的
prognostic	预兆
gasification	气化
charismatic	超凡魅力的
pilot	飞行员
fascis	束棒
biggish	颇大的
reduction	缩版
paranasal	鼻旁
cushitic	库希特语族
mdr	Minimum
cream	奶油
recrimination	揭丑
fixative	定色的
gibli	=ghibli
omigod	天哪
annelida	环节动物门
sonorific	产生声音的
ravel	弄清
guidance	领导
determine	确定
bait	饵
rework	改写
incident	事变
reprocessed	再经过加工的
centrality	集中性
dome	圆屋顶
afoot	在进行中
insurgent	起义的
grinding	磨的
nethermost	最底下
derelict	遗弃物
alight	发亮的
ironize	挖苦
creatureliness	动物或人
riddling	谜一样的
forsythia	连翘属植物
lobeliaceous	山梗菜属植物
highbush	形成高灌木上的
varietist	有怪癖的人
dairyman	乳牛场主
cocarboxylase	辅羧酶
female	雌
dialectal	乡音的
bbb	and
motionless	不动
damned	糟透
yet	至今
inopportune	不合适的
pigeongram	传书鸽传送的信
underclothe	为……提供内衣
converted	修改
entertaining	有趣的
novell	以开发网络产品著称
pauperise	=pauperize
mingy	卑鄙
totalitarianize	把……置于极权主义控制下
preussen	=Prussia
trimethylglycine	=betain
auger	螺丝钻
polluted	污染
sandhi	连接音变
shakily	不稳定
fishbolt	鱼尾板螺栓
cuneatic	楔形的
transformation	=trans适
acquisitive	有获得可能性
more	更
gamekeeper	猎场看守人
cribellum	筛器
consubstantiate	n/
vortex	涡流
exhaustive	详尽
deism	自然神论
patriarch	创办人
posb	bank
kindle	激起
arresting	引人注意
fogbroom	除雾机
cospar	Committee
hegemonist	鼓吹霸权者
limpid	清澈的
narghile	水烟筒
wy	Wyoming
coder	编码器
bouillabaisse	浓味鱼肉汤
crumbly	易碎的
mim	假正经的
topographic	志
unsoiled	清洁
porosity	多孔性
pyrochemical	高温化学
hibernal	冬天
zelda	塞尔达
nsm	New
diazo	二氮化合物的
hyperirritable	应激性过度
meagerly	贫乏地
preantiseptic	防腐法采用前的
spadework	挖掘的工作
jealous	嫉妒的
fostress	保姆
unbitter	非恶意
lowery	阴霾
regenerate	再生
discursion	推理
shmoo	什穆模型
melitriose	蜜三糖
osteologic	骨
race	种族气质
wintery	冷漠的
dividual	可分割的
fond	温柔的
russety	枯叶色
slash	鞭打
unnilhexium	106号元素
substernal	胸骨下
acrophobe	高空恐惧症患者
watchable	值得注意
wringing	淋湿
prematurely	过早
narky	脾气坏的
idealistic	唯心主义者
tritiate	用氚浸渍
biorheology	生物流变学
wee	很早
unfatherly	不像父亲的
underexpose	使曝光不足
credal	=creedal
nonfarm	非农场的
avp	Program
impayable	极贵重的
aethereally	飘渺地
shanghailander	上海人
homoplastic	类似
beep	哔哔声
israeli	以色列共和国民
ornl	Laboratory
fishing	钓鱼
supernal	神
land	地产
aquatic	水生
entice	诱惑
jal	Lines
dispermous	具双种子的
thundersquall	雷飑
contagion	蔓延
ceremonious	隆重
brushy	如毛刷的
lockian	=Lockean
wraac	Army
dejecta	排泄物
soddish	极坏
