verandah	阳台
joyful	令人欢欣
ramapithecine	腊玛古猿的
crispate	有皱边儿
dendroclimatic	树木气候学的
virosis	病毒性疾病
remedy	修补
extroverted	外向性
ivba	International
gagbit	马衔
supplejack	熊柳树枝制成的手杖
betta	搏鱼
unchangeably	不易地
prognathous	下巴突出
gairish	=garish
probabilize	使有希望
exalted	兴奋
coulda	have
flecklessly	无斑点
jesu	耶稣基督
preggers	怀孕
infundibular	漏斗形的
bfa	Fine
sansculotte	无裤党
suffragist	妇女政权论者
lubrication	润滑油
parlor	会客室
ebonise	=ebonize
benne	胡麻
boina	扁平帽
tributary	进贡
martiniquan	马提尼克岛的
agedness	高龄
injudicial	不聪明
insufficiency	不足
suffragist	参政权扩大论者
endogenetic	内生
stale	尿
gumweed	plant
augite	斜辉石
earthnut	花生
peacemaking	调停
tonnage	登记吨位
resell	再卖
fentanyl	芬太奴
awanting	短少的
shim	用垫片填
noways	决不……
waggoner	御夫座
misplay	失误
derivational	得来的
venom	放毒
vsat	Aperature
uninucleate	单核的
snowberry	白浆果
scrap	小片
matsah	=matzo
repulsion	严拒
arbitress	女仲裁人
channel	路线
margaric	珍珠的
scale	重
beefeater	伦敦塔卫兵
born	原本
lamellicorn	鳃角类
xvi	罗马数字
producibility	可生产
bulldoze	欺负
homa	=hom
barbette	露天炮塔
interpretable	能翻译
altometer	高度计
last	结论性
affluently	流畅地
megaloblast	巨母红细胞
swag	珍贵物
calciferous	含碳酸钙的
raster	光栅
kanu	African
grasp	掌握
unfaltering	专心
grisly	可怕的
undertow	回头浪
corpsman	陆军医护兵
consanguineous	血缘
applicator	敷药用的器具
hhfa	住宅资产经理处
chlorophyllous	含叶绿素
buttonholder	强留人谈话者
retiring	退休
ligeance	忠诚
littorinid	玉黍螺
disrespectable	不值得尊重
parenchyma	实质
inconsequently	矛盾地
jingling	叮当声
ere	在……以前
zygomorphism	左右相称
pteridology	羊齿植物学
running	连续
rerebrace	上臂护甲
paye	As
cheater	骗子
brunet	深色
brandreth	井栏
ravish	强夺
impayable	无价
garrulous	饶舌
overturn	推翻
elevated	欢欣的
slowly	慢慢
implied	暗指的
posy	铭文
insider	内部的人
ionomer	离子交联聚合物
etymologist	语源学
aesthetics	美术理论
idempotence	幂等性
essential	本质的
corpulent	肥大的
sirupy	糖浆的
feeling	有同情心的
schlepp	傻瓜
anacrusis	诗句开头的非重读音节
katrine	卡特琳
plessimeter	=pleximeter
jackpudding	滑稽之人
churchilliana	丘吉尔纪念品
transmissible	可传送的
commonland	公共用
biopharmaceutical	生蝐s/`baIEJ9fB:mE`镏埔┭
yoicks	唷
pour	涌入
rasping	令人焦躁的
vitta	油管
comus	庆祝的神
psellism	口吃
incisive	激烈的
fragment	碎片
deniable	可否定
scimiter	=scimitar
factotum	杂役
superpersonality	神
joyancy	快乐
bardic	吟游诗人
sailboard	驾帐板冲浪
aquarian	太空时代的
khmer	高棉人
mora	调形
cylinder	柱面
source	源极
elements	原理
dispassion	冷静
langton	兰顿
diffused	普及
procreate	生育
whisker	腮须
whopping	异常
spatula	抹刀
embellishment	润色
belizean	伯利兹
intervallic	音程的
inlayer	镶嵌者
sporangiophore	孢囊梗
bailiff	执行官
corniness	粗野
mega	百万
shipworm	船蛆
hamiltonian	哈密尔敦函数
temporality	此时
rotational	转动的
asperity	粗暴
fluviograph	河川水位自动记录器
vitamer	类维生素
celotomy	疝切开术
housemasterly	像男舍监的
santal	=sandalwood
croquis	速写
consubstantial	同蘬/
nitre	硝酸钾
zoroastrianism	索罗亚斯德教
zoomechanics	=zoodynamics
setiform	似刺毛
excusingly	辩辞
accession	添加
hammy	火腿味
postie	邮递员
add	做加法
contrarily	相反地
miraculin	非洲奇果蛋白
gey	可以
abstentious	有节制的
ohmic	以欧姆测定
astonish	使惊讶
figmentary	幻想的
be	铍
steeliness	顽固
la	People''s
crass	粗糙的
unclos	Nations
subdepot	附属仓库
whither	什么目
communicate	沟通
humification	腐殖质形成
adultly	老成持重
interval	时间间隔
omdurman	乌姆杜尔曼
pasture	草原
unequalable	无比
construable	可做语法分析的
accrete	共生
incog	隐姓埋名的
routine	例行公事
sequential	有顺序
prothetelic	先成的
meum	我的东西
possie	差事
bifid	两半的
kryzhanovskite	水锰绿铁矿
sidle	悄悄贴近
baconian	培根哲学的信仰者
alive	活泼的
forest	森林
hemoglobinuria	血色蛋白尿
expugnable	可攻克
twopenny	低廉的
tenorist	唱次中音者
francophile	崇拜法国的
veteran	富有经验的人
night	死亡
concretive	有凝结力的
psammophilous	喜沙生物的
slavic	斯拉夫人
foolery	愚蠢的行为
vein	矿脉
welldoing	做好事
considering	认为
vervain	马鞭草属的植物
overhaste	过于草率
ramate	有分枝的
brocade	织有金银丝浮花
ovr	改写
eldo	欧洲运载火箭发展组织
rv	Recreational
waterward	向水
triloculate	三室
aspectual	体的
inlayer	镶嵌匠
evenly	均匀地
lithofacies	岩相
now	马上
lymphokine	淋巴激活素
scissor	删除
klutz	木头人
unbent	直的
source	来源
qse	合格的科学家和工程师
cressy	长满水芹
badminton	羽毛球
xenelasia	抗拒外人的条例
charter	宪章
beadsman	替施主祈祷者
pegbox	弦轴箱
sonorant	响音
provocation	激怒
phonology	音韵学
cnaa	Council
bungaloid	到处是平房
riverfront	河边地区
jib	挺杆
mpm	每分钟米数
bitterish	带苦味
unreflecting	不反射
topographer	地形学者
biopotency	生物效能
short	短
arrogant	傲慢的
mump	喃喃的说
xanthospermous	有黄色种子
kinase	激酶
headily	性急地
enounce	说出
federally	同盟地
bosthoon	糊涂虫
haversack	干粮袋
triturate	磨碎的东西
eolian	=Aeolian
choking	窒息的
anticipation	预料
kusso	苦苏
religionism	笃信宗教
explicable	可解释
incendive	引火
watershoot	排水管
ochlocratic	暴民统治的
osteochondritis	骨软骨炎
cerusite	白铅矿
gypper	骗子
pale	失色
deject	使灰心
preimplantation	胚胎植入前
blm	Bureau
ersatz	合成
sampler	刺绣样品
pentagonian	美国国防部工作人员
aspirant	有野心的
isosmotic	等渗压
intestinal	肠
wring	扭
incoherence	语无伦次
w	字母W
unbearable	承受不住的
device	设备
venally	唯利是图地
profligate	放荡者
fuddle	烂醉
casuistry	决疑论
fussock	肥胖而高大的女人
geraniaceous	牻牛儿苗科的
parnassian	法国高蹈派诗人
ssbn	弹道导弹战略核潜艇
finale	最后一场
circumoral	绕着嘴的
abraxas	刻有这种符的玉石
unfirm	不结实
pyrotechnic	令人眼光
turfan	见Turpan
set	Protocol
carbonization	碳化物
unfix	解开
singular	单一的
uncharitably	无慈悲心地
articulatory	关节的
heterozygote	异形接合体
seminar	讨论发表会
hardhearted	无情
frills	虚饰
subdean	副助理主教
corrigenda	正误表
incretion	激素
manipur	曼尼普尔区
hokum	废话
bughouse	精神病院
overweighted	超载的
resorptive	再吸收的
eastward	朝东
health	为健康干杯
excision	逐出教会
neoglacial	新冰川作用
soke	地方司法权
lockdown	一级防范禁闭
weathervision	天气图像传递
animate	生气勃勃
amiably	亲切
psychoenergetic	利用心力的
reversal	反向
supplely	柔软
material	布料
demophil	人民之友
perseverant	能坚持
antipathetic	讨厌
run	管理
alacritous	快活
lampyrid	萤科的
apathetic	缺乏感情
bctv	北京有线电视台
bystander	看热闹的人
sadly	悲痛地
supermalloy	镍铁钼超导磁合金
disinvestment	蚀本
indian	印度人
computative	喜欢计算的
vapor	水汽
rann	Research
appositive	同位格字
communicant	传达消息的
discolored	污染
flapjack	烙饼
apt	灵巧的
bonbonniere	糖果盒
reclosable	能重新盖紧
stratal	层的
instigation	煽动
title	名称
momental	惯量的
oppressive	压迫
back	前的钱
midlothian	中洛锡安郡
myelogram	脊髓选影照片
seedman	=seedsman
soviet	苏维埃
insanity	愚顽
befittingly	适当地
salesite	羟碘铜矿
stationer	文具店
saltatorial	跳跃
iioilo	怡朗
exhilaration	愉快
corpulent	肥胖
storiette	小故事
mildew	生霉
juice	汁
bacteriolysin	溶菌素
eighteenth	十八分之一
telegraph	打电报说
hidropoietic	流汗
stomatitis	口腔炎
haver	说废话
slipslop	伤感的话
inventory	详细目录
crown	花冠
allantoic	尿囊的
unmeaningful	意义
toft	地基
iridaceous	鸢尾属
undermanned	船员不足
lampbrush	chromosome
nearness	靠近
striation	条纹状
idea	概念
disposure	处理
venoclysis	静脉输注
vistadome	有观景车顶的客车车厢
hardcore	无条件的
neighbouring	毗邻
scratch	抓痕
vitellogenous	卵黄的
coidentity	共同一致性
asbolite	钴土
tannic	丹宁
kazakstan	哈萨克
ecofreak	一味关注生态保护的怪人
reprovable	该责备的
siratro	色拉豆
assize	法令
pacchionian	蛛网膜粒
skywards	向着天空
manoeuvre	用策略
collectively	全体地
wikiup	=wickiup
gelid	极冷
bedewed	为……所沾湿的
cytogenics	细胞遗传学
loth	憎恶的
hedonistic	快乐论的
traumatropism	向伤性
jarring	辗轧的
genteelism	上流的谈吐
fosterage	助长
dehiscent	裂开性的
kempt	梳理好的
confine	边界
prodromic	=prodromal
suburb	郊区
lifo	in
caste	社会地位
preincubation	预孵化
reputable	著名
aerate	使暴露于空气中
wen	粉瘤
autorotate	自转
abrasion	磨损
show	放映
sophisticator	诡辩者
quizee	=quizzee
oversleep	睡过头
detectible	可看穿的
pluvian	多雨的
preadamite	亚当以前的人
corsage	装饰女服上身或肩部的小花束
poc	of
uprear	养育
assr	Socialist
pif	程序信息文件
regardant	头朝后看
degrading	可耻的
lappic	拉普兰
machinize	使像机器
zoantharia	六放珊瑚类
screenwriter	电影剧本作家
unguarded	没有防备
albite	钠长石
centriole	中心体
dependency	属地
prosperity	繁荣
indexless	无索引的
reexplore	再勘探
trochilus	埃及斑珩
brassy	象黄铜
prison	监狱
preventive	预防性的
imbecilic	愚笨
connexion	连结
uncalculated	未经事先考虑
ckd	完全拆开的
blusterous	咆哮
scoop	掘
megasporogenesis	大孢子发生
pulpitry	布道
youngling	年轻人
minorca	米诺卡鸡
unaired	不通风
latinesque	如拉丁的
bowyer	制弓匠
ecumenist	泛基督教主义者
ps	推出的一种计算机
arenaceous	多沙
suppurative	足使化脓
chronon	时间子
irenical	和平
heavy	大量
bunny	小兔子
pleiotropic	多向性的
internationalise	使国际化
threescore	六十
surgically	如外科手术般地
floozie	智力不高的妇人或女孩
freezing	冰冻
hammurapi	即Hammurabi
valetudinarian	有病
unselected	未经选择的
hydromancy	水占术
hircine	山羊的
holytide	祭祀日
crybaby	爱哭的人
acqierement	学
superincumbent	自上而下
lawfulness	合法
inappetency	食欲不振
damageable	易损害的
catchall	放各种各样物品的容器
sobering	使冷静的
plashy	湿地的
telephonist	话务员
voyage	航海
adult	成人的
halloa	喂
lamely	一瘸一拐
warp	乖僻
aecium	锈子器
sullen	愠怒的
uncomfortably	困难地
effective	给人深刻印象
unfurnish	搬走的家具
mosasaur	=mosasaurus
steeper	险峻的
goodwood	古德伍德公园附近举行的赛马会
blusterous	虚张声势
beamed	有梁的
broodmare	传种母马
residual	残留
polyphonic	复调的
fibrillate	有原纤维组织的
fleecy	以羊毛盖上的
bearably	忍得住地
cornerways	对角地
torsional	扭力
fissiparous	有分裂能力
interjection	感叹词
afoot	在准备中
airstream	气流
hydraulic	水压
extemporaneous	不用讲稿
annuity	年金
graphotherapy	书写疗法
grasmere	格拉斯米尔
unequivocable	毫不含糊的
anglicist	英国通
mantlerock	风化层
twinkling	闪烁
semibarbaric	半野蛮的
knighthood	骑士的地位、身份
logaoedic	由混合韵律组成的诗行
striptease	跳脱衣舞
governable	可支配的
precapillary	前毛细管
dexterously	敏捷
tinderbox	潜伏着暴乱或战争危险的人
radiate	辐射状
vain	空虚
chivalrous	侠义
redrew	redraw的过去式
changeful	富于变化的
vegete	生气勃勃的
brooklynese	布鲁克林口音
pontifical	主教仪典书
homography	单应性
autocephaly	自治
scaddle	凶猛
unsuccessfully	无用
rube	乡巴佬
fair	女性
glycose	单糖
grossly	非常
dageraad	黎明鱼
mim	假装羞怯
cobwebby	蛛网似的
sketchpad	画板
recollection	记忆
gentleman	男盥洗室
rubicund	红润
pestle	乳钵
irreconcilable	不能协调的
unemployed	未被利用的
malversation	腐败行为
perform	完成任务
leukaemia	白血病
transbus	超级公共汽车
barbarity	残忍
over	上面
resultless	无结果的
uncomely	不清秀的
priggish	自负的
bigeneric	两属的
crochet	钩针编织品
bookkeeper	簿记员
curtailment	缩减
sniff	轻视
verna	弗娜
unforested	未植林的
remembrance	记忆
gilolo	济罗罗岛
golden	黄金
beady	饰有珠子的
saltern	盐厂
immotile	不能游动的
advertence	留意
bloat	腌制
delate	控告
heroicomical	滑稽讽刺
defile	染污
reasonably	相当
supinely	仰卧地
corruptly	可被收买
snuff	烛花
conceptive	有想象的
nonnuclear	非核
territory	领土
intimidator	胁迫者
infirmity	虚弱
sundress	背心裙
unsigned	无符号的
pronouncing	发音的
uncalled	未经邀请的
underclothing	贴身衣裤
lamebrain	呆子
pomeranian	波美拉尼亚种小狗
moonshiny	月照似
lunch	午餐
fmcs	Conciliation
congrats	祝贺
fencing	剑术
every	每一
bleb	疱疹
chronic	慢性的
zigzag	锯齿形
fungin	菌纤维素
dor	发出嗡嗡声的昆虫
unhcr	Commissioner
neurovascular	神经与血管的
unweight	减重
aftersensation	余留感觉
formulable	可用公式表示的
reducible	可还原
whisht	无声
removalist	搬运商
postbellum	战后
screen	屏风
hauler	搬运工
funnelled	漏斗状
caddoan	喀多语
happenchance	偶然事件
jejune	无兴趣
serenely	安详
rdc	Rural
issueless	无结果的
condensibility	可简约性
mill	搅拌
thoughtcrime	思想罪
ozonizer	臭氧发生器
peacekeeping	执行停火协定
nondiscrimination	不歧视的
revalidation	重新生效
jugal	颧骨
diphtheroid	似白喉
tinker	修补
unjustifiable	不合道理的
scutellum	角质鳞片
catbrier	猫藤
pong	难闻的气味
porosity	有孔性
pyrolater	拜火者
atlantean	岛
insurgently	造反
flaccid	软弱
immunise	赋予免疫性
saltire	圣安得鲁十字
argali	原羊
mixer	混频器
smile	微笑
roadster	流浪者
chez	于
jog	轻推
liberative	释放的
oratorize	演讲
frcp	Physicians
soak	泡
hmnzs	New
farthest	最久的
select	选择
exhalant	呼出
topiary	灌木修剪法
romanian	罗马尼亚语
audacious	大胆创新的
unwisdom	愚昧的言行
compensation	赔偿
lenitive	缓和的
lockfast	保险箱
stealth	秘密行动
phono	唱机
protuberance	结节
aniconic	无偶像
time	节拍
brocade	锦缎
formosa	台湾
gooky	肮脏
dcmg	Commander
tan	晒成褐色
dic	Constraint
sterling	英国货币
epigynous	上位的
interfluve	分野
poltfoot	畸形足
counteroffensive	反攻
leapfrog	交替前进
prioress	小女修道院院长
whoop	高声说
lithuria	尿酸尿
analphabetic	非字母式
pipy	笛声的
crankous	易怒
polyanthus	黄花九轮草
place	名次列前
thymelaeaceous	瑞香科树和灌木的
numeration	计算
validly	正当地
photoactinic	光化射线
hajj	麦加朝圣
underprize	低估
waveringly	摇动
aclu	Liberties
graduand	即将接受学位者
caseidin	酪蛋白免疫素
foretell	预示
asteroidean	海盘车类动物的
carry	携带
fetoprotein	胎蛋白
tcp	/TCP/IP软件
pronto	很快地
empiricism	经验论
plss	携带式生命保障系统
shimmery	微微发亮的
multivocal	多义
nomadic	游牧
voltolize	对……作高电压处理
exhaustion	竭尽
zithern	齐特拉琴
bedevil	虐待
epilator	拔毛者
chestnut	栗子
stiffly	僵硬地
triangularity	成三角形
unroost	离开栖息处
telephony	电话学
rumbustious	喧闹的
ustc	Tariff
viricide	杀病毒剂
millinormal	毫克当量的
silicosis	硅肺病
stunner	把人打昏的人
symbolatry	=symbololatry
bungie	橡皮
queenly	女王的
crannied	裂缝
ipsu	Setup
assertorily	确定
contemptibly	卑鄙
acquiescently	顺从
haphazardry	偶然性
wonder	想知道
pert	活跃的
pitt	Street
albata	镍黄铜
solunar	日月共同作用引起
foreran	forerun的过去式
octu	Training
autoput	高速公路
foreboding	不祥之兆的
parament	装饰帘帷
miocene	中新世
houseless	无房屋的
tripack	三底彩色片
unhappen	未发生
piercing	刺骨
hydroxy	羟基的
powwow	巫师
abbreviate	缩短
shoehorn	硬塞进
discontentedness	不平
greatness	巨大
loment	节荚
basra	巴士拉
heliotactic	向日性
voluntarily	以自由意志
umpire	裁判员
symphonism	交响曲
dene	长有森林的溪谷
grittiness	有砂砾
precinct	围
epifocal	震中
twelvepence	先令
safely	确实
bussbar	=bus
driftingly	漂流
lousewort	马先蒿属
lamentable	不快
pleadingly	祈求
breakup	衰弱
elint	电子情报
cryptographical	密码
immigration	移居入境
neighbourless	无邻居
nlaa	全国法律援助协会
administrivia	摘要等的处理工作
shooting	射击
skinny	皮
snugly	贴身
laloplegia	言语机能障碍
constructive	建设性
rhonchus	鼻音
indicative	指示的
dutiful	顺从的
overcrop	连续耕作使土地贫瘠
snore	打鼾
dishoard	抛售囤积货物
soerakarta	=Surakarta
daze	眼花缭乱
miscommunication	错误传达
mistress	主妇
inflictive	使人难过的
skill	技巧
iced	冰冷的
silica	无水硅酸
cineol	桉树脑
whiff	香烟的一口
segregant	=segregate
stonecrop	景天
renouncement	否认
yarn	奇谈
emanative	发射性
sideling	斜的
exciting	令人兴奋的
discolored	污染的
grandeur	庄严
cemetery	墓
quicksand	流沙
belabour	痛打
mathurai	=Madurai
fleetness	快速
demochristian	基督教民主党党员
jiao	角
ragefully	盛怒地
antibacterial	抗菌
vanadious	=vanadous
sling	弹弓
grumbling	喃喃鸣不平的
ecla	拉丁美洲经济委员会
tawdry	俗丽
whipsaw	双重不利的事物
silt	泥沙
leasehold	借贷的
urinette	女用长形小便池
slatternly	不自检点
vegetal	植物的
architectural	建筑上
coordinative	同等
autogenetic	自生
hyperaggressive	高度侵略性
sibiric	西伯利亚各族人民
otary	海狮
onion	加洋葱于
fractographic	金属断面的显微镜观察
approximator	接近者
lassallean	拉萨尔派的成员
suggestibility	被暗示性
preprofessional	为从事职业作准备的
erythrophilous	爱好红色的
malarky	空话
olefin	石蜡
stegomyia	埃及伊蚊
unneighbourly	不喜欢与人交往的
kindle	使着火
upbraidingly	谴责地
proser	散文般
betsy	Elizabeth
meteorolite	陨石
rf	Radio
pitchometer	节距规
japonic	日语
strigous	被硬毛的
leather	皮革
ukase	谕旨
diosmosis	渗透现象
outspend	比花费多
mushily	玉米粥状
liberatory	释放的
accusatorial	责问的
ambivalence	正反感情并存
ultrasound	超频率音响
oviduct	输卵管
squadron	空军中队
damnatory	该死的
pregnant	怀孕的
stick	棍
nannyish	过时
effortless	容易
australite	澳大利亚玻陨石
totty	发昏
cruelty	残酷
unprevailing	徒劳的
record	录音
crustily	粗暴
bachian	巴赫的
roar	怒号
grindstone	旋转研磨机
operatic	歌剧
conglutination	粘连
extraction	抽出
serajevo	=Sarajevo
reactionist	反动分子
theophagy	圣体领食
applique	贴花
illusionless	无幻觉
verus	正确
potable	适于饮用的
dentist	牙科医生
ppcc	Conference
cullion	卑劣的人
parc	Research
theban	底比斯人的
cracky	易破
delomorphous	显形的
pigeonhole	分类架
taps	丧葬号音
empathic	感情移入
oust	剥夺
mikron	=micron
dethronement	废立
dispossessed	被逐出的
fuliginous	煤烟
wisdom	学识
grandioso	雄伟的
filiferous	产丝状物
assertory	确定的
fusionist	联合论的
draft	草拟
botryoid	一束葡萄状的
exoteric	普通
zany	笨人
contextless	无来龙去脉的
semioval	半椭圆形
gentile	非犹太人
usaid	for
enfetter	束缚
syllabically	分成音节地
rule	规则
retort	蒸器
eutrophic	发育营养正常
bassi	低音部
mismatch	使配错
freeload	一种离线浏览主页的工具软件
recalcitrant	反对
federative	联邦
satisfaction	满意
nostologic	老人学的
xenophile	喜爱外国人及其文物者
cembalist	羽管键琴演奏者
surrejoin	第二次辩驳被告
quackish	庸医
fibroid	纤维性
stunt	作惊人表演
disseat	使退位
backhanded	间接的
ciliary	纤毛的
very	真实
claymore	双刃大砍刀
petiole	柄部
mock	仿制品
overmany	过多的
wean	使丢弃
bbb	bed
insider	会员
injunct	命令
offscouring	废物
muley	无角动物
ilk	家族
sha	sidereal
primitive	远古
mycetozoan	变形菌
wipo	Organization
discontinuous	中断的
fluxional	微分
devilwood	木犀
pullulation	充满
brimmer	满杯
orbiculate	球状
exonerative	免罪的
ineluctability	无法逃避
glassworks	玻璃工厂
sha	=shah
scuff	磨损
bordereau	备忘录
far	很
agreeable	适合的
dissected	分割
alogia	失语症
chainbridge	铁链吊桥
rallye	长距离赛车
comforter	羊毛围巾
examination	细查
vivax	疟原虫
cyclopic	独眼巨人的
tekecommunications	远程通信
fibrinous	纤维蛋白
vlbi	very
anglian	盎格鲁族之方言
mucker	遭到失败
unsophisticate	Id/
hawk	放鹰
hit	讽刺
shepherd	牧羊人
pannikin	小盘
bronchopulmonary	支气管肺的
ignitible	=ignitable
antarctic	南极地带
consultation	会诊
ebracteate	无苞
pram	婴儿车
warranty	保证
verily	真正
unmerge	解散
defoliant	脱叶剂
astigmatic	乱视的
prominence	显著
ejaculator	突然叫喊的人
genteelism	假装绅士的谈吐
tangential	切线
chivvy	烦扰
cytostome	入口孔
webwheel	盘式轮
diffidence	缺乏自信
leachable	可滤取
majestic	庄严的
declarative	公布
orca	类逆戟鲸
obeah	非洲黑人间奉行的巫术
centric	中心的
fencing	围墙
cmd	Modulated
hidalgo	西班牙的下级贵族
totemic	图腾的
eighty	八十
studded	镶嵌
altaic	阿尔泰山
mrcp	Royal
spermic	种子
ganda	干达人
gossipmonger	饶舌
yesteryear	过去不久的岁月
barbadian	巴贝多的
guilin	桂林
monography	=monograph
caucus	举行或参加政党领导层秘密的预备会议
fabricate	虚构
sharpshooter	神枪手
crabwise	小心地
aerodrome	飞机场
presentable	象样
drily	冷淡地
subway	地铁
deradicalize	使放弃政治上过激的立场
equivocal	意义不明确
beneficially	受益地
skirl	用风笛演奏
acrid	辛辣
toothy	露出牙齿
hairsbreadth	窄如发丝
apologetically	辩解
boresome	烦人的
slade	and
examinationism	考试论者
marblehearted	铁石心肠
microprogramming	微程序设计
gratuitous	无理由的
spreathed	痛
carpogonial	果胞
balneology	浴疗学
chopfallen	下颚凹陷的
maintainor	犯包揽诉讼罪者
phosphorylate	使磷酸化
hooflet	小蹄
orthodontia	正牙学
excrete	分泌
fable	谎言
jump	上涨
analphabetic	非字母式的
sophist	诡辩者
bedrail	床栏杆
reconcilable	可和解的
vagabond	流氓
dodecagonal	十二边形的
nectared	甘美
centra	centrum
blankness	空虚
heterochthonous	不是土生的
orbiter	盘旋物
airgraph	拍照航空信
critique	批评
doorcase	门框
dissolute	肆意挥霍
triturator	磨粉的人
charlady	零佣的女性
received	被认为标准的
decreasingly	渐渐减少地
benioff	zone贝尼奥夫带
trunk	箱子
ecliptic	黄道的
resolvent	使溶解的
enamine	烯胺
ratable	可估价
sputteringly	结结巴巴地
wadset	典当
farthest	最久
omnisex	包括男性与女性的
slatternly	自甘堕落
impedient	阻碍物
emulable	可仿效的
undeflected	不偏斜的
vagotropic	作用于迷走神经的
usual	通常的
slideway	滑斜面
kicker	善踢的人
clothesbag	放置换洗物的袋子
econometrical	计量经济学
dishy	有魅力
interpretable	能说明的
prolog	=prologue
smileless	没有笑容的
paleohabitat	史前动物栖息
detection	探测
barbados	巴巴多斯岛
proportionably	可使相称地
caravaggiesque	卡拉瓦乔作品的
bodyshell	车身外壳
permanent	持久
antibacterial	抗菌的
orifice	孔
blague	荒唐
bonded	有担保
asp	应用服务提供商
bora	澳洲土人男孩成人仪式
hydrotactic	趋水性的
sap	活力
bicker	闪动
boffo	开心的大笑
mercenary	唯利是图
gph	per
histaminase	组织胺酵素
yell	叫声
unmoved	无动于衷
separate	分散
preterite	过去时态的
evangelicalism	教义的信仰
girth	包围
connected	连接
qcb	队列控制块
magnetogasdynamic	^AsdaI`nAmIks/磁气体动力的
sclc	Christian
nlp	neighborhood
iodine	碘酒
godfather	教父
fratcher	争论
power	激励
espial	观察
pyrogenic	火成的
intercooler	冷热气自动调节机
derelict	被抛弃了
sailcloth	帆布
eradicative	消灭
photoceramics	陶瓷照相法
pseudopodium	假足
athenian	雅典的
buirdly	粗壮
archeolithic	旧时器时代的
patient	忍耐的
panchromatize	使成全色性
bellflower	吊钟花
push	增加
epitaph	墓志铭
cologne	古龙香人
aiche	of
veritably	真实地
robustious	粗野的
bargaining	交易
arcticology	研究南北极的科学
eutrophic	发育营养正常的
calceolaria	蒲包草
ppt	part
juristical	法理学
entad	向心
corking	很好
decollete	低颈露肩的
hump	弓起
inhalatorium	吸入治疗室
batrachoid	似蛙
cc	Cocos
ultrafashionable	极端时髦
driver	起子
vamper	补靴
anklebone	踝骨
liberator	解放者
programmable	可设计
joyously	快乐地
limation	锉
abolish	废除
piecewise	分段地
patriarch	最年长者
nccj	Christians
lamiaceous	属于薄荷科的
corrodibility	可腐蚀性的
extracurricular	业余的
vicarial	代理教区牧师职务
atmospherical	气压的
furl	收下
suxamethonium	司可林
wearisome	使厌倦的
geez	注射
inobservant	不遵守的
sore	剧烈
vigoroso	强地
retia	膜层
hooklet	小钩子
benthamite	功利主义者
certainly	行
deliquescent	溶解性的
eidetic	异常清晰
arrantly	声名狼籍地
rubdown	按摩
yalta	雅尔塔
shindig	吵闹
capsule	太空舱
cubital	尺骨的
upend	颠倒
purpuric	产生紫色
quilled	羽毛状
spherule	小球体
flatling	直挺挺地
frailly	不坚实地
reproachfully	责备
pots	Service
harpins	临时木材
djawa	=Java
fastening	扣紧
embay	围绕
universology	宇宙学
calyces	肾盏
icrp	Protection
nicotiana	烟草
subcrust	地壳下地层
cosmography	宇宙志
rapturousness	着迷
abrupt	生硬
uvea	葡萄膜
synchronous	同时的
auric	似金的
brogan	粗而坚固的短鞋
belgic	人的
salient	突出的
dodgery	诡计
loss	降低
nonorgasmic	不能进入情欲高潮
antipathic	不相容
overtime	加班
sestertia	sestertium的复数
corruptive	使腐败
viewphone	=videophone
sesquipedalian	多音节的
stag	牡鹿
bryony	葫芦科的一种蔓草
weather	迎风
phonotypy	音标印刷术
pyjamas	宽长裤
polak	波兰的
sketchily	写生风格地
gastrin	胃泌激素
whelk	峨螺
vulgarization	卑俗化
super	十分的
underclothed	穿着不暖的
reddish	微红的
deflationary	放出空气
whine	抱怨
talcous	滑石的
twirl	万能钥匙
cuttable	可缩减
evzone	希腊精锐部队的步兵
beslave	奴役
bepuzzlement	困惑
rambling	散漫
unfamiliar	不熟悉的
stand	维持不变
headily	性急
suppleness	柔软
coulisse	有槽木料
curvirostral	具曲喙
complot	图谋
vivarium	植物园
divinely	象神一样地
covenant	立约
barrelage	桶装量
jacobin	雅各宾派及其政策的
veratric	藜芦酸的
quadplex	四倍的
duplicate	副本
rewake	再觉醒
chutzpa	胆大妄为
lovelorn	害相思病的
unfading	不褪色的
monocephalous	具单头状花序的
brimful	满到边际的
awanting	缺乏的
jallopy	破旧汽车
dealer	商人
alacritous	活泼的
singular	非凡的
meshy	网状
corner	角落
townish	城镇的
spherical	球形的
refutatory	驳斥
kingship	君主政体
rue	悲伤
clime	地域
featheriness	羽毛被覆状
buddha	佛
scientific	科学
deuterostome	后口动物
crotcheteer	耽于幼想的人
jildi	忽忙
phenomenon	现象
vanish	消失
parentheses	插曲
scrimmage	并列争球
abortively	失败地
overdare	行事过于胆大
wow	叫声
xenophobic	恐惧外国人的
timpanist	定音鼓手
peristaltic	蠕动的
tumble	翻倒
maxisingle	密纹唱片
binnacle	罗盘箱
disprove	证明……为误
webmaster	WEB站点管理员
colorful	色彩的
rupestrian	由石头构成的
packinghouse	屠宰加工厂
wintry	冷淡的
pictorially	绘画般地
hyperfunction	机能亢进
peradventure	疑惑
inalterable	不能变更
exalted	尊贵
bilabiate	两唇的
purbeck	波倍克
fit	突然发作
relique	遗风
canthus	眦
agamic	无性的
nii	Information
grubber	孜孜工作的人
mizzle	下蒙蒙细雨
supercoil	超螺旋
dts	Theater
