trail	没精打采地走
lacedaemonian	古代斯巴达的别称
iffy	可疑
prelimit	预先限制
halfhourly	半小时地
cutie	漂亮的女孩
flowing	如流
nutritional	营养的
thermoscope	测温器
verse	诗节
unskillful	不熟练
matroclinal	=matriclinous
po	pos
shift	变化
cleanness	洁白
overmaster	征服
interrogator	质问者
coagulatory	引起凝结的
might	可以
aplomb	沉着
recommendatory	劝告的
therapeutical	治疗的
tricksy	淘气
about	在附近
taboret	绣框
hairlike	细微的
pmkd	邮戳盖讫
eutrapelia	机智
gay	欢迎的
abraser	磨石
flare	闪耀
friz	使卷曲
multisensory	多种感觉
fiddler	蟹的一种
keypad	键区
nonneoplastic	非肿瘤的
leucosis	白血性增生
finite	有穷的
rubescent	变红
nautical	船员的
arm	供给
pelvimetry	骨盆测量
neurogenic	起源于神经组织
joseph	Joseph
latifundism	拥有大庄园
furrier	毛皮商
nannyish	过时的
tsingtao	见Qingdao
cardioid	心形线
haste	匆忙
dechlorinate	脱去……的氯
deep	深入
skew	歪斜的
deacidify	使脱酸
puri	=puree
jumpy	跳跃
thankless	不感谢的
irretentive	不能保持的
supinely	掌心向上
inquiring	打听
approver	赞同者
engrain	使根深蒂固
investigate	调查
geophysics	地球物理学
subpleural	胸膜下的
bureaucrat	官僚主义者
laggardly	落后
tractable	易管教
corrosively	侵蚀地
chilean	智利人所说的西班牙语
tmo	telegraph
phenoxy	含苯氧基的
madding	狂乱
spider	三脚架
darkminded	黑心
antiodontalgic	止牙痛
phot	厘米烛光
kleptomania	盗窃癖
ccst	Teletext
fox	狐皮
scene	发生地点
troublous	暴乱
fictionist	创作家
dovetail	与……吻合
multipoint	多位置的
dermatitis	皮炎
frivol	浪费
monobloc	单层
crumbly	脆
macrodont	巨牙
gynander	雌雄嵌体
bung	堵
absorptive	吸收性
maxiskirt	超长裙
fimbria	毛缘
judaea	朱迪亚
tubilingual	有管状舌
hyperpyrexial	体温过高的
irreducible	不可约分的
vfd	department
icy	冰冷的
voces	的复数
griseous	浅灰的
dandriff	头垢
bramble	荆棘
phenol	石碳酸
baulk	阻碍
junc	接合
chiastolite	空晶石
remit	汇出
akin	类似
hummock	圆丘
blindworm	无脚蜥蜴
rigescent	生硬
nabobess	富翁的妻子
rockbound	被岩石包围
rewardless	无报酬
anther	花粉囊
metanephros	后肾
alkalescent	弱碱性
interbedded	层间的
peritoneum	腹膜
asme	Society
ifo	identified
dumpy	短雨伞
harborer	窝藏
employless	失业
dantonesque	大无畏
scum	产生泡沫
amu	mass
eurystomatous	有可扩展的嘴的
merchantable	可买卖的
gynaecocracy	妇女当政
tenacious	顽强的
accommodable	可适应
calculate	以为
railroading	仓促行事
osteotome	骨凿
cutesy	忸怩作态
shiny	发亮
ntfs	File
devilkin	小魔鬼
cyprian	淫荡
sacchariferous	产生糖的
trimetrical	斜方晶系的
salvy	软膏似的
haemostat	止血药
orion	猎户星座
indigently	穷困地
bacteriuria	细菌尿
sulfuretted	含硫磺的
ending	结尾
gay	同性恋者
dopy	被麻醉的
humped	有瘤
bangle	脚镯
locution	惯用语
flap	拍打声
derogation	毁损
frailty	脆弱
sawtimber	锯材原木
hypochondrium	季肋部
antrum	腔
airspace	领空
tussor	柞蚕
yielding	屈从
insuppressive	抑制不住
sequestrator	没收者
homework	副业
antiulcer	治溃疡
enunciative	表明
countercommercial	一则反广告
eremacausis	慢性氧化
ream	榨取
manganin	锰铜
sacred	庄严的
everyway	任从那一方面来看
subclavian	锁骨下神经的
frequent	频繁的
accusation	谴责
qos	Service
shoeless	无鞋
veni	I
mandioca	=manioc
baculiform	棒状
incisal	切
propagable	可推广
zamia	泽米属植物
bait	诱惑物
chamotte	火泥
manifestation	示威运动
temperate	有节制的
reductive	还原
heartsick	悲痛的
analytics	分析论
bridgeboard	楼梯之侧板
subcrust	路面底层
swanskin	天鹅绒般的
asap	尽快
please	满足
roundly	有力地
reflex	优角的
tussah	野蚕丝
thundering	打雷
smalti	的复数
mammee	曼密苹果树
kerbela	=Karbala
herculean	力大无比
valiantly	英勇地
mudflow	泥流
revisal	修改
rabbin	拉比
uso	劳军联合组织
baldish	无草木
barbadian	巴贝多
penetrability	穿透能
ginny	杜松子酒
acronymous	关于首字母缩略字的
tarsi	跗骨
euramerican	欧美混血儿
quellenforschung	原始资料研究
discomposure	狼狈
crankous	急躁
detector	检电器
griseous	珍珠灰的
sigmoid	S状弯曲
northeasternmost	最东北
arriviste	一心想发迹的人
preciously	过分讲究
municipally	市制上
reproduce	再生
holotypic	正模标本的
tandour	方桌火盆
legit	正统剧院
droopy	下垂
synchronous	同时
novial	创新语
fearnaught	和毛机
agrin	微笑
peg	钉
weldment	焊成件
batty	疯狂的
endogenic	内成
rowdyism	粗暴的行为
bunchgrass	丛生禾草
protension	持续
incivism	无爱国精神
biochore	生态域
vocationally	职业上
omnipresent	无所不在
leaf	树叶
psychoneurotic	患精神神经症的
lowest	最小的
uri	Uniform
cardan	joint
suggestive	提示
queensland	昆士兰州
flagpole	旗杆
unitary	归一的
deposable	可罢黜
sticking	有粘性的
accumulative	累积的
dazzle	眼花
initio	在卷首
pokey	狭小
kilmer	基尔默
unmarked	未被注意
phenomenal	显著的
blond	金发的
minicoy	米尼科伊岛
stateside	在美国
batleship	战舰
quadrate	长方形
purr	咕噜咕噜叫
hantu	鬼
aeronautical	航空学
starched	浆硬
fortlike	像城堡的
botb	British
luddism	Luddite
endochondral	软骨内
malversation	盗用
thrasonical	自夸的
kegeree	=kedgeree
supportably	可忍受地
introversible	可向内翻
spool	缠线用的框
inceptive	起初的
reproducer	扬声器
xql	XML查询语言
dampish	含湿气的
depasturage	吃草
estreat	征收
slickster	滑头
isogeneic	同系
nicol	prism
hieland	易上当的
fix	装置
spirited	英勇
fake	假造
inviolately	未受侵犯地
cherbourg	瑟堡
variant	不同
uninterrupted	不间断
credulously	易被瞒
clump	丛生
slack	松弛的
unhand	把手从……移开
yaup	喧嚷声
sleight	熟练
fescennine	下流
chronological	按年代顺序排列的
concretion	具体化
impervious	不会受到损伤
weekend	度周末的
tenement	住户
decline	下倾
noncommissioned	未经任命的
depressed	降低的
stole	圣衣
scathe	伤害
collectedly	收集成
aerobiological	`eErEJ9baIE`lVIkLl/
unerring	正确的
acardiac	无心畸形
collaboration	协作
attune	使相合
feetfirst	脚先着
affective	表达感情的
spcc	Children
frock	上衣
rightable	可纠正
reconvict	再判决
unstuck	未粘住
phatic	交流感情
mre	Education
vituperator	辱骂者
desquamative	脱皮的
damson	西洋李树
stolidly	神经麻木地
discarnate	无形
invariably	不变地
unbrace	使衰弱
fenestrate	有窗状小孔的
exsanguinate	给……除血
castration	阉割
follicular	小囊的
cosmin	齿鳞质
pathoneurosis	躯体神经机能病
igmp	Group
cloze	完形的
overpowering	无法抵抗
surgy	动摇得很厉害的
ozoniferous	生臭氧的
ramous	分枝的
irreproachable	无过失的
auxocardia	心增大
knickers	灯笼裤
nonpolicy	非政策
landowning	拥有土
clc	Canadian
charity	慈善
melpomene	墨尔波墨
axial	轴的
foreworn	=forworn
sheriff	州长
tied	打结
chloronaphthalene	氯奈
landtag	州议会
vote	选举
problematic	有疑问的
skfros	=Skyros
glacieret	小冰川
redroot	西风古
filamentary	细丝
democratic	民主政体的
suk	苏克人
nottingham	诺丁汉
ghosty	鬼
untilled	未耕种的
penuche	红糖糖果
irbm	missile
preharvest	收获前的
romping	嬉戏喧闹的
wooden	木制
desertion	开小差
stole	长巾
idea	观念
coitus	性交
scud	飞云
searching	透彻
ethnology	人类文化学
ultrasonic	超音速
rodingitize	使异剥钙榴岩化
tsktsk	啧啧
unpolarized	不分化
apologist	护教论者
sextodecimo	十六开本
fleece	羊毛状之物
lacunosis	网状的
hassle	与……争辩
machiavel	=Machiavellian
topnotch	最高质量
romany	吉普赛人
piping	吹笛
encourage	怂恿
gail	盖尔
protective	给予保护的
disproduct	有害产品
sliprail	活动栅栏
promotional	增进
uv	紫外的
compliment	致意
rhapsodize	狂热地说
featherhead	轻率的人
unate	非蚀
cripple	跛子
leatherette	假皮
supporter	赡养者
exacting	苛求
herpesvirus	疱疹病毒
reader	读本
preface	绪言
think	以为
quinquepartite	由五部构成的
participation	参与
oldwomanish	谨小慎微的
stick	戳
visional	梦幻般
communistic	共产主义者的
succade	蜜饯
cubital	前膊的
loutish	粗野的
psychosomatic	受心理影响
algometry	痛觉计
gascony	加斯科涅
affected	受侵袭
boston	波士顿
mortuary	死亡
roupet	=roupy
subcollege	准大学程度
depart	起程
unhesitatingly	坚定
vfr	visual
cutthroat	凶手
gilt	镀金的
vaporization	汽化器
questionnaire	问卷
vehicle	车辆
henceforward	从今以后
straightaway	直线跑道
great	主要
bosom	中间
poacher	偷猎者
ac	装甲车
awry	歪曲
preantiseptic	防腐法采用前
hydrometric	液体比重测定
choreographic	舞台舞蹈的
quadrilingual	四国语言的
geology	地质概况
slavic	斯拉夫语
californiate	使加利福尼亚化
emit	发行
undiscerning	迟钝
unlovely	不可爱的
baconian	培根哲学
volti	翻页
imparadise	使成乐园
cone	使成锥形
allspice	多香果
befitting	适合的
weather	处境
trousseau	嫁装
beaux	求爱者
beat	打
leavisian	利维斯派的
connotative	内涵
glonoin	硝酸甘油
interpolymer	互聚物
anthropopathism	认为神具有人性的说法
monostylous	单花柱的
earcap	耳套
versification	作诗
indeliberate	不是故意的
increately	非创造出来
resolved	下定决心
spiritist	巫师
incumbrance	阻碍物
procurance	达成
ratcatcher	灭鼠者
keylight	主光
diphenyl	苯基苯
sheller	剥壳者
isogony	等称增长
tuberculoma	结核瘤
spasmogen	致痉药
nautical	海军
unspecific	非特定
patency	明显
allspice	多香果粉
pleader	抗辩人
leavisian	利维斯追随者
demeanour	举止
illinois	伊利诺斯州
chopfallen	垂头丧气
teachable	驯良的
pond	筑成池塘
hitchhiker	顺便插入的广告
characterful	有特殊风格
comptroller	审计员
spatchcock	急忙填写进去
cansure	谴责
retirement	退休
phenobarbital	镇静安眠剂
current	草写
sandbag	用沙袋打
lamelliform	薄片形的
unenlightened	无知的
reserved	保留
corrupt	腐败的
kinchin	小孩
nettlefish	水母
inner	里面
hodiernal	现在的
add	又说
akkadian	阿卡得人
echopraxia	模仿动作
herts	=Hertfordshire
paramedian	正中旁的
lunisolar	由于日月的引力的
beamed	有梁
auditorial	审计员的
outvoice	话讲得比……更响
lino	漆布
percolation	浸透
pinealoma	松果体瘤
galvanization	镀锌
ferromagnetic	铁磁的
aperitive	轻泻剂
firebox	机车锅炉炉膛火室
snuffle	鼻音
paludal	沼泽
interchannel	通道间
extramural	市外的
couchant	蹲着的
streptococcus	链球菌
recusancy	不服国教
grained	漆成木纹
orthography	正字学
remediless	不可救药的
droppable	可抛弃
unreachable	取不到
interlocutory	对话的
jobbernowl	愚蠢
chenab	奇纳布河
aesthetic	美学的
delian	得洛斯人
fade	淡入
bukharan	布哈拉
federative	联邦性的
disfavour	讨厌
levity	轻率
cembalo	羽管键琴
preterlegal	超过法律范围的
vineyardist	葡萄园主
interterritorial	领土间
charismatic	超凡魅力
justificatory	用以辩解的
spirivalve	有螺状壳的
acrid	刻薄的
biscay	Bay
unprincipled	不合人道
ephesians	以非所书
injunctive	命令
splenii	splenius的复数
jinn	神灵
idahoan	爱达荷州
overrun	蔓延
uss	美国军舰
politically	贤明地
anecdotical	轶事
eligibility	适任
riskily	冒险地
auxiliary	辅助的
jetty	防波堤
teleordering	远程订购
priscan	古代存在
imino	亚氨基的
nattily	整洁地
adi	每日允许摄入量
neighborly	友好的
xeroma	干眼病
mesmerist	催眠术师
inbreath	吸气
ethyne	乙炔
immensely	广大
beg	乞求
naiad	女游泳家
depredate	掠夺
imperturbability	沉着
gastrotomy	胃切开术
porcellanic	=porcelanic
sebaceous	脂肪的
billingual	开发多媒体英语教学软件
interlinear	写在行间
suicidal	自毁
leggy	有优美的腿
retgersite	镍矾
leporid	兔类
mismate	使配合不当
paramnesia	错构症
absinthism	苦艾酒中毒
pascual	牧场的
cromerian	克劳默文化的
prolocutor	发言人
piffle	蠢话
brute	残忍的
paroquet	=parakeet
fibrotic	纤维化的
nonfat	脱脂
unstatutable	非法定
oust	驱逐
extrusion	挤出
finned	有鳍状物的
fat	丰满的
playmaker	场上组织进攻的队员
doneness	煮熟的程度
ciliiform	睫毛状的
exacerbation	增剧
screech	急煞车声
luganda	卢干达语
abridgement	缩短
smeary	弄脏
interstage	级间
bungaloid	到处是平房的
everyman	一般人
grovy	树丛
sorus	芽胞囊群
regality	君权
diquat	敌草快
knap	猛咬
winded	喘气的
peremptorily	专横
isodose	等剂量
inofficial	非正式的
forepost	=outpost
redescend	再次下
conceitedly	自满
forwearied	筋疲力尽的
anopisthograph	单面有字的书ic//
ho	引人注意
detectivism	侦探工作或活动
stag	阉割过的雄鹿
lapse	流逝
thin	稀薄
your	你的
anthropography	人类地理分布学
folkie	民谣歌手
thalassocrat	海上统治者
monochromical	单色的
unspoke	unspeak的过去式
rate	估价
inadvisable	失策的
think	想
true	真正
comparative	比较的
oxidize	氧化
recessional	后退
lollardry	=Lollardism
insignia	勋章
anomalism	畸形物
unfetter	解放
insect	昆虫
endoradiosonde	体腔内无线电测压器
corba	公用对象请求代理程序体系结构
persuade	某事
consummative	使完婚
hemic	血
unicef	United
commencement	毕业典礼
ohm	欧姆
bim	巴巴多斯人
menstruous	行经
haslet	肚杂
habited	穿着衣服
piss	小便
moocher	乞丐
anil	假蓝靛
nystatin	制霉菌素
idly	空闲
ritually	仪式上
determinately	有限花序
assertor	主张者
nondelivery	不能引渡
funneled	漏斗状的
pots	Plain
verein	联盟
ethnography	民族志学
cloture	结束辩论
tuscarora	塔斯卡洛拉语
anfractuosity	弯曲的道路
undisguised	无伪装
wicker	柳条制的
appoint	约定
antihypertensive	抗高血压
smaragd	祖母绿
keno	一种赌博
station	地位
fluxional	不定
smooth	使优雅
affricative	塞擦音
eliminate	消除
encephala'	NULL)
complice	共犯
jaunty	感到自信和自满的
spasmodical	痉挛
lymphocytotic	淋巴球增多
uncorrectable	不能补救的
puff	喷出
photoactinic	能产生光化作用的
brake	刹车
syllabicate	使分成音节
interpretable	可判断的
calydonian	boar卡莱敦的野猪
incautious	不谨慎
ravenous	狼吞虎咽
tachymetabolism	代谢过速
applique	嵌花的
redefinition	重新定义
scholastic	经院的或经院哲学家的
succinct	压缩在小范围内的
socially	善于交际
bedspread	床单
showup	揭发
mirador	眺台
bromo	镇静剂
unrelenting	不宽恕的
hospitium	=hospice
thin	使变薄
burnable	可燃
nobbily	华丽地
sculptural	雕刻的
ruthlessly	冷酷
decentralization	地方分权
bef	British
subgum	素什锦的
engage	交战
ustulate	烧焦
damocles	为叙拉古暴君Dionysius的宠信
resentment	愤恨
tuberculoid	结核样的
retem	杜松豆
postmortem	死后发生的
imo	My
rhodonite	蔷薇辉石
sampan	小船
nii	National
aglare	闪耀地
corsetry	紧身衣销售业
floatable	可浮起的
revisionary	修正的
guardrail	栏杆
benchboard	台式配电盘
shelly	有壳的
blithesome	高兴
voluminous	卷数多
carcel	卡索
triblet	心轴
lamellibranchiate	瓣鳃类
agranulocytosis	粒性白血球缺乏症
rockabilly	山区乡村摇滚乐
availablein	有效范围
orient	上升
weakly	有病地
teratogenic	产生畸形
rhizoma	根状茎
altherbosa	高草群落
jeer	戏弄
chief	酋长
baroque	结构复杂
versicolor	杂色的
striola	细条纹
repairer	修补者
impertinently	不切题
hydrargyrism	水银中毒
land	登陆
mealtime	进餐时间
discontinuous	间断的
cater	备办食物
relativist	相对论者
chomskian	乔姆斯基语言学理论
canaliculate	有细管的
chaliced	有杯状花的
surgicenter	手术中心
mere	仅仅
hearthstone	炉底石
facetiae	黄色小说
flicker	扑动
unmeditated	未加思考的
daunomycin	红比霉素
camshaft	凸轮轴
iadl	of
axial	轴向
ringneck	环颈动物
wog	病菌
unisonous	和谐
repetitiousness	反复
catastrophe	大灾难
azoth	水银
chromocentre	染色质核仁
cyanine	青色素
gherkin	黄瓜之一种
hell	苦境
checkerwork	方格花样
expeditiously	敏捷
mutiny	叛变
atapi	AT
rantipole	粗野
exclusion	排除
manful	勇敢
bowery	象亭子
aculeated	有刺的
diplopia	复视
toyama	富山
centrifugate	利用离心力分离
ganelon	冈隆
protomartyr	第一个殉教者
chiefless	没有首领
autumnal	秋天
enactory	制定法律
expatiation	详细的说明
escot	供养
dimensionality	幅员
bibliographic	著书目录的
phase	阶段
divorce	与……脱离
relapse	故态复萌
forgive	宽免之债务
hex	施魔法
other	另外一个
exoneration	免罪
unsmirched	干净
shutter	以百叶窗遮闭
capacious	宽敞
objectionable	引起反对的
quezon	City
iconographic	图示法的象征
anopia	上斜眼
blithering	胡扯
yaffle	绿色啄木鸟
cosmopolitan	四海为家的人
tundish	漏斗
smtp	Simple
unformulated	未用公式表示的
children	孩子
adidas	阿迪达斯运动服
craquelure	龟裂缝
regulate	调节
deterministic	确定性的
lacunaris	多孔
pockpit	=pockmark
crumb	弄碎
auditorship	会计检查官之职
ferine	野生的
molina	Molina
tajikistan	=Tadzhikistan
distractingly	精神涣散
opal	猫眼石
fetial	古罗马祭司团成员
investigatory	=investigative
renvoi	驱逐出境
fanlike	扇状的
paumotu	Archipelago
sanious	由脓液构成的
prescription	命令
countersign	连署
samisen	日本三弦
autoantibody	自体抗体
tdy	temporary
excitation	兴奋
nebulize	使成雾状
mucosity	粘
microlens	显微镜头
baccate	结浆果
wysiwyg	Get
myriorama	万景画
anthropophagi	食人族
virologist	滤过性病原体学者
roomily	广阔地
censurable	可非难的
doodling	乱写之物
ruttish	交尾热
gunn	耿氏效应
modernise	=modernize
redemptive	赎回的
nucleoplasm	核浆
collaborative	合作的
rouncy	马
enemy	敌方
force	军队
clausal	条款的
mohammed	穆罕默德
wiring	配线
infinite	无数的
glace	糖渍
rumble	吵嚷声
evangelical	新教会
npr	国内公用无线电台
fable	神话
carpaccio	擅用红白两色而得名]
outbound	开往外
circle	环绕
speiss	黄渣
nonenzymic	不涉及酶作用的
exemplariness	可作模范
qbp	bishop''s
peremptory	专横的
grindingly	虐待地
chlorine	氯
slovenry	凌乱
rosace	圆花窗
avidity	热望
langobardic	伦巴第的
immensely	无限
bhutan	不丹
imploringly	哀求地
hemimetabolic	具有半变态特性
escuage	服役
usufructuary	有用益权
fac	controller空军前进控制员
peroration	结束语
nonnasal	非鼻音的
osfcw	Coordinator
inhibitory	禁止
pad	衬垫
frostbitten	受霜害
form	形态
droit	权利
bleb	气泡
portent	征兆
libratory	游移
thalassochemical	海洋化学
pyramid	叠罗汉
gadgetry	小配件
buirdly	高大结实的
treehopper	角蝉
somasteroid	体海星纲
netware	Novell公司出的网络操作系统
sullenly	阴沉
exiled	流亡的
trothplight	订婚
coprozoic	生长在粪便中
upcountry	向内的
supertonic	上主音
hamel	阉羊
trusteeship	托管领土
dragon	龙
biconical	双锥的
wrecker	使船失事的人
carnaby	Street卡纳比街时装
lusus	naturae
mechanomorphic	机械形成论的
unredeemable	不能赎回
perceptive	有理解
haligonian	哈利法克斯
legendary	传奇故事书
zip	一种压缩的文件格式
bugger	鸡奸者
handgrip	手柄
semirural	半农村的
criosphinx	狮身羊头像
ultrasonic	超声波
napier	纳皮尔紫狼尾草
intensively	集中地
mammonist	拜金主义者
mpeg	Pictures
immediate	立即的
early	早先的
cyclostomatous	圆口动物的
abundant	盛产
intellectualize	智能化的//aIz/
process	加工
hitchhiker	搭便车的旅行者
cowson	杂种
plasticize	使成可塑体
calyculate	有杯状小体
illiberally	吝啬地
constantia	康斯坦莎
insincerely	无诚意地
rosebud	初入社交界的少女
pathbreaking	开路先锋的
epistrophy	异常形态的恢复正常
squiffer	六角形手风琴
graphy	书写符号
antiscience	科学无用论
cardoon	刺棘蓟
print	印章
perplexed	困惑的
treasonous	叛逆的
complaisant	殷勤
irregular	无规律
sightsinging	视唱
verbose	冗长的
servohydraulic	伺服液压控制的
atria	排泄腔
divisive	分裂的
therapsid	兽孔目的
develop	发育
episcopate	主教之职
cytomorphology	细胞形态学
unshaped	未定型的
anticatarrhal	消炎的
gitano	吉卜赛男子
gobbledegook	冗长的官样文章
amputation	切断手术
ayh	Hostels美国青年招待所
photosensitivity	感光性
footsie	脚
sforzando	加强
heah	=here
autunite	铀云母
nsm	Smoking
mightily	非常
corrosively	腐蚀
predikant	荷兰新教的牧师
hingeless	无铰链
asynergy	协同不能
dixy	露营用大锅
harmoniously	调和
cazique	热带金莺
zany	愚蠢的
deprecatingly	恳求
shindy	喧哗
fallalery	无用的饰物
telomitic	=telocentric
gentile	非犹太人的
humble	使……卑下
pentlandite	硫镍铁矿
babiche	皮条
extemportize	即席演说
adrenocorticotro	tIkEJ`trCpIぶ世喙檀
avery	艾弗里
yva	Yangtze
palimpsest	重写本
chaldaic	居于古巴比伦之闪族人
nonluminous	不发光
tacket	钉
snr	Snr
samel	未烧透的
lactescence	乳汁状
unmarriageable	不能结婚
filterability	过滤性
maungy	闹别扭的
considerate	考虑周到的
selective	选择的
chordoma	脊索癌
varangian	瓦兰吉人
pop	砰然声
ostracean	牡蛎的
homeric	荷马式的
acinus	浆果
obstruct	阻隔
indigent	贫乏的
peacekeeping	执行停火协定的
recurve	向后弯曲
trichi	=trichinopoli
shirttail	远房的
ciliiform	均匀细密的
hardy	艰苦的
breadless	无面包的
gorgy	多峡的
tattered	褴褛的
thorough	彻底的
sentiment	情操
wetly	潮湿地
glum	阴郁
ennoble	封……为贵族
hepatic	肝
doge	共和国总督
rockwork	天然岩石群
translation	译文
ablator	烧灼体
some	一些
cupule	吸盘
gunflint	引火燧石
grandchildren	孙子
rendrock	爆破炸药
broadloom	织为单色宽幅
watchword	标语
virtue	优点
tritural	适合于研成粉
cytotechnology	细胞技术学
re	symb
resojet	共鸣式喷气发动机
pinda	花生米
crepuscle	朦胧
displeasing	不愉快的
eerie	奇异
rook	欺骗
neuropathic	神经病
alumni	男毕业生
planetokhod	行星探索车
pendulous	下垂的
mediation	调解
luteolin	毛地黄黄酮
preexilian	犹太人被放逐至巴比伦以前的
former	创造者
lentando	渐慢
wetter	湿润剂
conferment	给予
tenor	要旨
diamantiferous	藏有钻石的
mango	芒果
waste	挥霍钱财
pulpous	纸浆状
mediaeval	中世纪
chime	和谐
average	海损
endophilic	生态上与人及其所处环境有关联的
diplon	氘核
frostbiter	冬季赛艇运动用的赛艇
cleaver	突出的悬崖
leapfrog	跳背
constrictor	使压缩之物
phonotypy	表音速记法
intricacy	复杂
gyroidal	回转的
sudbury	萨德伯里
lunar	月
mootah	大麻
peasen	pease
footbath	洗脚盆
silverless	不用银制
giggit	急运
crinkleroot	美洲荠
uncalculating	未经过仔细分析的
introspection	内省
partisanship	党派性
splendidly	壮观地
infrequence	罕见
unaccustomed	奇怪
somesthetic	体觉
controversy	辩论
foredo	毁
punctulated	有细孔的
concourse	合流
amaranthine	紫红
semiotic	记号语言
galactometer	乳液比重计
sadly	悲痛
aquatic	水的
tuberculize	使感染结核菌
mediatrix	女仲裁者
rollaway	滚移的
settltment	决定
creamometer	乳脂计
curvulate	稍有弯曲的
endobiotic	体内生
crudity	不熟
abrade	磨损
pickeer	侦察
hatchel	麻栉
cubanize	使古巴化
folksy	无拘束的
pythagoric	=Pythagorean
vote	选票
attenuation	稀薄化
adh	抗利尿激素
watcher	注视者
obstruct	障碍物
basal	基部的
constellate	使形成星座
fabular	寓言的
qualmish	受良心责备
motivic	乐旨
orient	使朝东
magnitude	巨大
ideograph	象形文字
contrasuggestible	反暗示的
cinematic	影片
cuticular	表皮的
contretemps	意外事故
justus	贾斯特斯
trench	电缆沟
ropery	开玩笑
incondite	粗劣
fleshy	肉
haematothermal	温血的
manner	习惯
heptahydrated	七水混合物
unneutral	片面
nhg	New
swash	溅出
awol	擅离职守的
after	在……后面
responsion	应答
sternutation	打喷嚏
siphonal	水管
squareflipper	髯海豹
vila	维拉港
indigenization	本地化
other	其他
paleographic	古文书学的
irreproachable	无缺点
tabid	衰弱的
napooed	杀死
fat	File
wirephoto	有线传真
counteragent	中和力
annularity	轮状
ungulate	蹄状的
rural	生活在农村的
aau	Amateur
midas	善赚大钱者
downhearted	垂头丧气
pout	生气
leftover	剩菜
navigate	使通过
canned	喝醉了
singlehanded	单独的
abalone	鲍鱼
composition	作文
subassembly	组件
australian	澳大利亚的
everbearing	连续不断结果
turgor	浮夸
square	直角尺
caterwauling	抱怨声
myositis	肌炎
dun	讨债者
prepay	预付
proparoxytone	在语尾算起第三音节读重音
arrogancy	傲慢
scene	现场
phanerite	显晶岩
hematinic	补血
isapi	Interface
emanant	放射式
tumultuous	喧嚣的
unsolvable	不能解决的
crakeberry	岩高兰之浆果
notable	值得注意
unpenetrable	不能穿入
assuming	傲慢
zulu	字母Z的代称
collarless	无马轭的
lacedaemonian	古代斯巴达
dare	挑战
dmd	Medicinae
penitential	苦行赎罪的
doloroso	悲痛
folly	轻松歌舞剧
pinnatilobed	裂
iniquitious	邪恶
novell	美国Novell公司
judaeophile	对犹太人亲善
rumansh	=Romansh
pusher	作家
indoor	户内
salvolatile	碳酸铵
context	上下文
jobber	批发商
uncommitted	未被授权
visa	维萨信用卡
magnitogorsk	马格尼托哥尔斯克
hilum	粒心
undrape	除去帐幕
paragraphic	短评
turning	转向
wobble	使摇摆
diversion	牵制
antiquate	使古旧
hummock	山岗
slaughter	残杀
poser	装腔作势者
acta	Carriers
secularity	烦恼
landowning	有关土地所有权
cymometer	频率计
renounce	断绝关系
bedding	被褥
finale	最后的一个乐章
moonstruck	神经错乱
quarrying	采石
ransack	掠夺
emotivity	表现感情
fanged	有毒牙
wanta	=want
agave	龙舌兰属植物
living	现存
ricket	失风
hybridist	杂交工作者
giglot	轻浮的女孩
coverall	包罗万象
zenana	闺房
bibliographical	书籍解题的
hamulate	弯曲
fulminating	呵斥
custodial	圣物保管容器
microecology	狭域生态学
hematosis	造血作用
armoric	阿莫里凯语的
flagitious	罪大恶极的
diamante	镶人造钻石装饰
belled	有钟形花的
xylocarpous	结硬木质果的
pyroligneous	干馏木材而得
amt	丹麦最大的行政单位
ang	Newspaper
booker	登记人
revision	修订
farmisht	糊涂的
section	节
cataphyll	初叶
shmear	=schmear
harbor	海港
nymphomaniacal	患慕男狂的
judaist	尊崇犹太教风俗的人
fecit	……画
motoric	肌肉运动
picnicker	郊游的人
aeroengine	飞机引擎
indefensible	无辩护余
grail	杯
hill	山岗
winston	温斯顿
jowl	颚骨
foppishly	艳冶
explanate	展开的
genearch	家长
intensively	强烈
shirty	发怒
blotchy	有泡的
inappreciably	微不足道地
inclip	围绕
oxyphile	=acidophil
skeletonize	使成骸骨
intestinal	肠的
deanery	教区
disgustful	唾弃的使人发呕的
humanly	用人力
valuable	贵重
holytide	宗教季节
ciliary	毛状的
ageratum	藿香
crucifixion	磨难
sirenian	海牛类
fast	牢
imploring	哀求的
outbuild	比……建得更多
crystallizability	可结晶性
meshwork	网
tartarus	地狱底下暗无天日之深渊
hpna	Alliance
parietal	腔壁
anopisthograph	单面有字
coed	男女兼收的
quinquevalence	五价
crosspiece	横木
concluding	结束
isomorphic	同形
terawatt	太瓦
color	脸色
cotter	住茅屋的人
verdigris	碱性碳酸铜
kirmess	大市集
insnare	诱入圈套
critic	吹毛求疵者
jaguar	美洲虎
chime	打
softening	软化
square	自乘
saury	刀鱼
shady	成荫
drive	猛击
unneighbourly	不友善的
feirie	灵活的
kinematograph	电影放映机
ingather	收入
crystalloid	晶体
betweenbrain	间脑
asperity	严酷
crashworthiness	防撞性
call	通话
piercingly	刺透
documentary	记录片
uniat	东仪天主教会
mile	英里
striking	显著
sided	有面
civil	市民
coombe	深陷的山谷
concentricity	集中
irene	女性名
bipolar	双极
tchick	发出催马快跑之声
newsworthy	有报导价值
quaggy	沼地的
make	安排
pondokkie	茅棚
asleep	睡熟
flexible	可通融
