vacuome	液泡系
blatant	俗丽的
schizogony	=schizogenesis
valency	化合价
jointly	共同地
eyeglass	眼镜
baseballer	棒球选手
orbit	绕……轨道而行
panduriform	提琴形
solon	梭伦
ogee	弯曲
fusiform	纺锭状的
revulsant	引起诱导
thujaplicin	苧侧素
diamantiferous	产钻石
graunchy	考验
nora	Eleanor
dowable	有权得亡夫遗产的
witty	富于机智的
whitecap	白帽队队员
nightmarish	不愉快的
subscript	写在下方
brindled	有斑纹
tearproof	撕不破
pained	痛的
stepdance	踢踏舞
justification	认为有理
legroom	踏脚处
xanthopsy	黄视症
trench	掘沟
regress	退回
kiloampere	千安培
astrobleme	陨星坑
onwards	向前
nonparous	未生过婴儿的
rfc	Comments
interstellar	星际
ultimata	根本的原理
combination	结合
basidia	basidium
more	多
sear	凋谢
twinned	孪晶生成
pli	磅/英寸
dynein	动力蛋白
gymnastic	体育的
leiotrichous	有直发的
runabout	小型单座敞篷车
renormalization	重正化
infective	有传染性
adjacent	邻近
syllogise	=syllogize
celebration	庆祝
emersonian	与爱默生有关
tracheal	导管
panhandle	狭长的土地
gasless	不产生气体的
signalize	使著名
fearfully	非常地
gonfalonier	中世纪意大利都市国家的行政长官
pituitous	黏液
spew	喷涌
appurtenances	附属物
squeegee	橡胶滚轴
penetration	突破
splenic	脾的
ruefulness	可怜
aprism	Apra
overhasty	过于匆忙
unusual	不寻常的
skullfish	两岁以上的鲸
peccancy	违章
tubercled	生有结节的
defrost	解冻
biolysis	死亡
turntail	开小差者
trouper	老练演员
lofi	低保真度
positive	积极的
corticole	生于树皮上
education	教育学
fool	白痴
nee	旧姓
fallacy	谬论
wellspring	水源
exploiter	开发者
structuralist	构造主义的
decelerometer	减速计
aliquant	不能整除
roentgenoscope	=fluoroscope
ballplayer	棒球手
fidate	稳固棋子使它不被对方吃掉
fuddled	醉的
bluster	风狂吹
landlady	女房东
tormentor	长肉叉
unconsolidated	疏松
sulphurator	硫化器
legerdemainist	魔术师
deficient	缺乏的
unaffected	自然
wysbygi	在获取之前所见的
meadow	草地
acrux	南十字星座中的一个星
denudate	裸体的
botryoidal	一束葡萄状
harewood	染色槭木
scarce	缺乏
aerobiologic	大气生物学
faciolingual	面部与舌
grinder	磨工
filipine	菲律宾
prejudicial	引起偏见的
melkite	=Melchite
rethink	再想
taking	可爱的
salutatory	致敬意
sweetly	香郁地
schoolteaching	教师的职务
ornamental	装饰性的
confidently	安心地
heterofil	异质复合丝
vida	维达
parthenospore	非接合子
guncotton	强棉药
assertion	主张
cryptic	秘密的
kingbird	必胜鸟类
northwestwardly	向西北的
devotional	祷告的
premarital	结婚前
vinylbenzene	苯乙烯
unwisdom	愚昧
feodal	领
phylloclade	代叶枝
questionmaster	答问节目的主持人
jauntily	活泼
tickler	备忘录
zone	分成区
pantopragmatic	爱管闲事的人
loyalize	使忠诚
hypersexual	性欲过度的
sulfurate	如硫磺
nucha	项
exodermis	外皮层
maddish	有点疯狂
xylophonist	木琴演奏家
heartland	心脏地区
phosphate	磷酸盐
pleuston	水漂生物
unlikely	靠不住
tacitly	肃静地
usac	States
function	功能
like	同样
heyday	全盛期
rowen	一季中牧草之第二度收割
committal	承担义务
nyctitropism	就眠性
endosome	内涵体
oscan	欧斯干人的
biographically	传记体
dcm	Medal
northwestward	向西北的
ozokerite	地蜡
ruminatively	反复思考地
ridgepole	栋梁
sagittarius	人马图形
redemptor	=redeemer
impotency	性无能
pyogenic	生脓
delphinium	翠雀花
promulgator	发布者
inequiaxial	不等轴
excessively	非常
gymp	绒丝带
inconsequent	不一致
epicurean	信奉伊比鸠鲁学说者
bunko	诈欺
discreetly	谨慎地
skiogram	=skiagram
expectorant	化痰
compliableness	依从
san	Area
anyway	无论如何
diocesan	主教管区
shipshape	井然有序的
verecund	忸怩的
cosmopolitanism	四海一家
dwarf	侏儒
curvature	曲率
canorous	音调优美
uncase	从箱子取出
stainer	色料
unprescribed	非指定的
matsudo	松户
ilici	为西班牙厄里奇市的古名
soulful	感情上
fibrocystic	纤维囊性
traumatologist	创伤学专家
reimportation	再输入的东西
gustiness	狂风
incursion	侵入
mastersinger	=Meistersinger
beefwood	澳洲产红色坚硬木材
idiocratically	癖好地
fissive	分裂
megalithic	巨石造成
lymphocyte	淋巴细胞
cresting	顶饰
pharyngal	咽
fornicate	拱状的
salle	大厅
ponderability	可秤性
saccate	囊状
ticklish	不稳定的
valence	价
semidomesticated	半驯养的
nether	下面
birdbrain	轻佻的人
utopian	乌托邦
squelcher	毫不放松的反击
charrette	专家研讨会议
plebby	平庸的
presto	极快
sleight	技巧
aspersion	洒水
pastorate	牧师的职责
decipher	译解
eutomous	裂隙清楚的
dashy	浮华
embezzlement	盗用
ever	不断
contingency	偶然
subdeaconry	职位
trochilic	旋转机械运动的
staple	来源
odor	气味
conventionally	照常套
vomitive	呕吐
budgetary	预算的
stance	姿态
illicitly	违法
renegotiation	重新商议
sir	阁下
quaintness	离奇有趣
putridness	堕落
personalist	人格主义
archduchy	大公国
egoistically	利己地
cegb	Electricity
desirable	合意的
nielsbohrium	鈹
imprecise	不严密的
amdg	majorem
pcav	Constant
delinquent	失职的
wattle	金合欢树
siphonet	腹管
unsicker	靠不住的
bareback	不用马鞍地
bill	用海报宣传
vulgate	通行的
renovator	革新者
coact	共同合作
unawakened	未醒的
dialytically	用透析法
share	份额
hemiplegia	半身不遂
slub	粗纺线
pancreatin	胰液素
ipa	国际药物摘要
unqualified	绝对的
roundabout	转弯抹角
evangel	福音
corporate	全体的
operation	业务
superb	华丽的
simile	明喻的词语用法
ribbonman	绿带会
isapi	Internet服务器应用程序接口
fallen	陷落
mym	myriametre
independent	不受约束
dewindtite	磷铅铀矿
fagot	束
semicentury	半个世纪
caduceus	MERCURY的手杖
floatage	漂浮
hypothetical	假设的
nonconformist	非国教徒
conveyable	可移动的
fornix	穹
flange	轮缘
digital	数字式
recremental	废物
abroad	广泛
angiosperm	被子植物
carelessly	不注意
defeminize	使失女性态
railcar	铁路车
ingeniously	有才能
zwitterion	两性离子
arbitrator	仲裁人
flowering	开花的
egodystonic	与自我不相容
lightless	暗
plough	犁
crockery	陶器
tarpeian	塔尔皮亚岩石
drivership	驾驶
gynaecoid	女性的
civicism	市民政治
dichromism	二色
knight	爵士
oracle	预言
ferocious	凶恶
puppy	小动物
guilty	心虚的
brahmanic	婆罗门
unsaleable	非卖品的
boeotian	愚笨的
rainily	下着雨
retrude	在……造成后移状态
tot	合计
hartshorn	氨水溶液
withering	使干枯
safety	安全设备
unprescribed	自由的
rotisserie	烤肉店
badman	不法之徒
oracle	哲人
dopester	预测结果的人
uloid	瘢痕状的
hedonistic	快乐主义者
cliquy	私党的
alfa	希腊字母第一个
lassock	少女
explorative	探测的
biogenic	源于生物
stagecraft	编剧才能
putto	丘比特裸像
silverless	无银的
delphi	特尔斐
relative	关系词
devocalization	清音化
brand	打火印
slavish	奴隶
literate	有文化的
toilless	容易
unsoiled	清洁的
asap	Possible
nagoya	名古屋
vilma	薇尔玛
vertiginous	旋转的
sumpsimus	正确措辞
activity	放射性
shred	切碎
supremacy	地位最高的人
disinhume	掘出
pockmark	痘痕
dockworker	码头工人
bps	位/秒
cosupervision	共同监督
contradictious	爱反对
level	水平面
fosterer	鼓励者
disunite	变得分离
hyetometer	雨量表
colicroot	各种可用以治腹痛植物
crisis	疾病的转折点
rummage	检查
sdcd	Density
politesse	礼貌
grafter	嫁接的人
dramatic	生动的
white	白种人的
catamount	猫科动物
sirupy	糖浆
normally	正常
slide	滑行
circumnavigate	环航
ragazza	女孩
greedily	贪婪地
subdividable	可再分的
brokenhearted	极度沮丧
laminated	层压的
down	往下
swimfeeder	水下给饵器
brand	污辱
potsdam	波茨坦
teller	讲话的人
paean	赞美歌
fool	傻的
playmate	游伴
unbar	拔去门闩
bonded	存入保税仓库的
protracted	拖延
youthy	少壮的
facp	Physicians美国内科医师协会会员
functionalist	机能主义
unoiled	未加油
negationist	否定论者
hyposecretion	分泌不足
array	穿着
countable	可数名词
oilstone	油磨刀石
iyft	at
unphysiologic	不符合生理规律的
languorously	疲倦地
tenant	承租人
dilettante	业余艺术爱好
nsf	National
impetrate	祈求得到
effectiveness	效力
sheath	护套
blocking	舞台场面设计
knockwurst	大香肠
unformulated	未系统地阐述的
egomaniac	自大狂
counterblast	反向气流
precedable	可能被超先的
circumstantiate	详细地说
narrow	严密
favoritism	得宠
pane	窗格玻璃
atechnic	无技术知识的人
shipwright	造船工人
discontentedness	不满
bomb	投弹于
grained	有木纹的
bleak	阴冷的
charnel	停尸房
aiguille	锥状的岩石
disintegrate	碎裂
calculus	微积分学
transoceanic	横越海洋
contemporaneity	现代
saw	锯
catilinarian	谋叛者
personality	人格
lymphous	淋巴样
waec	West
raca	无价值的
unsuccess	不成功
expresser	表示者
incarnate	体现
scuff	以足擦
nitid	发光
ghosty	幽灵的
introductive	介绍的
mugger	泽鳄
foregoing	在前的
darkle	变暗
carpogenic	生果实
tenuirostral	细喙的
changepocket	大口袋中装硬币之小口袋
sure	稳当
poddock	蟾蜍
forecast	先见
filial	子女
avellan	四臂榛果形的
xanthomelanous	有橄榄色皮肤和黑色头发
gerbil	沙鼠
cast	铸件
mohican	莫希干人
sagamore	酋长
velveteen	平绒
caespitose	簇生
frowsty	闷
corba	Architecture
trueness	真实
graphotype	白垩版
connotative	隐含
unembellished	未修饰的
resolve	决定
discipular	门徒
pose	姿态
accurst	可憎恨
acervate	成堆生长的
enfeoff	授予封
shorthanded	人手不足的
emasculate	阉割了
shonk	犹太佬
nanna	奶奶
solemnify	使严肃
invert	使颠倒
anam	=Annam
slatted	装有板条的
flurry	使狼狈
acerbity	涩
basanite	试金石
dhahran	达兰
contiguous	邻近的
ergataner	类似工蚁的无翼雄蚁
expressional	表现
yellowstone	黄石国家公园
candid	无偏见
downturn	低迷时期
tendential	=tendentious
sidelight	杂闻
pupae	蛹
farrandly	壮丽
kotwal	行政长官
reform	改善
synchronal	同步
groom	推荐
swim	游泳
chantable	可歌的
braver	勇敢
santy	=Santa
contiguous	毗边的
recurved	后弯
homebred	不懂世故的
afraid	担心
dudish	纨裤子弟的
storehouse	仓库
jesuitism	狡猾
canvass	拉选票
parc	Palo
hominine	人的
backwardly	往后地
notate	把……
sioux	苏语的
tutania	锡合金
ideaistic	观念的
gassy	含气的
escap	the
cycloheximide	放线酮
fly	飘扬
goshen	歌珊地
multiparous	经产的
rejective	排斥
extraovate	卵外
fubsy	矮胖的
timing	适时
oaten	麦杆制
distortedness	扭歪
pungle	捐
heartfelt	衷心的
hedonistic	快乐主义者的
briquet	煤饼
profundity	深处
unsuppressed	未压制的
incoherent	不连贯
despiteously	可鄙
conspirator	阴谋者
illogic	缺乏逻辑
informative	见闻广博的
cockneyese	伦敦方言
termini	目的地
kidskin	小山羊皮
pull	拉力
spaceman	太空船上的飞行员
checkman	查票人
checked	棋盘状
polynesian	玻利尼西亚人
methane	沼气
verify	核实
cataclysm	地震
insipience	愚蠢
subjoint	副关节
ingression	进入许可
injured	受委屈的
spaz	笨家伙
giraffine	长颈鹿的
silken	柔软光滑
nonmonetary	非货币的
monachism	修道生活
mill	磨粉机
flagelliform	细长而柔软
spread	传播
undissociated	未离解的
spcc	to
scurvily	粗鄙
applique	贴花的
rbs	Society
beltline	一贯作业生产系统
omniscient	全知
pediatric	小儿科的
regional	域性
scanner	扫描器
referring	谘询
yesty	yesterday
ignore	驳回诉讼
hydrometer	浮秤
nymphlike	似的
indecency	不适当
ingrained	彻底
tupian	图皮语的
thecate	具膜的
calloused	变得无情的
bullionism	金银通货主义
embacle	河中之碎冰堆
knight	武士
optate	选择
silanize	使硅烷化
disenthrall	释放
themselves	他们自己
clemency	温和
jokingly	打趣地
bringdown	使感失望的
woodenheaded	愚蠢的
cinchona	金鸡纳皮
smart	轻快地
costa	前缘脉
interlacement	交织
taxpayer	所收租金只够支付地产税的建筑物
accusatival	宾格的
erotogenic	动欲
belletrist	纯文学作者
republicanize	实行共和政体
extract	榨出物
adulterate	通奸的
gis	system
phonovision	=phonevision
smart	灵巧地
reverent	尊敬的
cv	=cv
ephebus	的18
renominate	再任命
experimentation	实验
administrative	law//
bmj	British
osmolarity	同渗容摩
pigheaded	顽固的
trash	无价值之物
ruffianly	恶棍般
pitch	掷
succedaneous	代用
amnicolous	栖沙滩的
swallowtail	风蝶
favorable	起促进作用
possess	拥有
aquiver	颤抖的
formal	形式的
contrary	逆的
tacmar	Multifunction
mounted	安在马上的
feebleminded	低能的
equal	胜任
aniconic	象征
female	雌兽
film	生薄膜
whiter	苍白的
mayoral	市长的
yellows	黄疸病
delivery	传输
assorted	分类配全
rancorous	怀恶意
riverward	向河地
laminated	层压
bluff	绝壁
woodworking	干木工活
academe	学院
cellularized	分裂为许多小室的
willpower	毅力
broadax	大斧
phalanstery	空想的共产村庄
fend	努力
limnological	湖泊学的
isospondylous	等椎目的
tentative	暂定的
laticifer	乳汁管
batata	山芋
halibut	大比目鱼
perchlorethylene	=perchloroethylene
sepulchral	坟墓的
lankly	细长地
biovular	二卵生双胞胎特有
dinky	不足道
mhs	Handling
vacationland	度假胜地
literate	学者
quittance	免除
wealthy	丰裕
ruined	毁灭
delegitimation	权威丧失
repaint	重新绘制
asocial	缺乏社交性的
acridity	辛辣
curiosity	好奇心
vagabondize	漫游
sulfa	磺胺基
immortalize	使名垂千古
sussy	可疑的
erect	竖立的
chilean	智利人
tdy	duty
marrowless	无髓
dat	Audio
unmeant	无意
unattainable	做不到的
fastigiate	锥形
version	译本
binal	双重的
contributing	起作用的
ultrashort	超短波
intercurrent	并发
discredit	耻辱
tope	佛塔
primal	最初的
duds	旧衣
pentalogy	五部互相连贯的作品
condemnatory	非难
soberminded	持重的
rarotonga	拉罗汤加岛
labret	嘴唇装饰品
coda	完结部
pothead	迷幻药服用者
overtime	延长时间
purl	倒针
byob	booze请自带酒来
bragger	吹牛
depersonalization	失去人性
cockeyed	荒唐的
wampumpeag	白贝壳串珠
vaunting	吹嘘的
corsetry	紧身衣裁制业
awane	衰落中
inauthentic	不真实
cemental	白垩质的
samoyedic	撒摩耶人的
corneous	角状
msfm	森林管理学硕士
equatorial	n
tannin	丹宁酸
particularity	特性
rosedrop	酒糟鼻
submissively	顺从
healthy	健康
trivially	无能
matey	平易近人的
dia	Intelligence
cdsl	用户DSL
flowing	通顺的
xizang	西藏
zirconic	锆的
unpaid	不受报酬
macabre	恐怖的
unanimity	全体一致
cuba	古巴
percival	珀西瓦尔
foppishly	浮华
municipalism	自治制
pit	陷阱
unquestioning	不犹豫的
spine	中心
presession	会议前的
neapolitan	那不勒斯的
lapp	拉普兰人
rhapsodize	写狂想文
coincide	一致
unexpired	未到期
unemotionality	无动于衷
nimble	敏捷
feebie	联邦调查局特工
antipole	相反的极
sheepish	羞怯的
uneven	不均匀的
acephalous	群龙无首
shady	阴暗
assimilate	吸收
mlf	multilateral
beggary	乞食的习惯
applicably	可适用
smotheration	窒息
frostbound	冰冻
twinge	刺痛
accrual	利息
heterosexual	异性爱
rhinosporidiosis	鼻孢子虫病
bloodless	苍白的
smart	刺痛
erigeron	飞蓬属植物
ungated	无门的
irruptive	穿入
hielamon	树皮盾
supremacy	无上
excursionist	旅行者
visit	视察
methyl	甲基
shaman	萨满教的道士
ineloquent	不雄辩的
veronica	婆婆纳
monstrous	荒谬的
tartarize	使酒石化
programable	=programmable
outspread	延伸
magellanic	麦哲伦海峡
miocene	中新统
persimmon	柿子
bvm	Blessed
bactrian	大夏的
cytometry	血细胞计数
joltily	摇动
factualistic	尊重事实
cofacter	余因子
unmew	解放
issuable	可提出抗辩的
beatific	幸福
baluchi	俾路支人讲的伊朗语
airproof	不通气的
coordinate	调整
unmoral	不道德的
irresistible	不能压制的
iotp	Internet
ectropion	睑外翻
tenable	可维持
mailer	包装邮件用的箱
marengo	油炸后加西红柿和蘑菇一起炖
daylong	终日的
unlanded	没有
cherrystone	小圆蛤
dingus	那玩意儿
metaphorical	隐喻性
copperworm	蛀船虫
bimestrial	每两个月发生一次的
tamperproof	可防止乱摆弄的
exterior	外交
polymorphic	多形的
aculeate	一针见血
boulevardier	经常逛林荫大道的人
package	包
radioluminescence	辐射发光
nauseating	厌恶的
joltily	摇动地
trifurcate	三叉的
contumacy	倔强
vibist	=vibraphonist
msts	Transportation
amour	恋情
carnallite	砂金卤石
naiad	水中的仙女
probe	探针
lettered	有学问的
kiruna	基律纳
lordly	有贵族特点的
super	十分
fidgety	难以取悦
hippologist	马学
gal	女孩
gynecium	=gynoecium
theology	神学
wadable	可涉水过
parolee	获假释者
gastroderm	=endoderm
fallacious	虚妄
lashio	腊戍
cointelpro	反谍计划
papalism	教皇制度
dnotice	国防机密通知
fine	晴天
snackery	点心店
thermoscope	验温器
chopper	断路器
enzyme	酶
breton	法国布里多尼人
rangeland	放牧
table	搁置
kidlet	羔羊
analyser	分析者
sweatband	吸汗带
cyathiform	杯状
mediumship	灵媒
puny	小的
mycosis	霉菌病
hyoid	U字形
tong	钳
autumnal	秋的
landslide	崩塌的泥石
radiocardiogram	放射心电图
revealed	透露
energize	给予精力
flockmaster	牧羊人
unbirthday	非生日那一天的
scoticize	=Scotticize
vindicatory	惩罚
monobuoy	单点
photodisintegration	光致分裂
amphimictic	杂交繁育
gotcha	=got
spreadsheet	电子制表软件
shoemaker	皮鞋匠
distinguishing	有区别的
apocalyptic	启示录的
cullis	墙槽
wicked	淘气
unworthily	可耻地
semicolon	分号
crumb	搓碎
tractable	驯良
theatric	剧场
unsized	不依一定尺寸制造
concernedly	担着心
pvt	temperature
laze	偷懒
unjoined	不连接的
cream	乳酪
heady	任性
phototopography	=photogrammetry
brash	碎片
hardhack	绣线菊属的植物
clerk	职员
choanocyte	环细胞
whacking	惊人地
automatize	使自动化
abstinent	禁欲者
created	创造的
ventrotomy	剖腹术
tutor	辅导教师
glair	蛋白
redox	氧化还原作用
serotonergic	血清素激活的
hough	踝关节
surplusage	剩余物
bucketsort'	NULL)
perigon	周角
exertive	费力的
tungstic	五价钨的
kirsen	命名
veblenism	学说
strawboard	硬纸板
blind	瞎的
rwanda	卢旺达
corrupt	被破坏
throatily	喉音地
pragmatics	语用论
oestrus	牛虻
depot	公共汽车站
sob	哭诉
galop	该舞曲
paisana	女伙伴
morphinism	慢性吗啡中毒
nocent	有害的
ncaa	全国大学生体育协会
loggia	房屋敞向花园的部份
mistaken	错误的
thievery	偷窃
monochroic	单色的
cooptative	增选的
abortion	中止
uneducated	没有受过教育
preeminence	卓越
flask	烧瓶
violence	暴行
hurtfully	有害地
aonb	Outstanding
amphion	安菲翁
ternate	三个的
putsch	政变
ecru	本色
fukuoka	福冈
cheek	类似颊的事物
cppcc	Conference
calcium	钙
perilous	危险
farthing	1/4旧便士
invocatory	祈求
sentence	句子
colourcast	彩色电视
middleweight	体重中等的
dawdling	懒散的
uppermost	最高
verdant	青翠的
escritoire	有抽屉的写字桌
replacement	代替者
nicotinism	烟碱中毒
gwyniad	白鲑
olive	奥利夫
primrose	淡黄色的
studious	慎重的
daemonic	似魔鬼
irrationally	不合理地
imagination	听觉
kennel	宿于狗舍
xsl	可扩展样式表语言
flycatcher	京燕
pongee	茧绸
microtektite	微玻陨石
leviathan	海中怪兽
radar	电波探测器
tasmania	塔斯马尼亚州
beneficial	有使用权的
urinant	头朝下的
intrusive	插入
cavendish	烟草饼
preindustrial	工业化前的
tame	乏味的
modom	=madam
hurtling	疾驰的
hardly	几乎不
tap	水龙头
chesterfieldian	柴斯特菲尔德爵士所有的
thatchy	像茅草
incorporable	可包含的
subacute	稍尖
nejd	内志
nondescript	无可名状
socialism	社会主义
nozzle	喷嘴
blackout	眩晕
psychomotor	精神运动的
cyesis	怀孕
theory	学说
evaluate	求……的值
bailiff	地主管家的
mcpo	Master
dumpishly	迟钝地
scenic	布景的
agonisingly	苦闷地
polyneuritis	多神经炎
rap	斥责
apt	切题
amende	赔偿
archine	俄尺
ballroom	跳舞场
struthonian	不敢正视现实
frugally	节省
speciosity	似是而非
prosocial	忠实于既定社会道德准则的
ancient	旧
arbitrariness	霸道
thereout	从其
woodbind	五叶地锦
metacmpile	元编译程序
dvi	Digital
hardware	五金器具
russianise	=Russianize
hominoid	人科之动物
boss	指挥
transitivize	使及物
approximatively	接近
dbms	Management
closer	靠近的
assure	担保
iaupe	Association
esthetical	美
time	时机
terminus	终点站
mordacity	讽刺
irreproachability	无可责备
hag	砍
armistice	休战
ravel	使纠缠
extravaganza	狂妄的言行
crowded	塞满
last	结论性的
rustical	=rustic
unneutral	偏袒的
recolonize	再度移民到……
haematinic	补血药
censorial	检查官
kilovolt	千伏特
estonian	爱沙尼亚
mealymouthed	转弯抹角说的
desirable	令人想要
siliceous	硅土的
mazdaism	拜火教信仰者
chop	剁碎
vagotonia	迷走神经过敏
jwv	War
invidiously	惹人怨恨
flotative	浮力的
proconsulate	总督的职位或任期
theileriasis	泰勒尔梨浆虫病
recherche	讲究
exenterate	用外科手术去除
suffumigate	用烟在下面熏
minuscule	极小
deductible	可扣除
nonpersistent	非持久
fasces	束棒
exceed	超越
lambdacism	把/l/读作/r/的错误发音
foist	私自添加
foreseeingly	深谋远虑
posh	时髦地
volcanically	猛烈地
grandiloquent	浮夸
playground	运动场
scar	疤痕
zg	garden
lactescent	分泌乳液
unseemly	不适宜的
concessional	让步
ramshackle	摇摇欲坠
emasculate	阉割
manageability	易处理
unacquirable	不可取
retrovirus	逆转录酶病毒
cryptic	秘密
manatee	海牛
huskily	嘎声地
rapturously	狂喜
scoliid	土蜂科
closeness	狭窄
deflationist	主张通货紧缩者
vicarial	教区牧师
perithelium	周皮
iffy	不确定
fasciated	带化的
inappreciably	微不足道
bathysphere	深海调查用球形潜水装置
estreat	摘抄
dwarfish	矮小的
compliably	依从地
nape	项
sore	疼痛
queue	长队
unlearned	没学好的
overdress	外衣
tailfirst	尾在前
thorax	胸腔
stream	涌
reenaction	再扮演
joke	开玩笑
ddn	数字数据网络
lance	切开
suspensive	可疑的
costarica	哥斯达黎加
fibroelastic	纤维弹性组织
leisured	从容不迫
unglove	脱下手套
rld	retail
overearnest	过于热切
pluralistic	兼管数个教堂
sulfuration	硫化
pellicular	薄膜
kookiness	傻
rsvp	please
primiparous	初次分娩
descending	递减
related	叙述
western	西
catface	畸形
dazed	头昏
oratrix	=oratress)
indigitation	肠套叠
nondiapausing	非滞育中的
vesical	膀胱的
snorer	打鼾者
rappel	用绳索下口
aperiodic	非周期的
riverine	河流
gerontophobia	赠恨老人
piquant	辛辣的
splenetic	脾气坏
sneezy	有喷嚏
corrigibility	可订正
sparing	保守的
enaction	=enactment
succinctness	简洁
ventriloquial	口技的
lifesome	生动
effectually	有法律效力
cold	使人战栗
anthropological	人类学上/人类学上的
fulminous	像迅雷
rubensesque	具有鲁本斯绘画特征
clanger	过失
heliotaxis	背日性
parosmia	嗅觉异常
wight	人类
par	平价
breathless	喘不过气来
tame	被开垦
prehension	抓住
quencher	淬火
satellitic	卫星的
kitty	基蒂
catkin	柔荑花
ambiguously	引起歧异地
spur	剌激物
ionophoresis	离子电泳作用
illude	置……于幻觉中
blepharoplasty	眼睑整容术
ensate	剑状
windup	结束
ocean	广阔
unrent	不受侵扰
dormin	休眠素
autolithograph	直接苀I/
geisha	艺妓
ctol	and
alberich	矮子国国王
overwrite	写得过多
overheat	变得过热
cautiously	慎重
soggy	沉闷的
cracky	多裂缝
altho	虽然
bronchography	支气管造影
goatling	小山羊
hyperaphic	触觉过敏的
malone	Edmond
sbr	Styrene
rarest	最珍贵
malariology	疟疾学
bucketeer	股票投机行的老板
interdependent	相互依存
procurance	获得
resumptive	概括
roundup	围捕
gallery	画廊
vainglory	自负
begun	begin的过去分词
ultimate	根本的
inturned	性格内向
robert	罗伯特
with	赞成
hades	阎王
out	出局的
britishly	似英国人地
interjectional	感蘨ze/9IntE`dVekFL敬实
sexual	性的
refreshing	凉爽的
loose	不牢固
unfindable	找不到
predigest	简化
jnd	Difference
put	掷
coly	齿鹑
golgotha	基督被钉死之
burl	去掉节
numerate	数
laniferous	有羊毛的
mariology	关于圣母马利亚的学说
corruptibly	易腐败
ephemerality	朝生暮死
staphyloplasty	悬雍垂成形术
pietermaritzburg	彼得马里茨堡
unconscious	不省人事
clinging	执着的
fenny	沼泽的
fenian	芬尼亚会的
detectible	可发觉
analects	论集
slip	串行线路接口协议
indefatigably	不厌倦
outshoot	外角球
parry	躲避
creepered	蔓草丛生
pasquil	=pasquinade
justification	理由
hypnopompic	半有意识状态
hungarian	匈牙利的
studhorse	种马
discarnate	脱离肉体的
posthole	地上所掘的插旗秆或电线用的洞
unworthily	不相称
israelitic	希伯来人的
essay	散文
specilize	特殊化
collaborative	协作
synchroscope	同步检定器
fixup	固定
demonic	恶魔
fluke	意外受挫
subsection	分部
ahem	咳嗽或清嗓子的声音
crossly	横
indrawal	内流
bosk	树丛
frank	弗兰克
anecdotic	爱谈轶事的
mystagogical	解释神秘
imitator	模仿者
chaucerism	乔叟式的文体
eurythmy	=eurhythmy
needlessly	无用
soigne	整齐的
appetizing	促进食欲的
ledgy	有暗礁
exiguity	微小
sizable	相当大的
antidiphtheritic	抗白喉
swannery	天鹅饲养
tumultuate	引起骚动
incongruously	不调和地
saree	纱丽服
phanerogamic	显花植物
centum	百
vandalic	汪达尔人
activity	行动
educe	导出
extemporaneous	无准备的
unwavering	不动摇
chitchat	闲谈
hdcd	Disc
grillroom	炙肉房
hepatogenous	肝原的
objectivity	客观现实
prongy	叉状
sleet	冰雨
anymore	不再
ancestry	家系
jesuitical	狡猾
zif	Force
buoyancy	浮性
plastid	成形原体
undependable	不可靠
flex	vi折曲
tcp	/TCP/IP栈
myg	myriagram
bucketful	满桶
geocentrical	由地球中心所见或测量
thundering	非常的极大的
dmt	discrete
baton	司令棒
reversedly	反转地
longe	使用练马绳练马
cocktail	鸡尾酒的
weather	迎风的
positive	实际
despairingly	绝望地
musicologist	音乐学者
aurae	气氛
manageable	易处理的
renegue	出牌违例
numerously	无数地
paperless	无纸传输信息
forehanded	对将来有预备的
reliant	信赖自己
verus	真的
rajaship	君主、王公或酋长的地位
fleetful	大批
dud	哑弹
rah	激动
disadvantaged	贫穷的
salted	有免疫力
interdependent	相互依赖
budding	萌芽的
nickelous	二价镍
circle	圆周
fitment	装修
jitterbug	跳吉特巴舞
headguard	橄榄球员的头盔
demandable	可请求
heathy	石南似
lambkin	宝贝
crusian	carp
pedagese	教育界行话
melissa	蜜蜂花
palliative	辩解
upmost	最高
fascinating	着魔
mask	化装
jarrah	红柳桉树
wild	疯狂的
quickness	急速
uneducable	不堪造就的
cowhearted	怯懦
refractional	屈折
bookcase	书架
declaratory	宣言的
scared	恐惧的
spoken	口语的
debatable	可争议的
noncombustible	不燃物
fit	安装
pratfall	不象样的失态
convincingly	有说服力地
flush	晕红
reducible	可简化
awshucks	羞怯的
ground	具有基础
preemption	取代
unpolluted	清洁
clamant	急迫的
marriage	结婚
floating	不固定的
smell	散发气味
comeliness	好看的
static	静力
churn	搅动
filtration	筛选
reactivity	反应
sinless	清白
dare	不惧
ration	分发
iniquitious	邪恶的
pacesetter	步调调整者
wildfire	散布极快的事物
unresponsive	无答复的
poodle	狮子狗
whiff	一吸
failing	弱点
hagiarchy	圣人之间的尊卑次序组织
pityingly	可怜
loss	浪费
total	全部
sneeringly	轻蔑地
osteal	骨的
characterisation	=characterization
tumefacient	使肿胀的
hydrobiology	水生生物学
confection	调制
expeditious	迅速的
epifocal	震中的
nog	钉
loadage	装载量
blandly	殷勤
sackless	无害
notate	以符号表示
polydomous	多巢
flanker	侧面部队
insectival	昆虫
arcaded	有列拱
finnip	英国五镑钱币
cuboid	立方的
falconer	放鹰者
refreeze	再结冰
qarnns	Royal
definitive	确定的
federate	同盟的
