francophil	亲法
propertied	使用道具的
entomologize	采集昆虫
puttyblower	玩具枪
hurler	投手
temerarious	极大胆
ruddevator	方向升降舵
etymological	语源
anopsia	上斜视
hydrocyanic	氰氢的
roupy	声音沙哑的
you	你
spindle	锭子的
hydrokinetics	流体动力学
denominative	自名词或形容词派生出来的
prolongate	伸长
fame	名望
customarily	通常
conquerable	可击败
french	法语
hominization	人化过程
harebrained	轻率
strive	努力
muzzy	无精神的
nominalist	名义主义者
legionary	军团
attainture	公权丧失
oneiromancy	解梦
tousy	凌乱
bajree	御谷
blundering	笨拙
diagonalize	循对角线方向移动
unfamiliar	没有经验的
adpress	紧压于……的表面
hexahydrated	六水合物
misbound	装订错误
jiff	瞬间
lives	life的复数
militarism	军国主义
gebang	马来亚棕榈
basketballer	篮球队经理
microstructure	微观结构
man	操纵
smelting	熔炼
lithophile	亲岩性
warrison	=warison
flappy	飞扬的
enneagon	九边形
streptotrichosis	链丝菌病
dissatisfy	不满足
cremate	火葬
narky	易生气
sofia	索非亚
bellmouthed	承口
hypersexual	非常好色
vlb	Local
uncontradicted	未遭否认
keppen	为kep之过去分词
laa	轻型高射炮兵
dimensionally	在幅员上
imitating	冒充
angiocarpy	心血管
cocci	球菌
classic	第一流的
ibew	of
rainbelt	雨带
clone	无性繁殖
thaumatology	奇迹学
giggit	快运
esemplastic	有组织作用的
employee	雇员
grizzle	发脾气
lemnian	利姆诺斯岛的
sideline	倾斜的
swingle	打麻器
wud	疯狂的
enhancive	加强
myosis	缩瞳症
scoriaceous	铁渣子的
chemoimmunotherapy	化学免疫疗法
provencal	普罗旺斯人的
festivity	欢宴
ethos	气质
gunning	用枪打猎
unmediated	未经调停
tired	疲劳的
tripolite	硅藻石
bmx	自行车越野赛
floristic	花
tsaritsyn	察里津
gardenia	栀子
ghetto	犹太人区
militarism	职业军人的精神
rage	狂吹
impossible	不会发生
balcony	包厢
paediatrics	儿科学
osiris	地狱判官
divulsion	扯开
socially	在社交方面
oho	表示惊讶
hood	头巾
direct	直系的
moonlit	月光照耀
foodaholic	老饕
degrading	不名誉的
dor	金龟子
interlocutory	中间
charge	告诫
fenny	沼泽多的
orthodoxy	正统的
chiropodist	手足病医生
talion	以牙还牙的报复法
territory	版图
xenoglossy	讲陌生语言的能力
judicatory	审判
cloddish	土块一样
purchaseless	无立足点的
fan	鼓风机
shoal	水浅的
deadass	头号傻瓜
stirrup	马镫
oarsman	划桨者
scca	Sports
soundrec	声音记录
applicable	可应用的
iaru	Union
swift	立刻的
killick	海军一等兵
coordinate	并列
nutritionist	营养学家
atlantis	传说沉没于大西洋中的岛
tinkerly	拙劣
lithographic	平版的
greasiness	阿谀
harrowing	悲惨的
preferable	更好的
unresponsive	反应迟钝的
vagary	奇特行为
drop	下降
immature	不成熟
maladjustive	不利于调节
needful	必要
arpa	高级研究计划署
calcifuge	避钙植物
lusterware	表面有金属光泽的陶瓷器
arthrodic	摩动关节
undescribable	难以笔墨形容的
nephanalysis	卫星云图
siltstone	粉砂岩
multirunning	多道运行
midlittoral	中沿岸带
belted	束带的
superfilm	特制影片
process	方法
suffering	受难
tradable	可贸易
deepfelt	深深感到
malentendu	错释
freer	给予自由的人或事物
etcher	蚀刻师
antidote	矫正方法
cryosurgeon	低温外科医生
rapture	兴高采烈
restful	宁静
gawp	直瞪瞪地注视
acephalous	无头的
chateaubriand	烤大牛排
advance	预先的
inworks	发生在工厂内的
sneery	讥讽
treasonous	不忠
aberglaube	迷信
infundibulate	似漏斗状器官的
svelte	苗条
kruger	Paul
extramundane	超越现世的
habitually	习惯
unheroical	胆怯
prosiness	散文体
remonstration	抗议
lose	遗失
jowled	有垂肉的
reinspection	再考察
intraepithelial	上皮内
suky	=sukey
fixative	固定
to	Tonga
gleety	慢性淋病性尿道炎
palaeontography	化石学
untruthful	虚伪
bhuket	=Phuket
edo	Output
pepperbox	急性子
wallflower	局外人
bossy	专横
sailflying	滑翔飞行
dominant	显性
befrogged	饰有盘花钮扣
habiliment	制服
cosher	溺爱
medullary	骨髓
geoid	大地水准面
hotspur	性急的人
angelical	天使
pathos	悲怅
citadel	大本营
meditation	冥想
ssafa	陆海空军三军士兵家属协会
limn	描绘
x	X级的
stragglingly	落后地
indictable	可起诉
hypoxaemia	低氧血
sleugh	沼泽
complain	悲叹
accelerator	加速器
undetected	未被发现
call	命名
fortuneteller	算命者
previous	早先的
elaborate	详细阐述的
lumbricoid	类似蚯蚓的
umbilicate	脐状的
illegal	违法的
nifontovite	粒水硼钙石
crossbones	交叉腿骨的图形
streaky	有斑点
haberdashery	缝纫用品商店
nonsked	不定期航线
subastral	地面上的
benedictory	祝福
ripstop	防破裂的
astronome	的形式而成]
covellite	铜蓝
quechuan	盖丘亚人
explanate	展开
facedown	摊牌
ppcp	PowerPC操作平台
faconne	有细花纹的
erom	可擦写只读存储器
memory	存储器
enow	足够的
boart	=bort
bygone	过去的
unliquefied	未液化
stratagem	战略
toltec	托尔特克人
sphygmic	脉搏的
guesswork	猜测
cycadophyte	苏铁亚纲植物
online	在线式
peremptoriness	专横
bhl	Bachelor
briefness	短促
expectably	如所意料或预期
polygonal	多角形
intercolonial	殖民地间的
grazioso	优美地
fore	在前部
abuse	陋习
cavelike	似穴
impalpably	难以理解
synchronize	同步
fluster	使酩醉
bilabial	有两唇
countable	可计算的
blunder	跌跌撞撞地走
defective	有缺陷
pond	池塘
budget	预算
regenerate	改革
poop	疲乏
strobilation	节裂
gnarled	多瘤的
circumnutate	曲卷
vexation	着急
allometry	异速生长
devisor	遗赠者
dispense	分发
sacral	荐骨
turbocompressor	涡轮压缩机
lifelong	毕生
bullrush	=bulrush
cameroon	喀麦隆
hideous	丑恶
shepherd	看管
trapezium	不等边四边形
evolutional	进展
fluorometric	使用荧光测定法的
suit	相配
lapsed	堕落的
patter	饶舌
gallican	教宗权制限主义派的
diglossic	使用两种语言或方言
mistiness	雾
mopey	闷闷不乐的
hexanaphthene	环己
leg	跑
remuneration	报酬
hyperbolic	双曲线
closet	关起门来
finish	结束
eto	Theatre
flop	猛落
unmeaning	索然无味的
thorax	胸
lewis	刘易斯
downstage	舞台的前半部
reviler	漫骂者
gnomic	含格言
afoot	进行中的
theopathetic	神意感应的
concede	退让
chasmic	如深壑般破裂的
gloveman	棒球外野手
electron	电子
browser	n
sloid	工艺教育
snoop	爱管闲事的人
thyrotropin	甲状腺刺激激素
dirt	泥土
schoolbag	书包
co	哥伦比亚
footslogger	步兵
flitter	匆忙来往
minor	副修科目
birchen	桦树
semilustrous	略有光泽
marigold	金盏草
gayly	华美地
strathspey	苏格兰的一种轻快的舞蹈
adversely	反对
buttock	屁股
minever	白鼬皮
vision	眼力
roentgenoparent	用X光可以看见
prodigiouss	惊人
hafta	=have
flaxen	亚麻色的
flimsy	描图用薄纸
extortionate	敲诈的
tempt	使感兴趣
anilin	苯胺
septicidal	室间开裂的
super	极好
furfurane	=furan
skoal	干杯!
diversify	作多样性的投资
aftersensation	余像
survive	幸存
tuberose	似块茎
lookit	看
vesicatory	起泡的
handicap	障碍赛跑
telencephalon	前脑胞
hashhead	吸食大麻麻醉剂者
saithe	=pollack
leapfrog	跃过
headcheese	头肉冻
corolline	花冠的
hypohepatia	肝功能减退
orchis	红门兰
nudge	轻推为引起注意
indiscretionary	轻率的
adjuvant	辅佐
telltale	泄密的
cableway	空中索道
goad	用刺棒驱赶
unserviceable	无用
unprescribed	自愿的
autosomal	常染色体
scissor	削减
oviferous	带卵的
headhunt	出外猎取人头
violet	Violet
personalist	人格主义的
caddo	喀多人
powder	粉末
ancestry	祖先
unmeaning	无表情的
ato	Andeans
prejudgement	预断
unclassical	非经典的
ceratin	表示"角"
geometrism	几何画派
previously	以前
almsfolk	=almsman
connection	连接
dicom	Digital
accusable	可指控的
plantimal	植动融合体
late	迟的
gallstone	胆石
wise	劝导
zinjanthropine	非洲原人
mfn	Favored
abducent	向外扩展
resolutive	消肿药
tympan	鼓膜
merohedral	缺面对称的
epistyle	柱顶过梁
oa	作战分析研究
progenitive	繁殖
overbought	超购的
cummer	女友
flitty	脂粉气的
stateless	没有国家
nomistic	以经典中之法则为基础
unalienable	=inalienable
pocketbook	经济来源
exaggerated	夸大
vasculotoxic	血管毒性的
tomalley	龙虾肝
communicant	传达消息
remonstrate	抗议
tripey	低劣的
flooding	灌溉
manservant	男仆
canadian	加拿大的
expeditioner	远征队员
unintelligent	没有智能力的
impregnate	使怀孕
outside	外表的
diagnostication	诊断
identifiableness	可证实为相同
dic	域完整性约束
beakiron	砧子
stria	线痕
diminishing	逐渐缩小的
ruthenic	钌的
kook	怪癖
welwitschia	千岁兰
monocrat	独裁者
passiontide	耶稣受难节
ai	人工智能
gelding	去势的人或牲畜
shard	破片
hsv	HSV色彩模型
ebullient	沸腾
disrupture	=disruption
choli	短袖外套
saintpaulia	violet
aphanitic	隐晶岩
insubordinately	不服从地
reims	兰斯
ewery	做粗活的小房
inculcator	教诲者
falsehearted	欺诈
samsonite	硫锑锰银矿
valiant	勇敢
irreproducible	不能复制
counterargument	辩论
amimeche	E
extrorse	向外
masterate	硕士身份
hyenoid	像土狼的
intraperitoneal	进入腹膜腔内的
chalk	用粉笔写
magellanic	麦哲伦
rationalism	理性主义
tagrag	褴褛的
whip	抽打
frondescence	发叶期
spillover	溢出
hypobaropathy	低气压病
chief	首领
carsick	晕车
sulphurator	硫磺漂白器
truantry	=truancy
villose	长绒毛
msphe	in
nonfinite	非定式
myriametre	万米
wings	飞行章
electrology	电学
dismission	免职
minus	负
flecker	雀斑
untrod	人迹罕至的
sergeant	警官
combat	战斗
timesaver	节省时间的事物或因素
disfigurement	畸形
tristimulus	三色
parliamentarian	议会
adoze	在瞌睡中
ncte	Teachers
uncomforting	令人不舒服的
subdeaconry	副执事职位
unestablished	未被确认
comical	好笑的
zoolite	化石动物
contingencies	或有费用
leopard	美洲虎
slighting	忽视
biting	刺痛的
nomadism	流浪
seconder	附议者
extraparochial	教区外的
annectent	连接两物
permanently	永存地
amiss	出差错的
somatological	比较体格学
spaeman	给人算命者
sirena	赛丽娜
gag	窒息
scathe	损伤
corkboard	软木公告板
aliped	有翼膜的
timeless	永恒的
garage	汽车间
introversible	可向内翻的
swimmingly	轻易地
telecentric	焦阑
frau	夫人
peacemaking	调解
russet	赤褐色
curtal	被剪短之物
sunblind	窗檐
centimo	分
britishly	似英国人
nark	警察的线民
bank	堤
habitmaker	女用骑马装的裁缝师
potentiostatic	使用稳压器
diazole	此类化合物的衍生物
supercharge	对……增压
bosk	灌木丛
commit	犯
reckon	估计
furfur	头皮屑
audience	观众
yaleman	耶鲁大学毕业生
gramophile	唱片迷
aquamarine	碧绿色
indisciplinable	难以驾驭
proteid	含蛋白质
misty	有薄雾
hypertensive	高血压
nahum	那鸿
superterrestrial	地面上的
sure	当然
pacificator	调节者
flattish	有点平凡的
subterrene	熔岩钻
guilty	有罪
fibrocyte	纤维细胞
idoneousness	适用
second	又一个
sedate	安静
goddamn	讨厌的
equivocal	模棱两可
pittance	微薄的薪俸
dixican	美国南部共和党人
emotionalism	感情主义
unknowable	不能知道
autocoherer	自动粉末检波器
swagger	恫吓
carrel	带书架阅览桌
fylfot	希腊十字形
pseudepigraphy	作者归属错误
disuse	废弃
ignescent	发火物
allude	暗指
warmly	暖和地
euphrates	幼发拉底河
dryopithecine	森林古猿的
yanaon	雅隆
corps	兵种
bronchoconstriction	9brCNkEJkEnn`strIkFEn/
shoppy	商人
grommet	索环
multiparous	经产
hogwild	如痴如狂
osfcw	Office
unexamined	未经核对的
rapaciously	贪婪
sesame	芝麻
pandemic	全国流行的
psalmist	赞美诗作者
lor	上帝!
clemmie	克莱米
anuric	无尿症
slickster	骗子
discredit	怀疑
automatism	自动作用
concinnate	将……作巧妙和谐的配合或拼凑
filigreed	饰有金银丝细工
batty	疯狂
newfashioned	新款式的
pullus	幼鸟
erotophobic	性爱恐怖的
ncte	Council
dubiety	可疑的东西
stymy	妨碍球
predominate	支配
unbuckle	解开
atticism	亲雅典
compartmentalization	粃e/kRmpB:t5mentE
videodisc	影碟
trinitarian	三位一体说的
profoundly	衷心地
chenopod	藜科之植物
underruff	=undertrump
intwine	编织
scummy	满是浮渣的
mystique	神秘性
ingression	进入
fearnaught	开毛机
extortive	勒索的
fire	激情
zookeeper	动物园管理者
impassable	无路可通
pregnant	重要的
glucagon	胰高血糖素
shroff	货币鉴定人
pavement	公路
calvarial	颅盖的
xanthian	赞西亚的的
amazonian	亚马逊河
underprivilege	被剥夺基本水平低下
noumena	noumenon
either	每一方的
depict	描述
eloign	把……移至远处
flivver	乘廉价小汽车
thonburi	吞武里
refulgent	辉煌
sthenic	亢进性的
ineffective	无效
tiddlywinks	挑圆片
hairlike	毛一般的
unwashed	没有洗
last	支持
esol	English
stigmatic	丑恶
factually	真实地
succursal	从属
soviet	劳工代表会议
circumspectly	慎重
greenlandic	格陵兰
vrouw	妇人
togated	着官服
woomph	轰的一声
unroyal	不似君王的
boastful	自夸的
heterometabolic	不全变态
ddk	Drivers
pentalogy	五部曲
regenerate	革新
perdure	持久
cadelle	大谷盗成虫
retiral	撤退
underactivity	缺乏活动
calumniatory	诽谤
symantec	Visual
perverse	不正当的
venerer	狩猎者
unpunishable	不该受处罚的
osmundine	干紫萁根
uncontroverted	无争辩
opprobrium	不名誉
existentialism	存在主义
mediatise	=mediatize
diamagnetism	反磁性学
psychiatric	精神病学
humanize	教化
mechanical	呆板
enamel	彩饰
boloney	胡扯
sixpenny	不值钱的
pother	喧闹
amplificatory	放大的
macrocyst	巨囊
disemboguement	流注
iridosmine	铱锇矿
valiant	勇敢的人
homopolar	单极的
fleece	羊毛大衣呢
karelia	卡累利阿
etesian	季节风的
inexpiable	不能平息的
pilgrimage	朝圣
finitism	有极限论
imperatorial	威严的
hetaerism	纳妾制
daystart	一天开始
marquisate	侯爵的身份
phytogeny	=phytogenesis
whiten	变白
traveled	旅客常到
iblis	恶魔
depressible	消沉
prophet	先知
triplicate	三个一幅
centimetre	公分
observational	观察
napless	没有绒毛
wet	潮湿
isotonic	等张的
mussuck	皮水袋
submicron	亚微型的
archimage	大巫师
rattailed	细长
nardoo	大柄苹
skippy	日本女人
epitympanum	鼓室上隐窝
chufa	油莎果
obstructive	妨碍
subjacent	在下方
kbl	阿富汗首都喀布尔机场之代号
trustworthy	可信赖的
jumper	跳线
quartette	四重唱
unashamed	厚脸无耻的
natural	天生的
darkey	=darky
echo	摹仿
dep	Department
stainless	无瑕疵的
discouragement	气馁
unanimous	意见一致的
red	革命的
macaroni	纨绔子弟
standing	持续
lavish	非常大方
outstation	远的驻扎
brusquely	粗率地
altarwise	在祭坛的位置
codswallop	废话
psychoneurotic	患精神神经症
typhonic	台风似
maurice	男人名
sawmill	锯木机
swim	浸
against	倚着
soutane	修士以往所穿的黑色长袍
unfriendly	不利
ineffective	无效的
willed	有某种意志的
pergelisol	=permafrost
projector	放映机
pothanger	锅钩架
subornative	教唆的
educatory	教育
jolthead	笨头
fomentation	煽动
redargue	驳斥
faustine	福斯丁
imperatorial	皇帝的
dishpan	洗碟盆
flow	溢过
pert	爱管闲事的
opern	曲谱
phonetic	表示语音
spill	洒
responsive	作出响应
unselfishly	无私地
conveyable	可传达
willowy	苗条的
salyrgan	汞撒利
acrophobe	恐高症患者
offprint	印成单行本
age	年龄
inscrutability	不能解
medium	方法
radiochemist	放射化学家
imprudence	轻率行为
smoothly	平稳
flocculate	絮结
supercolumniation	重列柱
respire	呼吸
quadrilateral	四边
futurology	未来学
quinine	奎宁化合物
tetragonal	四角形的
against	相反
profound	深刻的
revolver	旋转者
unswathe	解开……的裹布
diplotene	双线期
unstuck	紊乱的
delete	删除
janizary	土耳其士兵
ribbonman	成员
fat	长肥
wane	消逝
thuswise	这样
signwriter	写招牌的人
samos	observation
sciolto	断音
osp	Signal
monosyllabism	单音节性
hip	给造屋脊
jet	喷气机
misaligned	不重合
misanthropy	不愿与人来往
rancor	怨恨
philter	媚药
punctatim	逐点
unfilial	不孝的
hyperemization	人工充血
declot	去除……内的血块
tog	衣服
avocado	鳄梨树
sensorium	感觉器官
superconscious	超意识
cushy	轻松而容易赚钱
skirret	泽芹
fulminant	爆发性
study	书房
countship	伯爵的地位
autocephaly	独立
ibsenism	易卜生主义
fiscality	检查
fco	and
imperviable	不接受的
bison	美洲或欧洲的野牛
connect	关连
quintant	五分仪
asclepiadaceous	萝摩科
recite	朗读
interdict	阻断
vlsm	Length
minirecession	小规模衰退
glomera	glomus的复数
bitterness	苦难
laparectomy	腹壁部分切除术
abjectly	悲惨地
modernday	当代
unvaryingly	恒久
tutti	全体
bimana	两手类
hornstone	角石
vexillar	军旗的
hesiodian	赫西奥德风格
elbe	易北河
etic	语音学的
mayan	玛雅人的
stub	存根
ocellation	眼斑
cerecloth	蜡布
elope	出走
synonymy	同义字重复
runnel	小河
plexus	丛
complimentary	免费赠送
laryngoscopic	喉镜的
liege	君主的
intact	未经阉割
qualify	限制
peradventure	偶然事情
turtleburger	海龟肉汉堡包
karakorum	古代蒙古帝国旧都遗迹
advocation	支持
injurant	有害物
eternal	没完没了的
venomous	分泌毒液的
towardly	和蔼可亲
bestial	残忍的
procurer	拉皮条者
unfurnish	拆除……的家具
seedbed	温床
backstroke	仰泳
permissibly	得到许可地
haircloth	毛织品
sulfuretted	被硫化
bland	乏味
dutiable	应纳关税
sympathectomy	交感神经阻断术
patriate	的权力从英国政府手中移交给加拿大联邦政府
polyhedral	多面
quackster	庸医
tetrachloroethane	穆纫彝
ravishing	引人入胜的
intelsat	Satellitc
sourly	坏心眼
musa	可变方向图的多元菱形天线
carefree	无忧无虑
cameralistic	财政
soundly	非常好
sophonias	西番雅书
inertially	借助
provinciality	乡下习气
metacinnabarite	黑辰砂矿
polyandrous	一雌多雄
liable	有义务
mspe	Physical
palazzos	=palazzo
procural	取
pictographic	象形文字的
slavophile	亲斯拉夫人的
canard	误传
adjusted	调整过
forceps	镊子
solitarily	独自一人
stray	偶遇
sexangular	六角的
unconspicuous	不明显的
zydeco	柴迪科舞
engrain	使遍体渗透
zarathustra	=Zoroaster
belinda	贝琳达
putter	闲荡
forced	强迫的
gisela	吉塞拉
orle	内缘饰边
laborage	工资
reviviscent	复活
inocula	inoculum的复数
theanthropical	具有神人两性
profiteering	牟取暴利
smaltine	砷钴矿
pent	郁积
snafu	闹成天翻地覆
stradivarius	弦乐器
colubrine	蛇的
reoccupation	再占领
axillary	腋窝
ten	十
reversely	反对
intravascular	血管内的
humanoid	有人的特点
tolerableness	可以
inaugural	开始
grimily	肮脏
ignoramus	无知识的人
stitches	缝线
respirometric	呼吸运动
enmity	敌意
republican	共和政体
nucleoid	类核
sherif	阿拉伯国家的王子
bacteriform	细菌状
wheelchair	轮椅
crepitant	捻发音
riftless	无裂缝的
shandrydan	带篷的轻马车
cheesemaker	干酪制造者
asturian	阿斯图里亚斯
seajelly	水母
unthanked	没有得到感谢
pathography	病情记录
reave	抢走
auctioneer	拍卖人
depreciatory	蔑视的
caecostomy	盲肠穿孔手术
selfless	无私的
atreus	阿特柔斯
contentedly	满足
pitiable	卑劣的
aponeurotic	腱膜的
gemmology	宝石学
organic	有机
waxwork	蜡制品
knout	鞭打
wend	行
fairness	适当
cassis	黑醋栗所酿的酒
fissilingual	舌头裂开
antiemetic	止呕吐的
shelvy	渐渐倾斜
token	代币
sopranist	童声高音歌手
his	pro
mourning	服丧
plumpish	较丰满
niggerize	像黑人一样行事
altricial	晚成雏的
brainpower	智囊
lithotome	膀胱石刀
spiccato	断续的
kedgeree	鸡蛋葱豆饭
disenchanting	使不再着迷的
palm	蒙混
faintish	较弱的
scabbed	有疙瘩
inflictable	可处
gripe	抱怨
amygdalaceous	扁桃类的
celebrity	名声
criticize	批评
mopey	闷闷不乐
drone	嗡嗡作声
aphetic	非重读字首之消失
conurbation	有卫星城的大都市
infuscated	略带褐色
inexpertness	不熟练
folksy	友好
translunary	虚构
pinball	弹球戏
august	八月
hop	蛇麻草
lamellicorn	鳃角类角虫
hoofed	装蹄的
coordinative	同位
bother	麻烦
nerviness	厚颜
perbunan	丁苯橡胶
stripy	有斑纹的
stalworth	=stalwart
fart	屁
chemosphere	光化层
bosom	胸部
referable	可交付的
valor	英勇
pelerine	细长披肩
pistou	蔬菜蒜泥浓汤
houseman	实习医生
skating	溜冰
cyclopic	庞大
eluvium	残积层
asce	American
expressional	表情
mantilla	女用小披风
roughhewn	粗凿的
adown	向下
keitloa	黑犀
fluey	有绒毛的
coffie	系成一串的人
transitional	过渡期
loudmouthed	吼叫的
falange	长枪党
dexterous	灵巧
rutabaga	1美元
undying	永恒
cannonize	褒扬
turbit	浮羽鸽
creesh	动物脂
unknowing	无知
geodesy	测地学
extraocular	眼睛外面
arret	扣押
countercry	反对的叫声
asexual	无性生殖的
peatland	泥炭
maltreat	滥用
shimmy	西迷舞
world	世事
tailband	堵头布
betrothed	已订婚者
intervolve	互卷
stepson	过继的儿子
hypsometrically	测高术地
perennial	终年
tumuli	坟墓
chew	咀爵
facture	制作法
cutthroat	谋杀者
duplicate	复制
those	那些
duplicability	可再发生
ceuca	Union
flintily	无情
diazole	二唑
inexpedience	失策
dies	去逝
capcom	指令舱宇航通讯员
procacious	鲁莽的
forcipate	钳状
seraphic	天使一般
leakiness	泄漏
coercively	强制
schismatic	分裂论的
nigritude	漆黑
rosebud	蔷薇花蕾
psro	review
ricksha	黄包车
ballooner	气球驾驶者
bennington	本宁顿陶器
niaiserie	无知
absolutist	专制主义者
petn	pentaerythritol
waif	流浪者
vacuolate	有空泡
vain	无益的
sari	纱丽
warlord	军阀式首脑
vanadic	钒
blockade	阻塞
anonymously	不具名地
bemegride	贝美格
chandigarh	昌迪加尔
masterly	精巧
unvalued	不足道的
eschatocol	文件的结尾
backwoodsy	粗野的
humbert	亨伯特
examinator	检查人
inequation	不等式
gentilism	非摩门教
compellent	强制性
aiguille	钻石器
baptistry	洗礼用桶
typology	体型学
forwhy	为什么
marital	婚姻的
unimodular	幺模
official	官员
outrageous	可恶的
local	方
membraniform	膜样
zander	梭鲈
usrc	United
supraspinal	脊椎上的
inventroy	列入详细目录
zarzuela	人工养殖海味场
cpo	petty
compurgator	辩护者
delude	迷惑
specialty	专业
sanious	由脓液构成
unbalanced	收支不平衡的
anthophagous	食花
kalifate	=caliphate
logon	登录上网
grayer	苍白的
carry	进位
paganism	异教
claustrophobic	导致幽闭恐怖症的
abasable	可降低
volatilisable	=volatilizable
ser	重量的单位
vulcanisation	=vulcanization
ancestral	祖传的
telltale	证据
hyperpyretic	体温过高的
mutafacient	突变加强
fissive	分裂生殖
myeloblast	粒细胞
quebrada	山谷小溪
inimicable	不利
sickening	使人昏晕
therapeutical	治疗
problematic	问题
monodomous	同巢
italy	意大利
lightplane	轻型飞机
kibitz	乱出主意
komintern	共产主义国际
autobiographer	自传作者
separate	分离的
fattest	胖的
rapparee	爱尔兰的民兵
inchoative	发端的
lockmaster	闸门监视人
capricious	反复无常的
godliness	敬神
ultraminiaturize	超谐⌒
unpicturesque	不生动的
dextrocardia	右位心
patna	巴特那
lupulin	蛇麻素
compulsory	必需做
outperform	做得比……好
gettable	能得到
hedge	树篱
demand	查询
extortionate	勒索
northmost	极北
sensa	sensum的复数
clivers	拉拉藤属植物
titular	有称号的人
latinic	主要是拉丁性质
labiate	唇形科植物
cityward	朝向都市
shamefacedly	羞怯
trifle	小事
sentence	宣判
cormophyte	茎叶植物
caucasian	白种人的
cloyless	不会使人感到腻烦
transreceiver	=transceiver
aquicolous	水生的
parallel	平行
presbytery	长老会
under	低于
prescription	规定
moistureproof	使防潮湿
trotty	轻快
intersterile	互交不孕
ceaselessly	不停地
unexcelled	极好的
leporid	兔科
vaporize	蒸发
by	按照
contiguously	连续
monolog	独白
lazyish	有点儿懒惰的
glair	蛋白状粘液
cavernous	似巨穴的
carking	恼人
laciniate	有穗边
idd	国际直拨长途电话
elenctic	辩驳
barbaric	野蛮
subrogation	代位偿清
feelinglessly	无知觉地
ppm	百万分之……
shirttail	幼小
primrose	淡黄色
sporule	孢子
theonomy	上帝统治
cornaceous	山茱萸科
semischolastic	半教育
unrecognized	未被承认的
downcourt	前场篮下的
mycetoma	足分支菌病
sarawak	沙捞越
equivocally	含糊地
peg	借口
chorizon	淀积层
undissolute	生活规矩的
ventrodorsal	腹背
leeward	下风
napless	没有绒毛的
vulgate	拉丁文圣经
sensorium	感觉中枢
ventriloquous	腹语术的
reflexion	反射光
katusa	韩境美军中之韩国士兵
hummock	沼泽中的肥沃高地
unsullied	无污点的
matchstick	火柴杆
jimp	缺乏
ungimmicky	不骗人
destitute	缺乏
cape	岬
ungainly	不象样的
harpins	临时牵条
righty	右派的
roundabout	迂回路线
rgs	Geographical
liminal	阈限
propylon	=propylaeum
schismatic	分裂者
forestry	森林
guidwillie	高兴的
msph	Health
flinty	坚硬
eerie	可怕的
caricature	画成漫画讽刺
tristful	悲哀
golfer	打高尔夫球的人
sprig	使蔓生
bat	球棒
comatulid	海羊齿
broadcaster	广播公司
grace	格雷斯
decimillimetre	丝米
inboard	舷内的
feat	壮举
synchronization	同步
antifederal	反对联邦的
habitual	习惯
rimal	裂缝的
rascal	卑鄙的
amylopsin	胰淀粉酶
salverform	高脚碟状
malaise	不舒服
unwatered	干旱的
aggravate	使恶化
enhancement	增加
immutably	永恒
transmit	遗传
processional	游行圣歌
aftercooler	后冷却机
hardcore	没有限制
fructification	果实
triangularly	成三角形
morganatic	贵贱通婚的
homochronous	同龄发生的
resilient	弹回
patter	祷告
coach	指导
anteversion	子宫前倾
federally	联邦政府
paginal	每页的
lazyish	懒洋洋的
impersonate	拟人
lionet	小狮子
ocs	候补军官学校
spiculate	针状
reader	读者
angell	守护神
operatic	歌剧风格的
been	的过去分词
cacuminal	翘舌音
seminiferous	输送精子
achaea	亚该亚
crooknecked	颈部弯曲的
aiguillette	肩带
choiceness	优良
universally	普遍地
deliverance	判决
bullhead	鳅之类
zolaism	左拉主义
dalmazia	=Dalmatia
anuclear	无细胞核
foresighted	能预料
garrison	卫戍地
cuttie	海雀
rummage	到处翻寻
romance	传奇文学
raconteuse	健谈的女人
jag	使成锯齿状
carnal	性欲的
wriggler	扭动的人或物
wane	呈下弦
fossilize	使陈腐
brazen	厚颜无耻
unineme	单线
set	坚决
unaptly	迟钝
ultramarine	深蓝色
accessary	帮凶
mundane	平凡
friseur	美发师
tough	恶棍
back	后面的
moselle	法国摩泽尔河流域产白葡萄酒
provide	准备
pantalettes	灯笼裤
expellent	具有驱逐力
summons	传唤
antichurch	反对教会的
hasher	厨师
accoucheuse	产科女医师
attractant	引诱物
zwitterionic	两性离子
avatar	具体化
rejuvenescent	返老还童
gripe	抓紧
trencher	木盘
durham	达拉谟
antifebrile	解热
tastable	=tasteable
multipurpose	多种用途的
hetaira	=hetaera
connivance	纵容
pleadingly	祈求地
suboesophageal	食管下
moistureproof	防潮
notarize	确认
reliable	可靠
sheathy	紧身
litten	点燃的
catholicize	一般化
intersensory	多感官
supposition	推测
blacktop	沥青质原料
korean	朝鲜语的
congeries	聚集体
hinkty	=hincty
flourish	夸耀
pav	=pavlova
hayes	美国著名的通讯器材生产商
egomaniacal	极端利己的
heterosporous	具异形孢子的
ramie	苎麻纤维
reluctation	表示不愿意
oneparty	一党的
polychaetan	疣足多刚毛的
sterilize	使成不毛
exclusive	孤高的
actionless	不采取行动的
backstay	桅杆
passingly	顺便
everyday	平凡
clearly	明显
dialogist	对话者
crackling	猪油渣
evenminded	沉着的
intolerant	偏狭
intertestamental	写于基督教新约与旧约之间
metafiction	超小说
hypomagnesemia	低镁症
dinantian	狄南统
featherwit	笨者
intacta	未遭玷污的
secretory	分泌器官
epilation	头发脱落
soggy	浸水
gavel	槌
totty	发昏的
