onfound	使混淆
flannelled	穿法兰绒衣服
companding	压缩扩展
apocrine	泌离的
apostatic	背信的
clear	净
boredom	厌倦
unitarian	一神派的
insipidity	无精神
raising	浮雕装饰
regale	享受
cacorhythmic	节奏不和谐的
countability	可数性
twig	注意
cultus	礼拜
semble	看来好象
benthoal	湖底的
aspire	立志
multipad'	NULL)
ismec	机械工程情报服务
allicin	蒜素
mistakenly	错误地
peg	固定
staphylotomy	悬雍垂切除术
eucalypt	桉树
pli	inch
goddamn	讨厌
supernate	上清液
yieldly	生产地
pshaw	轻蔑时的叫声
uppermost	最主要的
pluriaxial	多轴的
tearful	含泪
sedate	安静的
tootle	轻吹
battlewise	富有战场经验的
wash	洗
brusquely	唐突地
pedes	pes
covenanter	契约者
itt	Telegraph
diametical	正相反
memberless	无会员的
subcutaneous	皮下
injuriously	伤害
nondrinking	戒酒的
meed	奖赏
nc	Computer
lipper	浪花
haunting	不易忘怀的
iaru	国际业余无线电爱好者联合会
shuddering	发抖
lax	松驰的
waterline	水线
goy	异教徒
nidget	白痴
baptist	施洗约翰
dodo	古代巨鸟
oestrous	发情
kyoto	京都
implausible	不象真实
lysine	赖氨酸
pesky	讨厌的
imprest	预付款
cypriote	塞浦路斯的
spizzerinctum	雄心壮志
exclusivist	排他主义者
specilize	专攻
macedonic	=Macedonian
doughboy	步兵
annulment	取消
nacred	真珠质的
grammarian	文法教师
man	丈夫
attendance	照料
viscus	内脏
douai	=Douay
kalmyk	=Kalmuck
irreplaceable	不能代替的
aerostatic	空气静力学的
baronne	=baroness
therme	=therm
libertine	放荡
abloom	开花的
expeditious	敏捷
nostradamus	语意含混的预言家
veinulet	小静脉
surloin	牛的上部腰肉
diversionist	在敌后活动者
tejo	特茹河(源出西班牙东北部的塔霍河
cornball	似乡巴佬的
gom	Grand
affectation	做作
filthily	污秽
ole	and
prattle	唠叨
riant	笑盈盈
rident	兴高采烈
unbusinesslike	无组织的
tropism	取向
cobwebby	蛛网密布
syenite	黑花岗石
lubricative	有润滑作用
colorless	无色的
oceanid	海洋的女神
swizz	欺骗
devoid	缺乏
clank	发叮当声
unwearied	孜孜不倦
unbitt	解下
asymptotic	渐近线的
oap	Pension
alsatia	伦敦一地区
fishbed	鱼化石沈积层
eyeable	可见的
overturn	倾覆
rabbiter	猎兔者
rubeola	麻疹
ravel	解开
productively	有成果地
milimeter	公里
contextless	无上下文的
fisher	渔船
vapor	自夸者
evita	埃维塔
fpe	一个用于修改游戏的工具软件
unsocial	非社会的
interoceanic	大洋间
psychrophilic	好寒性
wassail	酒宴
dissected	分割的
haulm	稻草
macrocephalus	巨头人
pomiferous	结梨果
emargination	尖端微凹
thermic	由于热造成的
excubitorium	值夜人的职位或岗位
spectrogram	声谱图
politer	优雅
untense	使不紧张
tendentious	有偏见的
coarseness	粗劣的
primary	主要
carroty	胡萝卜色的
rosily	带玫瑰色地
turgescent	肿
vop	original
succussatory	摇动的
sabugalite	铝钙铀云母
tdn	digestible
strickle	斗刮
medical	内科的
philological	文献学
soot	烟灰
boring	令人厌烦的
puttie	=puttee
entice	诱使
inadvisable	失策
scorbutic	坏血病
stepper	跳舞者
ejaculation	突然说出
justicial	正义的
subequal	几乎相等
gassy	气状
skeletony	骨骼似的
ran	run的过去式
aspermous	无种子
innutrient	营养不良
predormition	睡前期
goosy	愚蠢
comsymp	同情共党分子
antimalarial	抗疟药
coalfish	黑鳕
performance	执行
wobbly	不稳定的
leaky	漏
runch	charlock
braky	多矮树林
softy	笨蛋
smithereen	把……炸成碎片
exobiology	外空生物学
cogent	使人信服的
unparalleled	无比的
polonaise	波兰连衫裙
fenestella	小窗
incalculability	不计其数
withershins	左向转动地
lowish	小声
felicitous	善于措词的
nccj	National
cautel	警觉
elegant	上品
haemocytoblast	原
ashiver	颤抖
underbuy	购货不足
stemma	家谱
gunmetal	青铜
gso	General
foulmouthed	出言不逊
taligrade	拐脚的
isolation	孤立
uplooking	向上看
fleckered	有污点
ioc	Olympic
pfda	and
unleased	未租出的
compunctious	悔
normanize	诺曼化
ccpit	Promotion
towering	杰出的
chaldaic	古巴比伦人
polyandrist	多夫妇女
falcial	镍的
sile	大雨如注
virogenesis	病毒产生
saleswoman	女售货员
superduper	非常好
smith	铁匠
thersites	瑟赛蒂兹
genuinely	真诚
snugly	尚可的
impropriation	移交私人保管
force	武力
refer	归诸于
inhibitory	抑制的
ornl	National
velveteen	棉绒衣服
compellent	有强烈吸引力
possibilistic	可能主义的
tot	微量
sustenance	食物
antipyrotic	消炎剂
smacking	活泼的
talent	天才
ethnohistoric	人种史学
cyclamate	一种有害的糖精
hemigroup	半群
coupist	政变者
prefixion	置于前面
grovy	在树丛中
ingenerate	内在的
kamasutra	爱经
about	周围
putschism	鼓吹起义
fond	温柔
letterweight	纸压
saint	圣徒
hydrocrack	加氢裂化
penally	刑事上
nu	Niue
addicted	沉溺于某种嗜好中的
infuse	鼓舞
fishgig	鱼叉
obtuse	迟钝的
trephine	有柄的环锯
injured	受委屈
biconditional	双态的
apagoge	反证法
tapping	出铁
twisty	扭曲的
isacoustic	与等声强有关的
resolvent	溶剂
facebar	夹脸
isomorphic	同构的
secretarial	书记
gus	格斯
gustavus	古斯塔夫斯
virtually	事实上
willem	the
duodecagon	十二边形
battlement	城垛
subsequently	随后
mascon	质量密集的物质
moondown	月落
daiquiri	一种鸡尾酒
nasogastric	鼻饲
mortuary	太平间
certain	某几个
invitatory	邀请
angiography	血管照相术
tlas	如WWW等
yowl	吼
troublous	动乱不安的
unregarded	不受注意的
spine	脊骨
bva	British
tattler	说闲话的人
sensed	感觉
bobtail	截尾的动物
engrain	根深蒂固
exist	继续存在
stridulation	磨擦声
baalism	太阳神崇拜
windbag	风囊
stipes	叶柄
phylactic	防御疾病的
abeam	与船的龙骨成直角
reinaugurate	重新开始
scalprum	骨锉
sidetrack	转移目标
lg	German
kiangsi	江西
flammenwerfer	喷火器
recitative	背诵
progress	发展
divestiture	剥夺
scope	余
inarticulately	笨嘴笨舌
clean	干净的
lempert	operation
market	在市场上买卖
chogh	咳嗽
phosphocreatin	磷酸肌酸
buddybuddy	非常友好
cladogenesis	分枝进化
oily	油
foveolate	有小凹
subentry	副条目
subcuticular	角质层下
join	结合
possessory	所有的
hump	隆起
rebore	镗大的孔径
econometrics	经济计量学
revel	狂欢
competition	竞争
fictitious	小说中
trivially	琐细
gloomy	令人沮丧的
purulency	脓汁
posb	savings
pesterous	纠缠不休的
primely	极好地
mock	骗
complemental	补足的
practicum	实习课
bto	一流人物
microammeter	微安计
reentrant	凹角
zone	圈
sniggle	向鳝鱼洞垂下钓钩钓
ileitis	回肠炎
investment	投资
stalwart	坚定
interpolation	篡改
tide	潮
quick	活人
cicatrix	脱离痕
circumambient	围绕
pulperia	酒店
roughrider	驯马师
unpenetrable	难穿入
tendencious	立场倾向的
leer	送秋波
pentode	五极真空管
acquirability	可得
methodism	美以美教派教会
amphibious	两栖
poky	慢吞吞的
histological	组织学的
podgy	短粗
tremulously	畏惧地
ophiophagous	食蛇的
hyposensitization	使敏感度减弱
californian	加州
metis	有八分之一黑人血统的混血儿
paletot	一种男女通用的宽外套
nicotian	烟草的
primarily	根本上
arthrogryposis	关节弯曲
manicou	鼠鼹
pasteboard	纸板做的
redbreast	知更鸟
raffish	卑鄙的
sinai	Peninsula
tarsi	睑板
exploitative	剥削的
cockleshell	小船
circumnutate	曲绕
heteroploid	异倍体
fls	Society林奈学会会员
march	行军
auriferous	含金的
gerontogeous	旧世界
polynuclear	多环
faultily	不完美
wineglass	葡萄酒杯
pumice	用浮石去污
most	最
nannyish	过分拘谨的
unshod	赤脚
staple	把……分级
bayou	河口
adiabatic	隔热
imprecise	不精确的
mediterranean	地中海民族的
accessory	副
gunmetal	炮铜
add	增加
machinator	阴谋家
fine	澄清
remedially	矫正
crackless	无裂痕的
druidic	督伊德教徒
flyer	飞跳
foe	危害物
tautomer	互变体
gelatinize	涂胶
jbs	John
yale	耶鲁
curtal	切短
semishrub	亚灌木
positivist	实证主义者
auspicate	v
revival	复兴
africanism	非洲文化研究
emotionless	没有情感
wilkes	Land
congeniality	同性质
remittent	间歇性
washy	无活力
monthly	每月一次
ichthyologic	鱼类学的
mousseux	起泡
tethyan	古地中海
neurogram	记忆痕迹
commemorative	纪念
bouquetiere	加蔬菜作配菜
product	乘积
pride	使自夸
panoply	全套甲胄
ssfdc	Card
meccano	组合玩具
unmeasurable	无限
pose	形成
unjustly	不义
phenomenal	现象的
deodorant	除臭
ms	Standard
antivivisection	反对sekFEnIzEm/
totem	图腾
teletypewriter	电传打字机
costotomy	肋骨切开术
smudgily	污垢
olio	什锦菜
myringitis	鼓膜炎
insinuate	使逐步而巧妙地取得
lawny	平坦并铺有草皮
shoulder	肩
brownie	核仁巧克力饼
iaf	国际宇航联合会
liveried	穿规定服装
tonga	汤加
clearsighted	眼力好
emendation	修正
bigeneric	两属
keynesian	凯恩斯理论的
csma	Avoidance
addle	使糊涂
mature	到期的
lemme	me
gondi	冈德语
intervocalic	元
pemphigus	天疱疮
hogback	陡峭的山
hit	偶然发现
anthropolater	人类崇拜者
weeklong	持续一星期
dirigible	可驾驶
hindermost	最靠近后方
supermundane	非现世
kaon	K
moreover	此外
praedial	土地的
masty	讨人厌
antifertility	避孕的
murphy	土豆
scrouge	推
ecclesia	会友
uglily	丑陋地
spellbound	着迷的
prognoses	预测
ineffaceable	不能取消的
deserved	应
overdrive	超速传动
amok	杀人狂
wealthily	富有地
automatization	自动化
pythonic	大蟒似
megapolis	多人口地
asexually	无性生殖
vibram	伐柏拉姆牌登山靴橡胶底
dogfight	狗咬狗
ayh	Youth
suprarenalin	肾上腺素
cabriolet	蓬式汽车
cureless	不能救济
grundyism	注重规矩
screech	尖叫声
abiotic	非生物
bully	威逼
capsular	蒴状
kibei	移居美国的第二代日本人移民
verisimilar	好象真实
hasher	侍者
tortuous	曲折的
ace	Command
outworn	用旧的
hottest	热
chiphead	计算机迷
geotropism	向地性
electrotype	制电版
couchette	睡铺
flabellifoliate	叶呈扇形排列的
builder	施工人员
husk	无价值之物
acetophenone	苯乙酮
fifteenfold	十五倍
nose	侦察出
tractorman	拖拉机手
wiseass	alec
muster	一群
acidity	酸性
theonomous	由上帝统治的
spawn	菌丝
tubuliflorous	管状小花的
lrl	receiving
recelebrate	重新庆祝
gastroduodenostomy	胃与十二指肠吻合术
prelude	序幕
sudorific	促使发汗
autoboat	汽艇
biwa	琵琶湖
brash	性急的
resurge	复活
african	非洲的
unabiding	短暂的
franchise	赋予特权
lycopodium	石松属的植物
qmc	Quartermaster
invalidism	病身
spasmodism	突发的情绪
gazetteer	公报记者
camporee	童子军露营
cakewalk	步态竞赛
imitate	模仿
oozy	软泥
waterbury	沃特伯里
rubefaction	使……发红
show	指示
swagger	狂妄自大者
habilimented	衣着整齐
ameristic	不分割
mediagenic	为传媒服务对象
subminiaturize	把……制成超小型
lucid	明晰
filthily	不洁
hempy	似麻的
isomeric	同质异构
masterful	专横的
hieroglyphical	象形文字的文章
crustaceous	外壳
ecliptical	食
delir	陷入谵妄状态
hit	碰撞
unmarriageable	不能结婚的
ninetieth	第九十
affectionate	亲爱的
soho	哈!
buic	Control
augustly	庄严
sketchbook	写生簿
counterdeed	反对证书
moorish	摩尔人
seafront	面向海的一面
afl	Labor
panmixis	随机交配群体
discophile	唱片收集家
stratigraphical	层学
unef	Emergency
mirador	凸窗
flee	消散
adoptive	采用
bathos	陈腐的
equally	相等
untalented	不聪明
imitate	仿造
nitrosyl	亚硝酰基
triserial	排成三列
pleiotaxy	多轮式
zesty	兴致很高
pulmonary	肺部的
atheromatous	动脉粥样化
rarely	很少
globelet	滴
subacute	亚急性
kilocurie	千居里
devotional	专心的
stale	疲倦的
excite	刺激
unstrikable	不得罢工
preselective	预选式的
biogeochemical	生物地球化学的
semioviparous	半胎生
omission	冗长
helicoidal	=helicoid
overcareful	过分谨慎
surely	安全
formication	蚁走感
faddish	趋于时尚
southernwood	青蒿
cresylic	杂酚油的
semifinal	半决赛
servitude	奴隶状态
babu	相当于Mr或Sir的称谓
castrative	产生阉割效果的
unfatherly	严厉
maldivian	马尔代夫人
disestablishmentarian	主张国家对教会不予承认者
fluffhead	轻佻女子
boney	=bony
bromidic	无聊
ravenna	拉文纳
oxo	含氧
slag	火山岩渣
peristaltic	蠕动
s3	全球最大的图像、视像及多媒体加速器供应商
snicker	窃笑
coring	去除中心部份
cognation	血亲
sinophile	爱好中国
panther	豹
otp	Trading
pellagrin	糙皮病患者
ble	Locomotive
rda	recommended
taxi	出租汽车
shadowboxing	太极拳
launder	流水槽
mack	老弟
sanscrit	=Sanskrit
tallboy	高脚橱
transshipment	转载
unrepulsive	未被击退
polyantha	多花蔷薇
aneroid	不利用液体
unbonnet	除去……的帽子
ponderance	重要性
abborrent	嫌恶的
pyrometry	测高温学
spode	斯波德陶瓷
downcast	沮丧
bold	大胆
esol	Speakers
sapanwood	苏木材
christmassy	有圣诞气氛
chinagraph	瓷器描笔
unauspicious	=inauspicious
pert	Review
eia	Association
ppcc	People''s
parallel	并联的
alfreda	阿弗丽达
coed	对男女都开放的
diploma	毕业证书
complaint	牢骚
zilpah	悉帕
criminality	有罪
antimicrobial	抗菌的
lamby	多毛如羊
upstairs	上楼
enjail	软禁
sorbefacient	吸收促进药
scurvily	粗鄙地
hidropoiesis	流汗
unfathered	出处不明
meiobenthos	较小型水底生物
unrepealed	仍有效的
quietistic	寂静主义的
hyde	海德
jocularity	滑稽
theologically	神学上地
biologic	生物学
scalpriform	凿形的
cathartic	通便药
embroil	牵连
hatefully	憎恨地
distributivity	分配性
rsgb	大不列颠无线电学会
drink	酗酒
berliozian	柏辽兹乐曲
tentmaker	制造帐蓬的人
atwain	分为二
colloquium	讨论会
nop	provided
deadstart	静启动
proprioceptive	本体感受的
lingulate	舌状的
waffie	流浪者
reticula	错综复杂的
nucleus	核子
catacomb	地下墓穴
extraovate	卵外的
photoelectroluminescence	光控场致发光
ingrained	根深蒂固的
commonsensible	常识的
unfathomable	深不可测的
gust	汹涌
dismiss	使离开
trichopathy	毛发病
nasserite	纳赛尔主义者
borderland	朦胧之境
suicidal	自取灭亡的
firstling	初生物
sound	语音
beatific	祝福
transnatural	超自然
stockpot	杂烩锅
virginiamycin	维及霉素
amusedly	开心地
minus	减的
hierocratic	僧侣统治制度的
exhaustible	被汲尽
hexachlorethane	=hexachloroethane
lubricative	润滑
present	当面的
wearproof	耐用的
mezzo	中间
humanities	人文学科
rap	交谈
dumet	杜美丝
timbal	鼓膜
joking	开玩笑的
fete	宴请
sweeting	情人
planirostral	具扁喙的
ringent	开口的
ac	Armored
overcanopy	以帐蓬覆盖
plug	插头
propound	提出
notarize	证明
offhand	随便
cession	让与债权
mineraloid	准矿物
camerlingo	财政官
khond	冈德人
hydel	水力发电
inertial	惯性的
loxodromic	斜驶
partialness	部分
pareu	一块长方形印花布
esemplastic	有融合作用的
shitticism	污言秽语
blacketeer	=black
fake	假的
inconsequently	不合理
moko	毛利人的文身制
meaty	肉的
snug	暖和的
reniform	肾脏形
isostemony	同基数雄蕊式
hunan	湖南
encyclopedic	如百科辞典
jackpot	累积奖金
flanker	两侧的东西
festschrift	纪念文集
oblatory	奉献的
squawk	抗议
idioglottic	自语症
impastation	用浆糊封涂
secondhand	二手
hypergolic	自燃的
face	脸
maintain	供养
equitable	公平
widower	鳏夫
unambivalent	明确的
recreance	怯懦
aplomb	泰然
strange	奇异
semiconducting	半导体
titivate	化妆
thibet	=Tibet
genital	生殖
alterative	体质改善疗法
aok	完美
functionalism	实用第一主义
wattless	无功率
etcetera	附加的人
cerebrotonic	孤僻气质
voluminous	容积大的
pomiferous	结梨果的
overdraw	透支
brekkie	早餐
slingback	露跟女鞋
tasimeter	微压计
chalk	白垩
ampoule	安瓿
comate	伙伴
enterovirus	肠道病毒
thin	稀疏地
interstitial	空隙的
unyieldingly	不屈服
renegotiation	重新谈判
gust	迸发
haemolytic	血球溶解
innate	天生
symmetrical	对称的
enthrall	迷惑
mum	沉默
inextinguishable	不能消灭
benthonic	湖底的
sexualize	使有性别
aciculate	有刺
resistible	可抵抗的
outdoorsy	爱好野外活动的
punch	打孔机
he	He
enforceable	可强行的
sexton	寺庙里的杂役
ethnographer	人种学者
time	合拍
str	reactor
poppycock	废话
scissorsbird	=scissortail
subderivative	次派生词
stoutly	坚决
discant	=descant
bacteroid	细菌状
contubernal	一起生活
aurae	先兆
sociologize	用社会学观点解释
effendi	先生
amidship	在船中部
gisarme	中世纪士兵用的战斧
playroom	娱乐室
arraignment	提问
bibliotics	文件真伪鉴定学
deliquescent	溶解
cineaste	电影制作人员
scepticize	持怀疑论
zanza	一种敲击木琴
sheila	少女
vassalage	家臣身份
sialic	硅铝质的
usurpation	篡夺
piling	打桩工程
cytotoxic	细胞毒素的
brassy	象黄铜的
testacy	留有遗嘱
parasitoid	拟寄生物
ambition	野心
supper	晚餐
scrutable	可解读
discrimination	区别
landstream	陆潮流
interfoliaceous	两叶间
multiparty	包含多党党员的
amatory	情人的
primage	运费贴补
indeliberate	未经考虑
counterfort	扶垛
local	地方的
kobold	土地神
cassandra	凶事预言家
nauseate	使作呕
synthetical	综合的
resedaceous	木犀草属的
wound	击伤
germanic	德国的
filoselle	散丝
graphy	书写单位
golden	金色的
intersection	十字路口
mouthless	无孔的
quietive	镇静剂
tack	大头钉
intuitivism	直觉知识
schmitt	施密特的
fordless	没有浅滩的
spartanize	斯巴达化
multicolor	五彩缤纷
zooty	华丽
harl	羽上的细毛
mas	Agency
unrounded	非圆唇的
tap	轻叩
unuseful	无益
suicidal	自毁的
guide	导游者
international	国际
inbreeding	同系繁殖
emend	校勘
compelled	迫使
murrhine	默勒石制的
manservant	仆役
indication	暗示
profitability	利益率
insensibility	不关心
structureless	无结构的
agonizingly	使人烦恼
irreclaimable	不可恢复
wishfully	希望地
preponderance	优势
powder	搽粉
riparian	河边的
motile	显示活力的
billiard	弹子戏
fossorial	适于掘地的
insinuative	讽刺
recharge	再控告
singlehanded	独力的
hesitatingly	支吾其词
comusmacv	Vietnam
attitudinal	态度的
shackle	桎梏
doubleheader	连赛
struggle	尽力使得
hugely	巨大地
subtilin	枯草菌素
chipmunk	花栗鼠
stateliness	庄严
legalize	使合法化
cometary	彗星
tractable	易驾驭
peddling	无关紧要的
fog	迷惑
when	在……的时候
poussette	跳环舞
montilla	蒙蒂勒白葡萄酒
divisional	分割
karman	卡门导管
evader	逃避物
subtetanic	轻度强直的
fusiform	两端渐细
frilly	镶褶边的
condensative	可凝结
levelheaded	清醒
dagmar	达格玛
certifier	证明者
lipolytic	引起脂肪分解的
derogatory	贬损
notify	通报
undeviating	坚定不移
sutlery	随军小商贩的职业
eucharist	圣餐
encouraged	被鼓励
athwartships	横向地
diplophonia	复音
gambian	冈比亚人
hackle	颈上的羽毛
wri	risk
spermic	精子
manoeuvre	调动
necropolis	古代的埋葬地
niddering	不诚实的人
disbelieving	不相信
cremationist	主张火葬的人
betsy	的昵称
unshirted	赤裸裸
nextel	"纳克斯泰尔"人造血
amplexicaul	抱茎的
armoric	阿莫里凯的
fasten	闩住
nettlesome	恼人的
septate	具隔膜
diplomatic	外交
course	经过
nascar	Auto
yaff	以锐声叫
extrovertish	如外向者
graticule	分成小方格以便复制的图形
trousers	裤子
attitudinize	装腔作势
atabal	小鼓
ovotestis	卵精巢
japan	日本
partook	partake的过去式
bisync	二进制同步通信
arthroplasty	关节形成术
refreshen	=refresh
glimpse	瞥见
procurance	实现
baathist	叙利亚社会党的
oner	极佳的事情
geometric	几何学
unmarried	单身
inarticulately	难以表达
cueist	玩撞球的人
presentative	有推荐权的
keynesian	凯恩斯主义者
unilateralization	单向化
equally	平等
ingenital	天生
meiji	明治(日本明治天皇睦仁
conn	驾船
cokuloris	调光板
miscreance	异教信仰
tetchy	易暴怒
murein	胞壁质
cineole	桉树脑
swiss	瑞士的
taileron	尾部升降副翼
gravitate	受引力作用
sill	基石
extent	长度
dinoceratan	恐角兽
assimilative	同化力的
corbel	承材
genie	鬼
residential	住宅
federate	联邦制度下的
unga	United
iaupe	Professors
delaney	amendment
hardhat	建筑工人
termwise	逐项地
through	经由
rubberlike	如橡胶
husky	沙哑
saurian	蜥蜴类的
seize	抓住
lepton	希腊的货币单位
nccj	and
lyrical	充满感情的
contrivance	发明
rupicoline	=rupestrine
calchas	卡尔克斯
leporide	比利时野兔
supergranular	超米粒组织的
terebene	松节油精
scall	痂病
metier	职业
aymaran	艾马拉族的
trisyllabic	三音节的
peremptoriness	武断
bacteremic	菌血症
foldboat	涂胶帆布艇
uncomplex	易懂的
galvanograph	电铸版印刷品
gravy	不法利润
lousy	污秽
finlander	芬兰人
mingily	吝啬地
imputable	可归咎的
demiseason	介于两季之间的
separative	有分离倾向
twitch	抽搐
houselessness	无家
biennialy	每二年一次
canonist	圣典学者
beau	情郎
deathly	死一般的
tied	约束
fian	=Fiann
misconstrue	曲解
one	一个
preplacement	录用前
beautydom	美人圈
urtext	原始文本
bulb	球形物
vesiculous	=vesicular
demonetize	使通货废止使用
albuminoid	蛋白似的
illustrative	说明性
occultist	术士
elliptical	省略的
yakuza	日本瘪三
pentomic	五群制
hircine	山羊般
sarsa	由撒尔沙根中提炼的药
unspliced	未拼接
outmarch	追过
publish	发表
muggletonian	马格莱顿教派信徒
ocdm	Defense
guide	指南
synchronological	展示同时发生的
matronly	安祥
nummulary	货币
backbend	卖艺人身体向后仰作弓状的姿势
semiscientific	不十分科学化的
rantipole	粗野的人
swinishly	贪婪地
exophthalmic	突眼
nitty	笨的
unthought	未加思考
grogram	丝或丝毛交织的粗松斜纹布
uncommonly	很
reginal	威严
feathery	柔软如羽毛
allegorical	寓言
unnilquadium	104号元素
ablator	烧蚀挡板
cornetto	小铜喇叭
legality	墨守陈规
malcontent	不满者
amuse	使发笑
palaeoanthropology	古人类学
irreconcilable	矛盾
said	say的过去式和过去分词
shaky	颤抖
mccarthyite	麦卡锡主义信徒
fasten	抓住
attend	护理
summoner	法院传票送达员
exuviation	脱壳
twopenny	不足道
haemolytic	溶血的
fos	轮船上交货
hormone	激素
propylite	青磐岩
distribution	法院对无遗嘱死亡者财产的分配
genealogical	系谱
pauperdom	=pauperism
expanding	展开
jarful	一瓶
isthmic	=isthmian
projecting	伸出
alienator	赠予者
gore	缝以补裆
cottier	农夫
immediateness	直接
ambassadorial	大使的
bandobast	=bundobust
damning	诅咒
quickish	相当快的
endowment	天资
irised	彩虹色
uaw	Automobile联合汽车工会
termly	定期的
spoken	口语
benedictive	赐福的
charpit	烧木炭的坑
megalithic	使用巨石
hausfrau	主妇
unwrought	未加工的
romance	浪漫史
rearview	mirror后视镜
scavenger	食腐动物
unurged	未被催促
devise	图谋
deovolente	若一切顺利
capitalintensive	资本集约
versicolor	杂色
prickle	柳条篮子
donau	=Danube
ophiolite	蛇纹石
credulously	轻信地
cuticular	表皮
billbug	谷象
ousel	鹤类的小鸟
cc	科科斯群岛
chart	海图
nattily	整洁
channel	引导
coul	=cowl
endobiotic	组织内寄生
fleetingly	疾驰
knickknack	小玩意儿
preheating	预热
carfare	公共汽车费
electrophoretogram	电泳图
intussuscept	摄取
aeroginous	产气的的
investitive	赋予的
inexcitable	难以激动的
highly	高
transactor	办理人
intrench	固守
claspt	clap的过去式及过去分词
plant	工厂
signboard	招牌
fucker	傻瓜
president	行长
infernal	恶魔的
monticulous	=monticulate
his	他的
arouse	鼓励
abortively	流产
barnstormer	江湖艺人
antemeridiem	上午
assimilative	同化
conjugal	结婚
flickering	忽隐忽现
euphory	=euphoria
anetic	弛缓
adventuress	用不正当手段谋求名利的女人
dps	每秒衰变数
vomit	吐出
downwash	因机翼所产生的下降气流
optimal	最理想
say	发言权
azof	=Azov
pecuniarily	在金钱方面
hedgepig	反潜火箭
kitakyushu	北九州
giggly	傻笑的
blackness	阴险
diaxon	二轴突细胞
carboy	用藤罩保护的大玻璃瓶
overhead	高架的
bottlebrush	洗瓶刷
emi	百代唱片公司
martian	火星人
averse	不愿意的
preemphasis	预加重
osmanli	土耳其语
pompey	英国南部的军港
reglaze	再上釉
auric	三价金的
momentary	瞬间
yardman	场地工人
darwinism	达尔文学说
fifteenth	第十五
nhk	Kyokai
birdshot	小号铅弹
sophister	大学的二年级学生
demand	要求知道
plane	平面
armenian	亚美尼亚人
unlash	放开
valsalva	manoeuvre瓦耳萨耳瓦氏手法
folknik	民谣迷
kiri	泡桐树
likewise	照样地
lawson	劳森
polyether	聚醚
forgetive	能够创造发明的
granularity	间隔尺寸
founderous	易使人摔倒
wagonload	货车装载量
emr	educable
vociferate	大叫
idiosyncratic	特殊物质的
outroot	根绝
playgame	儿戏
governess	女家庭教师
carbachol	碳酰胆碱
replicate	复制
flackery	推销
lilacky	淡紫色
lame	跛足的
sick	病态
affluent	丰富
disbud	去蕾
undecagon	十一边形
snowberry	雪果
scalprum	骨刮
idiocy	白痴
fluoroplastic	氟塑料
recuperative	有恢复力的
indigestible	不吸收的
coordinate	同等物
retail	零售的
chaw	嚼
isolated	孤立的
guileless	不狡诈的
methinks	我以为
exsection	切去
strict	严厉
conversus	教友
slatted	覆有板条的
osprey	白色的羽毛
carbonaceous	碳的
setover	偏距
mowburnt	因堆积发热而霉烂
aluminize	以铝覆盖
aminobenzene	酸
aerocar	可变为汽车或飞机的一种运输工具
proptosis	前垂
preadamite	认为亚当以前便有人类
slender	苗条
gazette	学报
inscape	内在的特性
ddn	Digital
calenture	中暑
fillagree	金银细丝工艺
meterstick	米尺
preferential	特惠的
rube	土包子
cegb	中央电力局
plane	程度
sulfonmethane	=sulphonmethane
inconsistently	不一致
unslumbering	一直警惕着
jungian	支持易雍的人
velvety	柔软的
valued	尊贵的
warranty	根据
coding	译码
rigor	苛刻
dacron	的确良
embroidery	装饰
hotelman	旅馆经理
gawp	呆人
backroom	私下的
ream	铰除
one	一方的
remove	开除
purl	用金银丝绣
garlandry	花环装饰品
bum	无价值的
pantomime	打手势
diabetic	糖尿病患者
housewife	家庭主妇
tup	锤头
degradation	降级
grimly	严格
indivisible	除不尽
acoustooptics	声光学
energise	=energize
keratometric	角膜散光计的
masochism	受虐狂
odorously	香气
idle	懒惰
headily	任性地
cartology	三角图学
hbms	Ship
icosidodecahedron	三十二面体
kusso	苦苏花
lingayen	仁牙因
univocal	意义明确
thankfulness	感激
westbound	西行
temptation	诱惑物
antimonarchic	反君主制
anterolateral	在前面偏一边的
trichopathy	毛发病疗法
haematopoietic	造血
erect	树立
saponifiable	可皂化
essentialize	使精炼
superior	出众的
atelectatic	肺膨胀不全的
quadripartite	分成四组的
catamnestic	病后经过的
farmisht	混乱
pike	用矛刺穿
diplomatic	老练的
maundy	洗足礼
synapse	神经原的神经线连接
working	经营
sightworthy	值得一看
fluster	混乱
solidary	休戚相关的
elburz	Mountains厄尔布尔士山脉
atherosis	动脉粥样化
dessert	餐后甜点
rhinopolypus	鼻息肉
intragalactic	星系内
roguish	流氓
kiddle	鱼梁
indaba	野营聚会
entelechy	圆满实现
cornelia	科妮莉亚
sexton	教堂司事
ultrasonics	超音波学
sncf	Societe
jargon	行话
exposed	无掩蔽
handbarrow	搬运工具
clinical	临床的
grassland	牧草地
amethystine	紫色
duplicate	复制品
roach	蟑螂
erythropoietic	红血球生成
counterpulsation	反搏
sql	Language
omniscient	无所不知的
upstairs	楼上的
zincography	刻锌版
coownership	共同所有
skywards	向天空地
frontlessness	没有前部
quotable	可引用的
renascent	新生的
conflagration	突发
cursely	该受诅咒
bored	无趣的
homophonous	齐唱的
heeler	一帮捧场的人
waxen	似蜡的
soavemente	=soave
factious	好搞派系
mechanism	机构
assumed	假装
inhospitality	冷淡
forthcoming	即将来临
dolomite	白云石
unadvantageous	不利
