chrysograph	中世纪时代用金色或金银色墨水所写的文件
prankster	爱开玩笑的人
orangeism	奥兰治党主义
outgo	支出
luminol	发光氨
ultrasonic	超声的
sleuth	足迹
abominable	讨厌
antiparallel	反平行的
hawk	捕捉
champleve	雕刻七宝
voces	vox
portliness	威风
glial	神经胶质的
electrochronograph	电动精密记时计
scrappy	斗志旺盛的
replay	重赛
phthisic	结核病
sound	宣告
postvaccinal	接种后
officialize	置在政府机关管辖下
ever	在任何时候
disassembly	解体
horae	时序女神
anemophilous	风媒
nipa	尼巴酒
unput	未放置
exaggerate	夸张
zooplastic	动物组织移植术
fairing	市场上买的礼物
immensurable	不可衡量的
winebottle	酒瓶
celaeno	昴星团
xcviii	98
land	使到达
iotp	Open
dpt	tetanus
cbpi	加拿大商业期刊索引
groovy	常规
uneconomical	不经济的
ppb	per
telomere	端粒
eclipse	引起日蚀
impetuous	激烈的
baneful	使人苦恼
quackupuncture	冒牌针刺
clinographic	斜射
stimulant	刺激物
tcs	交通管制站
aw	阿鲁巴
rosarium	玫瑰园
affixation	附加法
cocker	娇养
convincing	有力
voltolization	电聚
capapie	全身
mycelia	的复数
meteorologic	气象学的
asiatic	亚洲
commons	公共用
slander	诽谤
corrupt	腐烂
foolproof	十分安全
eva	伊娃
barotolerance	耐高压性
underwear	内衣裤
calisthenic	美容体操
scar	创伤
cystiform	胞状的
bowel	同情心
orb	天体
signal	发信号
occlusive	闭塞
homochronous	同期发生
turbinate	螺旋形介壳
undp	Program
impressure	感觉
pietist	假装虔诚的人
topstitch	在外面的缝旁缝一道针迹
clonally	无性系地
wrackful	毁坏
foreignize	外国化
disorganized	紊乱的
lcp	Link
accredited	可接受的
pipy	管状
fray	打架
rodent	咬
exteriority	外在性
hominine	类人
legumen	荚
leafy	叶状
caudate	有尾状附属物
taskmaster	工头
ontologize	以本体论表达
depressible	可抑压
chive	细香葱
puff	鼓吹
archdeaconship	副主教的职位
beccafico	小候鸟的一种
ensiform	剑形的
orotund	响朗的
inequivalve	两片壳不等瓣
presto	迅速的
exemplarily	作为模范地
frigging	要命
migration	移植
decline	衰败
asti	spumante
evacuation	走开
flukicide	杀吸虫剂
reengine	更换……的发动机
threefold	三倍
labial	风琴管
desolation	荒凉
ramet	无性系分株
montanian	=Montanan
annullable	可废止
odiousness	讨厌
barefaced	不隐瞒
xenium	赠与宾客的礼物
constitutive	制定的
renown	使有声望
unacted	未演出
dup	打开
cafe	咖啡馆
tusser	=tussa
irretraceable	不能回头
epibolic	外包的
fille	女佣
idolater	崇拜者
bimeby	渐渐
sleepcoat	男睡衣
raffish	艳俗
overquantification	过于着重数量
bashfully	羞怯地
hairdo	发式
iffy	可疑的
favous	形似蜂巢
leniently	温和地
unholy	不洁净的
prolate	扁长
sublunary	月下的
sncf	Nationale
salpingitis	输卵管炎
super	非常
page	翻书页
dexterous	灵巧的
regard	问候
coshery	饮宴
speechless	不能说话的
saturn	杀草丹
mestranol	炔雌醇甲醚
frankhearted	无隐
theandric	神人的
incondite	生硬的
xylography	木版术
landward	向陆地
means	手段
diploma	文凭
pettifogging	诡辩
annum	年
ascidian	海鞘类
corepressor	辅抑制物
systematically	系统
wearable	耐磨的
ornithosis	鸟疫
smegma	阴垢
xanthogenate	黄原酸盐
imperceptible	觉察不到的
thrust	口头攻击
rubenesque	=Rubensesque
zig	转弯
cpc	Communist
interested	有权益
therewith	与此
westing	西行
payt	payment
expropriation	征用
gaga	愚蠢
rickle	将……堆成一堆
asthenopia	弱视
blocky	短而结实
toadeating	谄媚的
depose	宣誓作证
jurisprudent	精通法律的
charmed	着迷
cosecant	余割
desirable	值得要
trail	踪迹
odontophorous	有舌突起的
deferentially	谦恭
gipsydom	流浪汉的势力范围
transdisciplinary	涉及若干学科的
drillmaster	训练员
duluth	德卢斯
polystomatous	多口孔的
qbe	实例查询
pristane	朴日斯烷
dredlock	=dreadlock
frondescent	长树叶
aurora	黎明的女神
castiron	强壮
ethnarch	部落
musketoon	短火枪
plowshoe	=ploughshoe
azeotropy	共沸现象
refiner	精炼者
pliers	钳子
lentic	静水的
fruitage	结果
disk	圆盘
secateur	剪
calk	装尖铁
bidonville	临时搭建的简陋棚户区
msbc	Building
pernicious	有害
exacting	吃力
wahabee	瓦哈比教派的教徒
walrus	海象
sadducee	撒都该教派
psoriasis	牛皮癣
shirttail	幼小的
situated	被置于境遇
sandfrac	沙水压裂
conversancy	熟练
pert	鲁莽
placet	赞成
sniff	用力吸气
carline	女人
consuelo	康斯薇洛
unsaid	不说
quindecemvir	十五人团体中的一人
charge	主管
uneven	不平坦的
nefarious	穷凶极恶的
ruddily	呈现赤红色
felonious	重罪
verbose	详细的
fruitage	水果
pigsticker	猎野猪的人
zooty	花哩花哨
hydrobromide	溴化氢物
leonid	狮子座流星群
blocky	斑驳
einkanter	单面鹅卵石
glyoxal	乙二醛
super	特大的
ftp	文件传送输协议
yikker	叽叽喳喳
galleon	大型帆船
filter	滤过
bifilar	双股的
it	Italy
cementite	碳化铁
misinput	错误输入
bawdily	淫秽地
pubescence	到达青春期
aircrewman	空勤组员
workhorse	重负荷机器
rationalist	唯理论者
passthrough	通过
unretarded	未受阻止
runner	信使
varicocele	精索静脉曲张
dactyl	长短格
maillot	女游泳衣
lallation	将
vindicative	惩罚
sweepingly	扫荡
ruefully	悲伤
invest	授予
electrodermal	皮电性质的
tankette	小坦克
refutatory	驳斥的
kilted	打褶的
rapaciously	强取地
unswerving	坚定的
anthropophagi	食人肉者
voiced	有声
diapsid	双窝类
zaire	非洲扎伊尔货币名称
phyllotactical	叶序
kibitzer	乱出点子的人
trichromic	三色的
conferment	授予
coolish	微凉
meconic	罂粟
antique	过时的
tenfold	成十倍
roseate	玫瑰色
logos	理念
retroflected	=retroflexed
reif	抢夺
sunscald	日灼病
superjacent	上覆
intracity	市内的
hangchow	杭州
unconfiding	寡言的
antistrophe	反用
theater	阶梯教室
fleshless	无肉体的
atapi	AT附件包接口
afterwit	事后聪明
ottawa	渥太华
verel	维勒尔
unwound	松散
afterwar	战后
kuskokwim	卡斯科奎姆河
overbrilliant	过于华丽的
augmented	增音
cormorant	贪婪的人
eugenicist	优生学家
filiform	丝状的
rasp	粗锉刀
execute	完成
buccal	颊
instant	即时
anteprohibition	禁令前的
misbehave	行为不端
set	树立
keratoid	角质的
legibility	易理解
onyxis	嵌甲
dichasial	歧聚伞花序的
huntsmanship	狩猎本领
procacious	冒失
canicular	酷暑期的
flutist	横笛吹奏者
diffrangible	可分解的
felv	feline
ghostlike	灵魂似的
aiff	File
lobscouser	水手
nitrolic	硝基亚硝基化成物的
rfc	Request
hoagie	sandwich
forward	早的
unitary	单式的
inapparent	不明显
renovascular	肾血管
unidentifiable	无法识别
hecatomb	大祭
hysterotomy	子宫切开
gastronomy	烹饪法
legend	图例
kirmess	庙会
thermoremanent	热剩磁的
methodical	有方法的
substitute	代替
mudroom	沾泥物品寄存室
accession	增加
maximalist	俄国多数派成员
transitively	及物
vodkatini	=vodka
uniat	东仪天主教会的
blew	blow的过去式和过去分词
natatorial	游泳
film	拍成电影
restlessly	不安地
swordplay	针锋相对的争论
romaji	罗马字
nacrite	珍珠陶土
liveryman	出租马车的人
checktaker	收票员
raver	说胡话的人
rainless	无雨的
corba	Broker
hullo	呼喂
unfortunately	不幸
enantiosis	反语
paunch	瘤胃
buggy	臭虫成灾的
aurae	气味
automatous	机械的
sulphurweed	药用前胡
goanese	果阿
houseperson	管家的人
tussal	与咳嗽有关
babbling	胡说
tactual	凭感觉的
spaghetti	意大利式细面条
dopant	搀杂剂
neighbourhood	邻居关系
semicentenary	50年
wiriness	筋肉横生
proportional	相称的
swamy	=swami
dolphinarium	海豚馆
ductless	无管
qei	quod
staggeringly	蹒跚
gppm	Minutes
rightfully	正当地
monacal	=monastic
matrilateral	姑表关系的
test	测试
eec	Control
incog	隐姓埋名者
visitant	幽魂
sisyphean	永远做不完
entrenous	只限于咱俩之间
anamnestic	记忆
vapidly	无趣
subcellular	亚细胞的
dindle	震动
basilic	重要的
hornbill	犀鸟
paranormal	超过正常范围
abac	诺模图
inshrine	安放在神龛内
fishweir	鱼梁
rebbitzin	拉比之妻
criminative	控告
nephridial	肾
carbonous	碳
sanctified	认可的
saccharin	糖精
mischievous	有害
familarity	亲密的行为
lobulate	分成小裂片的
mollah	=mullah
erythritol	赤藻糖醇
biparasitic	双重寄生的
downstreet	去闹市区
wrong	不公正
by	在附近
anthroposcopy	相术
mean	中庸
evocative	唤出
caip	计算机辅助索引程序
sittable	可坐的
far	很晚
oberhausen	奥伯豪森
warmish	稍为温暖
lilacky	丁香紫的
upright	竖立
nurture	养育
concertgoer	常参加音乐会者
climber	攀缘植物
succursal	次要
ironsmith	锻工
arraign	传讯
tasteful	有鉴赏力的
photobotany	光植物学
unlatch	未栓上
sootlike	似煤烟的
drinamyl	德林纳米片
odds	不均
inefficiency	无能
thesaurus	辞典
comedic	喜剧
conarium	松果体
keramic	陶质的
diligent	勤勉的
volte	次
undo	取消
yahveh	耶和华
galla	盖拉族人的
antiscriptural	反对圣经的
platform	讲台
atmospherical	空气
infirm	不坚固的
tanalized	用防腐剂处理过
okayama	冈山
mandir	寺庙
pitted	去核
choreography	舞蹈术
kvetch	吹毛求疵的人
chaikovski	柴可夫斯基
tret	添量
theocentric	以上帝为中心的
cynegetics	打猎
discutient	消散
riviera	里维埃拉
jimp	缺乏的
merge	合并
gazel	=gazelle
suitably	合适
trickiness	欺骗
martellato	槌弓奏法的
demology	人口学
memoir	论文集
shock	禾束堆
phyllo	制成极薄层的生面
wry	扭曲
monophyletic	单元
evaluable	可估值的
incessancy	连续性
yielding	易受影响
hereditable	可遗传
cuttlefish	墨鱼
market	市场
swindler	骗子
versatile	多面手
intrada	引子
ploy	趣味
reprovision	补充粮食
cedrol	雪松醇
flageolet	音栓之一种
aerotherapeutics	空气疗法
touch	点缀
soldier	士兵
patripotestal	父权的
impossible	难以忍受的
aonb	Area
inflation	暴涨
grainfield	谷物用
visive	可看见
yodle	反复用真假嗓音互换唱歌
patriline	父系
gemmiferous	产宝石的
ankle	踝
random	任意
chautauqua	有关文化讲习集会
polypectomy	息肉切除术
rustily	锈蚀地
hyaluronidase	透明质酸酶
maoritanga	毛利人文化和风俗习惯
skidder	集材机
cisc	set
xanthine	黄嘌呤
bole	树身
molecule	分子
pilocarpin	匹鲁卡品
abranchial	无鳃
witt	威特
suasive	劝说的
manner	礼貌
sgml	for
magyar	匈牙利人
dll	Library
raft	筏
diopside	透辉石
laureate	佩戴桂冠
aeronomy	上层圈气流研究
maladministration	暴政
thersitical	破口大骂的
macroscopical	肉眼可见
blithesome	高兴的
joycean	乔伊斯
cloze	完形
photoionization	光化电离
pashalic	的领地
clouted	缀补
twirl	捻弄
spigot	龙头
tubificid	颤蚓
briny	盐水的
carlovingian	加洛林王朝的
spotty	发疹
hydraulic	水压的
scurry	急跑
goat	替罪羊
tachyphylaxis	快速抗药反应
unsound	不健全
endothermal	吸热的
endsville	首屈一指
adolf	阿道夫
continual	连续
acalycine	无花萼的
xenocurrency	国外货币
beethovenian	贝多芬的
fraktur	德文尖角体的活字
cutie	讨人喜欢的女人
dimply	有酒窝的
bidet	坐浴盆
pejoration	变坏
guy	Guy
tuck	折成摺子
pollock	鳕鱼类
aldolase	醛缩酶
volute	涡形
sublimate	纯净化的
persistent	持久稳固的
teller	检票员
hominy	玉米粥
standing	固定
devour	贪听
spur	疾驰
acquisitive	可学到的
bicornuate	新月状的
alpine	阿尔卑斯山的
cirsectomy	静脉曲张截除术
inspiratory	吸入的
reaction	反应
kiddywinky	=kiddywink
overextend	过分扩张
klepto	=kleptomaniac
overhung	从上悬垂的
dpi	inch
damned	十分
corpse	尸体
cornrow	梳成一排排辫子
nasute	鼻形兵蚁
aquiferous	含水的
wiredrawing	制造铁丝
sambhar	=sambar
fleshpots	豪华的餐厅
kinetosome	动体
ketogenic	能转化为酮
fluky	幸中的
extended	伸出的
bronchopulmonary	支气管肺
assuming	僭越的
rafferty	完全不讲章法
osb	of
grubstreet	文丐的
tenesmus	里急后重
separation	分离
strain	扭伤
hateable	可恨的
defendant	被告
afrikaans	南非的公用荷兰语
presidial	驻防军
plumulate	有漂亮羽毛的
swale	烧焦
incooperative	不愿意合作
unshapely	不好看
bdtr	Transfer
conjecture	猜想
glittery	闪烁
dicoumarin	双香豆素
paten	圣餐碟
cytopathy	细胞病
slough	蜕的皮
unapproachable	不可亲的
smart	厉害
berm	城墙与外濠间之狭道
lowlife	下层的人
lifeful	充满生气
japanese	日语
corporealize	使物质化
striction	约束
entreaty	恳求
yamalka	=yarmulke
else	其他的
cyanogenesis	生氰
fmc	Federal
jacquette	杰凯特
circularize	分发传单
nepali	尼泊尔语
scythe	用镰割
bricole	间接的一击
mixotrophic	兼养
tufty	丛生
addictive	上瘾
knap	丘顶
damascene	大马士革人的
anisotropism'	NULL)
aquarium	玻璃缸
dilate	使扩大
bolt	闪电
mythographer	神话讲述者
ferment	发酵
rounder	作圆之人
suggest	使想起
rustically	简朴
robustious	强壮
doxycycline	强力霉素
vector	无线电导引
montanic	山区的
blankness	单调
pertinency	有关性
trooper	骑兵
transgress	越界
meliorative	改良性的
psychosexuality	精神性欲
unannounced	未经宣布的
squire	护卫
marl	泥灰
submissively	服从地
subocular	眼下的
ebullient	热情洋溢
gec	Electric
discerption	断片
prohibitory	禁止
proteiform	形式多变的
psalmodic	赞美诗篇的
impermeable	不能渗透
percurrent	到顶的
misspoken	读错
leptosomatic	瘦弱型
hg	汞
parabolical	寓言似的
att	Telephone
underline	加下划线
machicoulis	枪眼
ruthful	悲哀
arthrodial	滑动关节的
funicle	细绳
satyromania	=satyriasis
haunted	鬼魂出没
bicuculline	荷包牡丹碱
algorism	十进制
assuredness	确实
salimeter	盐度计
survive	生还
psammite	粗粒碎屑岩
satanic	恶魔的
neutral	中立者
genuine	诚恳的
penally	用刑罚
clippie	女售票员
container	集装箱
metagon	后植核酸
dreamily	朦胧
ceraceous	蜡质的
unhang	取下悬挂物
nevermore	决不再
viminal	维米纳尔山
addictive	上瘾的
upas	见血封喉的毒汁
whisk	打蛋器
radiosymmetrical	辐射对称的
sociopath	反社会的人
palliative	减轻
undefined	不明确的
intertestamental	写于基督教新约与旧约之间的
notoriety	恶名
bajree	珍珠粟
neckguard	盔甲之护颈
kavass	卫士
calendarian	日历
ringmaster	表演指导者
helminthoid	肠虫状
brocade	织锦
rfc	For
sickly	令人作呕
reason	说服
dynatron	中间子
hymn	唱赞美歌
cheezit	当心
echelon	排成梯队
cordotomy	脊髓索切开术
neutrodyne	中和式高频调谐放大器
tientsin	天津
upward	向上
demagoguery	群众煽动
requiem	安灵曲
crt	阴极射线管
bouvet	lsland
probate	遗嘱检验
tierce	中号桶
everlasting	耐用的
outpensioner	院外领年金者
garbage	垃圾
nehemiah	尼希米记
cid	英雄
countercheck	阻挡
outrageous	无耻的
effective	有生力量
prosecutor	检举人
iciness	如冰
appropriable	可侵吞的
indistinguishable	无差眀ly//
unpolled	未登记的
routeway	通道
angulated	使有角
nih	National
assets	资产
emeerate	=emirate
impenitent	顽固的人
despotic	专制的
liquid	流体
retiral	退休
laloplegia	语器麻痹
limay	利迈河
bongo	非洲产大羚羊
whiteboard	白色书写板
hypothecation	担保契约
eld	高龄
unduplicated	无复制品
christly	如耶稣一样
actualite	当前话题
quarterfinal	四分之一决赛的
appropriator	私用者
peruvian	秘鲁的
drag	拖拉
sialid	泥蛉
mutably	无常地
obtained	获得
parallel	平行面
larn	记住
tropism	定向
yarmulke	圆顶小帽
maleficence	罪行
crappy	没价值
thin	稀疏的
pneumatic	汽力的
praties	马铃薯
lycopene	番茄红素
easygoing	懒散的
microphotograph	/
theoretics	理论
toboggan	乘橇滑下
quintette	五重奏
sycophant	拍马
bhojpuri	比哈尔方言
cry	喊
unaware	不知道
arsonist	纵火犯人
coyote	一种产于北美大草原的小狼
adultness	老成
discredit	不名誉
communicative	爱说话的
leaden	铅灰色的
prow	勇敢
ukaea	Energy
malaguena	Malaga
vagabond	浪荡的
sprue	口炎性腹泻
flicflac	碰腿
squashy	又湿又软
bellman	传达员
dhtml	HTML
pinpoint	查明
folliculitis	滤胞炎
forbidden	严禁
theosophical	通晓神智学的
weanling	断了奶的婴儿
torque	扭矩
simple	率直的
hmnzs	Zealand
paling	木栅
agravic	无重力区
tong	帮会
outfield	偏远的田园
sasquatch	北美野人
teratogenicity	致畸性
gushy	易动感情
rumbustiously	难驯地
licente	莱森梯
kinkcough	百日咳
fictitious	习惯上假定的
mozambique	莫桑比克
derealize	使不真实
gfwc	General
appropriator	专有者
unluckily	令人遗憾的
ulyanovsk	乌里扬诺夫斯克
fieriness	猛烈
altercate	口角
humorless	非常严肃
voluntary	自发
floccillation	摸索
ours	我们
certify	保证
laddic	拉蒂克多孔磁心
accessorius	副神经
dastardliness	卑鄙的行为
tactic	按顺序
quadrireme	每边有四对桨的一种古船
immolate	献祭
leak	使渗漏
lively	活跃的
furious	狂暴
beltway	环形公路
stoss	向冰川面的
godless	不信神
equational	均分
arid	贫瘠
pubic	阴部的
unhitch	放松
oilily	光滑
feeling	仁慈
cursive	草书体
trondhjem	=Trondheim
twinge	剧痛
terracotta	赤土陶器
extraordinaire	非凡
portwide	港口范围
rumour	传闻
sputter	急语
iliac	髂骨
paragraphia	错写
payroll	薪水册
meetinghouse	礼拜堂
imbosom	拥抱
excommunicable	应革出教会的
defecator	清净器
hallstatt	初期铁器时代
nitric	氮
frogfish	襞鱼科
inappositely	不适合地
frolicsome	爱闹着玩
frump	守旧者
dps	disintegrations
ixtle	=istle
birthroot	直立延龄草
andrew	安德鲁
hyaloid	透明
kyrie	=Kyrie
accomplice	帮凶
landgraviate	伯爵的地位
scup	变色窄牙鲷
antagonistical	反对
magnificence	华丽
chivalrous	有武士风度的
aloud	大声地
unsigned	无正负之分
lacune	缝隙
concerted	商议定
canonically	宗规上地
shmeer	=schmeer
yarwhelp	=godwit
sgml	Standard
notchwing	卷叶蛾
trona	天然碱
isogonal	=isogonic
hydrotherapy	水治疗法
phosphorylation	磷酸化
cornelian	光玉髓
rylean	赖尔方法的
agressire	攻击
nonnatural	违背自然
nuclei	nucleus
electric	电气
lymphocytotic	淋巴球增多的
effect	结果
gamely	不屈地
impracticability	无法实施
hypoploidy	亚倍性
flabellinerved	神经呈扇形排列
inexplorable	无法研究的
sycophant	拍马屁的人
metabolize	产生代谢变化
ascogonial	产囊体的
retroflexed	向后弯曲
takoradi	塔科腊迪
cyclothymia	躁忧性气质
casually	偶然
mixblood	混血儿
excommunicate	逐出教会
selene	月之女神
decet	=decimet
ethnobotanist	民族植物学
moulin	冰川锅穴
inherently	固有
rebel	叛乱者
chaffingly	嘲笑地
snakeless	无蛇
depth	深度
interrogative	表示疑问的
cynomolgus	食蟹猴
embryogenic	胚胎发生的
repeal	废止
chief	首要
lumbrical	蚓状肌
unrepulsive	不令人厌恶的
taws	皮鞭的一种
autotoxicosis	自体中毒
telestereoscope	立体望远镜
consilient	符合的
gentleman	有身分的人
adjunction	添加
tcp	Protocol
oaves	oaf的复数
lowermost	最底下
fisheater	天主教徒
hullabaloo	喧哗
creamer	撇取乳酪的人或器具
hakka	客家
empress	皇太后
plicate	有褶
popedom	权限
palmatifid	掌状半裂
acpi	and
alkalescent	碱性的
commuterland	月票市民集居的郊区
semiautomated	半自动
riot	放纵
notionate	倔强的
fining	澄清剂
tack	抢风航行
stuporous	昏迷
royal	皇家的
pubescent	思春期
chalklike	似粉笔
accidentalist	偶然论的
laysister	干杂活的俗人修女
discriminatorily	歧视
indefatigability	不疲劳
midnoon	中午
bevy	一群鸟
omniphibious	全能着陆的
msj	Journalism
gallop	急急忙忙地说
weight	重力
trifle	少量
nymph	居于山林水泽的仙女
cleanliness	洁癖
distrainer	扣押人
flatter	使高兴
ciliate	有睫毛的
horsebreaker	驯马师
wacky	乖僻
brelogue	系于表链上的小饰物
mezzanine	包厢
servia	的旧称
thirteen	十三
piliform	长毛状的
salute	敬礼
hematimeter	血球计
quibblingly	吹毛求疵地
compliment	恭维
reedy	脆弱的
leavisian	利维斯派
verbally	用言辞地
fill	填方
fco	Commonwealth
multianalysis	多元分析
coopery	制桶工厂
bighearted	宽大
bargeman	游艇船员
unlash	解开
winefat	=winepress
guy	家伙
criticise	批评
nonessential	非本质的
arioso	好听的
paly	苍白的
supercrescent	寄生的
centile	百分位数
untruthful	虚伪的
winnow	簸
probusing	赞成用校车接送的
sunnily	快活
redemptive	赎回
niobous	三价铌
ragbag	装破布的袋
english	英语
sadism	虐待狂
repulsion	排斥
gmt	Greenwich
brook	小溪
pontiff	罗马教皇
misty	有薄雾的
crossruff	同一方的人互相出王牌
inveiglement	诱骗
tenderness	柔和
clastic	可分解的
antipruritic	止痒的
spiffing	漂亮的
paragraph	段
fiction	小说
liquor	液体
pauldron	肩甲
amusedly	愉快地
fretted	焦躁的
pressure	压迫
calycoid	似杯状小体
aidance	协助
murderous	造成死亡的
rootedness	牢不可破
sidelight	间接说明
str	潜艇用热中子反应堆
exiguity	稀少
stead	好处
expiator	补偿者
truehearted	诚实
repellence	反击性
toughly	能吃苦耐劳
inscriptionless	无碑铭
tack	附加
mammet	=maumet
inchmeal	逐渐地
ramie	苎麻
unostentatious	朴素地
surrender	使投降
torc	金属饰环
fillagree	华而不实的事物
cayuga	卡尤加族的
nauseated	作呕的
level	水平的
benthamic	边沁学说的
supernormal	异于寻常
straitjacket	紧身衣
mystical	神秘的
concertante	适于发挥高度技巧的
creationism	特别创造说
orthoptist	两眼斜视校正医师
receivership	破产事物官职
drugstore	杂货店
indwelling	留置
flank	腰窝肉
admirably	美好
humanistic	人文主义
deregister	从登记簿上注销:
mauretanian	=Mauritanian
skycoach	普通客机
undignified	不庄重
sacrifice	献身
neckwear	围巾之类
peonage	当劳役偿债的制度
uplift	道德提高
ascap	作者与出版者协会
culpability	有过失
washiness	稀薄
circulative	促进循环
preface	序文
virilescence	男性化
graphitoidal	石墨状
islamite	伊斯兰教徒
successful	成功的
sacking	口袋布
recrementitious	无用
delivery	递送
intimist	喜欢描写个人情感的画家
busby	毛皮制高帽子
iciness	冰冷的性质
evensong	晚课
semischolastic	半学术的
ballotage	决选投票
matriarch	高雅的老妇人
whichever	任何一个
passivate	使钝化
paramaribo	帕拉马里博
chief	领袖
banter	善意地取笑
moor	停泊
thrust	插
minor	次要
hylology	材料学
scoff	贪吃
trail	形迹
methaemoglobin	高铁血红蛋白
isoparametric	等参
thumbprint	拇指的指纹
proleg	幼虫的腹脚
traipse	走过
egregious	过分的
acrimoniously	毒辣
closest	最靠近的
multicentre	涉及多个中心
arithmetize	使用算术
matraca	木制机械响鼓
bridgeward	看桥者
intranational	民族内的
haemodynamics	血液动力
achromate	色盲患者
aestivate	夏眠
verapamil	戊脉安
indistinction	无差别
semifitted	半紧身
bastaard	混血儿
onboard	随车携带
brute	残忍
penghu	澎湖
sagebrush	山艾树
iatric	药物
monofunctional	单功能的
inexact	不精确的
irkutsk	伊尔库次克
multicellular	多细胞
insinuating	暗示的
timidly	胆小
are	是
nouny	使用许多名词的
daybook	日记簿
unweakened	未减弱的
loamy	肥沃
pivot	支点
ordonnance	配置
cobaltammine	钴氨化合物
radiogenic	适于无线电广播的
midrib	中脉
syndesmophyte	韧带骨赘
peroxid	过氧化氢
immediate	直接的
lustful	好色的
junketing	宴请
cardhouse	势必倒塌的建筑
recurved	内弯的
acceleratory	加速的
giles	圣伊莱斯
loathly	不情愿
scantily	吝啬地
inebriate	灌醉
calorie	卡路里
cribwork	迭状木框
anticonvulsant	抗惊厥
very	恰好的
bacchus	酒神
slovene	斯洛文尼亚人
reproachable	应责备的
idolatrous	崇拜偶像
calices	calix的复数
rashly	轻率地
savour	风味
prepared	准备好的
rivalrousness	竞争性
acritical	无极期
abo	当
cathartic	泻药
geomorphic	似地球形状
unprophetic	非正确预见
engineer	技师
calling	邀请
momentary	刹那间的
refutatory	辩驳
anzac	澳洲
balneal	浴室的
quartziferous	含石英的
vilifier	诋毁者
herodian	希律一世的
junta	小集团
meteorologic	气象
leaflet	小叶
flagitious	凶恶的
glare	眩目的光
bobsledding	滑大雪橇运动
ingratiatory	逢迎
phototroph	光养生物
twaddle	胡说八道地讲
iocu	Organization
involucrate	有花被
gemmiferous	发芽
rockfall	落石
dogged	顽固的
manavelins	各式设备
californiate	以都市化和工业化毁坏的自然景色
enarthrosis	杵臼关节
safranin	盐基性红色染料
serioso	严肃的
hereinafter	在下文中
micelle	胶态离子
kirkman	苏格兰教会会员
contractibility	收缩
stealthy	鬼鬼祟祟的
outwardness	客观的存在
tittivate	打扮
deathplace	死亡地
eventuality	可能发生的事
negrohead	块状粗劣橡胶
septennial	七年一次的
pallium	大脑皮层
snubber	斥责者
fastidiously	一丝不苟地
cartelization	组成企业联盟
rarely	很少地
eyepiece	目镜
afterbody	后体
execratively	诅咒
toric	环面
postembryonal	胚后期
scrubby	多短硬毛
ruminatively	反复思考
exserviee	退役
filling	纬纱
sulfazin	=sulphazin
chagrin	气愤
subterhuman	亚于人类的
bailiff	监守者
leisured	有闲的
remit	赦免
without	不
cryotherapy	冷冻疗法
originate	发生
vibraphonist	电颤演奏家
benefit	有助于
spiteful	怀恨
empyreumatic	焦臭
distractingly	精神涣散地
nutsy	发狂
sedgy	莎草密茂的
pride	自豪
impish	顽皮的
dishonor	玷辱
rye	吉普赛绅士
exactitude	严格
carking	烦人
uniat	东仪天主教会的信徒
astigmatic	纠正散光
tumbril	双轮运货车
hippophobia	恐马
silklike	似丝的
labour	悉心完成
negotiability	流通性
rearer	用后脚站立之马
literal	文字的
gaberdine	华达呢
dubiosity	=dubiety
enrank	将……排成行列
incorporable	可包含
realgar	二硫化二砷
cochleate	状如蜗牛壳的
sallet	盔的一种
gfr	Federal
duumviri	的复数
youngling	年轻
piscatorial	渔业的
fencing	买卖
slot	狭通道
overestimate	估计的过高
clapstick	=clapperboard
psid	磅/平方英寸
politer	有礼貌的
ablare	吵闹地
supersedure	接替
affine	仿射的
jigaboo	黑人
flamdoodle	吹牛
uart	Receiver
submissively	服从
phantasmal	幻影
constellate	使心群集
throatily	喉音
more	更多的
ahead	在前面
susceptive	感受性强
lingonberry	越橘
hygrometric	吸湿性
stash	中断
espouse	赞成
scant	将近的
accusal	罪名
aspect	外表
ovular	胚珠
sagittate	镞型的
enthrallment	奴役
supernatural	神奇人物
khond	冈德语
ornithoid	鸟状
panmictic	随机交配的
misbeliever	信仰错误者
traditional	惯例的
antiparkinsonian	抗帕金森病
stencil	模版
holding	支持
sturgeon	鲟鱼
wally	令人喜爱的
turnabout	反击
share	部分
substantialism	实体论
pit	深坑
sf	强调
promorphology	原形学
thumbnail	拇指甲
toco	体罚
microchip	微芯片
lachrymation	流泪
fenian	芬尼亚会
exercitor	船主
disproval	反驳
rehash	旧调重弹的作品
cohorts	军团
onomasticon	专有名称词典
taxameter	自动计程器
lamely	一瘸一拐地
parentally	像双亲地
sinuous	错综复杂
repent	悔改
devastatingly	破坏性
glazed	光滑
eunomia	=eunomy
scaddle	凶猛的
cold	失去知觉
unsmirched	清洁的
yesterevening	在昨晚
dumpy	矮沙发
ageing	变老
watering	浇水
defy	不服从
capriform	如山羊的
hymenium	子囊层
aidman	救护兵
troutlet	小鲑鱼
mergui	丹老
compress	摘要叙述
jallopy	破旧飞机
participatory	供人分享的
atrociously	残酷地
abye	赎
baaskaap	白人统治
crossbreed	杂交
tackboard	布告板
superload	=live
reedy	芦苇做的
saith	单数
verrucose	疣的
push	攻击
untamable	不可驯养
accrete	使依附
contemporaneity	同一时期
permissively	自由地
coarctate	压在一起的
histogenetic	组织发生
exuberance	茂盛
stupefactive	致昏迷的
faggy	女性化的
blower	爱吹牛的人
