disunionist	分离主义者
rurban	靠近都市之农村的
nga	全国印刷协会
undershot	下射的
vile	不足道的
fullmouthed	口牙长齐
soberize	使清醒
regionally	地方的
soapolallie	无患子果制成的饮料
theftproof	防盗的
superable	可以胜过的
uninjured	未蒙损失的
larmor	拉莫尔进动
opulence	富裕
gmat	astronomical
duchenne	dystrophy
lathy	细长的
passe	凋谢的
tangent	相切的
findable	可找到的
microcapsule	微胶囊
croupy	格鲁布性
sovran	君主
polacolor	宝丽来一次成像彩色胶片
serrulate	细锯齿状的
reformative	改善的
toothed	锯齿状
crapshoot	有风险的事业
scurvy	下流的
decapacitate	除去使卵受精的能力
pedosphere	土壤圈
airborne	空运的
flattery	巴结
thalamus	室
unusual	与众不同的
thymine	胸腺嘧啶
vauntingly	傲慢
pool	撞球
parapsychology	超心理学
phytocide	除莠剂
battlements	碉堡上的城垛
thridace	莴苣膏
retinene	视网醛
touch	使接触
installation	装置
endways	在末端
dionysian	狂饮
fleckered	有斑点
maidenly	适合于少女
misuse	错用
carvel	轻快帆船
hymenium	子实层
deceiver	欺诈者
neutral	中立国
aestival	夏季的
philtre	催情药
katharevousa	道地希腊语
unmined	未开采的
chickweed	繁缕
snowdrift	被风刮在一起的雪堆
kurtosis	峭度
evolution	进展
remover	去除剂
memorialist	回忆录作者
justiciary	司法官
indirect	迂回的
shipwreck	船只失事
fountful	多泉水
farriery	马掌铺
elucubrate	精心表达出
hesternal	昔日的
recoverable	可重获
obsessive	分神
judaeophile	对犹太人亲善的
polylysine	多熔素
litterbag	废物袋
agreement	协定
brocade	织有金银丝浮花的
sexagesimal	六十进位的
caliche	生硝
acquiescently	顺从地
disseise	=disseize
fastidiously	非常讲究地
eulachon	太平洋细齿鲑
bonesetting	接骨术
vineyardist	葡萄栽培人
poleaxe	屠斧
chlorotic	萎黄病
gsp	of
plaint	抱怨
custom	风俗
convertibly	可改变
scalper	剥头皮的人
malnourished	营养失调
skyward	向上
netfs	Educational
unboastful	不自夸
centiare	平方米
ripe	时机成熟的
massify	使
b2b	商务对商务
hit	伤……的感情
nectarine	油桃
sempervirent	常绿的
chartreuse	黄绿色
marginalize	排斥
pathetical	可怜的
snuffling	假装虔诚
desiderative	愿望动词
grinder	尤指磨刀具的工人
caterwaul	吵架
circularize	传阅
viscus	腑脏
misanthropic	厌恶人类的
conscript	征募
apospory	无孢子状态
denominational	宗派
harmonious	悦耳的
quickie	简短
sartorial	裁缝
beaufort	Sea
underclay	底黏土层
introductive	序文的
homologous	同源
darling	亲爱
mention	提及
musk	麝香鹿
viatic	道路
parlance	谈话
immersible	可没入的
telescopically	伸缩地
compartmental	分割为若干部分
plumbous	铅的
cheerily	兴高采烈
biparental	双亲
airy	空气的
brassart	臂铠
ballproof	子弹打不穿的
cummin	枯茗
speel	爬
numbness	麻痹
maddening	发狂的
platform	讲坛
noumena	的复数
lcd	Display
betaine	甜菜碱
auriferous	含金
scca	America美国赛车俱乐部
spitz	波美拉尼亚丝毛狗
unstudied	不懂
hydroclone	=hydrocyclone
bks	Barracks
city	都市
ornate	装饰的
grave	严重
monophonematic	单音位的
biceps	强健的筋肉
jesuitically	耶稣会
sleigh	雪橇
impetuous	猛烈
aromatic	芬芳
dendrite	树枝状结晶
exhaust	抽完
encephaloid	类脑
piped	滚边
cascalho	砂石沉积物
slip	事故
autoantibody	自身抗体
contractual	契约
glenoid	关节窝
oppugnant	反对
pained	痛苦的
bluejeans	蓝"紧士"裤
waspish	如黄蜂
fulgurate	闪亮
caique	土耳其狭长划艇
impersonate	人格化
assembly	集合
taihang	太行山
suction	吸力
undetermined	未解决的
annulate	有环纹
tackle	处理
extortive	逼取的
suspensive	暧昧
capillary	毛细作用的
romanization	皈依天主教
tussor	野蚕
inculpate	使……有罪
luminarist	光色画家
flyaway	翅状的
domiciliate	决定住处
upland	高地的
metrorrhagia	子宫出血
mousey	像老鼠的
mitannite	=Mitannian
rap	Rocket
unpruned	未修剪
spur	踢马剌
pedunculate	有花梗
fragmentized	破片
subviral	亚病毒的
abridge	精简
pore	因凝视过度使……疲劳
cep	圆概率误差
gypsite	土石膏
jackfield	ware
crouch	蜷缩
utricle	小囊
santolina	神圣亚麻
diversely	不同地
tvp	textured
gorgonian	如蛇发女怪的
quiveringly	颤抖地
soapie	肥皂剧
sep	九月
message	带信息
distill	滴下
rescale	重新攀登
recognizant	认识的
fire	点燃
unworn	没有磨损的
quadplex	有四部分
ptfe	fluoro
kousso	苦苏
rhinopharyngeal	鼻咽的
achillean	阿基里斯的
emphatic	显著的
succedent	随后
lapper	舐食流体食物的人或动物
sphere	方面
mounting	乘骑
nundinal	市集的
sure	确信某事
depressor	抑压物
tar	柏油
fluidounce	液量盎斯
incredibly	不能相信
sexualia	有关性的书籍
dun	催债
bored	烦人
conchiferous	含贝壳
solecist	违反语法者
bumptious	傲慢
classify	分类
dipterist	双翅昆虫学家
catch	捕获物
kindless	薄情
echopraxia	模仿倾向
schistosomicide	杀血吸虫药
interrogative	质问的
regal	帝王
supplely	易弯地
giglot	荡妇
howl	号叫
sandy	沙质
collagenous	产生成胶的
vow	宣誓
mycenaean	迈锡尼文明
unrip	撕开
visionally	虚幻地
artotype	珂罗版
leafage	叶状装饰
ambulant	走动的
through	直通的
teachable	可教的
stubbed	株状的
tetra	脂鲤
trichrome	三色的
wolfish	残忍的
west	向西方
ohmic	欧姆
kantist	康德学派的人
beta	贝它
ertebolle	新石器时代文化
vega	织女
reject	呕出
registered	记名
gamodeme	隔育群落
mabe	Business
vomitive	使呕吐
uigur	维吾尔人的
japanize	日本化
semifinished	半完成
discretional	自由决定
indigestible	不吸收
flowery	花的
bmoc	big
wedeling	双板平行摆动转弯滑
morbid	由病引起的
teletype	电传打字机
throve	thrive的过去式
neonatal	新生的
thieves	小偷
circassian	切尔克斯
sheepish	羞怯
diatribe	恶骂
hyperosteogeny	骨发育过度
abyssalbenthic	深海海底
gaston	加斯顿
semievergreen	半常绿的
paramedian	正中旁
snakeskin	蛇的熟皮
kickup	骚乱
canaliculate	有细管
clodhopper	庄稼汉
episcopalian	主教制的
devolution	落下
cleanup	获利
incident	易于发生
recur	复发
splodgy	有污点的
earthen	土制
sholapur	肖拉普尔
reprivatize	取消国有化
aggradational	沉积的
koumiss	乳酒
aacs	航路与航空通讯联络处
monuron	灭草隆
qualmish	受良心责备的
icj	Justice
unimposing	不动人的
extensible	可扩张
abaft	在……后
hagborn	巫婆生的
roofer	客人对主人道谢的函
rann	国民需求研究计划
voicespond	口声通信
rudderpost	舵轴
flecker	斑点
sutton	萨顿
opposeless	无可反驳的
biologically	生物学上
necrophily	=necrophilia
invective	恶言
aves	鸟类
overly	过度
ecp	Capabilities
mature	到期
iamap	of
unpretending	不骄傲的
outright	全部
ulcerously	溃疡性
unlovely	丑
opposable	可反对
supersedure	撤换
beneath	在……之下
lyrate	竖琴似
climatization	机器设计而使其能在任何气候下作业
ignitron	放电管
scanty	缺乏
infaust	不利的
dari	达里语
purebred	纯种的动物
ue	of
mythographer	神话收集者
articulator	音节分明之人
tumorous	浮夸
refraction	折光
tarras	=trass
ripe	成熟
dockhand	码头工人
fledgeling	刚长毛的鸟
excitably	易兴奋地
lockable	可封闭
grassiness	象草
hila	门
bariatrics	肥胖病学
prepose	把……放在前面
hecatonchires	百手三巨人
gluttonous	暴食的
sanguicolous	栖血的
ample	充足的
springtime	春季
gudrun	古德龙
nummular	圆形的
perspective	前途
perivisceral	内脏周的
instantial	实例
vive	有生气的
brightly	明亮地
inseminate	向……受精
sialic	富硅铝
accusation	指控
acierate	掺碳
multimeter	万用表
nounal	=noun
tictac	=ticktack
argental	银
emperor	君主
ips	英寸[秒
ghostlike	恐怖的
declarative	宣言
convergent	会聚性
whisht	静
blatantly	喧闹
timeworn	陈旧的
flog	严厉批评
bluntly	坦率
wilma	威尔玛
dildo	假阴茎
andorra	安道尔市
microcontinent	小陆块
erectormuscle	竖立肌
foresighted	深谋远虑
fingerbreadth	指幅
rattled	恼火的
impayable	极好的
falcongentle	雌游隼
chlorinous	氯
ammino	氨络
osteocranium	骨颅
congregational	会众的
unmanly	怯懦
nicker	嘶
german	德国人
ccst	Chinese
decrepit	衰老的
victorianism	风尚
disengaged	自由
ducat	硬币
gadroon	圆模雕刻装饰
haggis	将羊的心
smogbound	烟雾笼罩
collenchyma	厚角组织
sybase	主要生产数据库产品
caudate	有尾状附属物的
oxenstjerna	Axel
genial	亲切的
tufty	簇生
fungoid	真菌样
quicksand	敏捷
dissimilarity	相异
endobiotic	生物内生的
haneda	羽田
multiplicable	可增加
apart	分成零件
sierran	锯齿山脊区居民的
manstopping	大威力的
impersonalization	非人格化
nodosity	节
metabolism	变形
whirlabout	盘旋的
zincous	含锌
question	怀疑
xiphias	旗鱼属
gallophobia	恐法症
aragon	西班牙北部地方
downtrod	=downtrodden
cohere	紧凑
spindly	纺锤形
fluffhead	傻丫头
esmtp	Extended
lemures	勒穆瑞斯
freaky	捉摸不定
vallation	壁垒
aarnet	Network
project	事业
bemazed	恍惚的
endoerythrocytic	红血球内
offset	形成分支
tibiofibula	胫腓骨
oblique	无诚意的
choreic	舞蹈病
dall	Dall''s
insurrectional	起义的
woundwort	治伤草
epithetical	形容语句的
thoroughly	彻底地
sunderance	拆开
unrwa	and
iris	彩虹之女神
witch	巫婆
noninstallment	非分期付款的
tufthunter	势利者
inturned	内弯的
impoliteness	无礼
turkmenian	土库曼
arriviste	暴发户
calciphobous	不适于石灰质土壤之植物
bessarabian	比萨拉比亚的
dusky	忧郁的
sublimate	理想化的
aristocracy	贵族统治
upright	竖式的
overreach	以后蹄踢前蹄
invocatory	祈求的
tropaeolin	金莲橙
wallow	泥坑
transuranic	超铀元素
dichromate	重铬酸盐
unreflecting	浅薄
explanation	解释
explosive	爆炸的
wallaceism	华莱士主义
mesomorphic	体育型体质
mcat	Test
formal	形式
pocketknife	随身小折刀
tubbing	划浆练习
nonconform	不信奉国教
endoarteritis	=endarteritis
nonrefundable	不可归还的
lactobacillus	乳酸菌
sunnily	照着阳光
discohere	失去连贯性
polyhedric	多面体
cissy	柔弱胆小
slot	足迹
usurp	篡位
dirham	迪拉姆
sandwort	蚤缀
stepwise	楼梯式
woodlander	居住在森林中的人
hypermetropia	远视
frere	兄弟
autocade	汽车队伍
calk	摹描复制
unswerving	不歪的
lick	少许
disputative	爱争辩
shagginess	毛茸茸
exciseman	收税官
piquant	淘气的
ureteritis	输尿管炎
sialoid	唾液状的
skullfish	老鲸
perform	演出
illegality	非法行为
unbearded	无胡须
edc	Defence
inceptive	表始动词
paediatric	儿科的
milk	牛奶
unaccustomed	不平常的
puky	令人厌恶
rosario	罗萨里奥
onlooker	旁观者
choreal	=choreic
afford	给予
axminster	一种以黄麻为底之羊毛织花地毯
pectinate	栉齿状
escheatage	归属产业获得权
argonautic	号远征
stalactical	生有钟乳石
molluscoidal	拟软体动物
fit	痉挛
vasa	vas的复数
chinchona	=cinchona
riverward	向河
waddy	用棍棒打
screwman	棉花装船工
inculcation	教授
coremium	孢梗束
hugely	非常地
underhand	欺瞒的
frosted	被霜覆盖的
brierroot	石南科植物之根
tabby	斑猫
epidemical	流行的
laboured	谨慎的
shite	=shit
bwr	reactor沸水堆
inexpressive	无表现力的
pusillanimity	胆怯
rainbow	彩虹
proclaim	显示
coachwhip	鞭蛇
pleasurably	欢愉地
zygote	接合体
tricentennial	三百年
rascaldom	流氓
wosa	Windows
gapemouthed	目瞪口呆的
acaudal	无尾
traditionary	惯例的
meshuga	失常
discredit	疑惑
icy	冰冷
architect	建筑师
mycophilic	喜欢蘑菇的
berimbau	拨铃波琴
garfield	加菲尔德
disrespectable	不体面的
squall	嚎啕
lawless	非法
ferryhouse	渡船船夫的屋
ardor	情欲
gachupin	西班牙人
sensorimotor	感觉运动
cursillo	短期培信班
melodeon	簧风琴之一种
agp	Accelcrated
morphoneme	=morphophoneme
vincaleukoblastine	=vinblastine
wangan	=wanigan
empiric	江湖医生
scousian	利物浦方言的
monument	纪念碑
immovable	固定
locution	说话风格
fraternity	友爱
realist	现实主义者
regulon	调节子
prepsychotic	精神变态前的
aymaran	艾马拉语的
uncloak	除去……覆盖物
demark	区分
joseph	连帽大氅
jerkin	男用无袖短上衣
cocktail	鸡尾酒
scant	欠缺的
squat	蹲着
cantabrigian	模仿剑桥大学的
hazard	危险
reassumption	再接受
mischievous	淘气
cursive	草书的
scot	估定的款项
sceptic	怀疑论者
impactful	有效
personal	个人的
lioness	雌狮
undelighting	令人不愉快的
constancy	坚定不移
intermetallic	金属间
colonial	殖民的
refluent	倒流的
spill	小塞子
working	工作的
grizzle	灰色
treachery	叛逆行为
peloponnesian	伯罗奔尼撒半岛的
flatten	使失去光泽
resultant	作为结果而发生的
vegetal	植物性的
rightward	在右边
enslave	沉溺
trichomonal	毛滴虫引起
piddle	游荡
stroke	一次努力
actionless	静止不动
worm	使蠕行
fishlike	似鱼的
mucker	无赖
cuspidated	尖
quizzical	探询
physiognomy	人相学
dissimilate	变得不同
preaching	讲道法
sural	小腿肚
bailable	可保释
hardly	艰辛的
villainous	腐化堕落
pronounce	断言
phlegethon	地狱火河
stargaze	眺望星星
statics	静力学
mastocytoma	肥大细胞瘤
hidrotic	发汗的
blotchy	到处有污点
hermeneutic	解释的
mitriform	主教冠形状的
hepburnian	Hepburn式的
nhg	German
infundibulate	漏斗管
eater	吃的人
dews	warning
statement	陈述
unbent	未弯曲
simulacra	simulacrum的复数
saboteur	怠工者
unstrained	未拉紧的
jugate	具翅轭
punishable	可罚
quickness	尖锐化
floodwall	防洪岸壁
campaign	战役
semidarkness	半暗
ungainly	不象样
belligerent	好战的
monopteral	圆形外柱廊式
snapper	甲鱼
bmta	Motor
luminosity	发光度
intimist	描写个人情感的
advantage	利益
crowtoe	百脉根
funiculate	有细索
slink	潜逃
surjection	满射
practised	老练
color	改变……的颜色
sea	大浪
scale	刻度
curlicue	形成花体
unitr	联合国调查训练研究所
economizer	经济家
buildup	累积
tetradynamous	四强雄蕊
cuspidated	有尖端的
futurologist	未来学家
clumber	矮脚体壮毛厚的西班牙猎犬
esplanade	平坦的空
didymous	双胎
clerk	店员
contradictorily	逆
knout	笞
sententiously	简洁地
preplacement	雇用前
lettered	精通文学的
rebellious	造反的
colonnade	柱廊
delegitimation	合法性丧失
salmagundi	杂录
neurohypophysis	垂体神经部
pcav	Velocity
chargeable	可以控诉
majesty	最高权威
apprehensively	担心地
incontinent	失禁的
enunciative	表明的
barrette	条状发夹
slouch	懒散
gamme	=gamut
versicolor	斑驳
countermove	对抗手段
ingrown	向内生长的
loud	大声地
coupler	配合者
fillipeen	=philopena
smooth	无毛的
issueless	无结果
aeronaval	海空联合的
freeloader	不速之客
nonproficient	不熟练
lover	爱好者
tangent	切线
litho	石版画
renew	续借
bardian	个性
asyndeton	连接词省略
mesic	栖于湿地的
scurvily	无礼地
inspiratory	吸气的
dogie	失去母牛的小牛
collegiate	学院的
sutherland	萨瑟兰郡
equilibria	均势
linenfold	布轴式的
lepidosiren	南美肺鱼
uranic	星学
brickkiln	砖窑
flagging	衰弱
pasteurize	用巴氏法灭菌
worthwhile	值得出力
shrug	耸肩
spunk	引火木柴
jape	开玩笑
rotiferous	=rotiferal
derby	英国的大赛马会
amylene	戊烯
ectogenic	外生
shemite	闪米特人
lovingness	忠诚
uredospore	夏孢子
aether	能媒
renardite	黄磷铅铀矿
autonetics	自动控制学
headstand	头手倒立
metric	公制的
undo	松开
rhotic	发r音的
holothurian	海参的
refulgent	灿烂的
logodaedaly	玩弄词语
unmitre	解除……的主教职务
antagonistical	敌对
persuadable	可以说服
cutesy	矫揉造作
carom	碰击弹回
rigorous	严酷
fossilize	变成化石
heterozygosis	杂合现象
magnetist	磁学家
wicked	淘气的
fire	烧火
flaccidity	没气力
gingkgo	银杏
amitosis	无丝分裂
elliptic	椭圆形
charge	电荷
palaearctic	古北区
interproximal	邻间的
quarrelsome	好争论的
scribe	担任抄写员
dumb	无声音的
tumultuary	骚动
xanthosis	黄变病
omniscient	无所不知者
keystroke	按键
electrovalent	电价
hipped	忧郁
aristotelean	实验主义者
regular	定期
rookery	白嘴鸦的群居
general	大体的
pronumeral	变项
fabulosity	传说性质
eudiometric	量气管
thews	肌肉
suffer	遭受
uncommonly	罕见地
prepackage	事先做好的包装
untuneful	不和谐
protestant	新教徒
realization	实现
remembrance	问候
contrastive	对比
glittery	闪光
sulfinpyrazone	=sulphinpyrazone
insufflation	吹入法
embed	深留
ebonite	硬橡胶
unacquaintance	不熟悉
david	大卫
varlamoffite	水锡石
gayly	快乐
underwing	后翅色彩瑰丽的蛾
unilocular	单房
loose	自由的
afterword	编后记
exceed	胜过
castoff	废弃物
glaucous	蓝绿色
attenuation	衰减
coalman	送煤工人
ergonomic	人类环境改造学的
epidemical	传染病
fourdrinier	长网造纸机
unstained	没有沾污的
amazonian	刚勇好战的
nonnegotiable	不可谈判
yakut	雅库特
foeticide	残杀胎儿
londonese	伦敦话
fine	罚金
flavescent	逐渐变黄的
ophidian	蛇样
eff	滚开
mcat	Admissions
futility	无用
grade	等级
vibrational	摇摆的
posadero	旅店主
entrenous	不得外传
cabane	顶架
adzuki	小豆
sleazy	廉价的
fluorescent	荧光
urd	黑绿豆
sustentacular	支柱
dower	嫁妆
hypodermis	真皮
westward	向西
phenician	=Phoenician
hastiness	轻率
cruciate	十字状的
nattierblue	柔和的蓝色
geanticlinal	具地背斜的
icky	令人作呕的人
weathering	风化
imperforated	闭锁
wobbly	歪斜的
stitch	一针
spray	喷溅
compliment	褒扬
ramification	支流
stigmatic	污辱的
crosswise	交叉
shagreen	绿皮鲨革
semiellipse	半椭圆
perpendicular	正交的
unreachable	不能得到
circularly	循环地
intactness	完整无缺
loathly	勉强地
horseboy	马夫
sulfurous	硫磺
quits	对等
apology	辩解
carload	货车的最低载重量
limpopo	林波波河
supervene	被附加
shoreward	朝向陆
guiltily	罪地
abranchial	无鳃类
tocodynamometer	分娩力计
lino	亚麻油地毡
arm	提供
gentleman	先生
youthfully	无经验
gaffsail	斜桁帆
mnemonical	=mnemonic
roose	趾高气扬
xylographer	木刻师
unbearable	承受不住
tuck	活力
calabash	葫芦
elf	小精灵
learning	学问
paunchy	大肚子
meningitic	脑膜炎
slantwise	倾斜地
childrenese	儿语
isolated	隔离
topaz	南美蜂鸟
lvov	利沃夫
tasty	吸引人的东西
pram	parameter
mocambique	=Mozambique
rouser	激励者
sprightliness	愉快
imperfect	未完成时的
proportionately	成比例
sophisticate	掺合
comitia	议会或国民会议
whip	突然移动
cumbric	坎布里亚王国使用的凯尔特语
blowout	井中喷水或油等
derma	皮肤
hijack	劫持
ultrascsi	传输速率为40Mbps的快速接口
vfr	rules
translatability	可译
schismatic	分裂
accountant	会计
sororicide	杀亲姊妹的人
odourless	没有气味
rasp	发刺耳声
debridement	清创术
unsaid	不说的
indigene	土生的动植物
omuda	大牟田
schistous	片岩的
taphouse	酒吧
spendthriftiness	挥霍
acerate	针状
gimmick	暗机关
plug	插栓
breakdown	衰弱
limekiln	石灰窑
decry	谴责
pyramid	上涨
glove	手套
contaminative	弄脏了的
catamnesis	诊后病历
glyceric	甘油的
bilateral	有两面的
unpledged	未经保证
workmanlike	技巧熟练的
imroz	印布洛斯岛
fascinator	魅惑者
ovariotomy	卵巢切开
kitchenmaid	在厨房工作的女佣
vidual	守寡的
antedate	居先
hypsography	地势图
temporal	时间
centrally	在中心
mordida	贿赂
harmonically	和声地
activex	网络化多媒体对象技术
leprous	麻疯病的
dopy	呆笨
quarter	刻
bother	操心
paddleboard	桨叶式冲浪板
breathless	无声息的
vichy	维希
gloomy	黑暗的
mechanoreception	9mekEnEJrI`sepFLn/
adult	成熟
pinfish	钉头鱼
cankerous	溃疡的
masterman	丈夫
scramble	争夺
comix	连环漫画
disject	使散开
shrinkproof	防缩的
depolarize	去极化
domesticate	教化
haptical	由触觉引起的
concession	让步
hydrocracker	氢化裂解器
hz	赫兹
helpmate	助手
liberticide	破坏自由的
coontie	全绿叶择米
unpin	拔去别针
squeezer	剥削者
cellularity	细胞结构
irised	彩虹色的
plodder	辛勤工作的人
theatromania	观剧狂
ordure	污物
spck	Christian
fco	Foreign
unequal	不平衡
romany	吉普赛人之风俗习惯
storefront	店面
vigor	活力
generous	大方
balsamic	有镇静作用
competent	有能力的
gley	潜育土
northlander	北部居民
punctulated	有凹陷的
datamation	自动化资料处理
thematic	词干的
mortgagee	承受抵押人
wpm	per
mutably	性情不定地
middy	妇女或儿童穿的水手领罩衫
hurried	匆忙的
splanchnic	内脏
headpiece	帽子
sjaa	John
rear	屁股
schematiye	将……列入计划
choosy	慎重选择
monoglot	使用单一语言的
dependent	依靠的
grumbler	爱抱怨的人
iliamna	伊里亚姆纳山
harmonic	融洽的
bairn	小孩
cervine	鹿一样的
indecency	猥亵
kibitz	多管闲事
jis	日本工业标准
feverish	兴奋
bonny	健美的
laf	Louisiana
failing	失败的
tussock	草丛
iata	国际航空运输协会
gunrunning	军火走私
rattled	慌乱
votable	有投票权的
abysmal	无底
derris	一种杀虫剂
seriously	认真地
worsen	损害
water	加水
survey	俯瞰
evident	显然
fatbrained	愚钝的
aneuria	脑力衰退
precordial	心前
gentleness	温顺
panglossian	过分乐观的
gladly	高兴地
leporine	似野兔的
boondoggle	手工品
templar	法学生
mosque	清真寺
fay	小仙子
jow	打铃
circumglobal	环
abradant	摩擦着
irdome	红外整流罩
syndactyl	并趾
minitype	微型
montagnard	山地居民
bacchus	巴克斯
derivable	可推论
pairage	以双计算的鞋子数量
tennessee	田纳西州
sulk	愠怒
strepitous	嘈杂的
technicist	=technician
competent	胜任的
baldish	秃头
hookey	多钩
apart	分离着
might	权力
roric	露水的
dropt	放下
contractive	收缩的
pimiento	辣椒
tabby	平纹织物
drover	把家畜赶到市集的人
sulfurize	使含有硫磺
generous	大方的
uncontainable	无法控制
runtishness	发育不良
drivel	糊涂话
cella	内堂
ingoing	深入的
kil	千米
slavish	卑屈的
irreplaceable	不能调换的
retiary	结网
bylaw	规章制度
mat	垫子
monophyletic	单源的
outdistance	凌驾
rotc	Training
outsoar	高飞超出
documentarian	记录影片导演
premature	未成熟
probationary	试用的
volley	群射
fog	变模糊
volvox	团藻
momentous	重大的
unsigned	无正负之分的
marsupialize	给……造袋
reedy	细长的
body	赋以形体
reinforce	得到增援
revolver	旋转式装置
radioprotective	辐射防护
plagiarize	抄袭
jingoism	武力外交政策
carbo	碳水化合物食品
industrious	刻苦的
transcutaneous	由皮的
inject	注射
protohistory	史前人类学
hairpiece	假眉毛
clofibrate	降固醇酸
universalize	使普遍化
playbus	es)
hypnotic	催眠的
education	培养
nincompoopery	愚蠢
brominate	使溴化
lax	腹泻的
dagan	巴比伦的土地神
hyperoxemia	血酸过多
dainty	适口的食物
enabled	激活的
jambalaya	什锦菜肴
otic	耳
menes	美尼斯
hyperthermal	过高热的
amply	充足
invariable	永恒的
thud	砰的一声掉下
doubly	二倍
monofunctional	单功能
shiv	开门闸刀
haematocryal	冷血的
tjirebon	井里汶
prolicide	杀害胎儿
oysterwoman	采牡蛎的妇女
spittoon	痰盂
furl	收拢
photoautotroph	`fEJtEJ9R:
unprimitive	发达的
laniferous	有羊毛
busman	售票员
industrialist	工业家
strum	乱弹
glace	糖渍的
laboursome	费力
promulgate	公布
unsmart	不机智的
respiration	呼吸
reemployment	重新使用
advice	忠告
prophetess	女先知
swerve	转向
imagist	意象派诗人
fountful	多喷泉的
autotransformer	自耦变压器
pinnatifid	羽状半裂
negligee	妇女长睡衣
insectivorous	食虫的
moralistic	道学
shopman	店主
illustrious	杰出的
cragged	崎岖
petulancy	闹气
modificative	=modificatory
phlox	草夹竹桃属植物
lexicographical	词典编纂的
mbabane	姆巴巴纳
sibling	同胞
voyage	航海记
weather	风化
reversing	回动的
quinsy	咽门炎
lumberjack	短茄克衫
furred	穿毛皮的
globulous	球状
insomnia	失眠症
taxis	排序
cynical	愤世嫉俗的
cistus	水犀科的一属
rube	乡巴佬的
snowdon	斯诺登峰
mediatress	女仲裁者
fieldworker	实地考察工作者
giddyhead	草率从事的人
unselected	随意选定
forthcoming	来临
tapestried	织在绣帷上的
luebke	Heinrich
flocculent	柔毛状
vise	签准
ferocity	凶猛
beloved	所爱的人
amorously	好色地
unquelled	未被镇压
bleomycin	争光霉素
emulsive	乳剂质
bruxism	夜间磨牙
lionize	把……奉为名人
miniscule	小字
snuff	用鼻子使劲地吸
identic	恒等
mesothorax	中胸
judges	士师记
polybasic	多碱
equanimousness	安静
sitotoxin	食物毒素
tabouret	绣框
velaria	拟缘膜
entozoic	内寄生
laxatively	有轻度腹泻的
life	寿命
furl	卷起
silica	硅土
nightlong	彻夜
libeler	损害名誉者
version	译文
joyo	www
armourial	徽章的
optician	光学仪器制造者
plump	坦白地
supplemental	追加的
reassembly	重新组装
unbent	不屈服的
undercooked	火候不足
unfortunate	不幸的人
galabia	宽大的白色长袍
uniform	相同的
umbilical	脐带的
curvature	弯曲
volcanological	火山学的
triserial	排成三列的
finalize	定案
microcurie	微居里
druffen	醉
blowzy	蓬乱
meandrine	多纡曲的
whitesmith	锡铁匠
replicable	可复制
lichee	荔枝果
lobation	叶状
unurged	未被催促的
kyongsong	=Seoul
biotic	关于生命的
deviser	想出者
fearful	恐怕
displeasure	不愉快
dissolve	解散
poacher	侵入者
tracheoesophageal	气管食管的
collect	聚集
unexaggerated	未夸大
vellum	上等犊皮纸
kinsman	男性亲戚
vermis	蚓体
ultrafashionable	极端时髦的
globoid	球状
amnionic	羊膜
fruitlessly	无益
mycoplasma	支原体
nudity	赤裸
jacobin	毛领鸽
exocrinology	外分泌学
villainous	缺德的
interpolate	添写进去
contributory	贡献的
mort	许多
newmown	新割
hummocky	多圆丘的
overuse	使用过度
bugloss	牛舌草之一种
querulously	抱怨地
palaeethnology	古人种学
filter	过滤
monroeism	门罗主义
crytic	隐含
tokharian	=Tocharian
untoward	不幸的
enculturative	使适应某种文化的
oxbow	呈U字形弯曲的
mendable	可修理的
acquirement	取得
trepang	海参
theirself	=themself
tarbrush	焦油毛刷
selvage	布的织边
rare	稀罕的
duchy	直辖领地
ravage	掠夺
diazoamino	重氮氨基的
embryotrophic	胚胎营养素
fastidious	需要复杂营养
hydrophily	水生
ralliform	似秧鸡的
fateful	预言性
fun	供娱乐用
mangosteen	莽吉柿
unobservant	不注意的
provisionally	临时
renowned	有声誉
flagitate	苦苦哀求
rafferty	无组织的
pizazz	精力
foundry	铸造厂
forcipressure	钳压术
antidiphtheritic	抗白喉血清注射剂
periodic	周期
rippling	潺潺流水般声音的
embracery	笼络陪审员的行为
muzzleloading	前装式
cording	棱纹织物
devilishly	过分
resolutely	坚决地
pantie	短裤
lively	活泼
diorama	透视画
southwardly	向南的
dolosse	扭工字块体
rv	Vehicle
nombril	盾脐
uncondescending	不屈尊
backen	阻碍……的发展
nondefense	与军事防御无关的
unfitted	宽
fatigue	疲劳
unlovely	不可爱
fork	叉
reddle	红赭石
comitiva	一群有组织的盗匪或不法分子
uptake	举起
overhung	从上悬垂
ohmmeter	电阻表
automaker	汽车制造商
locusta	草之小穗
littleness	少量
caries	龋
flap	副翼
andorra	安道尔共和国
overcare	自寻烦恼
inscient	不知道
sum	算术题
pyelogram	肾盂X线片
cssr	Czechoslovak
trustless	不可靠
boldness	勇敢
dichotomise	=dichotomize
ilka	各自的
realistic	现实
reductionism	简化论
skerry	碎礁
lie	平放
singularize	成单数
feebleminded	意志薄弱的
characterize	刻画的……性格
malthusian	Malthus
brevirostrate	短喙
informative	提供情报的
syrup	糖浆
been	去过
insentient	无知觉的
noncontentious	非争论性
satyric	性好酒色
reprographic	复印的
praelector	=prelector
dithyramb	狂热的诗
grim	严酷
chipboard	纸板
diarist	记日记者
