colophony	松香
cautiously	慎重地
angiotensin	血管紧缩素
disaccordit	撤销……的委派
backfall	将对方压制倒地背着垫子以取胜的手法
oink	呼噜声
residue	滤渣
crumby	柔软的
atavistic	隔代遗传
stampede	惊跑
lemma	论点
southpaw	左撇子
aeruginous	绿青色
posterior	较晚的
pentatonic	五音的
kinetoscope	活动电影放映机
unmerited	不当
mabe	Master
emulsin	杏仁酪
regroup	重组
responsible	可靠
swimming	游泳用的
cacophony	不协和音
prussian	普鲁士
en	字
boutique	专卖流行衣服的小商店
microsystem	微系统
epexegesis	补说
retrovert	向后弯曲
monistical	一元论的
nlrb	Relations
pummelo	=pomelo
gunmaker	枪炮制造商
exploder	爆炸装置
nutty	产坚果的
winchman	绞车手
arbour	藤架
slack	松弛
synoptically	概括性
sericate	丝
crackajack	杰出
feelinglessly	无知觉
permissive	许可的
bathtub	澡盆
recommendatory	劝告
madre	母亲
fondly	天真
geodynamic	球动力学
scrumptious	绝妙的
riverbank	河岸
sleight	诡计
reloader	自动输煤机
postpositive	后置的
sempiternity	永恒
ululate	悲泣
brimstony	似硫黄的
neutral	中性的
implantation	培植
magistrature	=magistracy
arouse	睡醒
fx	foreign
altimetry	高度测量法
vop	valued
wvf	Federation
refill	再装满
forehanded	得时机的
verdant	青翠
immobility	牢固
spread	散布
futilitarian	万事皆空论
iaru	Radio
primrose	樱草色的
aedicula	小型建筑物
worshipful	尊贵的
impish	顽童似
lankly	瘦地
temporary	临时性
unapprehended	未被理解的
unmediated	无中介的
ea	Electronics
tyrannic	暴虐
blubber	又哭又闹
odourless	无嗅的
anesthetize	麻痹
spunbonded	纺
hibernant	冬眠
commotion	暴乱
interdigitate	相间错杂
antipodes	澳大利亚和新西兰
clear	光亮的
lisping	咬舌
acquisitive	想获
scrag	瘦脊的人或动物
featured	作为号召物的
pantalettes	长裤
caseate	发生干酪样变
ruthenious	二价钌的
calligraphic	缮写的
nationwide	全国性的
journalistic	新闻事业
undemanding	要求不高的
leglen	牛奶桶
null	空
horseless	不用马的
cavalla	竹荚鱼科之鱼
alexis	亚历克西斯
unostentatious	/
infest	大批滋生
montage	蒙太奇
hominine	类人的
airproof	使不透气
ingratitude	忘恩
egged	被挑唆
whizz	子弹等在空中掠过的声音
preconquest	被征服以前
incendiarism	放火
chronoscope	极微时间测定器
trachea	螺旋纹管
esb	stimulation
fan	飘动
kirschsteinite	钙铁橄榄石
alkalimetry	碱量滴定法
facility	工具
kurbash	用皮鞭打
definable	可定义
isotach	等风速线
hazy	朦胧的
impregnate	怀孕
christianly	如基督徒的
fucoxanthin	墨角藻黄素
florilegium	作品集锦
fretful	起波纹的
setem	豹皮衣司祭
forced	强迫
yarmalke	=yarmulke
inducement	诱导
localism	地方观念
colon	冒号
banket	含金砾岩层
julienne	切成丝
piffle	废话
pinocytotic	胞饮的
oddfish	古怪的人
chuvash	楚瓦什人
experience	体验
masticatory	咀嚼用
sanely	心智健全地
befitting	合适的
leafed	有叶子
visuomotor	视觉眼肌运动的
alcoholism	酒精中毒
geophone	地音探听器
compulsorily	强制
corruption	腐败
wealthy	有钱人
distortive	曲解的
verus	正确的
derivatively	衍生
alchemistically	炼金术士地
chancellery	大臣
cisalpine	阿尔卑斯山这一边
pbx	专用分组交换机
indolent	懒惰的
diplogen	重氢
xql	Language
controversial	争论
fractional	分馏
carpetbagger	美国内战后利用南方不定局势谋利的人
histochemistry	组织化学
dryness	干
trivalent	三价
apocryphal	伪经的
undiscerning	无辨别力
interspace	留……的间隔
ovular	卵子
loose	松散
easytran	翻译用电子计算机
acidfast	耐酸的
jug	炖
fatheaded	愚钝的
harmonically	和声
meek	谦恭的
aja	ancestry
if	设想
prosper	使成功
jug	模仿夜莺叫
baric	钡的
msha	in
catalo	家牛与美洲野牛的杂交牛
ideologize	以意识形态解释
maladaptive	显示不适应
mercuric	水银
massless	无质量
overrun	泛滥
vouch	保证
mowing	一次收割量
tgv	Train
pgup	翻上页
beatle	小妞
derriere	臀部
amatively	恋爱地
pouch	烟草袋
unembellished	未装饰的
peckish	唠叨
eoka	埃奥卡(希腊语"
unlikely	不太可能的
redheaded	红头的
technicolored	五光十色
erumpent	裂出
cookshop	小菜馆
kuwaiti	科威特
outcrossing	异型杂交
iatric	医疗
cytochalasin	细胞分裂抑素
plateau	高
hippogriff	鹰头马身有翅怪兽
farthest	最大限度
lilliputian	侏儒
merohedrism	缺面对称
flighty	忽发奇想的
superabound	过剩
despoil	夺取
lifelike	逼真
gandhiism	不使用暴力的抵抗主义
pvc	永久虚电路
tautologize	重复使用同义字
nuque	项
sunkist	受阳光照射
wrb	Refugee
apophyge	柱身之凹
hypersonic	远超过音速
erode	逐渐消蚀掉
alkyl	烷基
trephination	环锯术
abysmal	深不可测
cetologist	鲸类学者
cycling	骑脚踏车消遣
junky	质量低劣
multifont	多字体
poke	袋子
mildly	适度
fiat	法令
brahma	宇宙最高的永恒的实体或精神
unlikely	不太可能
perfunctory	马马虎虎的
urinal	小便池
pyretic	热病的
globate	球状
blinking	闪光的
borax	硼砂
fast	绝食
conspectus	大纲
invective	非难的
eventless	平静无事的
eudipleural	左右对称
eversible	可翻转的
chargeable	可记在某项帐目上的
milemeter	里程计
stoep	门廊
pronghorn	叉角羚
mirable	令人惊叹
greenroom	演员休息室
longipennate	长羽的
laurentian	劳伦系岩石层
figurehead	破浪神
subversive	颠覆性
foreship	船的前部
fimbriate	有毛缘
scot	税赋
otherwise	其他方面的
swink	劳动
sonofabitch	of
ouagadougou	瓦加杜古
cyclonoscope	飓风中心测定仪
crimmer	克里亚卷毛羔皮
canthus	眼睛的两端
uncomforting	令人不舒服
reliquary	遗物箱
flowing	流畅
beefy	健壮
sick	有病的
harmoniously	调和地
slot	硬币投币口
cherubic	可爱的
condyle	骨节
chiricahua	奇里卡华人
touchingly	难以取悦
goofy	愚笨的
glibly	流利地
usability	可用性
digitation	指状突起
intestinal	侵袭肠
disparaging	蔑视
blowzy	红脸
archangelic	大天使的
brownstone	富有阶级
hemistich	不完全诗行
maribor	马里博尔
sawhorse	锯木架
unpledged	未许诺
unselfish	无欲的
shrub	灌木丛
schizophreniform	分裂样
subsection	小部分
anticlerical	反圣职者
empiric	经验主义者
audiometric	测听术的
jar	发刺耳声
superhigh	超高的
rambunctiously	粗暴地
urceolate	壶状
schottische	慢步
apostate	背教
sphere	范围
squawk	发出叫声
pilaster	半露柱
rush	冲进
hear	听说
gymkhana	竞技场
canvass	细究
counterproductive	反生产的
seizor	扣押者
incoming	引入
fideicommissary	遗嘱中将部分财产赠予第三者
iberian	伊比利亚的
implant	灌输
inelegance	粗俗
photoinduced	光感应
endlessly	无穷尽
ethnical	人种的
revolt	厌恶
symptomatology	征候学
brassy	厚脸皮的
shipboard	船
understrength	力量不足的
putrescible	会腐烂的物质
honeysuckle	金银花
catnap	小憩
smart	精确的
uses	United
loneness	孤寂
subcenter	次要中心
acred	拥有许多地产
ninety	九十
glandiferous	结坚果
gangliform	神经节状的
festally	愉快地
mucopurulent	黏脓性
humongous	其大无比的
hypnopaedic	睡眠教学法
kinematically	运动学上
afterdinner	正餐后
geriatric	老人
confound	把……搞混
adumbral	遮阳
dimension	维
direct	由西向东运行
nanoid	侏儒样的
polyspermy	多精入卵
rhythmical	合拍的
baccate	结浆果的
gym	体育馆
hemocytoblastic	原始血细胞
intermontane	亦作intermont或intermountain
fasciated	扁化
hydrotropically	向湿性
preproduction	试制的
available	有用
saphena	隐静脉
footway	人行道
furnisher	家具商
butterfly	蝶泳
misunderstanding	误解
mettlesome	精神饱满
above	上述
daze	使晕眩
holozoic	以摄取有机物为食的
closely	接近
dexterous	惯用右手
gipsydom	流浪生涯
smattering	略知
tap	选择
unhired	未雇用的
receipt	收到
patroness	女主顾
strophe	古希腊歌队唱的歌
threesome	三人一组
outright	直率
incongruity	不适宜的
redeemable	可收回的
isa	工业标准结构
pontifical	大祭司的
yelp	狗吠
sentence	宜判
colluvial	塌积的
flannelled	穿法兰绒衣服的
operatic	歌剧的
colloidal	胶质的
fastish	相当快速
ladder	阶梯
oxalidaceous	酢浆草科
helmet	钢盔
fidge	寝食难安者
thrive	兴旺
approvingly	赞许地
emprise	冒险
spode	斯波德式的
rearward	后面
tale	坏话
kloof	峡谷
melting	融化的
juma	伊斯兰教的安息日
veil	遮蔽物
archly	狡猾地
ipm	英寸[分
sacerdotal	祭司制度
camphoric	搀有樟脑
acceptance	接受
commonweal	公益
jazz	奏爵士乐
paillard	一块牛肉
overstability	极大的稳定性
numerary	数目的
rotc	Officers''
correct	改正
scenic	景色优美
poisoner	毒害者
pericardial	围心
hairsplitter	拘泥于琐事的人
gentleness	亲切
constant	坚决的
antianxity	抗焦虑
fifine	菲芬
fortepiano	钢琴
archaeological	考古学上
acquisitive	有获得可能性的
liberalistic	自由主义的
repent	后悔
duplicated	复制出
molina	即Tirso
pavement	人行道
alumnus	男校友
hetaera	名妓
preteen	青春期前的孩子
brawly	喧嚷
exquisitely	敏锐
harper	弹竖琴者
sponge	海绵
plantaginaceous	车前科的
serfage	农奴地位
shuddering	发抖的
chaussure	靴
perfect	理想
smart	懊恼
capacious	广阔
revolted	厌恶的
nbs	Standards
thermae	温泉
image	象征
undergone	undergo的过去分词
tawse	鞭打
unmeasurable	无限的
optically	视力地
natasha	娜塔莎
minsk	明斯克
sled	用摘棉机摘
eldest	年事最高
spermous	精液的
disputation	争论
tafferel	船尾上部
undecipherable	=indecipherable
girosol	=girasol
barbaric	粗野的
quaint	离奇有趣的
filiform	丝状
groundage	停泊费
underabundant	不够丰富
regionalist	地方主义作家
helper	助手
site	场所
remove	移动
longe	用练马绳训练马的各种步态
rockbound	顽固
dysteleology	无目的论
gyrovague	游方僧人
smack	带有……风味
nonpathogenic	不致病
gorgy	多峡谷的
usib	Intelligence
greco	El格列柯
alibi	辩解
syssarcosis	肌性骨联接
chekiang	浙江
numeration	读数法
judicially	公平地
rhizophilous	寄生于根上的
felonious	恶毒
rustically	乡土气地
perform	表演
plebby	普通的
subcapsular	囊下的
firedrake	火龙
quandary	窘境
neuridine	精液素
baor	the
plait	辫子
plated	镀金的
ruggedness	险峻
forkful	一叉的量
saxicolous	岩栖
fullmouthed	大声的
draughtboard	西洋棋盘
home	本国
waterhead	水源
lionhearted	勇猛
sheep	羊
seminude	半裸的
dullish	稍钝的
philosophical	哲学
impervious	不受影响的
ribonucleoprotein	核蛋白
rake	用耙子耙
pakistani	巴基斯坦的
bashful	害羞
umbellar	伞状花
visitatorial	有权检查
tumefacient	使肿胀
bebeerine	比比林
bimestrial	持续两个月
climacteric	转变期
darkminded	阴险
anectine	琥珀酰胆碱
eidetically	仍在眼前的
sacerdotal	祭司的
chimerism	嵌合现象
vision	视力
equivocal	模棱两可的
rosily	带玫瑰色
facilitate	使容易
throughother	混乱
pelagic	远洋
dasher	气宇轩昂的男子
holon	子整体
philtre	刺激
aloof	冷淡的
gript	grip的过去式及过去分词
bemusement	发呆
subsumption	包含
polynia	冰穴
shealing	=shieling
patter	喋喋快语
dab	比目鱼
alep	=Aleppo
boatage	小船运费
styliform	末端尖而细长
mmm	Mode
skice	匆匆而行
romanian	罗马尼亚的
sound	彻底
afdc	Aid
cavalvy	骑兵队
unflawed	无缺点的
precinct	选区
theopathetic	神意感应
depart	逝世
trenchplough	深耕犁
spoonbeak	琵嘴鸭
fixture	预定日期
preman	史前人
ruritania	鲁里坦尼亚王国
decrypt	译
pantological	百科全论
rathripe	=ratheripe
inveterate	成癖
wolfess	性行为如狼似虎的女人
fortress	堡垒
erring	错误
arraignment	责难
brim	注满
lever	杆
inkling	略知
saving	除……之外
loosely	宽松
manifestly	明白
devastatingly	破坏性地
disorder	混乱
frutex	灌木
quadrivial	四路交叉的
phlebology	静脉学
correctional	修正的
declutch	放空档
plough	费力穿过
unscrew	旋松
pruina	粉霜
corncob	玉米的穗轴
feature	特写
contemplative	冥想
vascar	Speed
duopoly	两家卖主垄断市场
crimp	卷曲
mnemosyne	摩涅莫辛涅
flavourless	无趣味
character	使具有特征
cybernetic	控制论
catecholaminergic	含有儿茶酚胺
hypochromia	血红蛋白过少
incohesive	无凝聚力
subliterate	略具阅读写作能力的
overpraise	过奖
resolve	溶解
moil	辛苦的工作
direct	命令
hungered	饥饿的
fetter	加脚镣
anergy	无力
spool	缠绕在线轴上
deviltry	恶行
liquor	浸水
sectionalism	地方主义
rhizanthous	从宿主根上开花的
archaize	仿古
buccaneerish	海盗似
tearproof	撕不破的
phratry	氏族
resplendent	灿烂的
radialized	辐射状的
lacunar	花格平顶的凹板
loot	抢劫
guerdon	报酬
neglect	疏忽
suiyuan	绥远
disrespectful	失礼
callus	老茧
battlesome	好斗的
liker	喜欢的人
ceroplastic	蜡塑
armigerous	有佩带徽章资格的
polarogram	极谱图
nokia	诺基亚公司
sensually	好色地
rattler	喋喋不休者
retrainee	接受再训练者
asonia	音盲
garbage	废物
flavourless	无味的
conversant	有交情的
inconsolable	无法安慰的
choose	选定
sayst	=sayest
embezzle	盗用
alcahest	万能溶剂
souse	盐汁
parajournalism	异常新闻
denominational	dI9nCmI`neIFize/dI9nCmI`neIF)l/
synod	宗教会议
expressionist	表现主义的
pmla	America
botany	植物学
delenda	被删去之部份
stagnation	停滞
blastosphere	囊胚
quibbler	吹毛求疵的人
beefburger	煎牛肉饼
reinsure	分保
synchronously	同步
tonometer	张力计
retribalize	使复归部落状态
trimming	清理焊缝
picrotoxin	苦味毒
saddlebill	凹嘴鹳
overfraught	超载
singly	个别地
clew	线团
joggle	轻摇
bidentate	有二齿
adversarial	敌手的
maximal	最大的
oceanological	海洋学的
recelebrate	再庆祝
sillimanite	硅线石
fasten	扣紧
antiarrhythmic	抗心律不齐
sequestered	扣押
universal	全体
piccalilli	辣腌菜
prolifically	丰富地
exemplary	警戒性的
warship	军舰
epinasty	偏上性
sheerhulk	人字起重架船
choke	阻气门
phonetic	语音学
hologynic	限雌遗传的
buonaparte	family
semeiology	症状学
horticultural	园艺的
floorboarding	将汽车油门踏到底
consentience	一致
isopterous	等翅目的
rubigo	过氧化铁
mechanistic	机械论学说的
scandent	攀缘
obscurity	隐匿
evocative	唤起的
systemless	无秩序
resigned	顺从
recultivate	再耕种
nephritic	肾脏
nonobjectivity	缺乏客观
myself	我本人
vibrissa	羽须
linked	连接的
gently	逐渐
queue	队列
converge	会聚
misesteem	不尊重
against	靠着
rebukeful	责骂性的
foreverness	永远
romany	吉普赛人之风俗习惯的
persona	人
deceased	死者
yankeefy	使美国化
taphonomy	埋葬学
unendowed	不具有
serbian	塞尔维亚人
disemplane	下飞机
ilk	相同
clausal	条款
with	有
copartner	合伙人
subtetanic	轻度抽搐
brace	奋起
angry	愤怒
baloney	胡扯
social	群居的
headlong	头向前
squalor	悲惨
revulsive	诱导
carbonation	碳酸化作用
hypoglycemic	血糖过低的
microcalorie	百万分之一卡
tantalization	使干着急
corroborator	确证者
aqueduct	导水管
mossiness	生苔
ironsmith	铁匠
scoutcraft	侦察活动
twaddle	讲废话
rann	Needs
lasher	鞭打者
obstetrician	产科医师
overdrifted	被吹积物覆盖
recremental	渣滓的
enterologic	肠病学
german	德国的
antennate	具触角的
leavisian	利维斯式的
sanguine	血红色的
optacon	奥普特康盲人电子阅读仪
finish	用完
come	来临
desiccator	干燥器
premium	保险费
yew	紫杉木
semitic	闪族
haemic	血性
grub	挖
quick	迅速
proofless	无证据的
edacity	贪吃
nonpolitical	非政治性
coiner	创造者
hohhot	呼和浩特
bayou	支流
ruddleman	红土商
de	Germany
fearful	吓人
msgm	of
conchiolin	贝壳硬朊
oaec	Organization
asme	of
pimping	微不足道
ironmongery	铁器店
expound	详细说明
hydrology	水文学
unconscious	未发觉的
cruel	悲惨的
literarycritical	文学批评
conqueringly	意洋洋
indissolubility	永续性
icosahedron	二十面体
substantialist	实体论者
charitably	慈善地
incaution	粗心大意
calculate	打算
galop	跳该舞
punctulate	有凹陷的
bristletail	蠹虫
unpitying	无同情心
connubially	婚姻上
intussuscept	吸收
ardent	热情洋溢的
subordinacy	下级地位
vugular	含晶簇
pice	印度铜币
lovable	惹人爱
ellipse	椭圆形
isohyet	等雨量线
timepleaser	=timeserver
judaeophil	善待犹太人
awake	醒的
outmarch	比……前进更快
electroplating	电镀术
transfiguration	变容
charm	使陶醉
confabulation	交谈
isoagglutinin	同族凝集素
tcp	传输控制协议
flush	萌芽
stoplight	红色尾灯
infuscate	被弄糊涂的
armourbearer	替骑士拿盔甲者
hyacinthine	风信子色
galvanization	通流电
halation	白色模糊影像
screed	刮板
diffusedly	散布地
jittery	抖动着
oo	面向对象
rafferty	完全不讲章法的
sloughy	脱落
agedly	老态龙钟地
astriction	便秘
anastomose	汇合
ductile	柔软
ebb	衰落
sapless	枯萎的
apocalyptic	天启
febrifuge	解热
magenta	红紫色
coloratura	花腔音地
plumate	似羽毛的
disconsolate	孤独
railery	玩笑
forget	忽略
fractional	小数
newsman	新闻记者
reeded	有凹槽的
blah	废话
salted	盐腌
cybernate	使电脑化
waxy	象蜡的
outward	外表的
characterless	不出众的
vigilantly	警觉
haemostatic	能够止血的
pesticidal	杀虫
telefoto	=telephoto
insectile	似昆虫
obligingly	亲切地
cavern	深处
orderless	不整齐
apostate	变节
frostwork	霜花纹装饰
canonic	轮唱的
make	进行
dissolutely	放荡地
standard	第一流的
pushing	急切的
upstate	北部
mockery	嘲笑
vrille	螺旋
extraordinaire	异常
negotiate	通过
cowled	带头巾的
calcareously	石灰地
inhomogenous	异成分的
inkyo	引退
tartary	鞑靼地方
subcuticular	表皮下
percentage	百分数
nedda	内达
nontelevised	电视上不播放的
portal	入口
title	加标题于
stress	重读
brandreth	铁三脚架
insomnia	失眠
nosewarmer	短烟斗
exchequer	财政部
radc	Corps皇家陆军牙医队
clincher	敲弯钉头的工具
epileptogenic	由癫痫引起的
conclude	终止
storefront	店头
delegable	可委托
natch	当然地
yoicks	唷克斯
rhinovirus	鼻病毒
dazzle	耀眼
unsoiled	未被破环
superfluid	超流体的
amphimictic	两性融合的
posteriorly	后来
scud	碎雨云
rentalsman	租金监督官
appreciate	涨价
stupe	温布
victorious	获胜的
slipcover	沙发套
hedgepig	刺猬弹
ahum	低唱的
promptive	推动的
tyro	新手
cardiotoxic	心脏中毒的
coprophobia	排粪恐怖
packthread	包裹绳
epidotized	形成绿帘石
avail	效用
throwaway	广告传单
dinch	掐灭
hostile	敌对的
duckstone	水漂石
freezing	严寒的
draught	拉
limnetic	淡水
feldspathoid	似长石
weltanschauung	世界观
feldspathic	由长石构成的
tim	瞬态失真
melancholic	忧郁的
bandit	强盗
intron	基因内区
allonymous	笔名的
salmonella	沙门氏菌
cloy	使厌腻
untwist	拆开
pneumatic	有气胎
baffle	阻碍
everything	每件事物
vegetal	动植物共通
dewdrop	露滴
mantic	预言的
caudiform	尾状
sympathizer	同感者
proprioceptor	固有感受器
qei	erat
citizenship	公民的职责和权力
pongee	茧绸的
corporative	法人的
exclusive	高级
forgivingly	慈悲
spastic	痉挛
ussr	苏联
rhq	团部
insufflation	注气法
epicurean	享乐主义
sinaitic	西奈半岛
liquefacient	液化
serious	严重
ketogenic	生酮的
snide	骗子
warner	华纳兄弟娱乐公司
caliga	士兵所穿的战靴
execution	破坏效果
miraculous	不可思议
wavelike	波浪般
communalistic	方自治主义
patulin	棒曲霉素
unsightly	不悦目
graduation	毕业
whole	整体
avventurina	缘其稀少难觅
ramp	使有斜面
dance	舞蹈艺术
spiel	演奏音乐
operation	军事行动
chief	主任
lowriding	驾驶低底盘汽车兜风
loaner	代替品
event	竞赛
rudely	粗暴地
bacciform	浆果状
hellespont	=Dardanelles
pmkd	postmarked
telemicroscope	望远显微镜
flatwork	毛巾等物
chrysalis	蛹
southdown	无角短毛羊肉
binocle	双眼望远镜
appetite	胃口
unmeditated	未预谋的
gusset	衣袖
ossian	奥西恩
hoot	轰赶
peopleless	无人居住
lie	说谎
explode	破除
consociation	联盟
drowsiness	睡意
rascallion	恶棍
newspaperwoman	女记者等
dantesque	庄重的
seric	中国
architectural	建筑学
scape	柄节
extended	广大
nowise	毫不
burghley	lst
par	票面的
metaphorical	比喻性
diverting	有趣
sulfatize	=sulphatise
corsage	女服的胸部或腰部
ethnomusicological	人种ist//
semilunar	半月形的
repp	一种条花织品
unfathomable	无底
linguaphone	其商标名
sociocentrism	社会中心论
breechloading	后膛装弹的
fluidity	流度
specialization	特化作用
sprig	图钉
troffer	凹形反光槽
bp	Pager
voluntary	志愿的
suramin	苏拉灭
ruminatively	沉思默想地
inventory	存货
radiate	发光
benzophenone	苯甲酮
chainless	无束缚的
exultancy	狂喜
sizer	大小分拣器
cyprian	淫荡的
consilience	符合
glaucomatous	绿内障的
unloose	放松
fmi	Mon
unreserved	不隐瞒的
dogmatical	武断的
basketry	篓编织品
pekoe	白毫
bushido	日本之武士道
lewis	吊楔
shaggymane	毛头卑伞
resplendently	耀眼地
galumph	意气扬扬地走
mannered	矫饰的
repellent	排斥的
fancied	虚构的
unpredictable	不可预知
spritsail	斜杠帆
feel	感觉
trichopteran	毛翅目
distinction	特性
tropeolin	=tropaeolin
extragovernmental	政府管辖之外的
rollout	首次展示
walloping	殴打
import	含……的意思
attachable	可逮捕的
somnambulary	梦游者
thug	凶手
containerize	用集装箱装
filamentous	如丝的
kiowa	基奥瓦人
wedel	作双板平行摆动转弯滑
stabilizer	安定装置
demon	魔鬼
abidingly	永久
days	在白天
comparison	比喻
ascensive	进步的
subterhuman	亚于人类
conciliative	安慰的
saloniki	=Salonika
generalist	通才
disneyland	迪斯尼乐园
nupe	of
himyaritic	希米亚里特人的
chance	冒……的险
unsccur	Nations
hostility	不友善
mercury	水银
bathymetric	深测术
furious	狂怒的
racially	人种上
artificial	人造的
underseas	海底地
ductule	小管道
ferry	渡运
antiserum	抗血清
evenings	在晚上
salable	适于销售的
tinnily	含锡
denaturalization	变性
thanatophoric	导致死亡的侏儒症的
serpentinous	蛇纹石
haematozoon	血内寄生虫
pose	姿势
aquiver	兴奋的
imbolden	使……壮胆
aicpa	Accountants美国会计师协会
variably	易变
sextupole	六极的
significant	重要的
circumpolar	拱极
hiver	养蜂人
astriction	束缚
unhasty	不匆忙
sunbreaker	遮阳板
disannul	使无效
cristate	有冠毛
poor	乏味的
ajiva	与生命动力相反的物质
discourteous	无礼貌的
legitimatize	使合法化
apyrexia	发热间歇期
farci	有馅
multiparty	包含多党党员
hammerblow	锤打
recruit	新会员
wizened	消瘦
osmotic	渗透性的
billionth	十亿分之一
hoydenish	淘气
headsquare	=headscarf
petrologist	岩石学家
cribber	剽窃者
dotty	精神不定的
restiform	索状
acidity	酸度
tailing	残渣
inexcitable	难以激动
mens	精神
isohume	等水分线
mediaevalist	=medievalist
consort	使配对
publishable	可出版的
lanceted	矛尖状装饰
doughty	勇敢
brilliantly	辉煌地
axilla	腋窝
perjured	伪证
avaricious	贪婪
atmologist	水蒸气学者
synod	会议
gracie	格雷西
photoflood	使用照相泛光灯的
marla	玛勒
resupinate	向上翻转的
citic	中国国际信托投资公司
vinca	长春花
grieve	伤心
counterblow	反击
reloan	再贷款
anginal	咽炎
tideway	感潮段
jazzily	奔放
quick	生物
lotic	激流
burman	缅甸人
bespangled	以发光之金属片装饰的
rumpus	吵闹
paramedic	伞兵军医
waylay	埋伏
flintily	冷酷
biggish	颇大
pantheism	泛神论
ocean	大海
americanist	亲美派
proboscidate	有长鼻
rummy	甜酒的
prelimit	事先限定
founder	失败
dpn	nucleotide
uncorrectable	无法改正
conflagration	大火
qp	后前兵
insurgently	造反地
seton	泄液线
merger	归并
styptical	收敛
quassia	由苦木科植物采取的苦味液
extension	客观现实
heteropterous	半翅的
amused	好玩的
livid	青紫色
turning	转弯处
zincic	锌
unrifled	滑膛
elusive	难懂的
cubic	立方体的
internuncial	联络
inhomogenous	多相的
renascent	复兴的
eruptive	喷火
astringently	压缩地
antechapel	教堂的门厅
efate	埃法特岛
linguaphone	灵格风
septuagenarian	七十岁
shoppe	商店
grivet	黑长尾猴
isa	Standard
substance	物
flunky	小人
cancerate	使成为癌
compromise	折衷
ribbed	有棱纹的
overfulfilment	超越预定计划
flushing	使人脸红
opisthenar	手背
inconvenient	有困难的
recruit	新兵
zygoid	合子的
inveracious	虚假的
samel	半烧的
crankily	摇晃不定
enflurane	安氟醚
kolkhoz	苏联的集体农庄
downcast	气馁的
coloury	色泽良好的
fictitious	假装的
pedestrian	通俗的
outroar	吼叫得比……响
home	国内的
grungy	蹩脚
instrumentarium	特组器械
hypothenar	小鱼际
vancouver	范库弗峰
emperor	皇帝
sjaa	Association圣约翰救护协会
ruthful	悲哀的
endogeny	内源
abuttal	邻接
nitrosylsulphuric	亚硝基硫酸
backstairs	诡秘
unapparent	模糊
lurcher	小偷
morphologic	形态学
tawny	茶色的
gerontophobia	恐老
ctol	常规起落飞机
toilworn	工作疲劳的
swift	大滚筒
heterocharge	异号电荷
styron	肉桂塑料
forehanded	时机
cinnamene	苯乙烯
croquet	槌球戏
puffball	马勃
alborg	奥尔堡
headachy	头痛的
cardioid	具有心脏形状
slinkskin	早产仔畜皮革
caprifig	野生无花果的一种
telltale	搬弄是非者
olympian	庄严的
obstetrical	产科
begad	天哪
igneous	火
cryoscopy	冰点测定学
acknowledge	报偿
raa	of
pentecost	圣灵降临节
drumstick	鼓槌形物体
preteen	接近青春期
unroyal	非国王
exhortative	劝勉的
interlingua	中间语言
uraemic	尿毒症
reversion	返祖
entomological	昆虫学的
criminality	犯罪行为
batt	棉絮
unintelligible	难解的
rider	骑马的人
derivatively	衍生地
decohere	散屑
bat	Armor
dimethylmethane	二甲基甲烷
biangular	双角的
acgb	Britain
sensitive	灵敏的
neoclassicism	新古典主义
tearless	无泪的
grill	烧
raptor	肉食鸟
tif	Tagged
systyle	两径间排柱式
churchism	墨守教会仪式
endocytose	内吞
manipulation	被操纵
esol	Languages
glandulous	有腺
gambade	马的跳跃
melodeon	手风琴之一种
pentastyle	五柱式建筑
seducer	诱惑者
fissirostral	宽而深裂的
iad	Decade
carefully	谨慎
equilibrator	平衡装置
synostosis	骨结合
draftable	可征召入伍的
seminary	发源地
diesohol	柴油乙醇混合燃料
ble	火车司机兄弟会
filo	=phyllo
cryptorchidism	隐睾病
typification	典型化
entropion	睑内翻
sound	充分
whop	打击声
gam	社交
account	总计有
antipathetic	格格不入
azonic	非地方性
complication	复杂化
swingeing	激烈
beach	海滩
vernalize	施以春化处理
disappointing	令人失望
counterpart	副本
collectively	共同
disfavor	不赞成
quarrel	反目
disintegrator	分解者
milestone	里程标
weak	无力的
apocarpy	离心皮
stealthy	秘密
skylark	云雀
labourious	需要劳力的
biferous	一年开花或结实两次
resegregate	对……重新实行种族隔离
unitarian	一神派
twu	America
septuplicate	一式七份
univalve	单瓣的
sassenach	撒克逊人的
converse	谈话
octad	八价元素
perfunctorily	马马虎虎
algerine	阿尔及利亚人
dog	坏蛋
director	导演
greenstone	绿玉
befell	落到
seel	障人眼目
objurgatory	非难
lordly	有气派地
erythrophyll	叶红质
infinitely	无穷地
idiophonic	非膜质打击乐器的
boomerang	飞去来器
shade	图案阴影
frenzied	狂乱的
neckpiece	皮围巾
caterwaul	猫叫春声
rss	Societatis
whitebeard	老翁
kymograph	波动曲线记录仪
cdma2000	Access2000
suprarenal	肾上腺的
inflect	弯曲
immelmann	半斤斗翻转(德国飞行员殷麦曼
petrel	海燕类
hexenbesen	扫帚病
armer	武装者
sidetone	侧音
dicotyl	=dicotyledon
plumb	铅弹
sooty	乌黑
sniveler	假哭的人
hominoid	似人猿的
vagabond	浪子
verminous	虫害的
untaught	没有学问
onto	在……之上
contest	争夺
ravenous	贪婪的
melanesia	美拉尼西亚
camerist	摄影师
standardbearer	领袖
mpls	Switching
platinotype	白金照相版
prolative	补足谓语的
