insectivorous	食虫动植物的
hydrofracturing	水力压裂
hypothetical	爱猜想
cocarboxylase	焦磷酸硫胺素
vectorscope	矢量显示器
spiritualist	巫师
cast	一瞥
surgy	大浪翻腾的
aconitic	乌头
helmsman	舵手
pluviose	雨量多
dicky	恶劣的
syriac	叙利亚
circumspective	慎重
deadsville	沉闷的
macaroon	蛋白杏仁饼干
nonrepresentational	抽象的
nuciform	核子状
inimitable	无比的
fense	墙
podzolise	=podzolize
lambent	闪烁的
outlander	外地人
microevolution	微进化
dampish	含湿气
angel	完善可爱的人
mach	一种UNIX操作系统
insurgence	起义
unabiding	不持久的
enquiry	询问
bibliotherapy	读书疗法
jow	钟声
brotherly	亲切的
heliotropin	胡椒醛
microfungus	微直菌
crooknecked	曲颈的
hardenable	可硬化
mignonne	娇小可爱
freely	直率地
venire	陪审员召集令
excussion	依法索取
moneyman	金融家
angular	有角
ostentation	风头主义
average	平均数
niggard	吝啬
mesoblast	中胚层
mussily	混乱地
lur	Underground
safeguard	保护
lotion	洗剂
cautious	谨慎的
judgment	判断
exarate	足翅不贴着在身体上的
henhearted	怯懦
blastula	囊胚
pleasurable	合意
equalization	均等
linden	菩提树
beastly	令人不快
subthreshold	不足以引起反应
arenic	竞技场
poise	镇静
truant	逃避
lobsterman	捕龙虾的渔夫
internality	内在
mnas	the
chromogen	色原体
marked	有记号的
citron	圆佛手柑
uglifier	破坏美观者
chowderhead	傻瓜
hardtop	室内电影院
retiral	退却
reciprocitarian	互惠的
dexter	右边的
gussy	装饰
fiann	芬尼亚勇士团团员
eoka	为塞浦路斯而斗争全国组织"
louche	品德有问题的
castiron	健康
unascertainable	不能确定
basso	低音部
lipotropic	抗脂肪肝的
undimmed	不暗淡的
eared	有把
admonish	训诫
optometer	视力检定装置
tapioca	木薯
cpaffc	Friendship
deceleration	减速
sociopath	不爱社交的人
fictitious	虚伪
enclisis	连读
railing	栏杆
saceur	Europe
catamount	山猫
irrepleviable	不准具保领回
ever	永远
eozoic	始生代
plutonism	地壳火成说
pronounced	讲出来的
sulfonyl	=sulphonyl
trepan	环锯
carbohydrase	糖酶
substantialize	实体化
meadowsweet	绣线菊草属的草
intrepid	勇猛
rsn	即将发生
sunlit	阳光照射的
unsccur	Resources
aarnet	Academic
concerted	协调的
mirth	欢笑
einsteinian	爱因斯坦理论的
coxitis	髋关节炎
prolific	丰富
sloughy	蜕皮
abrader	磨石
nodular	小节
nonnasally	非鼻地
permanence	永久
lame	使成残废
suety	牛脂一样的
mercuric	含水银的
abusive	辱骂的
retroflexion	反曲
lampad	灯
plop	使掉下
laughingly	笑着地
gastrovascular	消化与循环两用的
overdrive	驱使过度
specific	特效
cutout	挖剪图画
aye	投赞成票者
compages	组合
muggins	一种牌戏
peck	啄痕
concupiscence	强烈的邪欲
rubble	碎石
seer	幻想家
preventible	可阻止的
clavated	棍棒状
extrusion	喷出
fabrication	伪造物
freeborn	自由民的
nostrum	秘方
noted	著名
europanet	欧罗巴网
nccw	National
condensative	易凝缩
sudaria	擦脸巾
override	奔越过
fermentative	促起发酵
ribby	多肋骨状物的
whammy	剧烈的打击
skeletony	骨骼似
prothoracic	前胸的
genappe	烧毛毛纱
style	称呼
comedones	黑头粉刺
outfit	装备
oxeye	大眼睛
engineer	火车司机
patronizing	俨然以恩人态度
hydrosulphuric	/氢硫酸
fibrid	纤条体
imperceivable	=imperceptible
countryseat	郡政府所在
jostler	推挤的人
aerotrain	飞行式气垫列车
photomechanical	照相工艺
keratose	角质的
takingly	迷人
lipogenous	产生脂肪
seminiferous	产生精液的
set	调整
deuteronomic	劝人行善
jejune	无兴趣的
backlash	后座
pigmentize	获得
screwball	怪僻的
zygodactylous	前后有双趾
maranta	竹竽
turnkey	监狱的看守
traprock	=trap
degustation	品尝
numerous	许多
cowgrass	瓜槌草
leninism	列宁主义
sanctified	批准
stuff	材料
frock	工装
nicer	良好
trichloronitromethane	=chloropicrin
couchant	抬头伏卧状的
fluxional	微分的
trickster	魔术师
abstemious	节约
xylocaine	木卡因
transversal	截线
embarrassingly	使人为难
undissembled	不加掩盖的
condenses	浓缩
riksdag	瑞典之国会
entente	有协定关系的各国
howdy	您好
malicious	恶毒的
mediocrity	平常
chilitis	=cheilitis
goober	落花生
sinter	使烧结
throughway	快速道路
nummular	硬币形
nccw	Women
insectile	昆虫
unsuspecting	信任的
malanga	暗绿叶黄体芋
madid	泪汪汪
loo	厕所
ckd	完全分解
undistinguished	未经区分的
victor	胜利者
phenylephrine	苯肾上腺素
pectinated	栉状的
spc	南太平洋委员会
beetling	突出
parenthood	亲子关系
inhumane	残忍
plp	议会工党
study	试图
naad	=nada
construable	可做……解释的
scarcely	几乎不
disaccharid	二醣类
unspecific	非特定的
elapse	过去
fenestral	如窗
fretful	焦躁的
silvern	银一般
tympano	tympani的单数
elevatory	向上举的
capable	可以……
duplation	双倍
yond	那边
cohesion	结合
controllable	可管理的
oligarch	寡头政治执政者
flagging	下垂的
klischograph	电子刻版机
alum	矾
multinuclear	=multinucleate
heartquake	惊心动魄
rpq	for
enquirer	追究者
simple	简易
ineloquent	不传达表情的
paratactic	并列
agitational	鼓动性
incisal	切的
toilworn	憔悴
unidentifiable	无法鉴定
crabbed	潦草
gavot	加伏特舞
lobe	圆形突出部
alkahest	万能溶剂
romance	渲染
shoji	障子
evolvement	发展
modernism	现代思想
arthrotropic	致关节疾病
dissimilarity	不同
misfile	归错文挡
dauber	涂抹工具
tumblerful	杯子
addressable	可设定地址的
cocky	自大的
antidiphtheritic	抗白喉的
mortagage	抵押
fine	杰出
joyously	快活
stum	未发酵的葡萄汁
caltech	加利福尼亚理工学院
depletive	使干涸
unhand	将……放掉
semiagricultural	半农业的
diseaseful	不健康
reticulum	网状组织
suited	匹配
nutriment	营养品
postiche	画蛇添足
attune	使合调
podded	有荚
psro	职业标准审查组织
usha	Housing
flory	temperature弗洛里温度
asbestoidal	似石棉
brushland	矮灌丛
put	放
alvar	矮化植被
aspectual	体
plumbiferous	含铅
diphyletic	二源的
riffle	使起涟漪
fisk	国库
flutter	飘动
typesetting	排字
uninvoked	未被祈求
wsj	Street
hectic	脸上发红
bronchi	bronchus的复数
repellency	抵抗性
knighthead	支撑杆
punctulated	有凹陷
nibble	啃
micrometeoroid	微流星体
nationality	国家
hack	砍
attentat	犯罪企图
defensive	防御
sweepstakes	赌金独得赛马
sanguicolous	栖血
labyrinthine	迷宫的
nailsick	因多次钉过后而不结实
cloistral	修道院的
psychoactivity	影响心理状态
handwrite	亲手写
adjunction	附加
wsj	Wall
ardor	激情
rightward	向右
hutch	茅屋
hyperion	亥伯龙神
hex	妖法
godliness	虔诚
hurtless	不会受伤
foliose	叶子覆盖
disfigurement	缺陷
degression	下降
causeless	偶然
zimbabwean	津巴布韦的
bargee	驳船船员
stylistic	体裁上
petting	爱抚
being	有
flockpaper	毛面纸
undynamic	无活力
dualhead	双头显示技术
hoodoo	使倒霉
ldc	Country
provable	可查明
far	很晚地
orifice	口
japonic	日本的
charmingly	愉悦地
slender	微薄的
toughly	坚强地
peremptory	强制
sanga	=sangar
opster	视幻艺术家
fair	晴朗
arbo	虫媒的
syndicalism	工团主义
slimming	使苗条的
rdx	三次甲基三硝基胺
savourily	有味道地
lacune	洼
liar	说谎者
lytic	细胞溶解酶的
agitational	煽动性
mammock	碎片
zygospore	接合孢子
magnalium	镁铝
iconograph	图示
chinoperl	Chinese
disoriented	分不清方向或目标的
fernery	蕨类栽培地
stargaze	凝视
vhf	甚高频
damoclean	危险临头的
madeleine	玛德琳蛋糕
time	时间的
swat	猛击
schizogonia	=schizogony
meat	肉类
authentically	确实地
syntechnic	异种趋同的
bagpiper	吹风笛的人
cheerleading	带领啦啦队
jealous	妒忌的
foreignism	外来语
tarnation	讨厌
secretaryship	任期或职权
chide	斥责
hydracid	氢酸
servicing	维修
lmbc	Boat
iab	Architectrue
obliterate	删除
erotology	色情文艺
glycolate	乙醇酸盐
obtuse	愚蠢的
flub	把……搞得一团糟
pustule	脓疱
substratal	基础
transcribe	转录
houseman	男仆
botheration	麻烦
subaqueous	水下用的
kilter	顺利
brassiness	低廉而华丽
tito	提托
golden	金黄色
expectability	能预期
blindstory	暗楼
housewife	主妇
canorous	音乐般
wiredrawing	拖长
feverish	发烧
spinet	小型立式钢琴
tranquillizer	使镇定的人或物
fit	健康
cryptanalyst	密码专家
prank	打扮得漂亮
startling	令人吃惊
undebatable	无可争辩的
pettifog	做讼棍
mobile	可移动
waif	飘流物
evergreen	常绿树
supersubstantial	超实体
beetleheaded	笨的
eared	有耳
gang	群
swipes	味道平淡的低级啤酒
knowledgable	=knowledgeable
fractious	脾气不好
palsy	瘫痪
weta	沙螽
supertransuranic	超重
katatonia	紧张性精神分裂症
benorth	在……之北
nailsick	因多次钉过后而不结实的
prioress	大女修道院副院长
thoughtfulness	慎重
authentic	可信
delighted	欣喜
ordinant	规定
filmic	电影
cuspidated	有尖端
royal	王室的
clavecinist	大键琴演奏者
transmission	转播
polyembryony	多胎
terai	特赖帽
antique	过时
straitness	狭隘
heartache	悲叹
nectar	任何美味的饮料
geoponics	农业
wateriness	平淡
iht	Herald
pinocytized	被胞饮
parosmia	嗅觉倒错
mauley	拳头
kickup	舞会
muscoid	苔藓状
decinormal	分当量的
omnicompetent	有全权的
bali	巴厘岛
tribal	部落
uranide	铀系元素
aesthetic	审美
haler	赫勒
iktas	物品
circumvolant	环绕飞行
defeat	挫折
gallop	飞驰
log	园木
teleputer	电视电脑
presidiary	驻防地的
pisa	比萨
riffle	洗牌动作
nanhai	南海
unseemly	不体面
cleaver	切肉刀
wfd	Deaf世界聋人联合会
electrotaxis	向电性
flighty	反复无常的
coder	编码装置
curtal	切短的
insusceptible	不为所动
expressional	表情的
rickets	佝偻病
bewitch	施魔法于
gadgety	小发明
crop	平头
ligamentary	韧带
lordly	贵族般地
orbicular	球形的
outright	立刻地
guide	支配
mec	机械工
outfield	外场
exponential	幂数
chinaberry	楝树
musketeer	步兵
comity	礼仪
cantiga	短抒情诗
literalness	表面意义上
dropout	辍学学生
theretofore	在那以前
remigrant	再迁移动物
microanalyzer	微量分析仪
pimpmobile	豪华型定制轿车
solvability	解决之可能性
bowdlerize	修订
voodoo	一种图形加速芯片
asciferous	=ascigerous
caitiff	卑劣
polycarpous	多心皮
falsehearted	虚情假意的
renature	复性
convenable	可召唤
exsuccous	干
watering	排水沟
tatty	褴褛
nc	数字计算机控制
pater	父亲
karakalpak	卡拉卡尔帕克语
understandable	可懂
acting	代理的
collet	夹头
ue	Workers
grizzle	灰色物
foliate	有叶的
passible	易动情
treetop	树稍
idle	使空转
lapse	过失
understrength	人员不足的
gravelly	铺有碎石的
ccd	Charge
perceivable	可知觉
raec	Army
boondocks	荒野
trigonometer	三角测量者
ordinary	普通
resolution	坚定
floriferous	有花的
osteopathist	接骨医生
uaa	Airlines
nec	是世界五大电脑制造商之一
lallation	音发成
scherzando	诙谐地
reliquidate	重新调整
deniable	可否定的
staphylococcal	由葡萄球菌引起
elevon	升降舵补助翼
thinnish	较细的
gargoyle	怪兽状滴水嘴
cia	中央情报局
milch	生乳
factious	好捣乱
negligee	随便的衣着
disbelieving	怀疑
valuable	颇有价值
definite	一定的
overdaring	鲁莽的
tristesse	沉闷
offramp	驶出坡道
fledging	刚会飞的幼鸟
faint	变得微弱
asphyxial	窒息
parenthetic	插句
zenist	禅宗信徒
whinger	短剑
drafty	有缝隙风吹入的
umber	棕色
inshore	近海岸
vlsi	超大规模集成电路
shaoxing	绍兴
rambunctiously	粗暴
masterdom	支配
transiency	顷刻
actinomorphous	放射状的
literatus	学者
craniectomize	进行颅骨切除术
winnow	扬谷
treatise	论述
fanciness	花俏
anyone	任何一个
statistical	统计的
ndea	National
medicament	药剂
caponata	碎茄子和什锦蔬菜制成的调味品
doubtfully	含糊地
trichopteran	有毛翅的
infinite	无穷大
bluesy	布鲁斯乐的
typewriting	打字工作
unadvised	欠思虑
belay	把绳索拴在系绳栓上
fiduciary	受信托
grueling	重罚
snubbingly	厉声制止
directorial	指挥
ascendency	优势
remotely	遥远
oracle	神谕处
stop	风琴的音栓
dicty	极好的
scud	小阵雨
digastric	二腹的
homburg	洪堡软毡帽
bmta	英国汽车同业公会
gestagen	促孕激素
paster	贴纸
doglegged	弯曲如狗后腿的
gasolier	=gaselier
paperweight	书镇
cureless	无法医好
apa	Austrian
mass	大量
salesian	教徒
direct	指导
dilatory	拖拉的
tripos	文学士荣誉学位考试
flicker	使闪烁
unplausible	=implausible
lydian	吕底亚语的
opencut	=opencast
jeton	投币电话筹码
narcotic	镇静剂
befool	糟蹋
glaucous	覆有白粉
ludditish	反对机械化自动化的
tied	系
unversed	不熟练
undercroft	圆顶地下室
cloud	阴沉
rework	重做
dishonorably	不名誉地
nervine	神经
excommunicate	被逐出教会
debeak	切去的嘴尖
dead	突然
constringe	使收敛
spiccato	跳弓演奏
myocardiograph	心肌运动描记器
labyrinthitis	迷路炎
disarm	放下武器
riot	骚乱
setback	逆流
nescient	无学的
contemporaneous	同时期
hysteric	过度狂燥的
towardly	和蔼可亲的
conduit	沟渠
fatten	养肥
rail	扶手
unshakeable	不可动摇的
bardian	个性的
duodenary	十二倍的
articular	关节
antennate	具触角
feterita	非洲芦粟
aneroid	无液气压计
overfeeding	过量食物
dover	英国东南部的港口
robust	精力充沛的
regard	关心
townlet	小城镇
crappie	刺盖太阳鱼属鱼
tabby	平纹
sunburnt	起晒斑
lanceted	有尖拱
masturbatory	手淫的
uninhabited	无人居住的
polt	密谋
woodsy	树林多
plasticine	塑像用粘土
honestly	公正
reprofile	装修……的外表
sanguinivorous	=sanguivorous
mineralold	似矿物
luthern	window
combine	联合企业
disorient	使失去方向感
dumbartonshire	=Dunbartonshire
aluminiferous	含铝
lithiasis	结石病
anesthetic	麻醉的
hutch	小舍
cosey	安逸的
overmaster	压倒
cragsman	攀岩者
topographical	地形学的
tabby	使起波纹
agog	热切
intercessory	调解
combatant	战斗员
locomobile	自力推动的
adolesce	进入青春期
tetraplegia	=quadriplegia
krakatoa	喀拉喀托火山
tlo	loss
aglare	闪耀的
mna	护理管理学硕士
reparatory	=reparative
bfr	Buffer
electrogalvanize	在……上电镀锌
interbrain	间脑
ashram	嬉皮群居村
ichthyophagy	食鱼
inflammatory	煽动性
greaves	脂渣
bosket	丛林
residential	住宅的
cub	不懂规矩的年轻人
neoanthropic	新人
closer	靠近
ivied	常春藤遮盖着
cella	内殿
twisty	不直接说明的
back	支持
unwalkable	不能行走的
unreserved	无限制
inobservantly	怠慢
pathogen	病原体
dsrv	深潜救助艇
inexcitable	冷静
freehand	凭手画
embark	从事
culminating	终极的
multiflash	使用多个闪光灯拍摄
broadband	宽带
angelino	洛杉矶人
forest	植树于
sterile	不结果的
twinkling	荧荧的
endlong	直立
glum	阴郁的
sedimentology	沉积学
stopcock	活栓
alienist	精神病学家
panmictic	随机交配群体的
forfeitable	可没收
gingery	姜味
tropaeoline	金莲橙
comfortlessly	孤单
cooptative	由原任委员投票的
duplicate	两倍
divinize	偶像化
roughly	概略地
rickety	驼背
pagination	分页
preantiseptic	抗菌法采用前
narrowcast	小范围播送
wive	娶
suppose	猜想
recommendable	值得推荐
pedestrian	步行者
bareback	无鞍的
pinole	甜炒玉米粉
stirabout	活动分子
myoneural	肌神经
bicornuate	双角的
lunanaut	=lunarnaut
cpff	cost
flavourful	可口
psaltery	古代弦乐器
follow	从事
rotary	旋转
intersect	交叉
illume	点亮
immurement	禁闭
festive	喜庆
prosify	使平庸化
isogon	等角多边形
procural	获得
tuum	你的
snooty	鄙视别人的
rebarbative	令人讨厌的
invulnerability	刀枪不入
helplessly	无望
walty	易横倾
teen	使烦恼
sotted	麻木迟钝的
terraalba	白土
dryly	干燥地
distortion	扭曲
pharmacology	药理学
hypersonic	远超过音速的
dolldom	娃娃世界
envionment	Java环境
emaciation	憔悴
aerosphere	大气层
submissiveness	柔顺
uncharming	可厌
pilous	有毛
kaka	橄榄色鹦鹉
pretender	妄求者
execrate	憎恶
recollected	被回忆起
prismy	棱柱的
erasure	擦除的字
emplastic	黏性
ultravirus	滤过性病毒
unexceptionable	无懈可击
parleyvoo	法国人
numbness	麻木
kingdom	领域
worthy	有价值的
venturesomely	冒险地
intelligibility	可理解之事物
peasantize	使像庄稼人
gentlemen	gentleman的复数
grassplot	草地
rswc	正面朝上轻放
below	在下
hexapodous	具六足的
crispen	变得鲜脆
produce	提出
sue	控告
bullish	看涨的
kimono	妇女穿着的宽大晨衣
emotionality	富于感情
agrology	土壤学
confucian	孔子的
thingamy	小机件
jd	Doctor
discreetly	小心
hermitship	遁世
membraniform	膜样的
benzedrine	苯丙胺
treatment	待遇
gaping	多洞穴的
onstage	舞台表演区的
kebbuck	纯干酪
vehicular	车的
insurgence	叛乱
exquay	码头交货价
nubilous	多云的
spokesman	发言人
enormous	凶暴的
hurt	刺痛
enlistment	征募
banxring	shrew
boniness	骨瘦如柴
fancy	爱好
climatization	顺应气候
lanchow	兰州
invocation	符咒
donkeyman	辅助发动机管理工
prevaricate	支吾搪塞
utter	全然
angry	愤怒的
fishpound	鱼梁
redirector	转向器
red	红颜料
grounder	滚地球
amsterdam	阿姆斯特丹
illiberalism	非自由主义
oleic	油的
futuramic	未来型的
airdent	气磨洞形器
possible	可能的
epazote	土荆芥
religionary	宗教的
unaware	没觉察到的
ding	连响
stall	迟延
lunar	月亮
housebroke	housebreak的过去式
will	将
polymeric	聚合体的
haematoxylin	苏木素
exeat	短时离校的许可
upstate	北部的
feasible	切实可行
hypnopompic	半醒
celibate	独身的
breton	法国布里多尼地区的
crowned	王室的
hymeneal	婚姻
copartner	合作者
transgress	犯罪
shunga	春宫画
inspectoral	检查员的
blossomy	花盛开的
deconvolution	去卷积
hocus	麻醉
hydrocephalic	脑积水的
careful	小心
dav	American
dracontologist	湖怪研究者
zanthoxylum	花椒属植物
proportionably	成比例
deathly	象死一样
chortle	得意的高笑
laval	像熔岩的
garnishment	扣押债权的通知
emanative	发射性的
sundries	杂物
rann	Applied
exteriorise	=exteriorize
civil	国民的
fujiyama	富士山
hierocratic	僧侣统治制度
cavortings	轻浮行为
aggravation	加重
phenate	酚盐
ectomorphic	瘦型体质
unmixed	纯粹
sabah	沙巴
stitch	缝针
livetrap	用生擒陷阱活捉
sjd	Scientiae
jesuitical	阴险的
misbound	装订失当
mentality	心理
former	形成者
underpin	加强……的基础
bumpety	砰地
escap	Pacific
secko	性反常者
yardbird	囚犯
cool	无所顾虑的
sinaitic	西奈山的
branchiopod	鳃足动物
hebetude	愚蠢
salient	突出部分
satyr	性欲极强的男人
tetrachord	四度音阶
avoir	avoirdupois
gasdynamic	气体动力激光器
salvageable	可抢救的
babblingly	喋喋不休地
spongy	像海绵的
sumption	信以为真
mastering	控制
unholy	不合理
hypophyseal	=hypophysial
altaic	阿尔泰语的
concussion	震荡
encephalograph	脑照相术
thixotropic	具有触变作用的
epidote	绿帘石
dour	阴沉
blazing	闪耀的
tinworks	锡厂
euroclear	欧洲银行票据交换所
spectroscopy	波谱学
dopplerite	弹性沥青
silly	愚蠢的
skookum	极好
antiperiodic	抗周期性病的
hyperchromic	anaemia
accustomed	习惯的
ruler	标尺
thymocyte	胸腺细胞
unregretted	无人惋惜的
aquatic	水栖的
gab	饶舌
tenement	租房子
skimp	节约使用
legislatorship	立法委员或议员的身份或地位
redrill	再次条播上作再次条播
chorea	舞蹈病
minever	白鼬
nudie	裸体照片
areographer	说明火星形状的人
airwave	广播的频道
australioid	=Australoid
hierocratic	僧侣统治
becoming	合适的
unthinking	无思想
foreskin	包皮
interrupter	插嘴的人
bestead	裨益
myxoedema	黏液水肿
factionist	宗派主义者
byre	牛栏
incongruity	不适宜
thin	变细
farce	胡闹
feed	流入
elsewise	=otherwise
unexpanded	未被扩展
duodenal	十二指肠
bugologist	昆虫学家
richly	丰富地
andalusia	安大路西亚
tantalate	钽酸盐
earthnut	块根
irrepatriable	无法送还故国
sick	渴望
partygoer	社交聚会常客
decently	高雅地
flitty	同性恋的
varnish	掩饰
paleocrystic	长期冻结的
helispherical	在球体上成螺旋状缠绕
sharpy	=sharpie
oversoul	超灵
hypoploidy	染色体数目较少
avian	鸟
privation	缺乏
redolent	芬芳
azimuthal	方位角的
postrider	驿传者
menstruum	溶媒
nasty	肮脏的
upright	合乎正道
nematology	线虫学
synovial	滑液的
ephebeion	体操场
overstorage	贮藏过多
embolic	栓子的
mirabilite	芒硝
glazier	装玻璃工人
wandering	漫游的
resolve	决心
humanist	人道主义者
sonicate	声波降解标本
rubstone	砥石
foudroyant	使人眼花缭乱
backbencher	后座议员
superscript	上标
surpass	胜过
garrison	卫戍
caird	游民
webbing	带子
unsicker	不可信赖
chewy	不易嚼碎的
photojournalism	摄影新闻工作
otherwise	另外
substitute	替代品
leishmaniosis	利什曼病
hedonics	享乐论
filariae	丝虫属
isolator	绝缘体
downcast	向下看
imitate	仿制
psychrophilic	喜爱寒带地方
indexed	编入索引
joint	使有接头
reconciliatory	一致
athermanous	不传幅射热的
renerve	恢复勇气
predate	提早日期
enneahedral	九面的
dominical	主的
pet	宠爱
motherfucking	混帐
mauritania	毛利塔尼亚
skin	外壳
calcicolous	生长于钙质土壤
thioalcohol	=thiol
controversy	论争
used	旧的
naughty	不听话
unction	虚情假意
biomathcmatics	生物数学
suppletive	替补的
endbrain	终脑
bahamian	巴哈马
naupliiform	甲壳动物无节幼体形的
sulcus	回间沟
rhythmical	节奏的
yesterevening	昨夜
dichotomize	对分
waste	多余
bentonite	斑脱土
thalassic	内海的
fluorocarbon	碳氟化合物
by	在旁边
tenebrosity	黑暗
landworker	农场工人
twister	难题
dicky	恶劣
attestant	证明
ascending	上升
clement	仁慈
feldberg	菲尔德山
inverse	倒转
utilitarian	功利主义
frailish	不太坚固的
scoundrelism	无赖
pyretic	引起发烧的
hoistway	起卸口
incorporeal	无形体的
cyperaceous	莎草科
riffleman	淘金工人
noaa	Oceanic
statutory	法定
sclav	斯拉夫人
tepid	不太热烈的
conventionalise	膎ventionalize
blustering	狂风大作
outback	在内地
clockwork	时钟机构
ceeb	大学入学考试委员会
monovalent	单价的
dervish	伊斯兰教的托钵僧
inhomogenous	杂拼
gluttonous	饕餮
coon	黑人
transmit	转送
francophobe	反法国
superficially	浅薄地
robe	罩衣
melancholious	=melancholic
befitting	适当的
consider	认为
tough	强壮的
elusive	易忘
fuel	得到燃料
condolent	哀悼的
after	在……之后
scepter	笏
initial	最初的
jewry	犹太人区
pensionary	领养老金的人
tagboard	运货标签纸
depraved	堕落的
amyloid	含淀粉
censorable	可诟病的
tpi	Institute城市规划学会
dwarfism	矮小
detailed	详细的
phycomycete	藻菌类的植物
monstrous	怪异
unselective	不加区别
metaphorical	比喻性的
neaten	整顿
zeroth	零的
marmot	旱獭
fluid	流动
pop	射击
lowboy	短脚衣橱
exiled	流亡
matrimony	结婚
italicize	在字下划横线
beezer	鼻子
gally	吓唬
mufti	便服
primus	第一
inorganizable	缺乏组织
evidential	可作证据
faithful	详确的
spun	纺成的
rsj	Steel
chop	突变
righten	整顿
diphenylacetypene	二苯乙炔
warhead	弹头
uniface	仅一面有图案
square	公平
healing	有治疗功用的
lifelike	逼真的
villainous	恶棍的
ppt	per
libidinous	性欲的
ratchet	棘齿
entoptic	内视
crop	短发
subsea	在海底
slummock	瞎扯
limitless	无限的
jolley	辘轳车
simulant	模拟
detoxify	使解毒
howff	住宅
miscellany	杂录
shellcracker	=redear
casebearer	鞘蛾幼虫
vichyite	维希政府
subform	从属形式
esthonian	爱沙尼亚人
anatomise	解析
acerbating	使烦恼
edging	缘饰
austerity	严厉
zombie	生性怪癖的人
haustrum	袋
gambly	碰运气
federally	联邦地
canting	貌似虔诚
omnipotence	无限威力
univocal	单一意思
oogonium	卵原细胞
wgmc	West
ass	笨人
cowl	蒙头斗篷
rich	富有
sediment	沉积
ungulate	蹄状
pistillate	有雌蕊的
namable	著名
virginal	处女的
phonographic	速记的
minacious	威吓
chaparejos	皮裤
overaggressive	过于积极进取的
microvillus	指状突
exceeding	胜过的
agricultural	农业
suffering	受苦的
mitigation	缓解
dll	Link
primus	第一的
wraac	Royal
subjunctive	虚拟语气
triphibian	三栖飞机
offscourings	污物
ironize	冷嘲
nameless	不知名的
outspread	伸开
verily	忠实
pleiotropy	多向性
zygosporic	接合孢子的
housewife	针线盒
lectionary	选文集
sexennial	每六年
witch	施巫术
monopodial	单轴
farthest	最大程度
michaelmas	米迦勒节
fleecy	蓬松的
pretreatment	预处理期间的
pasticheur	混成作品作者
excitation	激动
spatter	滴落
dispirited	沮丧
hypo	刺激
hydrate	氢氧化物
offset	偏移量
blissful	有福的
anybody	任何人
fleming	佛兰芒人
mosso	活跃
constantan	一种铜与镍的合金
rodent	嚼的
griddle	筛
humorless	一本正经
latch	闭锁
semideaf	不完全聋
hollandia	霍兰迪亚(印度尼西亚东部港市查亚普拉
enneastyle	前面有九柱的
detrusive	推出
dentil	齿状装饰
various	不同的
detergency	洗净
scowl	怒容
photoproduction	光生
rsc	Shakespeare
topnotch	第一流的
misname	叫错……名字
desolate	荒凉
bedplate	台板
royal	高贵的
latterly	最近地
memomotion	延时摄影
nobody	任何人
inconscious	无意识的
outstrip	超过
lotiform	莲花形
orator	雄辩家
tercet	三行押韵诗句
laundry	洗衣店
afternoon	晚期
gonadotrophin	=gonadotropin
lexigraphic	词素文字的
titicaca	Lake
duffel	露营用具
sequitur	推理
thermal	热
sanguine	血染
fullface	正面像
spdos	金山汉字系统
mummer	哑剧演员
wctu	Union基督教妇女禁酒联合会
diestrum	=dioestrum
theoretically	理论上
korean	韩国人的
hock	典当
thistledown	蓟花的冠毛
covert	隐蔽
odic	颂诗的
uses	Service
cusso	苦苏花
entertaining	有趣
solubility	溶性
zariba	=zareba
tussal	与咳嗽有关的
voluminously	很多地
fainaigue	规避责任
hamstring	切断腿筋使成跛腿
vulgus	拉丁文或希腊文的作诗作业
typhlosis	盲
tgv	里昂间高速火车
reverential	可敬的
matin	晨祷
doa	arrival
kook	疯子
violence	强暴
paper	考卷
pithily	简洁地
unsegregated	没有种族隔离
fortuitous	幸运的
paperful	一纸包的量
nill	不想
spadices	spadix
peptic	胃蛋白酶的
brooky	多溪流
awash	被浪冲打的
prelicense	发放执照前
caplet	囊片
faddish	风行的
lectureship	讲师的职位
timing	调速
dtp	desktop
fiend	魔王
animate	鼓舞
isograph	求根仪
shh	show
abscondee	潜逃者
chinkerinchee	球根植物
jackpudding	丑角
applique	缝花
lullaby	催眠曲
overdose	配药过量
slow	缓慢的
vend	贩卖
dps	second
substratum	下层土壤地基
louisianian	路易斯安那州的
harvest	结果
curvaceous	曲线美的
transitional	变迁
taxing	费力的
remonstrative	忠告的
hyperpnoea	呼吸过度
monstrous	巨大
mystification	神秘化
crepuscular	微光的
blacksnake	虎蛇
therapy	治疗
ejaculatorium	排精室
etruscan	伊特鲁里亚的
fattest	丰满
provincial	省的
vertu	爱好古董者
bureaucratese	官腔十足的文体
tactless	不老练
redesign	新设计
whereto	去何处
sanctorium	圣祠
darkroom	暗房
flsa	Standards
knut	花花公子
coquetry	玩弄男人
feeling	有感觉的
kaifeng	开封
onboard	随车携带的
monte	始于西班牙的纸牌赌博游戏
genal	颊
reascend	再上升
dexter	右侧
tumbril	施肥车
chilly	寒冷
castigatory	斥责的
stargazer	天文学家
show	表示
dilettantism	浅涉文艺
stotinka	斯托丁卡
ichthyomorphic	鱼所特有的
shoring	支柱
nubian	努比亚人的
condole	慰问
nervily	强壮地
unrepealed	未被撤销
incorporeal	无实体的
hampshire	汉普郡
mousey	多鼠
proof	校样
queenly	威严的
easting	东行航程
redeployment	调换
elegy	挽歌
lambrequin	装饰用的垂纬
roc	Operational
galbraithian	加尔布雷思的
