traveling	滑动
awash	与水面齐平的
orometer	山地气压表
soulful	高尚
meditate	考虑
tartarize	用酒石处理
magnetooptical	磁光
cheater	欺诈者
consummately	至上
fissirostral	有裂喙
baldly	坦率地
drum	鼓声
calculous	结石
amain	全力地
nyt	York
cinerary	骨灰
morellian	莫雷利批评法
adamancy	固执
epizoic	体外寄生的
confrontment	=confrontation
spiky	长而尖
buzzard	贪婪的人
quadratic	二次的
elisabethville	伊利沙伯维尔(扎伊尔东南部城市卢本巴希
prodigiouss	很大
biochrome	生物色素
stupidly	愚蠢
frills	臭架子
unearned	不劳而获
baptist	浸信会教友
bivalve	双壳类
noncontradiction	没有矛盾
antiphonal	交互轮唱
quadrate	方形
transigent	自愿和解的人
miee	Institution
brutal	兽性的
lampyrid	萤科昆虫
saanen	萨能奶山羊
excubitorium	值夜人的房间
sprinkle	洒
bacteriostatic	细菌抑Ik/
stop	断绝
enactive	有制定权的
indisposition	嫌恶
profligate	放荡
predepression	经济萧条前
throughither	=throughother
roydon	英国伦敦附近一地名
strict	精确的
overset	为……排版过密
jot	略记
umpty	若干
bipedal	两足动物的
rio	可重用信息对象
exultingly	意
painful	疼痛的
stamford	斯坦福德
metazoal	=metazoan
linn	瀑布
sulphatase	硫酸酯酶
saturant	饱和剂
regraft	再接枝于
hawk	鹰派成员
sully	玷污
untalented	没有天赋
phosphatide	磷脂
asturian	阿斯图里亚斯人
ajar	微开
snathe	大镰刀的柄
bpi	字节/英寸
passionate	充满热情
snippet	片断
axiom	公理
schistous	片岩状
concede	让步
faggy	同性恋
ballonet	升降气袋
gulf	漩涡
metacarpus	掌部
malacophyllous	柔叶
segetal	在谷类田间生长
crayfish	退缩者
sidesplitting	令人捧腹大笑的
excoriate	批判
faecal	排泄物
amerceable	应罚款的
exegesis	解释
unconquered	未克服的
soporific	想睡
haematological	血液病学的
codepage	代码页
ancestral	祖先
factum	事实陈述书
lipotropin	促脂素
implacable	不安静
anagrammatism	字谜游戏
quotidian	每日
reflectivity	反射率
intelligencer	情报员
sibiric	西伯利亚各族人民的
life	生命力
sellout	客满的演出
favorable	有利的
mysterioso	神秘的
goldbrick	赝品
tripinnated	三回羽状
saucepot	炖锅
clergyman	教士
asbestosis	石棉沉滞症
unaccommodating	不与人方便
neomycin	新霉素
manipulatory	=manipulative
falderal	胡说八道
coincidental	一致的
hypognathous	下口式
worth	值的看中
recapitulate	概括
whimsical	反复无常的
vestalia	女灶神维斯太节
still	静止
inauguration	就职典礼
sinological	中国学
cautelous	警觉的
modus	方法
enharmonic	等音
newscaster	新闻评论广播员
quivery	颤抖
cryptopine	隐品碱
virulent	刻毒的
graveclothes	尸衣
manure	肥料
substruction	基础
socialistically	社会主义
parenteral	非肠道
girlhood	少女时代
favoritism	偏爱
aerarium	古罗马的国库
pigmentation	色素沉着
coaly	多煤
premalignant	恶化前
shyly	害羞地
resuscitation	复生
unimpressive	无印象
hep	熟知
scratch	乱写
midnight	午夜
kook	愚蠢的
affectation	虚饰
kitchenware	厨房用具
constructive	建设性的
wreath	花冠
unperceptive	无感觉
kismet	命运
hlf	and
toreutic	金属浮雕的
systole	心脏收缩
rictal	露齿裂嘴
enthralling	迷人
genitourinary	泌尿生殖器
jazz	使活泼
orthographic	正字法的
illusage	不公平待遇
fudge	胡话
abscess	脓肿
corba	Common
usis	Information
vdr	Disk
limp	跛行
clever	聪明的
seminal	精液
derisively	嘲笑地
ole	Object
outpouring	流出
inspirer	鼓舞人心
zein	玉米蛋白
hairball	毛团
hostility	对抗
teleconverter	望远倍率镜
sweetening	甜的调味料
basal	基本
superactinide	超锕系元素
charnel	藏骸所
concise	简明的
caudate	有尾
revolting	令人厌恶
phytopaleontology	植物化石学
storywriter	故事作者
contrived	人为的
sess	税
sugarhouse	制糖场
kerchiefed	围着头巾
notate	写成记号
variform	形状不同的
curacy	副牧师的职务
tetracid	四酸
unpleasing	讨厌
repulse	排斥
blundering	易犯错的
cephalometric	头部测量学的
joggle	啮合扣
faciocervical	面部与颈
modifier	修饰成分
pekin	北京
definite	一定
skiagraphy	光照像术
humankind	人类
herborize	采集药草
hypoxaemia	血氧过少
asu	American
bedarken	使完全黑暗
uml	Modeling
biology	生物学
redivious	再现
histotomy	组织切片术
nira	Recovery
owl	的类库
tiptop	黄金时代
inexistent	不存在的
nadge	北大西洋公约组织地面防空系统
forehanded	节约
moonlight	月光的
dogmatic	教条
edwardian	爱德华七世时代
appeasable	平息得了的
disciplinarian	训练者
generator	发生器
rennet	牛犊胃内膜
vacancy	空缺
kewpie	丘比特仙童
or	还是
neddy	马
hydatid	包虫
tactful	体
roofed	有屋顶的
universally	到处
unentertained	未被逗乐
rivalize	对抗
sourcebook	资料读物
french	法国
co	现付票
francium	钫
stouthearted	刚毅的
stitch	缝合
tension	拉紧
autarch	专制者
finned	有鳍状物
particulate	微粒
territorial	领土的
sarcomatosis	肉瘤病
sextuple	六重
anhydrous	无水的
cloud	以云遮敝
carlism	拥护卡洛斯争取西班牙王位者
reformable	可改革
scratch	挖出
backswing	棍棒挥出前的准备姿态
aquarian	宝瓶座时代的
unenvious	无恶意
economist	经济家
detainer	挽留者
beaverboard	纤维板
hyperacid	酸过多
irremediable	不能挽回的
checkerberry	平铺白珠果
antidrug	反对服用麻醉品的
decrepitude	衰老
recite	叙述
unanswerable	没有责任的
orientalia	东方史料
imitate	仿效
corruptive	腐败性
unload	退子弹
solifluxion	泥流作用
scut	短尾
ostensive	清晰显示
gasconade	吹牛
reginal	像女王
lyrical	抒情诗调的
swoop	突然下降
scurvy	卑鄙
autography	笔迹
mirage	妄想
bloodiness	血腥
pfd	personal
flock	聚结
bitterly	苦苦
bioresmethrin	=resmethrin
pierage	停泊费
collimation	瞄准
unsolicitous	未悬念
philosophy	冷静
mean	吝啬的
oso	Orbiting
crave	恳求
alcmene	阿尔克墨涅
greenhouse	温室
abeokuta	阿贝奥库塔
triseptate	具三隔膜的
barrator	买卖圣职或官位者
dlitt	of
magnific	庄严的
whistle	鸣汽笛
sulphurous	含有硫磺的
lathy	板条似
filial	当做子女
accepted	公认
thereby	在那附近
sylvatic	栖息于森林
mumble	闭嘴细嚼
mythical	神话的
fine	很好
falchion	刀
alonso	阿朗索
minipig	小种猪
ceruloplasmin	血浆铜蓝蛋白
blatancy	喧哗
entente	协约
absorptivity	吸收率
waveringly	犹豫地
polyhedra	的复数
bidet	下身盆
fian	band
evidence	显著
threnode	哀歌
substratum	底土
quotidian	每日发作
torino	托里诺
endogastric	位于腹中的
lipsticky	搽满口红的
gandhiite	甘
unfleshly	非肉体的
herodian	希律王室
kymography	记波法
process	步骤
expostulatory	忠告的
subminiaturize	使微型化
liquid	透明
remit	移交的事物
annihilable	可消灭的
robotomorphic	机械的
unable	不能的
lubricious	光滑
perceivably	可察觉
ruttish	发情中
seti	对外星智能的探索
flexibly	易曲
septennate	七年期
milchig	乳制品
washer	洗衣机
agronome	=agronomist
marathonian	马拉松人
swiveleye	斜视眼
local	当地居民
inconceivably	不可思议地
soper	=sopor
primordial	原始
midst	中间
transcendency	超凡
vtc	Volume
hoydenish	淘气的
perseverant	能坚持的
calcic	钙的
principate	元首统治
ajaccio	阿雅克修
prealtar	祭坛前
bipropellant	二元推进剂
solyanka	色尔扬可汤
codeine	用以镇痛
nonpartizan	无党无派的
distributor	发行人
magnetise	=magnetize
hyperaphia	触觉过敏
supportless	无支撑
vertical	顶点
pneumatic	灵魂的
advocation	拥护
tetramethyl	四甲基
broiling	炽热
bacchic	喧闹的
molucan	摩鹿加人的
passthrough	机器转移归向
strict	严格
state	国有的
outflung	扔出的
practic	=practical
uprootal	根除
beguilement	散心
ingratiatory	逢迎的
rush	使冲
tensive	张力
electroengineering	电气工程
fogbank	雾峰
unclassified	无类别
motherhood	母亲们
venom	恶意
defend	防卫
cha	茶
cockamamie	假的
shark	专家
laptev	拉普帖夫海
biradial	双重对称
ivr	Response
smtp	Transfer
circumstantiate	证明
fiber	光纤
measly	患麻疹
rap	敲
laxativeness	轻度腹泻
variedly	各种各样地
affray	吵架
choush	军曹
imperishable	不灭的
declamatory	演说口吻
warrant	使有正当理由
aristarchy	由贤能者治理国事
venturi	文氏管
subfloor	底层地板
optimal	最理想的
backpedal	倒踏脚踏板
industrially	企业地
fairly	正当
capricornus	摩羯宫
unconditional	无条件的
packhorse	驮马
godmother	名义上母亲
divided	分开
crabbed	易怒
unfermented	没有发过酵
consumable	可消费的
prism	棱柱
basketwork	编织物
valise	小提箱
unmilked	未挤奶
ileal	=ileac
engorge	狼吞虎咽
immunoadsorbent	免疫吸附剂
megawatt	兆瓦特
preceding	在前
unreligious	世俗
indonesian	印度尼西亚
featherlight	轻如羽毛
atypical	非典型的
unhasty	从容
antinational	反国家
indivisible	不能分割的
unpledged	未许诺的
untasted	未被尝过
inofficial	非官方
boychik	小伙子
bhl	希伯来文学学士
catarrhine	狭鼻猿
hircine	山羊般气味
monarchical	国王
bistable	双稳
celery	芹菜
snailfish	狮子鱼
tumular	古坟的
merchandizer	商人
peccavi	忏悔
retrovert	使后屈
shinplaster	纸币
clypeus	大圆盾
doubleheader	双车头火车
shoal	群集
stillborn	生下来已死
irritating	使愤怒的
unhidden	不掩盖
gest	武功
paterfamilias	家长
federate	联合的
greave	护胫甲
depose	免职
surfcaster	激浪投钓者
raven	乌黑
imputation	罪名
tetrabranchiate	四鳃
slavophil	亲斯拉夫人者
feller	伐木机
ringent	张开
flop	跳动
embroider	给……添油加醋
dunk	泡
liceity	合法
bimetallist	复本位制论者
privation	穷困
eulalie	尤拉莉亚
touch	触觉
ruefulness	悲伤
coxa	无名骨
backroad	乡村道路
molto	非常
dls	Doctor
endbrain	端脑
comusmacv	States
tache	环节
areologically	火星科学研究
clinquant	金光闪闪
prosit	恭喜
trirectangular	三直角的
inebriation	醉
susannah	苏珊娜
opiniative	=opinionative
uplifted	上升的
english	英国人
pennywort	止血草的一种
unwooded	无树木
unselfish	无欲
cymbalo	洋琴
divisibility	整除性
seamark	满潮水位线
longer	比较久
forepassed	既往的
housebound	不能离家的
caecal	盲肠的
bodily	亲自
consonance	一致
diluent	冲淡的
juglandaceous	与胡桃科有关的
bovine	似牛的
matricentred	以母亲为中心
rotamer	旋转异构体
unthoughtful	考虑不周的
hostility	敌对
underdo	不尽全力做
exchangeable	可兑交的
quietistic	寂静主义
ample	丰富
engagement	接站
gendarme	宪兵
beseeching	恳求似
fuliginous	煤烟的
tetchy	易暴怒的
rupicolous	居住在岩石丛中
imperturbable	沉着
disadvantage	不利条件
vacuolate	空泡的
idiomaticity	习语表达习惯
sideward	侧面
octachord	八的合音
desaturate	使增加褪彰
undigested	未经消化
unfoiled	未受阻的
command	指挥
garrulous	饶舌的
cunt	性交
uninspected	未经检查
zambomba	桑梆巴
hydroxy	氢氧根的
franchise	公民权
ductile	易延展
like	象
babassu	一种巴西棕榈树
brainwave	灵机
nccj	全国基督教徒和犹太教徒联合会
glycocoll	胶糖
beastie	动物
unfleshly	精神
presentence	判决前
disgrunt	怨恨地说
interbedded	夹层之间
mortal	必死的
period	周期
thinness	细
kineticist	动态艺术家
mitt	棒球手套
sedate	稳重的
upbear	支承
tridentine	特伦托主教会议的
gsp	Generalized
eaglewood	沉香属植物
acrimoniously	毒辣地
mora	短音节
pleasure	乐趣
speediness	快速
halaphone	哈勒风
failure	破产
abrazo	拥抱
praedial	不动产的
exoteric	普通的
doeskin	母鹿皮
snowcraft	冰雪知识
begob	=begad
vmd	Veterinariae
foci	配光
super	特大
horizontal	平线
johannesburg	约翰内斯堡
perissodactylate	奇蹄目
tschermakite	钙镁闪石
feign	装作
dysteleological	生活或自然之漫无目标的
audiovisual	视听的
cathexis	全神贯注
tribasic	三盐基
lira	里拉
redder	red比较级
sportfish	供垂钓者钓着玩的鱼
latinesque	有拉丁特色
hardtop	有金属顶盖
coadjutress	女助手
crush	碾碎
agential	代理商的
arrogation	霸占
sodamide	=sodium
cephalous	有头的
worked	处理过
deface	使失面子
regular	整齐的
hashish	以印度大麻提炼的麻药
autocorrect	自动更正
noncellular	非细胞的
peroxide	过氧化物
varicocelectomy	曲张精索静脉切除术
crankily	任性地
buckler	小圆盾
paleocrystic	由古结晶冰组成的
gcse	of
gig	乘轻便双轮马车
flattop	平顶的屋子
article	条款
ceratin	"角膜"
segregative	分离的
disarrangement	扰乱
heresy	异端
orrery	太阳系仪
yankeefied	美国式
anthropophobia	怕与人为伍症
willowy	多柳树的
trend	倾向
boomlet	小景气
tartarean	阴间的
flavourful	味浓
chirpy	活泼
pertinent	相干的
septennial	七年一次
whipper	鞭打者
average	卖出
anaclisis	依赖别人之心理
heretofore	此时以前
unsound	谬误的
scurfy	满是头屑的
copperworm	疥癣虫
behave	举动
envoy	特使
jackleg	没成熟的
kinemometer	感应式转速表
pondok	茅棚
erumpent	突然现出的
cockshut	黄昏
semiclosure	半关闭
caustic	腐蚀性
successional	接连的
entoil	使入圈套
mislike	厌恶
lull	暂停
befallen	降临
rostella	rostellum
recline	放置
zooming	快速上升
eudora	由Qualcomm公司出品
caseous	干酪似
counseling	咨询服务
verve	气魄
rotundity	球状
uh	上半部分
trailing	蔓延
broadish	稍宽阔
aerogram	无线电报
eds	Dialect
solebar	车架纵梁
metamorphic	变质的
rim	沿……边缘滚动
chasmal	深陷的
regally	象帝王
triangularly	成三角形地
suprathermal	具有的能量超过热激发能量的
nasa	国家航空和宇宙航行局
unenvious	无恶意的
symbolic	符号
dorr	=dor
vop	policy
incautious	不谨慎的
solidary	休戚相关
unfavourably	不利
sieur	阁下
tripolite	硅藻土
discotheque	迪斯科舞厅
geckotian	壁虎类的
diversion	转换
lull	哄骗
colourcast	广播彩色节目
grubstake	衣服
dilettantist	=dilettantish
instanter	即刻
palpi	palpus的复数
buyable	可买的
hiphuggers	裤腰低及臀部的紧身长裤
hick	反应迟钝的人
smutch	弄脏
footling	愚昧的
sforzando	加强的
euphausiid	磷虾目浮游甲壳动物
flagboat	旗艇
biconvex	两面凸的
briefly	暂时地
frigidly	呆板
unintelligible	莫明其妙的
fine	纯粹
ibizan	伊维萨猎犬
cool	使冷
leasehold	租赁
geometrically	几何学上
epoophoron	卵巢冠
perishingly	厉害
in	智能网络
fishworm	蚯蚓
attention	关注
draggletail	拖着不整洁之长裙的女子
voyeur	偷看下流场面的人
gratulatory	祝贺的
experimentalism	经验主义//lIst/
shoreless	没有支撑的
aeroplankton	空气浮游生物
nutrition	营养学
incontestably	无讨论余
canaliculated	有小沟
fertilizability	可受精
possess	持有
anzam	澳新马
precinct	区域
orthoclastic	有彼此直交的解理面的
reflected	反射的
fibrinopurulent	纤维素性及脓性的
vermiculation	蠕动
traipse	在……游荡
quadruply	四重
jacobin	雅各宾派及其政策
diabolical	恶魔
poroplastic	多孔柔韧的
scholastic	学者
metric	米制
consummative	使完婚的
wuzzy	=woozy
reactively	反应性
unrope	把捆绑……的绳解掉
immolation	宰杀
furriner	=foreigner
style	使铁笔作装饰画
poundage	手续费
festive	庆祝
minty	有薄荷味
huntite	碳酸钙镁石
sprat	鲱鱼属的小鱼
crisis	危险期
distractingly	发狂似的
shoeless	未钉蹄铁的
prosody	作诗法
stowaway	偷渡者
snide	卑鄙的
sphenogram	楔状文字
fluvioglacial	冰水生成的
roughtailed	尾巴粗糙的
recast	重铸物
russianist	俄国语言文学研究者
failure	故障
radiotelemetry	生物遥测学
lotiform	莲花形的
unmarried	未婚的
littery	杂乱的
tackle	应付
ligamental	韧带的
tumular	如坟墩的
intercession	调解
vietnamese	越南
quantometer	光谱分析仪
oligophagous	狭食性
cannibalize	吃同类的肉
ctd	贸易发展局
abdomen	腹部
slam	砰
thickset	密植
sickly	疾病流行
ecodoomster	生态毁灭预言家
prettyish	可爱
spiflicate	使沮丧
nobly	高贵
reassess	再课税
katabasis	大败退
geigers	放射性分子
thallous	铊
dolly	捣棒
heads	正面朝上的
kanaima	专事报复的恶鬼
hyperactivity	极度活跃
ceremonious	讲究仪式
reallocate	再分配
dumpishly	愚笨地
waster	浪子
tea	茶
roseate	容光焕发
pasturable	适于作牧场的
aeronautics	航空术
emendatory	修正的
evidential	提供证据
injunctive	命令的
calligrapher	书法家
fenestral	小孔的
ocotillo	蔓仙人掌
blunderbuss	轻率的人
servohead	伺服磁头
ricketic	佝偻病
suggestible	容易受暗示影响的
crossband	装饰薄木板
naboth	拿伯
hiplength	长至臀部的
assimilation	同化作用
dormer	天窗
loiasis	=loaiasis
tollie	=tolly
chanterelle	一种食用的蘑菇
usafe	States
downtonian	当顿的
cacorhythmic	节奏不和谐
bivinyl	丁二烯
kiwanian	基瓦尼俱乐部
essay	短文
largando	渐慢和渐强
nymphet	早熟女孩
inviolable	不可侵犯的
knockabout	喧闹
vaunting	傲慢的
dpi	per
crispy	精神爽快
piggyback	骑在背肩上
gherkin	腌食用小黄瓜
dankly	潮湿地
hulled	有壳的
acculturate	适应文化
leporine	似野兔
tripodic	用三脚的
hottish	尚热的
certain	必然的
reminiscential	=reminiscent
paleography	古文书
scourer	洗擦者
incontinence	失禁
illuminant	光源
sprinkle	喷撒
frisk	蹦跳
unvitiated	未被污染的
vietnamese	越南的
lsat	Law
anticolonial	反殖民主义的
syndicalism	职能政府论
radioactive	放射性
disconfirm	驳斥
pullulate	发芽
shave	刮脸
deterrence	挽留的事物
interlock	互锁
litotes	反语法
pvt	pressure
digitate	有趾的
tonsorial	理发
freshperson	大学一年级生
airt	方位
multipliable	可增加
dysprosium	元素符号Dy
handle	操作
respective	各自的
trimonthly	每三个月一次的
survivance	=survival
frse	Royal
sphagna	水苔属
rougeot	葡萄藤红叶病
fibrinopurulent	纤维素性及脓性
spaceworthy	具有太空耐航力的
flatten	使平
auxiliary	辅助
orangery	橘子的温室
compadre	伙伴
chebec	flycatcher
pioupiou	法国兵
suspensible	可中止
semiyearly	半年刊
spandy	漂亮
pigeonhole	文件架
defer	延期
leaflike	成薄片
interfacial	面间
thresher	打谷者
hamiticize	使含族化
correlation	相互关系
pourable	流动通畅
udag	城市发展行动拨款
nihility	虚无
festoonery	彩饰
possible	可能
henotic	有相同倾向
thermoplastic	热塑性塑料
stagnate	变萧条
dungy	满地是粪
irreparability	不可恢复
official	正式
oomingmack	ox
inherent	内在的
vibracula	vibraculum
opportunist	投机取巧者
smarmy	爱说奉承话
hex	巫婆
anticlerical	反对教权的
mts	Target
visually	在视觉上
bhl	Hebrew
oreo	"白心"黑人
chief	主要
interpenetration	互相贯通
intrench	用壕沟围绕
ambidexter	怀二心的
gossamer	小蜘蛛网
stript	的过去式和过去分词
eleemosynary	施舍
opponent	对立的
solaceful	带来安慰的
katzenjammer	喧闹
dardan	特洛伊
comusmacv	United
yoicks	催赶猎犬的声音
stitch	针脚
cno	Chief
barbarous	野蛮
apostate	脱党的
superintend	监督
permissibly	获准地
solicitor	法律顾问
lucille	露西尔
mendacity	撒谎癖
cirrose	有触毛的
milieu	环境
obelisk	方尖石塔
fudge	蒙混
lax	松
una	Association
brumous	冬天
effulgence	灿烂
acromegaly	肢端肥大症
recognise	识别
sunblasted	太阳晒枯
haggard	形容枯槁
remorseless	不知过错的
roar	滚动
levamisole	左咪唑
angina	绞痛
beesting	蜂螫的肿块
attired	用鹿角装饰
alien	外国
nafud	内夫得沙漠
modifiable	可更改
conformable	适合
force	魄力
converted	更换信仰的
flint	打火石
indiscretionary	轻率
vega	织女星
scratchback	搔背用的小扒子
plastogamy	=plasmogamy
senatus	academicus
geocentrism	地球中心说
amphipathic	两性分子
consentience	同意
crambe	海甘蓝
wahine	太太
screwy	扭曲的
psychotomimetic	重现精神病的
concessioner	受让人
thixotropic	触变
cosmological	宇宙论的
yeomen	仆人
suspensive	悬而不决的
logo	Logo教学语言
deck	覆盖物
kidderminster	Worcestershire
tilsit	太尔西特干酪
hamitic	哈姆的
poetical	诗的
radiomimetic	拟辐射的
dividual	分享
vertiginous	眩晕的
drunk	喝醉了
cysto	=cystoscopy
sudamina	痱子
thump	砰然地响
mentation	精神作用
hydatid	水泡
rap	Assisted
piligerous	具毛的
homefelt	舒适自在的
fenny	沼泽多
summons	传票
myob	own
appositive	同位格的
atypic	不合型的
unadvantageous	无助的
vitriolic	硫酸的
mahren	=Moravia
barrage	堰
undistinguished	听不清的
antemeridian	上午的
noncontrastive	非对比
fanum	臂巾
radioactivate	使带放射性
stump	烟头
trehala	虫茧蜜
flinty	燧石似
arachnoid	蛛网状
pursily	因有钱而傲慢的
ardeb	阿德布
successor	后续的事物
adas	Agricultural
forthgoer	先行者
western	有西方特征
reprieve	缓期执行
torrential	奔流
coadjacent	互相连接的
fondu	溶化奶油
medullated	有髓
exotic	奇异
annulose	有环
subluxation	半脱位
chartist	宪章派
divorcee	离婚者
vidual	寡妇
daffadilly	鲜黄色
numeroscope	数字记录器
roulette	点线机
listener	收听者
pki	Public
unimpressive	印象淡薄的
scotophilic	喜暗
parlay	连本带利地赌博
sensitive	感光
c	资本账
swim	漂浮
detectible	可发觉的
strychnin	士的宁
hullabaloo	吵闹声
halfway	中途的
faithful	守信
chervil	山萝卜
lick	鞭打
fogey	守旧者
unreasonable	过度
unstirred	没有被搅动
mannered	矫饰
proportional	比例的
xxi	21
afflated	来自灵感的
oratory	讲演术
dissipated	沉迷于酒色的
cultivable	可栽培的
thistly	有刺
corrugated	使起波状的
unaneled	未受临终涂油礼的
brownstone	赤褐色砂石建筑
fcic	Insurance
adjustor	调停者
heath	石南树丛
drawsheet	垫单
imap	Internet
flounder	困难地往前走
drabbet	本色斜纹亚麻布
equal	相等
desexualize	使无性能力
hymeneal	婚礼颂歌
acronichal	日落时发生的
sickly	惨淡
pathetic	悲惨的
cootie	虱子
forcible	强制的
sodom	罪恶之地
incessant	不停的
starter	起动钮
pushful	富有进取心的
entoil	陷害
kolsun	印度野犬
rabbin	犹太教教士
auscultator	听诊者
enterococcus	肠球菌
bahai	巴哈教的
computistical	经统计计算的
barococo	巴洛可可式的
emersonian	与爱默生有关的
peperoni	=pepperoni
talmud	犹太法典
hatful	一帽所装的量
hyacinthine	风信子
swinepox	猪痘
fecal	渣滓
sack	大袋
bacillin	杆菌素
counterpunch	反击
gag	使窒息
succussatory	摇动
hotly	热心
sirupy	象糖浆
fhwa	Federal
heteropolar	有极的
repolish	再磨光
unable	不会的
egotistical	自我本位
crepuscle	黄昏
sedimentation	沉淀
connotation	含蓄
parsec	秒差距
vop	as
tegular	瓦状
insecticide	杀虫剂
baudrate	波特率
mythological	神话
prolocutor	代言人
forestry	林产
unaptly	不适合地
incoherent	语无伦次
rpq	price
limonitic	褐铁矿的
endosternite	腹内骨
fit	准备好
bios	System
directional	方向的
entame	使不怕人
restis	绳状体
bpd	per
delineator	描写的人
micromodule	微型模块
telegraph	电报机
guisard	戴假面具的人
allonym	别人的名字
hunt	猎取
crepitation	劈拍声
vestige	丝毫
serpentarium	养蛇室
hydrometeorological	tjErE`lCdVIkEtjE`rClEdVI/
punk	低劣
singlestick	单剑
anonymity	匿名
smallshot	无足轻重的人
ribby	精疲力竭
batting	打击
chukchi	楚克其人
facetiae	滑稽文章
editorial	编辑上
jobmaster	马车或汽车的店主
extraordinarily	格外地
gasdynamic	laser气动激光器
jaded	厌倦
esb	脑的电刺激
convertibly	可交换
disappointment	失望
distractible	不专心
alchemize	使变化
geochronometry	地质年代测定
monologue	独白
emblematology	徽章学
spavined	跛
unridden	不受支配
bedraggled	全身泥污
pimping	微不足道的
hairtician	发式师
siamese	暹罗
hotfoot	火急地
mesh	相啮合
hyperemization	致充血
eutherian	真哺乳亚纲的
odontophorous	有舌突起
joggle	摇动
disheveled	凌乱的
intersubjective	主体间的
philanthropic	博爱的
rascal	无赖
porphyrize	把……粉碎
florilegium	群芳谱
contrivance	发明物
refresh	精力恢复
cainozoic	新生代
impossible	不可能
clamer	大声叫嚷
nice	精密
consistorial	红衣主教会议
tablier	围裙式装饰
bellmouthed	漏斗口的
synaptosome	突触体
quad	四方院子
acoustician	声学家
indigestibility	难消化
liquefacient	液化剂
depreciation	跌落
lover	情人
roupy	声音沙哑
woefully	可悲的
unfathomable	难解的
confute	驳倒
megapixel	兆象素
psychoneurotic	神经病
nonresistant	不抵抗的
unlicked	无礼貌的
advection	水平对流
ece	Europe
fosterer	养育者
handsew	用手缝
cumuli	堆积
ippf	Planned
galiot	带帆的小型两排桨船
chaussure	鞋类
scots	苏格兰人
daily	日常的
pyretic	引起发烧
alba	Fernando
physiognomy	地貌
obsessive	强迫性的
rockered	圆底
incident	事件
microencapsulate	把……装入微胶囊
abrase	擦去
monospecific	单一的
gleamingly	若隐若现地
facinorous	罪孽深重
detoxicant	麻药的
tmv	mosaic
defaulter	缺席者
unfading	可靠
henhearted	胆小
favorably	亲切地
inferior	次的
nefarious	邪恶的
recommission	把
foretooth	门牙
fore	以前的
ippf	Federation
rakish	放荡
autochory	自体散布
lousily	不洁地
yellowbird	黄鹂鸟
emplacement	炮位
idolatry	邪神崇拜
nonnatural	强迫的
prostitution	糟蹋
pellucidly	透明
filially	子女似
luxuriant	肥沃的
parabolic	比喻
unsuppressed	未镇压
nosogenetic	致病原因
cantlet	小段
yoghourt	酵母乳
lognormal	对数正态
monk	僧侣
megalecithal	多黄的
asi	i
bakelite	胶木
trainband	民兵队
rush	匆促
overrule	支配
parabombs	用集束炸弹袭击
maoist	毛主义
afferently	传入地
arrisways	斜地
dragoniye	龙般地守护
middlescent	中年期
corba	Request
private	私人
personae	persona
travertin	钙华
nonpartizan	超乎党派
netfs	全国教育电视片服务部
liftboy	电梯管理员
undetected	未被识破
pageant	盛会
compliable	屈从
suggestive	提示的
deweyite	杜威的门徒
hemotherapy	血疗法
sgml	Language
systematist	组织主义者
quintupling	五倍
closehanded	吝啬的
abreaction	发泄
dissimulation	装糊涂
thermomagnetic	热磁的
gertcha	去你的吧!
floppily	叭塌叭塌响地
call	访问
with	以
efflorescent	风化
facedown	直接对抗
obeah	该巫术所奉的物神
legit	合法的
thermoelement	热电偶
mysticism	神秘
state	状态
erring	错误的
irreality	虚构
alow	向下
uninvited	未经请求
sound	回响
retread	翻新
scrappy	爱打架
barbaric	肆无忌惮
msp	Message
oleiferous	产油的
cyclophosphamide	安道生
lms	Society伦敦数学学会
britannia	大不列颠
imminency	迫切
standardization	标准化
unmeasurable	不可测的
layette	婴儿的全套服装
sabayon	=zabaglione
bailiff	法警
brewing	酿造
pageant	游行
fire	射击
coenocytic	多核细胞的
adonai	上帝
vexillary	军旗
beetlehead	呆子
xebec	小型三桅船
devest	剥夺、褫夺
ozokerite	石蜡
serjeanty	=sergeanty
atypic	不定形
recrementitious	无用的
download	下传
nipponese	日本人的
regionally	域性
holmic	钬
resolvent	使分解的
thermos	热水瓶
tonight	今晚
grimly	可怕
chamberlaine	管家
atheistic	无神论的
scintillant	闪烁的
opposable	可反对的
voluminal	容积
autoregulatory	自动调整的
dependent	由……决定的
savable	可救的
statistic	统计学
gorge	咽喉
leaf	生叶
appoggiatura	装饰音之一种
spr	Society
spry	活泼的
machete	弯刀
bands	法官
meadowy	牧草地的
bloat	肿起
age	变老
counterviolence	反对暴力的暴力
xxi	罗马数字
our	我们
preface	开始
largess	贺礼
callback	回收
septate	被隔膜分开的
dry	口渴的
chalcedonic	石髓的
turdine	鸫
bromelia	凤梨科植物
fluctuant	起伏的
septennial	延续七年的
canonize	褒扬
unmeasurable	无法计量的
crosscurrent	相反的趋势
winder	会缠绕的植物
phlegmatical	粘液质的
legally	合法
rigid	严格
hyperaggressive	野心勃勃
consummate	圆满
panthelism	意志主义(尤指叔本华
renata	勒娜特
cringle	索圈
torii	鸟居
bijugate	有二对小叶
abnormality	畸形
shareable	可分摊
yearningly	同情
dytiscid	龙虱
flump	重落
absonant	不和谐
droppable	可以滴落
outfoot	超过
airfreight	空运
phylogenic	系统发生
