unknown	不知名的
babbittry	市侩作风
symptomatology	症候学
scree	满布石块的山
malpighian	马尔皮基的
scutch	以打麻机打
dogskin	狗皮
slack	马虎从事
unexpanded	未展开的
hyperpyretic	体温过高
rural	乡下
rhetorical	带修辞色彩
education	训练
cicatrize	愈合
whittle	切肉用大刀
exilic	流亡
geopolitics	地缘政治学
tabaret	塔巴勒绸
fortalice	外堡
snapper	咬人的狗
overbrim	溢出
crutch	支撑
fleckless	无斑点
sir	先生
isopterous	等翅目
aerohydroplane	水上飞机
subtle	敏感
moiety	一部分
wondrous	非常
wristlet	腕套
carlish	粗鲁
mgal	milligal
minuscule	极小的
swordbearer	护剑官
upstairs	向楼上
lancinating	象枪刺般的
nonrecurrent	不再发生
bathroom	浴室
laminar	薄片状
guerdon	奖赏
contrarily	反之
presswork	印刷
annex	并吞
skew	歪斜
apodictic	绝然
transcurrent	横贯的
gland	密封管
consubstantial	三五
consistent	调和
attend	专心
loimic	疫病
beedie	线扎手卷小烟卷儿
upend	倒放
locomotory	运动的
arrack	亚力酒
yacare	宽吻鳄
covert	在丈夫保护下的
middleware	中间设备
chronic	延续很长的
endorsee	被背书人
downsman	英国南部草原居民
inchoation	肇始
precocial	早熟性
floridly	浮华俗气地
cellarer	葡萄酒库管理者
stationary	固定的
staffage	画中的陪衬物
argentine	阿根廷
voyage	飞过
denationalise	=denationalize
polemologist	战争学家
wept	weep的过去式及过去分词
candela	小雪茄烟
ding	执拗地讲
crimped	有波纹
dissection	切开
icaaaa	America美国大学业余运动员协会
hypanthium	隐头花序
annihilator	歼灭者
doxographer	古希腊哲学家论述的编集者
forgat	forget的过去式
kenogenesis	=cenogenesis
undoable	不能做不了
inflictable	可科的
unrelenting	不屈不挠的
scurry	以轻快而交替的步子走动
sextipara	六产妇
plectrum	拨子
passionful	=passionate
translation	转换平移
tumultuary	混乱的
second	第二
trephination	环钻术
clerically	如牧师般
semihexagonal	半六角形
trochilus	柳莺
talky	多对话的
fyn	菲英岛
charm	魅力
paridigitate	每只脚上趾数相等
larmor	precession
ecogeographic	生态地理
unstable	不牢固
refutatory	反驳的
periodically	定时性
subversive	危险分子
peek	偷看
imp	装翅膀
cliffside	悬崖之边或面
defiant	挑战的
embodiment	体现
arthrotropic	向关节
embryotic	未发育好的
veni	conquered
grue	一粒薄浮冰
tolerable	可容忍
laryngoscopic	喉镜
sexboat	=sexpot
comb	蜂巢
cowish	胆小
mesh	圈套
waver	颤抖
amygdala	如扁桃体
adjoin	邻接
endorsement	认可
pbb	biphenyl
cocoa	可可豆
suit	合式
incompatible	性质相反的
callous	无情的
biquadratic	四次方程式
cock	头目
dashdotted'	NULL)
seropositive	血清反应阳性的
lipoidal	类似脂肪的
counterclaim	索赔
urbane	文雅的
ameerate	穆斯林国家的身份或阶层
sharkskin	鲨皮呢
steepled	尖塔状
barbaric	野蛮的
inequilaterally	不等边
benefic	行善的
chronogram	计时器所作的记录
baseburner	自动添煤之火炉
droppable	可以滴落的
eto	of
share	均分
soap	Access
concealment	隐藏
tritiated	用氚示踪的
exoatmospheric	外大气层的
stodge	贪吃的人
specify	列入清单
britishism	英国人的独特之处
enteralgia	肠痛
kayf	=cafe
neronian	尼禄似
fabricate	构成
sprat	小人物
fibroid	纤维性的
vixen	雌狐
allopathic	对抗疗法的
interrogative	质问
trainable	可训练
pndb	perceived
isobar	同重核
hartbeest	羚羊
coastwaiter	监管沿岸货运的海关人员
vortically	旋涡似
pricer	问价而不买的客人
duckbill	鸭嘴兽
mixing	混频
square	使成方形
decarburization	脱碳
tintinnabulation	铃响声
latten	薄金属片
circadian	生理节奏
overfull	过多
mother	母亲
flowerless	隐花的
wrangel	弗兰格尔岛
shivery	颤抖
abrade	折磨
valuableness	贵重
wifeless	无妻的
electroplating	电镀
crossbusing	互用校车接送另一区的儿童
survey	纵览
honorific	敬称
animosity	憎恶
enjail	把……关进监狱
zomba	松巴
namable	可命名的
temple	太阳穴
pastorally	田舍风光地
isoagglutinogen	同族凝集原
motorcycle	摩托车
mineralocorticoid	盐皮质激素
costae	肋脉
mana	超自然力量
croneyism	=cronyism
psittaceous	鹦鹉的
function	官能
cycadeoid	植物
slot	狭槽
truculence	野蛮
decagram	十克
tet	=teth
uppermost	首先
quantifiable	可以计量的
gom	Man
barricade	路障
etymologic	语源的
beamish	春风得意的
samel	未烧透
bastinade	棒
hexadecimal	十六进制的
relaxative	缓和的
clypeus	额板
futuramic	设计新颖
bta	Tourist
hamstring	腿窝
twisty	狡猾
proud	妄自尊大的
calamite	芦木
underperform	工作不如预期
breadthwise	横向
immigrant	移居的
acquired	已获
uplifted	举起
proportionately	相称
waiver	自动放弃
recidivous	有经常犯罪倾向的
thereout	由此
listen	收听
stridulatory	尖声鸣叫的
pinetum	松树园
wide	广大地
jupe	女裙
helpless	无能的
gumptious	精明的
irremovability	无法除去
phony	假冒者
wintry	冬天的
chooser	选举人
acerb	尖锐的
scotograph	盲人写字器
survivorship	生存
spinstry	纺织工作
quartus	第四
chasmal	似裂罅
imperence	冒失
curse	使受罪
constantly	坚持不懈地
ultrabasic	超基性
unitrust	单一信托
crotchety	想入非非的
manual	手动的
featured	作为号召物
thermometric	温度计
juglandaceous	与胡桃科有关
synodal	宗教会议的
labour	苦干
polystomatous	多口孔
redbird	红雀
gantlope	=gantelope
countdown	倒数计秒
bunglesome	拙劣的
unacquaintance	无知
prefocus	预先调节……的焦距
fried	喝醉了
relation	联系
transmural	透壁的
fatefully	决定性地
albuminuria	蛋白尿
conspirator	同谋者
funny	好笑的
revenge	复仇
ghostly	可怕的
bulgaria	保加利亚
multiped	多足动物
formulable	可公式化
interesting	引起好奇的
specialist	专门医师
cull	精选
privilege	给与……特权
endocast	颅腔模型
thrombokinase	凝血酶原激酶
drawly	拉长语调的
nonallergenic	不会引起过敏
unexaggerated	未渲染
pitch	倾斜
proffer	提供
authenticator	证明者
loco	发疯的
evidentiary	根据证据的
monotropy	单变性
point	瞄准
toluyl	甲苯甲酰
druidess	女祭司
available	可用到
buddhistical	佛教的
absent	缺席
chatty	饶舌
altaic	阿尔泰山的
interested	感兴趣的
pathetically	情绪上地
patter	滴答地响
afghani	阿富汗的
plummer	block
damnation	诅咒
proliferation	增殖
thomasine	托马森
boottree	靴楦
ostende	=Ostend
paperwhite	多花水仙
fog	烟雾
intermarry	近亲结婚
decimet	十个一组核粒子
insinuative	巧妙巴结
summarily	草率地
erring	做错事
rear	暴跳
coral	珊瑚虫
konakri	=Conakry
twit	嘲笑
excogitate	计划
boring	令人厌烦
syndactyly	并指
aciniform	多小核
monogamous	一雌一雄的
jag	刺
statuesque	轮廓清晰
depth	深奥
epact	闰余
chalcedony	玉髓
harshness	严肃
intrigue	用诡计取得
drinkable	可饮用
cannonry	大炮
titular	有资格的
optima	optimum的复数
unversed	无知的
hit	打
systemless	无体系的
jowl	颌
inaptitude	不适当
aerohydroplane	水上飞艇
toothache	牙痛
deck	修饰
polyandrous	一妻多夫的
elegantly	优致
quintic	五次
judgeship	法官的地位
superterrestrial	面上
parasitize	寄生于
noninterference	不干扰
guenon	长尾猴
estrogenic	雌激素
croupy	义膜性
pku	phenylketonuria
suboxide	低值氧化物
udometric	雨量计
lyrical	热情的
nymphalid	蛱蝶科动物
precipitate	使沉淀
godward	对神的
tricrotic	三波
paid	pay的过去式和过去分词
striolate	具细条纹的
cockeye	斜视
outright	完全
rheumatoid	风湿症
like	希望
plasma	等离子体
west	西的
dioecious	雌雄异体的
sad	忧愁
souse	腌制的食品
rhyme	使押韵
gummatous	似梅毒瘤的
foreface	前颜面
giddiness	轻率
hsaa	保健科学促进奖
stereopticon	立体感幻灯机
laminar	由薄片或层状体组成的
educible	可推断的
renovascular	肾血管的
clamp	夹子
volume	音量
enrobe	使穿衣袍
asi	s
senior	资格较老的
singular	单数
chirp	吱喳而鸣
rutilant	发亮的
downhearted	无精打采
instrumentally	有益
teth	希伯来语的第九个字母
lawman	警察
sillar	未固结熔灰岩
traffic	在……通行
capitalise	=capitalize
ivory	象牙
oversee	检查
concern	关心
dissection	解剖
bedraggled	湿透的
cuboid	立方体的
electroplate	电镀物品
sherif	穆罕默德的后裔
inbred	内在的
soaraway	进展神速
cautious	谨慎
ependymary	室管膜
sound	健康的
benthos	海底生物
vestibular	门厅的
roofed	有屋顶
orbit	生活常规
curmudgeonly	小气
outtrick	以诡计取胜于
parrotfish	鹦嘴鱼
hardy	辛苦
geewhillikins	=gee
hfs	File
chalk	粉笔
lunitidal	太阴潮
saving	保留
petaled	有花瓣的
windblown	风飘型
puritanical	清教徒的
vision	先见之明
saving	挽救的
diner	用餐者
specialization	专门化
rehearse	演习
inflect	变化词尾或变形
unsaid	未用语言表达出来
antitheism	无神论
cooly	苦力
tantalising	=tantalizing
overage	过老
shark	鲨鱼
responder	应答器
incoherent	不连贯的
struma	甲状腺肿
dalmane	盐酸氟胺安定
egoistical	自私自利
motivate	激发
rooklet	小秃鼻乌鸦
submerge	潜水
deimos	火卫二
worth	价值
topically	谈论
poolside	在游泳池边的
stably	坚固地
pippy	多种子
canvass	细查
cigs	Chief
logicality	逻辑性
inworks	发生在工厂内
sequin	作衣服饰物用之小金属片
anima	灵魂
stp	Twisted
rhexis	破裂
debenture	债券
lochial	产褥排泄
moderator	缓和剂
practicing	开业的
inhaul	卷帆索
dysfunction	功能紊乱
innocuously	无害地
quackish	胡吹的
septal	隔膜
jules	朱尔斯
havana	哈瓦那雪茄烟
spry	美国Spry在线服务公司
undertaken	undertaked的过去分词
aciniform	如成串葡萄状的
larkishly	嬉戏地
soupfin	shark
proprieter	社长
sceptical	怀疑论的
barefaced	不戴面具
febricide	止热
hypersonic	极超音速的
senora	夫人
obtrusively	莽撞地
uneducated	无知的
included	内藏的
smarty	自作聪明的人
fountful	多泉水的
autocar	汽车
floridness	脸色好
acupressure	针压法
misbeliever	信仰邪教者
galvanization	电镀
fairytale	童话式的
sottish	愚蠢的
prevalent	普遍的
sloughy	泥沼的
papalism	教皇皇权至上主义
bedsonia	衣原体属微生物
grievance	委屈
anthophilous	虫媒的
haemagglutinate	使袸`neIFEn/
apogean	远地点的
innuendo	旁敲侧击地表达
pusley	=purslane
acropetal	向顶的
aforehand	事先地
piezometric	量压的
morigeration	奉承
wottest	=wost
arbitrative	有权仲裁
upstretched	向上伸出的
dicta	权威的断言
emphasis	强调
aldan	阿尔丹河
haulm	杆
vain	虚荣的
valetudinarian	衝eErIEnIzEm/
crossette	窗耳
galactophorous	输乳的
cosmic	宇宙的
impetuous	冲动的
parabolical	寓言似
dramatic	戏剧性的
dmt	离散编码
oceanization	洋化作用
maladministration	乱政
dotty	薄弱的
monotonous	单调
raf	Royal
anacidity	胃酸缺乏症
dogdom	狗世界
tagraggery	杂乱的混合
heeling	倾斜
aldebaran	毕宿五
comma	逗号
semen	精液
praxiology	人类行为学
undignified	无威严的
unwatered	不供应水
kherson	赫尔松
atomic	原子能的
hamfatter	拙劣的演员
semiconical	半圆锥形的
unaccommodating	不与人方便的
pronase	链霉蛋白酶
abnormal	反常的
overstory	上层林冠
ultramundane	超俗
defective	不完全变化动词
vcd	视频高密光盘
emotive	动感情的
turnip	芜箐甘蓝
otology	耳科学
concentrative	集中的
jingbang	一群
unvalued	不受重视的
mechanochemistry	机械化学
trailing	拖尾
epidemical	流行
canicula	天狼星
panoply	华丽服饰
scaldino	小陶火钵
russell	拉塞尔
leatherworking	皮革制作
cuttle	乌贼
uxoriousness	疼爱妻子
impractical	不切实际
oestrone	雌酮
pob	post
overflow	洋溢
skirl	风笛发出的尖锐声
transversal	横断的
snippet	不足道的人
zoochemistry	动物化学
aquatic	水上
tapestry	编织锦或织画
shh	安静一点
kingcraft	治国之术
digiboard'	NULL)
antibaryon	重子的反物质微粒
methoxychlor	甲氧氯
pob	office
tantivy	快跑!
infidel	异教徒
sociologism	唯社会学论
resend	再派遣
underlie	成为……的基础
usher	引导
berkeleyism	=Berkeleianism
calculator	计算器
necrotic	坏疽的
vestiary	服装的
limaciform	蛞蝓形的
mansion	官邸
tripura	特里普拉邦
ladified	有贵妇人风度的
provisionality	临时性
hcg	gonadotrop膜促性腺激素
powder	撒粉
unrestrained	无限制
atwirl	快速旋转
shock	使受电击
esc	计算机上的Esc按键
sungari	见
kerflop	扑通地
scintiscanning	闪烁扫描
overrule	否决
mulatto	黄褐色的
baee	初级教育学士
bowshock	弓形激波
heady	顽固的
conjoin	联合
theandric	神人
diastalsis	间波蠕动
chromatograph	套色复制
warty	有疣的
expropriation	收用
computation	计算
upstair	楼上
batfish	蝙蝠鱼科的鱼
khaf	希伯莱语第十一个字母的变体
harmonic	谐函数
kegling	滚木球戏
tail	限定继承
unwanted	多余
jot	草草地记下
wosa	Windows开放系统结构
digit	手指或足趾
scleroid	硬性
revival	复活
politeness	有礼
indefensible	不能防卫的
sylvinite	钾盐
sealift	海上补给的
bum	过游民生活
fifa	Federation
chuffy	不高兴
likewise	同样
turtledove	情人
morphologic	语形学的
trisubstituted	三代的
unmelodious	刺耳
unimproved	未加改良的
tgwu	Workers''
internationalise	IntE5nAFEnElIst/9IntE`nAFLnElzation//
miniature	缩小的
nervily	大胆
perennity	永久
cancroid	癌症状的
sinuous	动作复杂
septal	隔膜的
blin	俄式薄煎饼
zolotnik	索拉尼
anaesthetic	麻醉的
query	疑问
hymnography	赞美诗写作
bootstrap	解靴带
bathybic	深海底的
dunderhead	笨蛋
taboo	忌讳
take	获
celibate	未婚的
been	是
charter	包
heterochthonous	外来
papillate	乳头状突起的
manometry	压力测量法
garrulous	啁啾
circular	函件
hurt	危害
patroness	女赞助者
quotiety	率
goethean	歌德风格的
aggregative	集合性
ornithological	鸟类学的
transitive	及物动词
hepburnian	Hepburn式罗马字拼法
shield	盾
knowledge	知识
beanstalk	豆茎
scramble	攀缘
linen	亚麻纤维制成的优质纸
graphitoid	似石墨的
labial	嘴唇的
unequaled	无敌
forehanded	节约的
hood	用头巾包裹
blind	瞎
shunless	不可避免
supposititious	假的
angst	担心
climbout	急剧陡直的爬升
enchorial	古埃及人的通俗文字的
noddy	燕鸥类
untruth	假话
engarb	给……着衣
disregardfulness	轻视
lewdness	邪恶
gab	唠叨
salient	显著
liveborn	活胎产
mahatma	超人
potentiality	可能力
hapchance	偶然事件
scua	Association苏伊士运河使用国协会
leavings	剩余
monographic	专题论文的
feebleminded	精神薄弱
fiducial	信托
leak	撒尿
compellent	有强烈吸引力的
invulnerable	无懈可击的
blastoff	发射
humanitas	=humanity
strobic	似旋转
hygrometric	测湿的
metalclad	铁壳的
mongrel	混血儿的
grav	格拉夫
benefice	圣俸
monniker	=monicker
aglow	发红地
orangism	奥兰治党主义
thresh	脱粒
acculturationist	文化传入过程的研究者
filariid	血丝虫
supposititious	冒充的
yank	猛拉
stub	短而秃
aarp	Resolution
unsc	United
clausal	分句的
judicable	应受审判的
juratory	宣誓
unionist	工会主义者
vedanta	吠檀多
waveringly	犹豫
maculate	有斑点
ha	嘿!
underplay	表演角色不充分
survey	测量土地
tureen	有盖的汤盘
presto	极快的
accountably	可说明
weeping	哭泣的
counterespionage	策反
triangulation	分成三角形
cancerate	癌化
mixture	混合物
montgolfier	热
unsolvable	不能溶解
lampshell	腕足动物
filly	活泼
forewarning	预先警告的
topgallant	上桅帆
inquiet	不安的
intilted	向内偏斜的
habitation	居住
jestingly	闹着玩
resurvey	再勘查
annihilability	可毁坏
matey	平易近人
acopic	消除疲乏的
coypu	此动物的皮
cinchonism	金鸡纳中毒
siliceous	硅酸的
sniff	闻
astrosphere	中心球
witted	头脑……
atheoretical	非理论
aqua	浅绿色
reliant	信赖的
atingle	刺痛
ascites	腹水
presiding	指挥
fulsome	令人生厌的
phobia	恐怖病
understand	了解
vlsm	Subnet
excurved	弯曲的
illegalize	使违规
microanalyser	=microanalyzer
reunify	再统一
sedimentable	可沉积的
abattage	为防止传染而被屠杀的有病之牲畜
modernisation	=modernization
percolation	过滤
fetch	接来
northeasternmost	极东北
machinate	策划
cathode	阴极
unsaid	未用语言表达出来的
thibetan	=Tibetan
carte	菜单
janissary	爪牙
fortnightly	隔周出版物
oppugnant	敌对的
face	抹盖
latinesque	有拉丁特色的
chastening	惩戒性
exorcisement	=exorcism
homesite	住宅根据地
screwball	奇妙的
jumby	鬼
festa	祭日
halfway	半路
crackajack	能干的
exploitive	=exploitative
circumpolar	围绕天极的
liquid	易变卖的
safranine	盐基性红色染料
mortuary	埋葬死人
excitedly	兴奋
rule	规定
squetee	=squeteague
rush	用
hortative	奖励
thematic	题目的
runnerless	无长匐茎
pedunculate	有肉茎
general	大体
emissary	使者
endorser	转让人
imitating	模仿
chondrosarcoma	软骨肉瘤的
kernel	内核
centrism	中间路线
unfordable	无法通过
strut	炫耀
hosteller	旅馆主人
chatellany	城主之阶级
incivism	没公德心
summon	号召
endearing	引起爱情的
maoist	毛泽东主义者
ioof	of
monomoy	莫诺莫伊式破浪艇
run	浇铸
dendron	树枝石
rhizomatic	像根茎的
exhibition	展览品
spadicose	似肉穗花序
chassepot	后膛步枪
nullipara	未产妇
holding	把握
douglas	道格拉斯
kilt	苏格兰方格呢短裙
televise	播映
passiveness	被动
widow	寡妇
supernutrition	滋养过多
centurion	百夫长
corrective	中和物
portiere	门帘
deductive	演绎的
unlicked	幼稚
diagonal	斜纹的
gallovidian	=Galwegian
exaggerator	言过其实者
pothook	挂钩
msfm	in
latter	近来的
bahamian	巴哈马的
ceramic	陶器的
viviparous	胎生的
apprehensible	可了解的
lyrate	竖琴似的
sealless	未盖印的
bioflavonoid	维生素P
babylonish	言语不清
patras	佩特雷
language	语言
creepy	匍匐
erubescent	变红
theatre	=theater
isa	Industry
undam	使如决堤般流出
judicable	可审判的
circassian	切尔克斯语
vestibulectomy	耳前庭切除术
cudgel	用棍棒打
psat	Test
weave	摇晃
asphyxy	昏厥
mm	毫米
cpa	Pacific
putrid	腐烂的
pokey	无趣
pataphysics	荒诞玄学
pregnable	易受攻击的
unaided	独立
angiocardiogram	心血管X线照片
activism	激进主义
fleetful	船队数量多
heterocyclic	不同环式的
marriageable	适宜结婚
pelt	攻击
daredeviltry	蛮勇
riddlemeree	胡言乱语
comprizal	包括
overvalue	估计过高
muzzle	戴口络于
galop	快步舞
mortlake	牛轭湖
bookkeeping	簿记
smalt	绘画用的深蓝色粉末颜料
ballot	票数
mvd	Ministerstvo
fluently	流利地
underkill	低量毁伤
culmiferous	生成空心茎
redistillate	复蒸馏物
pledgee	接受抵押或人
borated	搀硼酸的
saddler	制造马鞍的人
odorously	芳香
randomness	无安排
maintain	继续
loiteringly	懒散
here	在这里
gratifying	悦人的
falsehearted	背信的
recess	使凹进
accordable	可一致的
archiepiscopal	大主教
uss	States
unbuttered	未涂黄油的
disannex	使脱节
palmoil	chop棕榈油烧肉
olive	橄榄枝
dower	从亡夫处得来的用以维持生活的财产
unwarrantable	无正当理由
whimling	异想天开的人
permanence	持久
labial	唇音的
cabb	使用解答书
flesh	肉
overboard	自船上落下
cullender	漏锅
choice	上等的
egomania	自大狂
habituation	适应
dispirited	沮丧的
fozy	肥胖的
swinishly	下流地
octosyllable	八音节字
map	绘制地图
dentiform	齿状
vitriolic	象硫酸的
colonic	结肠
totemistic	崇拜图腾之种族的
fimbriate	有须毛为缘的
pwd	Works
nce	Catholic
glaucomatous	绿内障
rivet	铆钉
synchronal	同时的
fowling	捕鸟
consilient	一致的
labe	为Elbe之捷克文名称
grandpa	爷爷
let	允许
service	服役
cloyless	不会倒胃口的
posse	临时组织的一群人
furthermore	而且
unalleviated	未缓和的
fanon	披肩
cognitive	有感知的
sangreal	圣杯
jeer	讥讽
sick	病态的
impoliticly	失策地
purlieu	森林边缘带
rishi	哲人
colles	科勒斯氏骨折
slopwork	成衣裁制工作
atmosphere	空气
inequable	不一样的
beltsville	White贝兹维尔小种白火鸡
colchicine	秋水仙碱
winnow	分出好坏
procercoid	原尾蚴
solenoglyph	管牙类毒蛇
diddikai	有吉普赛血统的人
spongeware	海绵釉陶
maffei	galaxy马菲星系
elk	软鞣粗皮
polt	图表
broadcloth	一种宽幅的细毛织品
restraining	控制的
stall	畜栏
vinery	葡萄园
bitch	母狐
unreachable	及不到的
unsmirched	未受玷污
monastery	修道院
trippy	由致幻药引起幻觉
gahnite	锌类晶石
cologarithm	余对数
roundly	圆圆地
vestibulospinal	前庭脊髓束
egotism	自我中心
epicotyledonary	子叶上
blob	溅污
storage	贮藏
benefit	有益于
stronghearted	勇敢
shit	拉屎
kindergarten	启蒙阶段
inchmeal	徐徐
worshipful	尊贵
feel	以为
recondense	再凝结
panjandrum	首领
cytomegalovirus	细胞巨化病毒
esurient	贪吃者
noteworthily	显著
individuate	使个体化
cap	and
embryotic	未发育好
imprecise	不严密
aortography	主动脉X光摄影术
avengement	复仇
anautogenous	需吸血后产卵
sympathetic	赞成的
slab	厚平板
interfusion	混合
dumbbell	哑铃
nephron	肾元
snoopery	窥探行为
pseudoclassic	拟古的
inactively	无用
pintano	豆娘鱼
tristigmatic	三柱头的
pterosaurian	翼指龙
elastomeric	弹性体的
noel	圣诞颂歌
reproachless	无可非难的
synectic	共同研讨的
eagre	河水上涨
suzerain	封建主的
guileless	坦率
calfhood	幼犊期
politic	策略性
var	无功伏安
downright	完全
gynaecic	女性
owing	该付的
lycia	利西亚
fantail	扇尾鸽
godet	三角形布
gonadotrope	促性腺物质
abuilding	在建造中的
skeeler	旱冰鞋
tridentate	有三尖的
petuntse	白墩子
jejunum	空肠
laevo	=laevorotatory
sympathetic	交感神经
spicily	香
npl	Physical
wader	钓鱼用的防水长靴
endoscope	内诊镜
medal	勋章
pop	突然
wake	振奋
arrive	抵达
den	洞穴
lcp	人员登陆艇
licensee	领到执照的人
panzer	装甲的
blower	送风机
peruke	男子假发
psia	square
megabit	百万位
phantast	=fantast
lepidosis	的排列和性状
elfish	好恶作剧的
neurilemma	神经膜
unimpressible	不可铭刻的不易受感动
adjudgement	宣告
discord	嘈杂声
fulgurating	钻心的
pastureland	牧草
done	合乎礼仪
bgp	Protocol
ketogenic	生成酮
slow	缓慢
pursuable	可实行
schismatic	分裂论者
outline	轮廓
mounting	装备
coenobitism	修道士生活
reproachingly	责备似地
hydrochloric	氯化氢
adminiculate	用旁证证实
fallow	使
appeasable	缓和得了的
mansion	大厦
schizophrenogenic	引起精神分裂症
bats	神经不正常的
supramundane	远离俗世
entrenous	你知我知
gastronomist	美食家
narrow	有限的
affectionate	挚爱
blazon	夸示
numismatician	钱币收藏家
coach	四轮大马车
cureless	无法医好的
pb	铅
curmudgeon	乖戾的家伙
quinella	赌前两名
owl	惯于晚上活动的人
icky	讨厌
heroon	英雄祠
leptodactyl	有细长脚趾的
wicked	缺德的
abet	煽动
ornithologist	鸟类学者
oose	尘团
dought	dow的过去式
pandean	牧羊神的
edi	无纸贸易
blanch	发白
balzacian	巴尔扎克风格
bats	怪异
epithelization	上皮形成
hypsography	标高图
orphanage	孤儿院
militiaman	国民军
earthward	向地球
unbelieving	不信宗教的
demilitarization	废除军备
cavitate	成穴
revolting	反抗
speculative	投机
scoff	愚弄
reciprocate	互换
capably	能干地
ahwaz	阿瓦士
shock	使休克
exhaust	排气装置
wakeful	不能入睡
sunstroke	中暑
paradox	似非而是的论点
zaniness	愚蠢
pennyworth	交易
roily	被激怒
mandrake	曼德拉草
verity	事实
freeheartedness	坦白
corbel	枕梁
neuristor	类神经器件
exophthalmic	眼球突出症的
earthborn	尘世的
dentolingual	齿舌音的
compaginate	使连接
chuvash	楚瓦什语
trabeate	横梁式的
outgame	在勇气方面胜过
sophistic	诡辩
california	加利福尼亚
flowing	如流的
gamin	讨人喜欢的娇小的顽皮姑娘
piloti	底层架空柱
uncatchable	抓不住
bowl	投球
inadvertence	不注意
inaudibility	听不见
neonatal	新生
lacrimal	满是泪水的
sclerosing	致硬化的
colourize	给……着色
conveyer	运送装置者
mrbm	ballistic
hindmost	最后面的
invent	创造
reclame	虚名
interdigital	交叉指型
corticated	有皮层
unsccur	United
encephalomyocarditis	脑心肌炎
pilous	多毛的
rictal	嘴裂的
thorough	十分的
chairmanship	主席的身份或资格
sebacate	癸二酸盐
insuperability	不能制胜
fold	信徒
collutorium	漱口剂
illuminating	启蒙的
persepolis	波斯波利斯
touchback	持球触地
lenitive	润泽的
lrl	lunar
crumpled	摺皱的
title	头衔
intended	有意
related	讲述的
regroup	重编
morpheus	催眠物
unmined	未开采
admitted	被承认的
conceptual	概念上
aethereally	轻飘地
peneplain	准平原
fertilizability	可施肥
triassic	三叠纪
dauntless	大胆的
militiaman	民兵组织
signalize	使显著
truckline	汽车货运线
renascent	复兴
unfed	未得到支持
scarabaeus	圣甲虫
ultramontane	教皇绝对权力主义者
shapeable	=shapable
gasogene	煤气发生装置
inexpressive	无意义
ladin	拉汀语
parasitical	食客的
trailing	曳尾的
award	授予
triad	三幅一组
cragginess	嵯峨
succursal	次要的
gerentocratic	统治者阶级
chlorid	氯化物
phlogosis	丹毒
turbofan	扇涡轮
weekend	度周末
hairstylist	发式师
optimistical	乐天
crustacean	甲壳类的
hexerei	巫术
tu	铥
mind	注意
funchal	丰沙尔
suit	适宜于
chlorosis	萎黄病
privy	个人
flourish	活跃
dithery	犹豫不决
antiphony	轮流吟唱的歌
stank	stink的过去式
lairy	艳俗的
uncontradicted	未受反驳的
bustling	忙乱
supraspinal	棘上
avicide	杀害鸟类
faker	伪造者
tertial	第三列的
variolate	给……引痘
aloof	孤零的
beery	啤酒的
tetragynous	四雄蕊的
lipotropy	抗脂
toddle	散步
semidomestic	半驯养
lemonish	有柠檬香味
yarmouth	=Great
felicitous	巧妙
replace	把……放回原处
micropolis	城市式小区
deportee	被放逐者
unsaturated	没有饱和的
super	特级
geographical	理学
diastereoisomer	非对映异构体
bored	无聊的
translatable	可转移的
freewheel	轻快地行动
farewell	再会
once	一旦
rite	仪式
gbf	Books
kilt	轻捷地移动
junky	质量低劣的
misunderstand	误解
removalist	搬运公司
englobement	包入球中
karoo	南非洲的干燥台地高原
unenvious	不羡慕
zineb	代森锌
papaya	番木瓜果
intolerability	难耐
wattlebird	食蜜雀
antivenin	抗蛇毒素
unlively	沉闷
investigate	研究
peckerwood	啄木鸟
seichometer	湖面波动测定器
ada	Byron
immobility	固定
tektite	玻陨石
isopulse	恒定脉冲
scousian	利物浦人
unseen	未见过
resonantly	共鸣地
elver	幼鳗
semisolid	半固体的
tutor	指导教师
subapical	位于顶点下的
north	北方
stickybeak	爱管闲事者
monochromator	单色器
nyc	York
fibrillate	有原纤维的
feather	羽毛
torture	拷问
manhandle	人工推动
dm	多米尼加联邦
nonparty	无党派的
sexcentenary	六百周年纪念
diammonium	phosphate磷酸氢二铵
tony	高贵
gandhiism	甘地主义
newman	纽曼
fukien	福建的旧称
evenly	均匀
sewage	下水道
chromoplast	色素母细胞
suggestible	容易受暗示影响
various	多方面的
uplooking	有抱负的
bilateral	双边的
brainstorm	集体讨论
biff	一击
quenelle	油炸鸡肉或牛肉圆子
inbred	先天
unsound	不安全的
dulotic	奴役现象
janeite	的崇拜者
filamentary	细丝的
agoing	在动着
spectacle	公开展示
ciscaucasian	北高加索
doggery	贱民
recombination	再结合
postpone	推迟
matrimonial	与婚姻有关
flotative	浮力
pharmaceutic	配药学
complexioned	脸色……
unduly	不适当
ectozoic	体表寄生虫
redeemer	买回者
fingerling	小鱼
circassia	切尔卡西亚
multivitamin	多种维生素剂
paleohabitat	史前动物栖息地
filipinize	菲律宾化
attrited	磨坏的
weirdie	怪物
crawlerway	慢速道
flouncing	荷叶边
coyly	害羞地
mound	隆起
first	最初
baneberry	此种植物的果实
provocate	刺激
commodore	船队队长
gassy	含气
chanson	n歌曲
scousian	利物浦方言
delusive	欺骗
fijian	斐济族
hematogenous	造血
analogic	类似
clockface	钟面
