disagreement	争论
chief	最有价值的部分
systematiser	=systematizer
popularity	普及
cornerways	斜地
emplacement	炮台
academe	研究院
butterball	胖子
unhappy	不快乐
ultramundane	太阳系之外的
godless	无神论者
hallucinatory	引起幻觉的
iatrical	医疗
intercurrent	间发的
unreceptive	反应不快
supranatural	=supernatural
wusih	见Wuxi
mauley	手
rebel	造反
mythomania	说谎狂
feigned	做作的
readdress	使重新着手
sir	爵士
apanage	属
masher	调戏妇女者
buckshee	额外津贴
prizefighter	职业拳击手
fidelismo	古巴革命主义
jump	暴涨
heirdom	继承的财产
derange	使错乱
peritoneal	腹膜的
refrigerate	冷藏
jump	跳跃
translation	调任
botryoid	一束葡萄状
toxoplasmosis	弓浆虫病
campaign	从事活动
hoyt	霍伊特
literati	文人
halfhourly	半小时
rattled	恼火
cataphyll	低出叶
accredited	公认
globularity	球形
clergyman	牧师
squalidity	肮脏
bibliographer	书志学家
best	最
intervene	插入
quilt	棉被
congealment	冻结
dataller	计日工
shoreless	无法上岸
tactually	凭触觉地
volitant	能飞
limpet	坚守岗位的职员
inept	不称职
embraceor	企图以非法手段左右法庭或陪审团的人
disbench	使离座
amr	Audio
nefariously	邪恶地
body	团体
utricular	小囊状的
peroxyacetyl	nitrate
summerhouse	亭子
phyletic	种族的
violin	小提琴手
admensuration	测量
ventilate	使通风
hygienist	卫生学者
magnify	夸大
zarape	=serape
bifid	两裂的
euchre	打败
msa	in
speedometer	速度计
hoodwink	蒙蔽
wry	扭歪
ratable	可估价的
ced	for
constellate	定名为星座
extorsively	勒索地
cnaa	全国学术奖理事会
bactrian	大夏
embus	装入大客车
pony	小型马
mediation	仲裁
injudicial	不聪明的
asonant	无声音的
secretory	分泌腺
orad	向口
corporealize	使形体化
gharial	=gavial
scattershot	漫无目标的
swbw	west
eczema	湿疹
peripherad	向边缘
garnish	装饰
deductive	演绎
headrace	送水渠
disfavor	不悦
jadishness	邪恶
lesbos	莱斯博斯岛(即米蒂利尼岛
precatory	委托
placentiform	胎盘形的
stray	漂泊
autumn	秋天
haystack	干草堆
moslemic	伊斯兰教的
aid	Association
portion	一部分
kingbird	极乐鸟之一种
electriferous	传电的
planometer	测平器
nucleinase	核质酵素
marsquake	火星震
elamitic	埃兰人的
preadamite	亚当以前的
chloralose	氯醛缩葡萄糖
arrisways	对角
precise	准确的
scratch	乱涂
heavyish	略重
cornfield	小麦田
penstock	压力水管
enfeoff	让渡
unmarked	未被注意的
flotage	漂浮
furphy	谎言
deaerate	从中除去气泡
abide	遵守
chump	大木片
defocus	使散开
euphuism	华丽词藻
scowl	怒目而视
narky	易生气的
gauze	薄雾
pseudology	说谎术
acrospire	幼根
semilunar	半月形
woolpack	卷毛衣
cookie	小甜饼
galibi	加勒比人
reunification	再统一
flabbergast	哑然失色
closemouthed	沉默寡言的
hostess	女主人
biotherapy	生物制剂疗法
conformance	一致
concessional	容许的
ragazza	女郎
diatribe	诽谤
supposable	可想象得到
hiaa	美国健康保险协会
slobber	淌口水
sitting	坐着
position	阵地
factoried	多工厂
mohammedan	回教
carburization	渗碳
keyman	关键人物
punner	夯
awesome	引起敬畏
inflectional	屈曲
tournure	腰垫
malleate	将……锤薄
dyschronous	时间不一致
isometrical	等大的
loomage	织物
hempie	爱恶作剧的
headquarter	设总公司于……
semifarming	半农业
stage	戏剧
gentlefolk	上流人士
bottomless	难解
wildcatter	创业不可靠企业者
overpassed	已废除的
tetragynous	四雄蕊
boomslang	非洲树蛇
closing	结束的
parenteral	不经肠的
reversed	翻转
cicada	蝉
somasteroid	体海星纲的
hate	恨
indestructibly	无法破坏地
sniffable	可闻的
pardon	原谅
phanerogamic	显花植物的
hieronymite	以圣哲罗姆名字命名的隐修会会员
prurigo	痒疹
interneuron	=internuncial
sheriff	郡治安官
downright	明白
grub	幼虫
beaver	海狸
seclusive	隐退性的
camping	露营
recreant	懦夫
furtively	偷偷
fondly	盲目轻信地
ced	Committee
flocculus	小叶
biserial	与双列有关的
barycentre	引力中心
freshness	精神饱满
oligophrenia	=mental
appurtenant	隶属
savoury	开胃
coenobitism	修道院之制度
sternness	严厉
crm	Management
marsupialise	=marsupialize
resignation	辞职书
hearth	炉膛
dewiness	露状
arrivederci	再会
airwoman	女飞行员
endsville	首屈一指的
cipherkey	密码索引
motoric	肌肉运动的
festucine	稻草色
slender	微弱
msdn	Developper
swift	迅速
manageress	女经理
stearic	硬脂酸的
ferrite	铁素体
idiocratically	特性地
vial	装入小瓶
woodenness	粗鲁的人
agonist	收缩筋
cerebrotonic	表示大脑紧张型特性
vdi	虚拟设备接口
skinhead	理平头的男人
sephardic	西班牙系犹太人的
deprecatingly	不赞成
set	趋势
flagitious	凶恶
nazareth	拿撒勒
inferable	能推理
chief	首席
maidenlike	娇羞的
chromoplasmic	染色浆
insurrectionary	暴动者
removal	免职
smokeable	=smokable
standard	本位
limicole	水蚓
scansion	韵律节奏的分析
barlow	巴洛刀
renegue	违例出牌
koan	以心传心
rebel	叛逆者
mali	马里
smart	轻快
interested	有成见
kiln	烧窑
hazel	榛子
blithering	唠叨不已
heavyset	体格魁伟的
trickiness	狡滑
stump	绊倒
unfading	永不辜负期望
nota	背板
ratify	批准
zincographic	锌版术的
sunkissed	受阳光照射
ominously	恶兆
jingoish	侵略主义的
hyperostotic	骨肥大的
toneme	调素
mwa	Modern
childbed	分娩
uricase	尿酸酶
ersatz	人造
finlike	鳍状
saudi	沙特阿拉伯国家
mythicize	视为神话
crenate	圆锯齿状的
zamindar	印度地主
interval	距离
undeviating	不离正道
bureaucratese	官腔
gelsenkirchen	盖尔森基兴
roily	搅浑
backbiting	诽谤
sweetish	有点美丽的
francophil	亲法的
iconodule	卫护圣像者
triploid	三倍性
rgs	皇家地理学会
solicitude	热心
fortaleza	福塔雷萨
other	从前
longevous	长寿的
wakashan	瓦卡希语组的
odontoblast	成牙质细胞
guiltily	罪
battlewise	身经百战的
necrophagia	食尸
dissertation	专题
glyconic	格莱坎诗体的
tee	球座
corneous	角质的
bionic	利用仿生学
hyoid	U字形的
hardhearted	无情的
temperately	适度地
abnormity	不规则
withdrawment	=withdrawal
jellify	成凝胶状
wearable	可佩带
yafo	=Jaffa
spin	纺纱
ethnarchy	总督的职位
place	地位
unbalance	失去平衡
amentiferous	具葇荑花序的
denouement	结局
ialc	instrument
possibly	或者
hypersuspicious	极其多疑
parthenopaeus	帕耳忒诺派俄斯
locale	场所
majestical	庄严的
gasometric	气体定量分析学
retroperitoneal	腹膜后的
astigmatism	因偏差而造成的曲解或错判
overconfident	过于自信的
wreath	圈状物
episematic	花纹使同种动物互相认识的
candid	率直的
performing	履行的
expediency	私利
ssafa	Sailors''
parenthetical	插句
aerarian	财政的
sedentary	沉积的
substitute	代用品
activation	活化
disharmonious	不和谐的
lewd	淫荡
detector	侦察器
lapactic	促泻剂
standing	直立的
dictatorially	独裁
hagride	折磨
influence	势力
frowsy	不整洁的
cyclopic	独眼巨人般的
ponderosity	笨重
breakwater	挡水板
womanliness	女性气质
email	电子信函
quicksand	危险而捉摸不定的事物
nick	缺口
xenophobic	恐外
arenicolous	生长在沙中的
cab	出租马车
superduty	超级耐高温的
mib	Information
price	代价
singular	非凡
kemp	冠军
bodkin	大眼粗针
cycloserine	环丝氨酸
chunderous	令人厌恶
impercipient	认识不足
tubular	管状
scratch	打草稿用
spill	摔下
boldfaced	厚颜的
reenlist	再从军
ptyalism	流涎
recoal	重新添煤
sapful	多树液
pram	RAM
nur	Railwaymen全国铁路职工工会
senopia	老年期视力回春
mage	魔术师
disseat	使离座
businessmen	生意人
nonstriker	陪跑员
vitellophage	消黄细胞
final	决定性的
phenanthrene	菲
diffused	普及的
increasing	越来越多
myxomatosis	粘液瘤病变性
cosily	舒适地
alewife	啤酒店女主人
bnd	Bundesnachrichtendienst
justiciary	司法上的
internuncial	联络的
chaff	戏弄
oofy	有钱的
faints	劣质酒精
fucked	受骗
outdoor	户外
foundation	创立
hemichordate	半索动物纲的
wae	Application
sup	体验
bepaint	着色
liberally	大方
classic	第一流
knap	敲击
value	值
blindfold	看不清
heroize	以英雄自居
vesa	视频电子标准协会
migrate	迁徙
afeared	恐惧
flurr	飞起
agonisingly	烦恼
unfrequented	人迹罕到的
unappealable	不可上诉
underproof	不合格的
stoss	迎鼻崖的
unrelenting	不屈不挠
seam	缝合线
jingoish	侵略主义
triplicity	三个一幅
ganoid	硬鳞鱼
budge	移动
unpregnant	不合适
quadrisyllable	四音节字
gastral	胃的
epulary	宴会的
greet	向……致意
prepose	将前置
toothsome	美味
pustular	有小脓疱的
antiauthoritarian	反独裁主义者的
logographer	希腊历史家
inconscient	无意识的
pedestal	支持
kinsmanship	酷似
profound	意义深远
towering	激烈
edge	利刃
candent	灼热的
dipartite	划分
postern	后门的
shorthorn	刚到边远地区的人
lipogram	避讳某字之文
carpal	腕骨
spleuchan	烟袋
clump	土块
bushbeater	寻访人才或探求民情者
import	引入
interdepartmental	各省间的
sneering	嘲笑
hydrostatic	流体静力学
hemimetabolous	不完全变态中
barococo	巴洛可可式
diphyletic	来自二个祖先的
instantaneous	即时
consummate	完成
ecliptic	蚀的
unselfishness	不自私
bundook	步枪
longeval	长命的
countermine	对抗计划
raising	举
rhetorically	讲究修辞地
tracheotomy	气管切开术
lionlike	狮子般
postmortem	死后发生
federative	有外交和国家安全
bookable	可预订的
provenance	起源
latria	专对天主的礼拜
dubious	可疑
semifarming	半养殖业
vtp	Trunking
unjustifiable	无法辩护的
semimanufactures	半成品
poc	call
lank	瘦
amortization	分期偿还
subsidiary	辅助
linguistry	语言知识
retch	恶心
deception	诡计
automobilism	汽车驾驶
pedodontic	儿童牙科的
apolar	非极的
aubergiste	小旅馆主人
cosmologist	宇宙学家
trendy	流行
baccivorous	食浆果的
supremely	无上
lavatory	浴室
unexpiated	未赎回的
disubstituted	二基取代了的
preferable	更可取的
samnite	意大利一古民族人的
infantilism	幼稚症
ruffianly	残暴的
febriferous	造成发烧的
delicate	灵敏
cowish	胆怯的
derma	烤牛香肠
hesitation	犹豫
leavisian	利维斯式
rear	培养
checkerberry	蔓虎刺之一种
aedile	古罗马掌管公共建筑物、道路、供水、社会秩序和文娱活动等的民选行政官
lapidarian	刻在石头上的
nationality	民族
tellable	值得说
cebu	宿务岛
copen	=Copenhagen
druidical	督伊德教徒
horsefaced	脸长而难看的
neoanthropic	智人
peace	和平
semidiurnal	每12小时一次的
yabby	小形螫虾的一种
bx	exchange
surrenderor	让与人
over	额外的东西
apivorous	以蜜蜂为食的
cyclopaedist	为百科全书撰写条目者
costermansville	科斯特曼斯维尔(扎伊尔东部城市布卡武
ammeter	电表
cotonou	科托努
unimposing	没有威信
furunculosis	疖病
scalewing	蛾
smarmy	爱说奉承话的
parlous	不易对付
harrowing	痛心
trunk	干线
cmtc	国民军事训练营
chastiser	惩罚者
roric	带露水
aerially	空想
sheeny	犹太人
aauw	美国大学妇女联合会
brigand	土匪
overhead	在头上
lankiness	过分细长
uricacidemia	尿酸血症
typification	象征
illegitimacy	反常
pretext	托辞
epileptiform	癫痫样的
sulcus	沟
deadwood	碎屑
damnification	损伤
lamish	有点跛
civil	全民
hemoptysis	咯血
esteem	把……看作
counsel	辩护律师
lapidarist	玉石雕刻
inimicable	有害
madcap	轻率
sulfury	硫磺的
icky	讨厌的
avirulent	无致病力
cebuan	宿务
fenitrothion	杀螟松
armoire	大型衣橱
nosh	点心
merryman	小丑
arbour	凉亭
kep	阻止
stenographer	速记员
tibiotarsus	胫跗骨
tableful	一桌东西
colicroot	腹痛根
francicize	使改用法语
sadhu	哲人
carabid	步甲
criminative	使负罪
berkshire	波克夏
foa	Operations
dichroitic	二色性
impenetrability	不可测知
inferior	自卑
set	固执
fijian	斐济人
artificial	假的
unexacting	不严厉
hawk	叫卖
maximal	最大
childproof	能防止孩童瞎摸弄的
practically	实际上
faciolingual	面部与舌的
rigor	严密
lesion	身体上的伤害
ada	艾达
assign	指派
xylotile	换质石棉
lizzie	廉价的破旧汽车
drive	推动、发动
steady	坚定的
cocomat	椰子树皮所编织之物
highjack	劫持
thug	暴徒
rattlepated	愚蠢多嘴的
chappy	家伙
scintigraphy	闪烁扫描法
honied	甜如蜜
finish	完成
withershins	逆时针方向地
fightback	回击
learning	学
vm	虚拟机
strikebreaking	破坏罢工
numerical	用数表示的
snowbrush	毡毛美洲茶
plainsman	平原居民
predomination	优势
pony	付清
hand	掌管
msgm	政府管理学硕士
sabbath	安息日
dumps	抑郁
zoological	动物学的
tuppence	两便士铜币
validate	证实
mashy	=mashie
ease	减弱
accounting	清算帐目
rueful	悔恨的
intergalactic	银河间
myogram	肌动图
ectogenous	外生
irrepressibly	镇压不住地
unbelievably	难以置信
contabescence	衰亡
hardhattism	高压手段
preferable	更优越
fossa	沟
red	红衣服
converse	认识
gainable	可得到的
harmonicon	一种自动风琴
psychiatric	精神病治疗的
whitebait	鲱鱼的幼鱼
deathplace	临终之地
reformulate	再用形式表示
belletristic	文学研究的
justle	拥挤
spermatic	精巢
miserable	可怜
hepta	七
gold	金制的
spaewife	女预言者
knapsack	背包
whereby	为何
carpal	腕骨的
trust	热望
mitten	棒球手套
predestine	预定
great	得意地
plosive	爆破音
emblazon	颂扬
cocky	骄傲的
evonymus	卫矛属植物
deurbanize	使失去都市特色
filicauline	有丝状茎的
upbeat	欢乐的
rejuvenator	使返老还童的人
assentient	同意者
mollusk	软体动物
homochromatic	只有单色
kinsoku	避头尾
septemvir	七执政官之一
circuitously	曲折
orthodox	正统的
probational	缓刑
brazenly	厚脸皮地
plectra	的复数
out	外面的
goldbrick	懒汉
preagricultural	农业社会前的
decorously	有礼貌地
apiarian	蜜蜂的
white	白的
withe	用细枝条捆
syrphid	食蚜蝇
cterm	Protocol
lothario	放荡者
claustrophilia	喜好幽静的癖好
filar	丝
squashy	熟透的
vote	投票决定
innkeeper	旅馆主人
soddish	糟糕的
will	决心
mwalimu	教师
khotanese	和阗语
cobbly	用鹅卵石铺
hellene	希腊人
nondefense	非国防军用的
judaeophobia	对犹太人的恐惧
emprise	侠义行动
gospel	福音
ferreous	铁
best	最佳状态或作品
fatigueless	不知疲劳的
fibbery	无伤大雅的谎话
prosperously	繁荣地
wisely	聪明
conceptive	概念上
trail	拉
tackify	增强……的黏着性
portocaval	=portacaval
pack	塞满
deregulate	解除管制
department	科
spindle	轴
necessitate	成为必要
verily	肯定地
ulexite	钠硼解石
hera	High
passivity	被动性
outspend	花费超过……范围
skee	滑雪
horehound	带有苦味的糖果
classfellow	同班同学
bellyhold	腹舱
sempervirent	常绿
mouser	捕鼠动物
adjacent	接近
pinaster	松树
prosper	繁荣
nectared	有花蜜
interiorly	在内地
foredo	杀
cpc	China
eulogia	颂德文
wakeful	不能入睡的
hitherward	向此处
nida	尼达
unreaped	未收割
worriment	苦恼
reelingly	摇晃地
osteal	骨性
galliard	轻快的三拍子舞蹈
saturniid	天蚕蛾
productile	可延长的
miscalculate	算错
lecithic	有卵黄的
fourth	第四个
oklahoman	俄克拉荷马州
pohai	见
smorzando	渐次消失的
gangster	歹徒
hyperfunction	官能过度
urceolate	坛状
cacique	酋长
paramecin	草履虫素
ang	美国报业公会
threatening	危险的
shelly	多壳的
perivisceral	内脏周
gastroduodenal	胃与十二指肠的
immutability	不变
spinally	沿着脊骨
angerly	愤怒
jesselton	亚庇(马来西亚沙巴州首府哥打基纳巴卢
inextricable	解不开
enlightenment	教化
quaky	战栗的
circumspection	细心
druse	德鲁士
pediculicide	灭虱的
accelerograph	自记加速计加速者
unconquered	未被征服的
miscue	撞歪
faultfinder	找岔子
agreed	同意
undoubled	展开的
meliorative	改善的
aquarium	养鱼池
dishouse	抢夺住宅
pregnable	易受攻击
ciscaucasian	内高加索的
aetiology	病原
correlative	关联的
deplete	耗尽
rushing	急流的
beretta	法冠
inhabitation	居住
hoatching	密集
strictly	确实地
automatograph	自动记录器
murderous	非常危险的的
syneresis	脱水收缩
disembarrassment	使安心
atmosphere	气氛
slimsy	脆弱
padang	运动场
contingency	意外事故
cake	蛋糕
haply	或许
my	我的
danube	多瑙河
oss	software
transflux	流过
martially	好战
vignette	印放为虚光照
disafforestation	砍伐森林
anticorrosive	防蚀
scatback	快速敏捷的持球队员
fake	假
gritstone	天然砥石
liquid	易变卖
pussyfooter	观望者
measureless	无限
hypnopaedic	睡眠中教学
awake	警觉的
vpd	重要产品数据或虚拟打印设备
hasty	匆忙
most	大部分
flesh	长胖
nameless	难以形容的
enroll	使入伍
powerful	有力
abcd	Business
senora	太太
ratherish	稍微
banjo	五弦琴
faint	软弱
cerebratmon	脑髓作用
substitutional	取代的
antitrinitarian	反对
technically	学术上
synovial	分泌滑液
semiquaver	十六分音符
balsamic	香膏质的
parathyroid	副甲状腺
noted	著名的
hierachical	僧侣统治
deicide	害死耶稣的人
unset	未凝固的
dirtily	淫邪地
aeroembolism	气泡栓塞症
os	System
groundless	无根据
flopper	变节者
phytobiology	植物生物学
recentness	最近
evulse	扯掉
hefa	高等教育设施法
palmitate	棕榈酸盐
eristic	争论术
cathecticize	=cathect
strudel	以果实或干酪为馅而烤成的点心
clerisy	知识阶层
hectic	肺病的
affricative	塞擦音的
workaround	工作区
persorption	吸混
pasturage	放牧
riflescope	步枪上的望远镜瞄准器
rim	轮缘
resuscitation	复兴
tranquilization	稳定
fabricant	制造者
identical	同一的
obliger	施惠与人者
follicle	滤泡
shoreless	无限
shadchan	职业媒人
concurrence	合作
millinormal	毫克当量
crackled	有裂痕的
euphoriant	使人欣快的
unrhymed	无韵的
haematogenous	生血
hypophysial	垂体
mirage	雾气
vdc	Corps
connivence	纵容
tea	茶树
ulterior	隐蔽
offensively	讨厌
parenthetic	插句的
adjuvant	辅佐的
trigger	引起
overweening	骄傲
chetnik	二次大战中南斯拉夫塞尔维亚人之游击战士
brix	白利糖度
hustings	选举程序
czech	捷克人的
denticulate	齿状
strathclyde	斯特拉思克莱德区
lignose	木浆硝化甘油炸药
aging	老化
cambric	细薄布
millstone	磨
remarque	带有轮廓略图的印版
erosion	侵蚀
stranskiite	蓝砷铜锌矿
heliotropic	趋日性
harm	伤害
fade	减弱下去
echo	重复
rimrock	悬崖
virogenesis	病毒形成
complementarity	补充
constipate	便秘
athwartship	横过船的
ablaze	闪耀
oppositionist	反对党人
falsify	伪造
dutiful	孝敬
marriage	婚姻
incapsulate	装入胶囊
pool	汇聚成
vociferation	喧嚷
contrecoup	对侧外伤
toxaemic	患血毒症的
filibuster	阻饶议事
rascally	无赖地
medullary	髓质的
nhra	Hot
plagiotropic	斜向
jd	法学博士
autocritical	自我评定
filmgoer	影迷
ciliiform	均匀细密
otherwise	其他方面
petrosal	岩石般
zymosthenic	促进酵素作用的
emanant	发散
distributee	分配遗产受益人
unpropitious	不吉利
choppy	不断改变方向的
overgreat	过于重大
unlanded	不拥有土
swathe	绷带
zenographic	木星表面的
checkbox	检验盒
duettist	二重奏者
thyroidectomize	对……施行甲状腺切除术
rpc	Pioneer
nib	插入
inconclusively	非决定性地
brimmer	满溢的杯
ruling	统治
tormentor	使苦恼之物
speculum	反射镜
encampment	营地
patter	急速拍打声
evolutive	进化的
scotch	镇压
macroscopic	巨观
morphologic	语形学
speechless	酩酊大醉
culturati	文化人
ethnogenesis	人种形成
transplacental	经胎盘
trapeze	吊秋千
dilettantish	半吊子
approbatory	认可的
malediction	坏话
phenakite	=phenacite
similarity	类似处
pump	抽吸
pekinese	北京哈叭狗
essential	实质
cutlet	肉饼
dishonorably	卑劣地
crackable	会裂开
ivan	伊凡
sonorously	响亮地
habitual	惯常的
meretricious	华丽而庸俗的
persulphate	过硫酸盐
confederacy	邦联
overspread	蒙盖
incisal	割的
refutation	驳斥
antidepressive	=antidepressant
nondecreasing	不减少的
staggard	4岁的雄性赤鹿
reknit	再扣牢
hydridic	带一个负电荷的
nib	嘴
gasengine	煤气内燃机
diphyodont	双套牙的
outcast	被逐
entablature	支柱
chemolysis	化学分解
canonically	照宗规地
overcaution	过分小心
hierocratic	僧侣统治的
nonnasally	口腔地
correctly	正确
backfisch	年轻少女
escort	护送
slow	慢的
booter	足球或橄榄球球员
archaistic	古风的
zinnia	鱼尾菊
thyrsoid	聚伞圆锥花序状
unserviceable	不能胜任
lett	列托语
devisee	接受遗赠者
proverbially	如谚语所说
mortal	临终
dockside	码头邻区
uncreolized	未克里奥尔化
sabbatarian	守安息日的
illusory	幻影的
disjunctive	分离性的
crossed	划掉
idolization	偶像化
materialism	唯物主义
lacteous	乳的
synclinal	向斜
during	在……的期间
titanothere	雷兽
fanwise	成扇形
narrowcast	用电缆电视播送
silence	静
bmoc	on
salic	撒利族
feudist	结下世仇的人
overcome	得胜
nonrestraint	无约束
kilograin	千格令
inversely	倒转
domo	功成名就转而追求悠闲生活的职业人士
whiles	有时候
vulturous	兀鹰
relativize	把……视为相对物
nowhence	无论来自何处都不
kay	凯
customary	习惯
portacabin	=Portakabin
exorable	可用恳求打动
walloping	巨大的
watchword	口号
doldrums	赤道无风带
epibiosis	附生生活
viscerogenic	发自体内的
ack	命令正确应答
dumpishness	迟钝
striped	有斑纹的
intelsat	国际通信卫星机构
thresh	推敲
acatalectic	音节数完整
vacuous	空洞的
toque	无边女帽
bigoted	固执
hypotonicity	低渗
cdgps	Common
flavourful	有风趣
engraving	雕版图
daube	炖肉
setline	有一排钩子的长钓鱼线
hypsometrically	测高术
distilment	蒸馏法
fly	敏捷
entopic	正的
microscopic	精微
provascular	原形成层的
magenta	洋红
stealthy	掩人耳目的
organic	建制的
promotee	获晋级者
mistful	=misty
eyestrain	眼睛疲劳
eristical	=eristic
squarish	有点方的
antisudorific	止汗
dispositive	决定性
autochanger	自动换片器
sputter	急忙地讲
shorthanded	人手不足
yod	希伯来文第十个字母
sympathetically	同情
elevated	提高
awanting	缺乏
vivific	使活跃
slowish	速度较慢
selenate	硒酸盐
forebrain	壮年人发达的脑部
devilishly	厉害地
unscripted	不用剧本的
chalcedonic	坚强
elam	埃兰
meagrely	贫弱地
outmaneuver	以机动性胜过
haciendado	庄园或农场等的主人
fashionist	提倡时尚者
fliting	争论
unlistening	不留神听的
guardship	警戒船
redislocation	复脱位
fidelity	诚实
hobbyhorse	木马
uninstructed	未经教导
underproduce	生产不足
rhetorician	修辞学者
m	发票日
pensive	沉思的
eruptive	疹的
leavy	叶茂盛
eam	Ethniko
accessibility	可到达
outspent	的过去式和过去分词
whistle	口哨
elegant	端庄的
aidance	帮助
mindon	精神信息粒子
fetation	怀孕
print	出版
edge	缓缓移动
benzonitrile	氰苯
moneybag	财富
npcf	全国控制污染基金会
bavarian	巴伐利亚的
subrent	转租租金
tomentose	被绒毛的
nutsy	发狂的
consumedly	大大地
slashing	鲜明
fancy	迷恋
prank	胡闹
postiche	仿造品
arbitrageur	从事于套利之人
dearness	高价
nettlefish	海蜇
privilege	特免
resurgam	我将再起
forestall	囤积居奇
prognoses	预后
bayeux	贝叶挂毯
extractible	可提取
essay	尝试
cinerary	放灰的
haste	急忙
superficialize	使表面化
animating	启发的
exogenous	外因
hyposulphurous	连二亚硫酸
dainty	优美
hermoupolis	厄木波利斯
rontgen	X光
writer	作者
dephosphorization	去磷
bloated	发胀的
sniff	吸
shoal	鱼群
galloot	愚笨的人
yawny	令人打呵欠
townie	城市生活
kitling	小猫
decametre	十音步的一行诗
interlocutor	对谈者
binding	粘合物
loppy	无力地下垂的
guiltiness	罪的自觉
decorticate	剥皮
lentigines	痣
perplexed	不知所措
coincidental	符合
penitentiary	监禁的
nonresident	不住在任所
flitch	背叛
insulating	绝缘
thallous	第一铊盐
tendentious	有倾向
cockeye	扭曲的
bifoliate	双叶
monterrey	蒙特雷
byelaw	规则
soloistic	独奏的
extract	精
aetatis	在……岁时的
paperweight	纸镇
auspicate	卜得吉兆而开始做某事
c	世纪
approbate	认可
unaffected	未受影响的
reviewable	可回顾的
show	展览
ring	套住
rehearsal	试演
costive	小气
orbit	盘旋
brittle	脆弱
hexenbesen	丛枝病
shiftless	无能的
turbulence	紊乱
soybean	大豆
roily	被激怒的
asway	摇摆的
turboelectric	用涡轮发电机
fractionary	断片
fmc	Maritime
thievish	有偷窃习惯的
homoplastically	类似地
creeping	爬行
amphisbaena	无足蜥蜴
moderatism	温和主义
rockweed	生于海岸岩石上的海草
scoundrelism	卑鄙
otb	betting
extemporal	无准备的
obconical	倒圆锥形的
lacedaemon	古代斯巴达的别称
yachter	乘快艇者
damnable	可诅咒
benison	祝福
doggie	汪汪
lamona	白毛矮脚鸡
lallan	苏格兰低地
liquorish	讲究吃
strange	前所未知的
ceremonial	仪式
asleep	睡熟的
chevet	伸出的礼拜堂
dayton	代顿
sycophancy	奉承
aggravating	使恶化的
aroid	天南星科
dolichomorphic	部分肢体特别长
udf	Universal
iaupe	国际大学英语教授协会
cinemicrography	显微电影摄影
delegant	将债务转由第三者偿付的债务人
holocoder	全息编码器
chauvinistic	盲目的爱国心
cno	of
futilitarian	悲观主义
derivation	来历
hush	安静
pretorian	监理军事的执政官的
nira	Act
ling	石南之一种
connivance	默许
dreadful	讨厌
core	核心
overthrust	上冲断层
pinto	黑白斑纹的
screak	刺耳的声音
umbrageously	易怒地
retrojection	后投
aclu	Union
tightness	坚固
surplice	白袈裟
reduction	约简
tame	被开垦的
tournois	图尔城铸造的
pathogenic	病原的
transpiration	流逸
migrator	移居者
riverine	河边
tricksy	淘气的
aortitis	主动脉炎
cesspipe	化粪池等的排水管
precipitate	促成
oakley	Oakley
hosiery	袜类
plumbiferous	含铅的
chill	寒战
minor	未成年的
greatest	最好的
iridectomy	虹膜切除术
positive	原级的
ordinary	罪犯的忏悔牧师
insectival	昆虫的
arrant	彻头彻尾
crubeen	脚爪
amphichroic	双变色
mere	仅仅的
definition	定义
filmable	可拍成电影
floridly	华丽
centennial	一百年的
amur	阿穆尔河
bowery	有亭子的
infectious	易传染的
tall	夸大
reassess	再估价
unreported	没有报道
dicty	极好
munificent	宽宏的
ipts	Scale
tocher	嫁妆
boxy	矮胖的
sulphite	亚硫酸盐
sanskritist	梵语学者
grandniece	侄外孙女
impermanent	非永久的
hell	该死!
runproof	不会渗化的
anticlerical	反对教权
desecrate	亵渎
magnetic	磁的
enormous	极恶
disqualification	剥夺资格
laundry	洗熨
filamentary	似丝
nautical	航海
quadrangle	四边形
sark	衬衣
sardis	萨迪斯
russia	俄国
bondage	束缚
indecorously	无礼
marathonian	马拉松战役
pokey	狭小的
medicable	可治疗的
electrodermal	皮电活动
impermissible	不许可
standpoint	立场
ostensive	以事实例证的
civil	文职的
blackwater	黑尿病
tuque	双层编结御寒帽
coasting	沿海贸易
great	非常的
gunport	炮眼
matted	无光泽
debarment	阻止
sunk	凹陷的
swinger	赶时髦的人
nooning	中午
ilk	种类
conscienceless	不知廉耻
roue	享乐者
compages	构造
maidenliness	处女样子
tubercule	小结节
ragged	粗糙的
usia	美国新闻署
lewd	淫荡的
presser	压榨技工
lot	份额
pentagonese	五角大楼行话
language	语言文学
cinerary	骨灰的
madzoon	=matzoon
unsolvable	不能解决
material	物质的
imperceptibility	看不见
procurer	做淫媒者
middlebreaker	开沟破土犁
quadriennial	=quadrennial
shut	关闭
simile	明喻
enigmatize	使成谜
respectively	各个
hardcover	精装的
pusan	釜山
separatism	分离主义
behest	要求
headstrong	任性
lateroversion	侧倾
alternating	交互
trustify	组成托拉斯
basal	基部
proprietory	=proprietary
frigidity	性感缺失
adventurous	喜欢冒险的
contrapuntal	对位的
spoondrift	浪花
coowner	共有者
uncommunicative	拘礼
sylvan	森林之神
flicker	颤动
hypocoristic	昵称
webernesque	具有韦伯恩音乐特点的
defeasible	可废止
germinal	幼芽的
maximum	极大
estuary	江口
phrenetic	发狂的
kenyan	肯尼亚人
curvilinear	由曲线而成
misspoke	念错
