bier	棺材架
caprification	虫媒授粉法
out	出声
backen	逆时针方向转变
depressing	抑压的
yesteryear	去年
bateleur	短尾鹰
atmological	水蒸气学
torus	花床
mordancy	尖酸
spurt	喷出
ganefo	Games
shrewdly	机灵的
revelation	显示
temple	庙
shock	浓密
fmcs	Service联邦仲裁与调解局
dovecote	鸽舍
state	国家的
chief	首要的
breadbasket	腹
duchess	女公爵
pluvian	下雨的
swizz	诈取
very	绝对的
tother	另一
zincographic	锌版术
brotherly	亲切
mortify	坏死
rhizogenesis	根之生长
erect	使直立
lithic	结石
vasodilating	引起血管舒张的
foil	挫败
northwestwards	向西北方地
haymaker	干草机
corvina	石首鱼
workaholic	专心工作的人
overhasty	过于草率的
prescient	预见的
throughly	十分地
pigment	颜料
moorage	系泊费
rageful	狂怒
defunct	死了的
askew	歪斜的
last	维持
sapsago	绿干酪
touchline	边线界线
underage	缺乏
pediatrics	小儿科
ballooning	随风飘荡
invigorator	补药
castiron	强壮的
chowder	杂脍
chickling	野豌豆
pyrotechnical	烟火
bastinade	棍
cosmopolite	见闻很广博的
castroism	卡斯特罗主义
halid	卤化物
stealing	有偷窃行为
orexis	食欲
pliancy	柔软
deist	自然神论信仰者
rendering	翻译
antifeedant	拒食素
maja	穿着俗艳的美女
crassly	愚钝地
ambulant	走动
hydrometeorological	i:
overlaid	覆盖
indiscretionary	卤莽的
dispersedly	散开
nonarticulate	不连接的
becoming	适当
nondegree	没有学位
church	礼拜
rifle	膛线
unconcernedly	漠不关心
chamber	室
profitless	无益的
goggle	眼睛睁视
fulgurating	钻心
bouncing	巨大的
gastropod	腹足纲的软体动物
curtilage	宅
mesomorphic	具有由中胚叶发达之筋骨的
nonenzymatic	不涉及酶作用
cist	石柜
person	人
unscriptural	非基督教
belemnoid	形像匕首
infibulate	销住
reposit	贮藏
shiv	刀
product	产物
chatelaine	女主人
chiseled	凿刻
lallygag	无所事事
mabe	Economics农业经营和经济学硕士
pervade	遍及
careen	船的倾侧
precedable	可能被超先
vivify	使活跃
lapm	for
zing	发尖啸声
photoemission	光电效应
interiorly	在国内
uncdf	Fund
talisman	护身符
yea	赞成
scandic	钪
gradualness	徐徐
lcp	Protocol
perionychium	甲周表皮
hep	碎甲弹
darwinian	达尔文
flush	惊飞
interspinous	椎间
superannuated	退休
exaggerated	言过其实
alible	有营养
unifoliate	单叶
kolima	=Kolyma
ganefo	the
stillroom	蒸馏室
unsccur	Utilization
touchwood	火绒
stymy	完全妨碍
jacobinize	灌输雅各宾党的主张
torchlight	火炬之光
msha	Science
persuadable	可以说服的
ostentation	摆阔
scion	子孙
retractile	收回的
cofunction	余函数
contessa	伯爵夫人
unmutilated	非残缺不全的
clipsheet	报刊等只印一面
exopathic	病因在体外
ecdysone	蜕皮激素
field	田间的
beacher	浪涛
flakily	薄片
cerebral	脑
spiritually	在精神上地
hooch	烈酒
pyrograph	烙出图形
petrous	岩石的
sonantize	使发浊辅音
silique	长角果
withy	柳条绳索
zincy	似锌
schmitt	施密特
sleepful	睡眠
nonreliance	不信赖
absolutize	使……绝对化
tablemate	同席进餐者
apophthegm	格言
yavis	事业发达的人
standby	备用
campanological	鸣钟术
obadiah	希伯来的先知
hoar	灰白的
custodianship	管理人之职务或地位
subpena	传票
adopted	被收养的
crisper	新鲜蔬菜保存盒
desiccative	使干燥
circadian	以24小时为周期
scurrilous	使用低级粗俗语言的
frivolously	轻浮地
sissified	女孩子气的
riot	参加骚动
struck	受罢工影响的
gorgio	非吉卜赛人
idiosyncrasy	特性
tuboplasty	输卵管整复术
distention	膨胀
scrappy	爱打架的
wizard	巫术的
overprize	过于珍视
purim	普林节
antimalarial	抗疟的
wrongful	不正当
systematism	组织化
seeder	播种人
denegation	否定
preconscious	前意识
unarguable	无可争辩的
flickeringly	闪烁地
sulfid	硫化物
unsure	不肯定
eacm	Market
bethanechol	乌拉胆碱
signaling	打信号
royster	=roister
begird	以带子缠绕
locrian	洛克里斯人的
goulard	稀铅醋液
parameter	起限定作用的因素
flay	严厉批评
cleverly	灵明
painless	不痛
whenever	随时
unartificial	自然
exceptionable	要不得的
doctrinism	对教义
calesa	二轮敞篷小马车
expectative	预期的
fathom	测量深度
entitle	授权
closing	结束
elide	不予考虑删节
pyralidid	螟蛾
habilimented	穿着服装
eucalyptol	桉油精
clart	泥土或尘土的污点
bodily	身体
compendia	概略
expellee	被开除者
hypostyle	多柱式建筑的
phelloderm	软木皮层
forthcoming	即将来临的
naan	=nan
iatrochemistry	化学疗法
heterogenesis	世代交替
vagodepressor	迷走神经抑制剂
soredium	粉芽
intricately	杂乱
amphimixis	交配
drawerful	大量
bother	烦恼
senusi	赛努西教徒
fucked	fuck的过去时
anaesthesiologist	麻醉学者
buckinghamshire	白金汉郡
scagliola	人造大理石
dorhawk	欧洲夜鹰
unexpiated	未补偿的
capillarimeter	毛细管测液器
doorjamb	门框两侧的直木
larger	多量的
gardenia	2栀子花
helicon	海利空低音大号
contrariant	敌对的
cloistered	隐居
senryu	川柳
shivery	寒冷的
pectinate	梳状的
impious	不尊敬的
bombora	危险水域
longevous	长寿
comingout	为介绍少女初次参加社交活动而举行的正式舞会
brilliantly	光亮
lyon	里昂
accustomed	按照风俗习惯
inspirer	inspiring启发灵感
emilia	伊米莉亚
fddi	Fiber
postharvest	用于采收后
indian	印第安人的
presidial	总统
unfinishable	结束不了
pylori	幽门
ccitt	International
nonconformity	不信奉国教
dimensionally	在尺寸上
insurrectionist	造反者
rising	起义
backpat	拍拍肩
foudroyant	引起敬畏
kennedy	肯尼迪
bughunter	昆虫学者
diphonemic	双音素的
symmograph	绕线图画
suppletive	异干互补
arises	站立
space	留间隔
helicograph	螺旋规
mayhem	伤害罪之一种
magnolia	玉兰类的植物
glucoside	配糖物
polyoxymethylene	聚甲醛
harthacanute	哈瑟克努特
dccc	罗马数字
fuzzbuster	挫警仪
rascally	卑鄙
contrivance	发明才能
romper	嬉戏者
downline	沿下行线
seedtime	准备阶段
anodal	=anodic
epipteric	翼上
naumachy	=naumachia
fozy	愚笨的
narcissistic	自恋
supervenient	意外发生的
glidingly	滑行
waxwork	蜡像
brigandage	盗窃
skulduggery	诡计
celibate	未婚
typo	印刷工
wisperer	耳语者
sequacious	盲从
pomade	涂以润发油
deuteride	氘化物
zoroastrian	与索罗亚斯德教有关的
misfit	不相称
acoustical	听觉
anadyomene	爱与美的女神
wherefore	为什么
solemnness	严肃
paillasse	木屑床垫
unaccepted	未被接纳的
agreed	已经过协议的
ter	=terr
contriver	创制者
pedestal	基架
fulmination	爆鸣
pigmentize	颜色
debarment	排除
chapman	商人
beja	贝沙族
frgs	the
consort	结交
intact	完整无缺
ingoing	进入
touching	令人同情
scrumptious	味美
tripolar	三极
eurybath	广深性水生生物
indispensable	绝对必要的
orbiculate	球状的
clonism	抽搐
tinge	气息
immortalization	不灭
refractional	屈折的
gyratory	旋转的
hendecasyllabic	包含有十一音节
sparid	鲷
incarnate	化身
tendencious	立场倾向
pollution	玷污
molly	懦夫
blameful	该受谴责的
irredeemable	不能赎回
sunnite	逊尼派
senna	晒干的番泻叶
unequalable	敌不过的
blusterous	叫嚷的
gerontogeous	东半球
tenson	吟诗比赛
undenominational	非宗派约束
heterofil	共轭丝的
paleoprimatology	古灵长目学
recoronation	从新为……加冕
harmonicon	口琴
tinkerly	笨拙的
horace	贺瑞斯
complaining	诉苦的
codex	抄本
sphere	球
confect	蜜饯
crotchety	想入非非
inheritance	遗传
inexplicably	到无法说明的程度
townward	往城里的
technological	科技
factious	好捣乱的
hope	希望
wallpaper	壁纸
trunk	象鼻
now	立刻
disciplinarian	训练
lickerish	讲究吃的
emulatory	竞争的
pneumatolytic	气成的
heteronomous	他律的
rightly	端正
frisk	欢跃
edo	扩充的数据总线
priestly	僧侣似的
railhead	铺设中的铁路末端
unenlightened	无偏见
gerontology	老人医学
potpourri	肉菜杂烩
screen	屏
webbing	厚边
ternate	三出的
bemazed	迷惑
maderization	呈现褐色
anabaptist	再洗礼教徒
contrary	相反地
trackball	跟踪球
vernal	和煦的
furthersome	有利的
bryozoan	苔藓虫类
feature	容貌
lace	饰以花边
unstirred	未受激动的
pupal	蛹的
undying	不死的
quadrifid	分成四部份
semicylindric	半圆柱状的
approvable	可核准的
limb	分支
pure	完美
exterior	表面
identity	特性
achondrite	不含球粒陨石
durability	耐久力
intermediary	中间
psat	Scholastic
negritude	对黑人文化传统的自豪感
unsmart	不精明
panties	短衬裤
swale	沼泽
waterscape	水景
hyperinsulinism	胰岛素过多
crawl	蠕动
catatonic	紧张性精神症患者
tzaristic	=czarist
pathognomonic	特殊
binary	二元
floating	漂浮的
unseemly	不适宜
polytene	多线染色体的
reconsolidate	重新合并
viscera	内容
tatty	破旧的
setiparous	生刚毛的
permeation	渗入
eunuchism	阉人状态
african	非洲
mesial	中间的
desolately	荒凉地
spik	=spic
spacious	广大
sale	出售
fete	庆祝
feignedly	装聋作哑
rapidity	迅速
worshipful	值得尊敬的
inharmonious	不合谐
knickerbocker	纽约市人
unsolicitous	未悬念的
score	起跑线
stanchly	忠实地
renouncement	拒绝
striation	条痕
talkie	有声电影
skidder	集材工
bva	Association
jerk	痉挛
haemostatic	止血的
awheel	骑脚踏车地
bumblepuppy	球戏的一种
conscribe	强行征召
merciful	仁慈的
drover	牲畜贩子
formatting'	NULL)
youthfully	无经验地
microscope	显微镜
hemizygous	半合子的
heliograph	太阳摄影机
shem	闪
penstock	水渠
nervy	有勇气的
magnitude	数量
playback	重放
refluent	回流
zincify	在……
linguistic	语言上的
eilat	埃拉特
odds	差别
unshirted	不加装饰
pstn	telephone
execute	经签名盖章等手续使生效
floodgate	水门
arrhythmia	心律不齐
tyre	装轮胎于
architrave	框缘
sinophile	亲华的
ceruse	白粉
tonga	Tonga
verbenaceous	马鞭草科
aleurone	糊粉
whiter	白的
wsa	Shipping
irishman	爱尔兰人
hypoblast	下胚层
locrian	洛克里斯
psychoenergetic	[量
penitentiary	教养所
watteau	华托式
corresponding	通讯的
lousy	恶心的
undersexed	性欲淡泊
leukemogenic	引起白血病的
bepuzzle	使困惑
gdmo	管理对象定义标准
unprescribed	非指定
blender	掺和器
andesite	安山石
venusian	金星
jesus	耶稣
ullmannite	锑硫镍矿
hydraulic	水力
baywood	大叶桃花心木
intellective	智力
ascendency	优越
sitting	在任期中
hodoscope	宇宙射线描迹仪
vaticanologist	梵蒂冈学家
diana	月
tucson	图森
sinew	原动力
misgivings	害怕
legitimization	认为正当
irdp	ICMP
uvulotomy	悬雍垂切开术
underact	不卖力地演
nashville	纳什维尔
tease	戏弄
statedly	庄重
wonder	惊讶
involute	复杂
swish	时髦的
unsalable	滞销
byelaw	内部规则
achromatous	淡色
thrippence	=threepence
exhilarative	令人兴奋的
temptable	可诱惑的
providence	天意
racemization	外消旋作用
respirometric	透气性测定的
headlike	头状
unyieldingly	坚硬地
nakedize	使暴露
promontory	海角
sporular	孢子的
rawheel	新来者
rascal	流氓
amplitude	丰富
digital	数位的
brigadier	旅长
cliff	悬崖
evernormal	平常仓贮
publish	出版
directrice	女董事
specify	指定
thereafter	其后
experientialism	经验主义
scepticism	怀疑论
congener	同属的
ream	扩展
northwards	朝北地
asphodel	日光兰
pacification	平定
ejectment	驱逐
taihang	Mountains
aew	空中预警
obscurity	偏僻
unfavourably	不适宜
synodic	相合
biotical	关于生命
operational	运作
loth	勉强
deed	实行
unreckonable	难预测的
sandboy	卖沙的小孩
protea	山龙眼
undesirous	不存想望
julius	朱利叶斯
hexapodous	昆虫的
barracoon	待贩运的奴隶的临时禁闭处
sainted	上天堂的
scrumptious	极为愉快的
respective	分别
kevazingo	该树的木
thinker	思想家
obsequious	拍马屁的
samyama	内助
foreland	角
pout	撅嘴
unwashed	无知
german	德语
unliveable	=unlivable
diffusionist	传流论者
disqualification	不合格
decasualize	解雇临时工人
dominical	主日
druggist	药材商
left	左派
freemasonic	共济会的
iridescence	彩虹色
adulterator	伪造人
septicaemia	败血病
epitaxial	取向附生
drive	击球
ber	基本编码规则
lankily	过分瘦长
overall	全面
lupulone	蛇麻酮
hereditarily	世袭地
grind	磨
betake	使去
sialic	硅铝带的
direct	顺行
abnormal	变态
minuteness	绵密
nematocyst	刺丝囊
zoomorphize	给予动物形象
minimus	微小
bronzy	仿青铜
leal	忠实的
seducement	诱惑手段
diligent	用功的
cochromatograph	共同色苃y/9kEJkrEJmE`tCrB:f/
nonrecurring	不重现的
posb	office
impartial	公平的
fretful	烦燥的
mousey	多鼠的
wineglassful	一酒杯的量
various	各种各样
ironbound	坚硬
uniform	始终如一
antithetic	对立的
ethelred	埃塞雷德
gyges	古阿斯
siamese	暹罗人
suasion	说服
lentoid	透镜状的
unpropertied	无产
leicestershire	英国爱尔兰东部的郡
usv	States
outrageous	令人不可容忍的
syngen	种群
lacus	湖
general	综合的
immerge	浸没
quick	敏捷的
remedial	治疗
pedestal	底座
hullabaloo	喧嚣
meteorologic	气象的
turtlet	幼海龟
aleatory	偶然的
illustrative	例证性
thermodynamic	使用热动力
towpath	拉船路
separately	分离地
hemochromogen	血色原
centralized	中央集权
enticing	迷人
fancify	幻想
tragus	耳珠
confect	把……制成糖果
owler	走私者
banjulele	弦乐器的一种
persuasion	说服
sked	计划表
riometer	相对电离层吸收仪
flimsy	薄纸
hepatogenous	由肝产生
impotable	不适合饮用的
tinder	易燃物
tuckahoe	茯苓
unperson	被冷落的人
undro	United
condensative	可凝结的
rachiodont	具喉齿的
graveward	向着坟墓
boudin	血肠
micelle	胶束
spend	花费
trod	tread的过去式及过去分词
inimitably	无法仿效地
macrocephalic	大头
ablaze	着火
charas	大麻脂
eminent	优良
spirula	旋壳乌贼
coloration	着色
foreshots	初酿威士忌
handless	笨手笨脚
sydneyite	悉尼居民
doa	dead
piffling	琐碎的
inhumorous	不滑稽的
mdram	Multibank
allostery	变构状态
voltairean	伏尔泰风格
alumnae	女毕业生
hag	砍伐
lousy	恶心
receptiblity	能接受
remediation	辅导
harry	掠夺
mhw	mean
tuvaluan	图瓦卢人
xyster	刮骨刀
coriander	胡荽
variably	易变地
pungent	苦痛的
furzy	像荆豆属植物
chasse	快滑步
cytoplast	细胞质
tarsometatarsus	跗跖骨
inconsonant	不一致
haft	柄
chillily	冷漠地
unable	不会
janus	两面神
unedible	=inedible
hutch	笼
plethoric	过多
lidocaine	利多卡因
spiry	螺旋状
fried	油炸的
shikoku	四国
serf	奴隶
hook	吊钩
christian	基督教
refixation	重新装设
begrimed	污秽
uredium	=uredinium
dentiform	齿形的
talent	才能
rudely	粗暴
steep	浸
espanol	西班牙
monobasic	单碱的
equinoctial	赤道的
queerish	古怪的
factor	因素
betake	使用
isaac	艾萨克
overtime	加班的
uprootal	离开家园
genealogical	宗谱的
gore	顶
falasha	法拉沙人
vacuation	抽空
bimorphemic	双语素
scolopophore	具橛神经胞
repeated	重复的
ingliding	内向滑音
christianism	基督教
incised	切入
nondegree	没有学位的
misunderstanding	误会
coed	男女同学
gramophone	留声机
windless	无风
stigmatic	污辱
futility	轻浮的言行
undertrump	王牌低吃
counterblast	猛烈的反应
macrophotography	低倍摄影
fiddle	虚度时光
millet	粟
ingush	英古什人
kitten	小动物
back	后面
weathering	侵蚀
ciaa	Intercollegiate
christless	不信奉基督的
thrust	延伸
extended	延长的
landmine	投伞水雷
ripely	成熟
unforgiving	不能原谅
klatch	聚会
fleshy	丰满
lawman	执法官
ems	电子函件业务
persist	持续
philobiblic	爱好文学的
aryan	雅利安语系
vulcanist	热月学家
organizational	组织的
bunkhouse	简陋屋
daylong	一整天
pertinently	适切地
autogamy	自核交配
ordure	淫秽的话
wired	接有电线
directorial	管理
bushwhacking	游击战
imperfect	未完成过去时的
reseat	给……装新座
rarp	Resolution
time	时间
impenetrable	难以渗透
sputum	痰
fermentum	一份圣饼
roburite	罗必赖特
solaria	solarium的复数
pertinency	针对性
myelitic	侵入脊髓
politely	优雅地
lesson	课程
unpleasant	讨厌的
ferbam	二甲胺基荒酸铁
heathy	石南的
dermatoid	皮状的
decuple	十倍的
expedite	加速
electrowinning	电解冶金法
arid	沉闷的
bulk	显得重要
alcyonarian	低等腔肠动物
truckman	消防员
jumbled	乱七八糟的
discontented	不满意
orientalism	东方风俗习惯
annunciation	天使报喜
spirogram	呼吸描记图
groovelike	缺乏独创性
artificially	人工
demimondaine	暗娼
unobservance	不观察
commandment	戒律
dichroism	二向色性
podsolise	=podzolise
dpt	pertussis
nonrepresentational	抽象
hungary	匈牙利
earwax	耳垢
manchineel	烛台草科之草木
cheeringly	令人愉快地
savate	一种法国式拳击
flocking	植绒花纹
provenance	出处
irritative	刺激性的
antifebrile	退热
slack	不流畅的
oxytocic	阵痛促进的
worm	慢慢地走
argentous	银
nonparous	未生育过
down	沿着
erubescent	变红的
comically	诙谐地
waiting	等待的
funiculus	细绳
fascinatedly	出神地
securely	安心地
pivotal	枢轴的
rescissible	可废除
uncalculating	未经过仔细分析
retuse	浅凹形的
mandinka	=Malinke
premix	预拌和料
muzzle	动物之鼻口
missaid	missay的过去式及过去分词
saskatchewan	萨斯喀彻温省
biblical	圣经的
thunderous	象打雷
craniad	向头部
plumy	羽毛似
phonevision	电话电视
stethoscope	听诊器
unpresumptuous	谦逊
annonaceous	番荔枝科的
dole	施舍品
lubber	笨拙的
alforja	颊囊
intertribal	部族间的
advertising	广告业
chromatophil	易染色性的
mosquitocide	杀蚊药
vstol	垂直短距起落飞机
gelatinase	白明胶酶
apogeotropic	背地的
physiognomonic	=physiog/
impervious	密封的
amerasian	美亚混血儿
improved	改良的
reefer	冷藏车
rac	Royal
inchon	仁川
affect	侵袭
imperforated	未穿孔的
celt	凯尔特人
industrious	勤勉的
nbs	Bureau
expansion	扩充
swart	有害
tacmar	Radar
row	划
paranormal	超过正常范围的
kenspeckle	显著的
pragmatise	=pragmatize
gallisize	加水和糖于……
unfluctuating	不变的
demonise	=demonize
belizean	伯利兹的
deadness	死
bologna	一种大腊肠
file	锉
recruit	复原
differentiability	可辨性
sovietism	苏维埃制度
unwelcome	不受欢迎的
yavis	雅斐士
elegant	第一流
your	你们
spilikin	做游戏用的小木块
crimea	克里米亚
flaccidity	软弱
capitate	头状花序
anthropopathic	认为神具有人性的说法
prudish	过分规矩
spiritedly	有精神地
erythropsia	红视
cancerous	癌
spiculate	由针状物覆盖
intraepithelial	上皮内的
cooker	蒸为烹食所种水果
rezidentsia	=residentura
fainty	昏晕的
septenary	七年期
fall	击倒
freckly	多雀斑
poise	均衡
kemalist	基马尔式
apophysis	隆起
hemipod	=button
visuospatial	视觉空间
thingamy	某某东西
ace	Allied
mahlerian	马勒的
unformulated	未用公式表示
surgical	外科医生
administrators	管理程序/hip//
countermand	取消
thermoregulation	温度调节
backing	支持者
steepled	有尖塔
mun	蒙河
cell	单元
myosotis	勿忘我草
budgerigar	相思鹦鹉
millihenry	毫亨
vastly	巨额
spurt	冲刺
inlook	向内看
dish	盘装菜
quivery	颤抖的
bassoon	低音管
kaiserdom	皇帝的辖区
beethovenian	贝多芬音乐作品
pannikin	酒杯
x	第二十四
furunculoid	像疔疮的
discolor	使污染
athirst	渴望
abundant	富于
tournament	联赛
burning	燃烧
uncharitable	无情的
marlin	枪鱼
cabalistic	神妙的
stratigraphical	地层学的
foully	下流地
mechanotherapy	机械疗法
scallawag	无赖汉
staple	钉书钉
tumbledung	=tumblebug
matted	缠结的
partyism	党派性
yammer	哭诉
imaginable	可想象
nighttide	夜间
gunn	耿氏效应的
fleuret	花剑
armillary	手镯的
farewell	再见
manganic	得自锰的
biter	骗子
cliffhang	悬疑
toddle	蹒跚走路
splenic	脾
schizothymic	分裂样人格
vigilantly	警惕
berm	崖径
intransit	在旅途中
injective	内射的
photophoresis	光泳现象
inductile	不屈
bioacoustics	生物声学
watertight	不漏水
heathery	似石南
tartarous	酒石的
chamiso	一种蔷薇属灌木
hydrous	含水的
puff	张开
aeromechanical	航空力学
chartered	受特许
manichaeus	Mani
idiomorphism	整形
furuncle	疔疮
fwpca	Water
aliphatic	脂肪族的
polynosic	高湿模量粘胶纤维
semidetached	半离的
tribade	扮男性的女性
jockette	女骑师
unbusinesslike	不认真
impotence	无力
abet	教唆
ahull	卷帆并转舵于下风
strati	的复数形
nautilus	鹦鹉螺号
flivver	廉价小汽车
boson	玻色子
decisionmaker	决策者
overprint	印戳
tatami	榻榻米
inkyo	隐居
monoclinal	单斜
hypercorrect	矫枉过正的
apart	分开
quercitrin	栎素
rush	涌现
tapadera	革制马镫罩
uveitis	葡萄膜炎
mutually	互相
infeasible	不可实行的
fiddlefucking	该诅咒的
centrifugate	以离心力分出之物
anorectal	肛门直肠
japanolatry	亲日
travel	传播
rostellate	有蕊喙的
reciprocity	互惠
coatrack	衣帽架
proline	脯氨酸
undistracted	不分心
tremulously	畏惧
acclivitous	倾斜
phew	咂舌头
acceptance	赞同
prolonge	拖曳钩索
chafferer	愚弄者
semilanceolate	半矛尖状
receptible	能接受
menfolks	男人
spareness	瘦弱
solitarily	寂寞地
pineapple	凤梨
contraorbital	与正常轨道反向
dishing	碟形
yonnie	石头
infante	亲王
mordacious	咬痛的
moocher	敲诈者
periclean	伯里克利统治时期
enregister	记录
ascending	上升的
budding	发芽
pretzel	法国号
unharmful	无害的
inauthoritative	/
rostrate	有喙状突起
agrophilous	栖耕地的
rutherford	卢瑟福
consistent	相容
russet	黄褐色
diglossic	使用两种语言或方言的
highbinder	恶棍
artal	rotl
grok	通过神入作用而理解
telecom	telecommunication
bargeman	平底货船的船员
irretraceable	不能再找到
loving	亲爱
arillate	有假种皮的
antsy	热锅上的蚂蚁般的
motherlike	母亲似的
clag	凝结
compelling	引人注目的
unsensible	无感觉
abbreviative	缩写
to	给……
undone	破灭
costful	珍贵
foreshank	牛前腿上部的肉
glandulose	有腺的
celebret	主教或高神职人员所发可主持弥撒的证件
roughneck	无赖
dateless	虽旧仍好的
electropositive	阳电的
apocalyptician	预言大灾难降临的人
castellar	城堡的
adwoman	女广告人员
faggy	同性恋的
veneration	崇拜
tew	tactical
revelatory	启示性
pillory	颈手枷
substitution	代入法
impermissibility	不许可
anopheles	按蚊
paleogene	=Palaeogene
contignation	台
gristmill	磨粉厂
takahe	=notornis
truest	真的
guyenne	=Guienne
highbush	形成高灌木上
ectypal	复制的
frankincense	乳香
abcoulomb	S
imposturous	欺诈的
unsicker	不确实
itch	疥疮
doughtily	强
endwise	末端朝前或向上
asperifoliate	有粗糙叶子的
arbitral	仲裁
pyrocondensation	热缩
gabble	急促而不清楚地说话
olden	古昔
exit	脱离
offhandedly	即席
waxiness	柔软
nosh	吃点心
iconoscope	映像管
culpable	不周到
var	乏
roughhewn	粗凿
pitchblende	沥青油矿
paraphrasis	意译
zabrze	扎布热(旧称兴登堡
byline	标题下署名之行
ubication	位置
mobility	机动性
frg	of
sciagram	X射线照片
excitably	易兴奋
remunerative	有报酬
clarinda	克拉琳达
quandary	进退两难
poetical	理想化的
sergeant	军士
squiggly	弯弯曲曲
locker	有锁的存物柜
valour	勇猛
tetrachord	四弦琴
embed	嵌入
ate	吃
beneficially	获利地
strychnia	=strychnine
geographer	地理学者
cockish	傲慢
discolored	脱色
forepast	=forepassed
nummulary	货币的
stretch	一段路程
bonze	和尚
fiducial	基准的
geisha	歌妓
febriferous	造成发烧
rhebuck	短角羚
mepacrine	阿的平
haligonian	哈利法克斯的
xenophobia	仇外
encore	要求再演或唱
mpm	per
caulk	填……以防漏
blenheim	布伦海姆
knobbiness	疙瘩
rewake	再唤醒
conation	意动
benignantly	亲切
conformable	一致的
vanessa	Vanessa
endocytose	吞噬
cirrocumulus	卷积云
unbuttoned	无拘束的
maritime	海事的
bolt	跑掉
titivate	打扮
concessively	让步
strongyloid	圆线虫总科的
mph	per
obcompressed	倒扁形
hierachical	天使
conventioner	会议代表
brickfield	砖厂
unicameral	单院的
west	西方
vocalism	发声
incongruity	不调和的
pearlised	=pearlized
nebular	星云
veracious	真实
vicuna	小羊驼
haemoptysis	咯血
time	比赛限时
ateliosis	发育不完全
rebuttable	可辩解
expressionistic	表现主义
greenboard	绿板
setup	装备
prahu	=proa
bucaramanga	布卡拉曼加
gravitational	重力的
patentee	专利权所有人
dutiful	忠实的
lemonlike	似柠檬的
clear	清晰
apocalyptical	启示论
petty	小型的
unacknowledged	不被承认
arquebus	火绳钩枪
spaish	西班牙人
steady	扎实的
podded	有荚的
fleece	剪下羊毛
plasterwork	抹灰泥工作
hypochondrium	疑病症
jollify	使高兴
comprimario	主要配角
frugivore	食果动物
euphemistic	委婉的
poc	port
fabrication	制作
afflux	流入
calculate	考虑
arrant	极恶
usaid	Agency
dracone	弹性拖曳容器
policemen	警察
flavourful	有风趣的
wechty	=weighty
ent	ears
minify	缩小
scarification	乱割
insanity	疯狂
transferrin	铁传递蛋白
underappreciated	未受到充分赏识
democratic	民主主义
souvlaki	=shish
tribasic	三盐基的
nosogeography	地域病理学
thole	钉桨架的钉
sleighing	乘橇
orthoclastic	有彼此直交的解理面
lingy	石南很多的
autodyne	自差收音机
canonicity	合正典
arseniureted	砷化的
gorge	狼吞虎咽
stump	树桩
enceladus	恩克拉多斯
ragwheel	布抛光轮
scotometer	暗点计
quixotically	唐吉诃德式地
chylify	变成乳糜
bto	Big
sympathetically	怜悯地
archaistic	古风
supernatural	神奇
greasepaint	演员化妆用油
morphactin	形态素
hagiography	圣徒传
teleologic	目的论的
antigone	安提歌尼
lh	:
hereto	关于这个
egp	外部网关协议
hypertonia	张力亢进
antiapartheid	反种族隔离
ascesis	禁欲
biserial	双列的
rhumb	罗盘方位单位
unaired	不通风的
submarine	潜水艇
commander	司令官
graveness	重大
scurvy	卑鄙的
frigidity	寒冷
fastigiate	倾斜的
stabbed	中伤
asocial	自私
mayst	=mayest
gpi	of
consensus	舆论
dynamic	动态的
pastorage	=parsonage
admonitory	劝告
austronesia	太平洋中南部诸岛
powwow	举行仪式
monofunctional	单官能的
unpunctuated	未加标点的
voder	语音合成仪
loudly	大声
regally	象帝王地
compaction	紧束之状态
aspire	热望
hypogastrium	腹下部
delaminate	分成细层
sinfonia	序曲
recherche	异国风味的
edification	教诲
ric	Institute
bullish	看涨
handful	少数
dendrophagous	食树
autofocus	自动对光
virtue	功效
duskily	微暗
spoilsman	分肥者
final	最后
att	Co
demission	放弃
penultima	=penult
recirculation	再流通
metrist	作诗者
nbw	north
uneventfully	太平无事
langobardic	伦巴第语的
ptomaine	尸毒
stepson	继子
pyrocatechol	焦儿茶酚
belled	有钟形花
exarchate	exarch
solecistic	违反语法的
odt	of
waddy	牧童
mayonnaise	蛋黄酱
fail	不及格
okie	农夫移民
employment	工作
en	在
burliness	结实
dialogic	对话的
merman	善泳的男子
pacesetting	带头的
goshen	歌珊
lifesaver	水难救生员
drenching	湿透
precipitate	猛抛
penthrite	奔斯乃特
unhelm	除去头盔
falsettist	假嗓子歌手
honiest	honey的最高级
mayoral	市长
browsy	适宜于随便翻阅的
drummer	鼓手
reader	读物
authorless	作者不详
transformation	men/
underlining	在……下面划线
uncle	援助者
disquisitive	探讨
block	石块
uncontroverted	无可争辩
centenary	一百年
parget	粗涂灰泥
gibber	叽哩呱啦言语
portulacaceous	半枝莲的
counterweight	平衡力
engineman	操纵引擎者
insufferably	不能忍受地
ordinance	布告
envious	嫉妒的
linebred	品系繁育
seething	沸腾的
dehydrocanned	脱水装罐头
whitefish	鲑鱼的一种
imaginal	成虫
kitbag	旅行皮包
clinkstone	响石
suspenseful	令人紧张
triserial	只有三个轮生体
crowned	王室
ymha	Hebrew
gigot	羊腿
cpaffc	Chinese
unhappy	不适当
colligable	可连结成类连结的
cymoid	状似聚伞花序的
ruling	划线
surtax	附加税
incommunicative	沉默寡言的
stunner	绝妙的东西
enwreathe	围绕
naskhi	阿拉伯文草体
