celticist	研究凯尔特文化的人
polydispersity	多分散性
algometry	痛觉计
pedant	学究式人物
dermoid	皮样的
dermoid	皮样
dermoid	皮状的
dermoid	皮状
abyssalpelagic	深海水域的
abyssalpelagic	深海水域
firefang	受热变质
gook	对韩国人
gook	日本人
gook	菲律宾人的蔑称
adultery	通奸
adultery	通奸行为
tailing	残渣
tailing	尾料
tailing	嵌入墙中砖石突出部
tailing	屑
flexible	柔韧性
flexible	易曲的
flexible	易曲
flexible	灵活的
flexible	灵活
flexible	柔软的
flexible	柔软
flexible	能变形的
flexible	能变形
flexible	可通融的
flexible	可通融
zootheism	动物崇拜
zootheism	动物神教
humankind	人类
paternal	父亲的
paternal	父亲
paternal	象父亲的
paternal	象父亲
caecotomy	盲肠切开手术
lightless	不发光的
lightless	不发光
lightless	暗的
lightless	暗
invidiously	惹人怨恨地
invidiously	惹人怨恨
invidiously	不公平地
invidiously	不公平
effloresce	开花
effloresce	风化
sprocket	链轮齿
acrux	南十字星座中的一个星
rhymer	作诗者
rhymer	打油诗人
isopathy	同源疗法
nonexistent	不存在的
nonexistent	不存在
confect	糖果
confect	蜜饯
confect	调制
confect	配制
confect	混合调制
confect	把……制成糖果
goa	西藏高原产的一种羚羊
radicalization	激进化
radicalization	激进
resurrect	复兴
effractor	窃贼
unbridgeable	不能架桥的
unbridgeable	不能架桥
unbridgeable	不能逾越的
unbridgeable	不能逾越
intercolonial	殖民地间的
intercolonial	殖民地间
kilchoanite	斜方硅钙石
hayfork	干草叉
hayfork	自动堆积干草的机器
aging	老化
aging	成熟的过程
aging	使变老
bailiff	执行官
bailiff	法庭监守
bailiff	法警
bailiff	监守者
bailiff	地主管家的
bailiff	主管家
bailiff	镇长
uprootal	根除
uprootal	灭绝
uprootal	离开家园
reversionary	倒退的
reversionary	倒退
reversionary	继承的
reversionary	继承
inchon	仁川
induce	劝诱
induce	促使
induce	导致
induce	引起
induce	感应
endoerythrocytic	红细胞内的
endoerythrocytic	红细胞内
endoerythrocytic	红血球内的
endoerythrocytic	红血球内
actinon	锕射气
baudelairean	波德莱尔的
baudelairean	波德莱尔
baudelairean	关于波德莱尔的
baudelairean	关于波德莱尔
baudelairean	波德莱尔式的
baudelairean	波德莱尔式
profitably	有利地
profitably	有利
profitably	有益地
profitably	有益
kettering	凯特灵
ratten	毁坏
colourbreed	培育……使具有特定毛色
dialectal	方言的
dialectal	方言
dialectal	乡音的
dialectal	乡音
cantate	圣经旧约诗篇第98
cantate	篇
sure	对……
sure	有把握
sure	确信某事
sure	稳当的
sure	稳当
sure	可靠的
sure	可靠
sure	的确
sure	当然
cover	盖子
cover	封面
cover	藉口
cover	覆盖
cover	铺
cover	掩饰
cover	保护
cover	掩护
cover	包括
cover	包含
cover	适用
cover	覆盖
cover	涂
cover	代替
zen	禅
zen	禅宗
technopolitan	技术社会的
technopolitan	技术社会
removalist	搬运工
removalist	搬运商
removalist	搬运公司
blastissimo	极强的
blastissimo	极强
diplomatic	外交的
diplomatic	外交
diplomatic	老练的
diplomatic	老练
cellularity	细胞性
cellularity	多孔性
cellularity	细胞结构
indelible	去不掉的
indelible	去不掉
indelible	不能拭除的
indelible	不能拭除
diabolo	空竹
diabolo	响铃
painty	用涂料弄脏的
painty	用涂料弄脏
painty	着色过度的
painty	着色过度
quarterstaff	铁头木棒
czarina	沙皇皇后
sucker	乳儿
sucker	吸管
toxicologist	毒物学者
eutropic	向阳光性的
eutropic	向阳光性
mouthiness	说大话
mouthiness	爱说话
brand	商标
brand	牌子
brand	烙印
brand	打火印
brand	污辱
enterpriser	企业家
enterpriser	干事业的人
enterpriser	工商业投机家
palliard	无赖流浪汉
palliard	放荡之徒
woodbox	=woodbin
gastrulate	形成原肠胚
gastrulate	处于原肠胚阶段
delegate	代表
delegate	委派……为代表
bantingism	班亭氏疗法
mainstreet	在大街上进行竞选活动
hearthstone	炉底石
hearthstone	家庭
hearthstone	砌炉的石块
inestimable	无价的
inestimable	无价
inestimable	无法估计的
inestimable	无法估计
barbola	堆绣
barbola	剪贴画
switzerland	瑞士
amiably	和蔼可亲地
amiably	和蔼可亲
amiably	亲切地
amiably	亲切
kinemometer	流速计
kinemometer	感应式转速表
mol	摩尔
mol	克分子
infectivity	传染性
infectivity	易传染
tropone	环庚三烯酮
googly	曲球之一种
tensity	紧张
tensity	紧张度
vietnik	反越战分子
futurologist	未来学家
togoland	多哥兰(西非一地区
togoland	其西部已成为加纳
tamber	音品
tamber	音色
tamber	音质
whoa	惊叹声
whoa	停止
chlamydomonas	衣滴虫
lithesome	柔软的
lithesome	柔软
lithesome	轻快的
lithesome	轻快
abegging	无人问津的
abegging	无人问津
quingenary	=quincentenary
backslash	反斜线符号
newt	蝾螈
chanfron	保护马头前部之盔甲
clinamen	趋势
clinamen	偏见
sickee	精神病患者
sickee	道德败坏者
microelectronics	微电子学
rarity	稀有
eliot	埃利奥特
acarpous	不结果的
acarpous	不结果
acarpous	无果实的
acarpous	无果实
petty	小的
petty	小
petty	不重要的
petty	不重要
petty	小规模的
petty	小规模
petty	小型的
petty	小型
petty	细微的
petty	细微
petty	小器的
petty	小器
petty	卑鄙的
petty	卑鄙
altai	阿尔泰语
altai	阿尔泰山
pachytene	粗线期
miscellanist	杂文作家
miscellanist	杂录家
studdingsail	副帆
studdingsail	翼横帆
revival	苏醒
revival	复兴
revival	复活
revival	再生效
revival	复苏
neglected	被忽视的
neglected	被忽视
quid	咀嚼物
quid	一镑
quid	二十先令
littorinid	滨螺
littorinid	玉黍螺
sumptuously	奢侈地
sumptuously	奢侈
sumptuously	豪华地
sumptuously	豪华
subhuman	近似人类的
subhuman	近似人类
subhuman	低于人类的
subhuman	低于人类
subhuman	类人的
subhuman	类人
eglantine	野蔷薇的一种
prospectus	内容说明书
prospectus	样张
landtax	地租
gunning	射击
gunning	用枪打猎
gunning	用枪搜索捕杀
stonework	石雕工艺
stonework	做石工的场所
unnourishing	无营养的
unnourishing	无营养
lacemaking	饰带
benchman	收音机及电视机修理工
benchman	修鞋匠
benchman	在工作台旁工作的人
concomitance	相伴
concomitance	共存
concomitance	伴随
prognostic	预兆的
prognostic	预兆
prognostic	预兆
midianite	米甸人
midianite	米甸人的
midianite	米甸人
numberless	无数的
numberless	无数
numberless	无号码的
numberless	无号码
detail	细节
detail	详情
detail	详述
detail	细说
analogically	类推地
analogically	类推
analogically	相似地
analogically	相似
aliped	有翼膜的
aliped	有翼膜
aliped	有翼肢的
aliped	有翼肢
discreditable	丢脸的
discreditable	丢脸
puffy	一阵阵吹的
puffy	一阵阵吹
puffy	气喘吁吁的
puffy	气喘吁吁
puffy	膨胀的
puffy	膨胀
puffy	自大的
puffy	自大
shortcut	捷径
pechora	伯朝拉河
gutty	胆大的
gutty	胆大
gutty	有勇气的
gutty	有勇气
gutty	生气勃勃的
gutty	生气勃勃
gutty	挑动性的
gutty	挑动性
topmost	最高的
topmost	最高
topmost	顶端的
topmost	顶端
tientsin	天津
marking	记号
marking	斑纹
marking	作记号
marking	记分
vaginate	有鞘的
vaginate	有鞘
vaginate	似鞘的
vaginate	似鞘
seaflower	海葵
sylleptic	兼用法的
sylleptic	兼用法
proofmark	验讫印记
stockily	矮而粗壮地
stockily	矮而粗壮
stockily	一本正经地
stockily	一本正经
wifely	妻的
wifely	妻
wifely	适合做妻子的
wifely	适合做妻子
effable	能被说出的
effable	能被说出
effable	可表达的
effable	可表达
doss	睡床
doss	床铺
doss	睡眠
doss	卧处
doss	睡卧
slickness	巧妙的
slickness	巧妙
slickness	光滑的
slickness	光滑
slickness	花言巧语的
slickness	花言巧语
lazyboots	懒人
lazyboots	懒骨头
biomaterial	生物材料
sunburst	从云隙射下的阳光
sunburst	镶有钻石的旭日形首饰
aristocratism	贵族主义
aristocratism	贵族
hearse	柩车
hearse	灵车
accumulate	积聚
accumulate	堆积
fingerprint	指纹
fingerprint	手印
fingerprint	采指纹
morpheme	形态素
morpheme	词素
conspirator	同谋者
conspirator	阴谋者
conspirator	反叛者
glamourpuss	迷人的人
glamourpuss	面貌动人的人
aetna	=Etna
clew	线索
clew	线团
clew	绕成线球
clew	提示
effectuate	实行
effectuate	完成
advocacy	拥护
advocacy	鼓吹
advocacy	辩护
advocacy	辩护术
auxotrophy	营养缺陷型
auxotrophy	营养缺陷体
groschen	奥地利的青铜币
groschen	德国的10便镍币
drillion	无限大数目的
drillion	无限大数目
drillion	天文数字的
drillion	天文数字
deva	提婆
deva	天神
crevasse	破口
crevasse	崩溃处
crevasse	裂缝
crevasse	使有裂缝
innkeeper	旅馆主人
intergovernmental	政府间的
intergovernmental	政府间
lessened	减少的
lessened	减少
lessened	减弱的
lessened	减弱
paperbacked	平装的
paperbacked	平装
paperbacked	纸面的
paperbacked	纸面
depasture	使吃草
depasture	饲养
depasture	放牧
depasture	吃草
redbrick	新大学的
redbrick	新大学
redbrick	新大学
redbrick	新学院
pyrenoid	蛋白核
pyrenoid	淀粉核
excavation	挖掘
excavation	发掘
excavation	挖掘成的洞
excavation	出土文物
epanaphora	首语重覆
tabernacular	临时房屋的
tabernacular	临时房屋
barye	微巴
perfectible	可使完美的
perfectible	可使完美
perfectible	可完成的
perfectible	可完成
battlement	城垛
battlement	防卫墙
tabor	单面小鼓
tabor	敲小鼓
kigali	基加利
unsuccessful	不成功的
unsuccessful	不成功
unsuccessful	失败的
unsuccessful	失败
allod	=allodium
slic	储蓄借贷保险公司
tympanic	鼓皮似的
tympanic	鼓皮似
tympanic	鼓膜的
tympanic	鼓膜
tympanic	鼓室的
tympanic	鼓室
sledgemeter	雪橇里程计
squama	鳞片
squama	鳞
squama	鳞状物
jinx	不祥物
jinx	白虎星
jinx	使倒霉
botulinus	肉毒菌
shirtband	衬衫的襟子
remorseful	懊悔的
remorseful	懊悔
remorseful	悔恨的
remorseful	悔恨
hearted	有……之心的
hearted	有……之心
hearted	呈……心情的
hearted	呈……心情
pedestrianism	徒步
nonprescription	未经医生处方可以买到的
nonprescription	未经医生处方可以买到
nonsensical	无意义的
nonsensical	无意义
nonsensical	荒谬的
nonsensical	荒谬
fetich	物神
fetich	迷信
ghast	死人般的
ghast	死人般
ghast	可怕的
ghast	可怕
plasticator	塑炼机
lamellose	包含薄片层的
lamellose	包含薄片层
lamellose	似薄片层的
lamellose	似薄片层
consonance	一致
consonance	调和
consonance	和音
declarable	应申报的
declarable	应申报
bituminous	含沥青的
bituminous	含沥青
affront	公开侮辱
affront	轻蔑
affront	公开侮辱
affront	冒犯
affront	面对
visa	签证
visa	签准
visa	维萨信用卡
antiresonance	反共振
holpen	help的过去分词
mirky	黑暗地的
mirky	黑暗
mirky	阴郁地的
mirky	阴郁
phorate	甲拌磷
phorate	三九一一
limpness	柔弱
limpness	疲倦
mould	霉
mould	模具
mould	用土覆盖
mould	发霉
mould	铸造
afric	非洲的的
afric	非洲
fortieth	第四十
fortieth	四十分之一
slivovitz	梅子白兰地
slivovitz	梅子白兰
tripinnated	三回羽状的
tripinnated	三回羽状
sequentially	继续地
sequentially	继续
sequentially	从而
auriferous	产金的
auriferous	产金
auriferous	含金的
auriferous	含金
blues	抑郁
blues	沮丧
blues	忧郁布鲁斯歌曲
proteid	蛋白质
proteid	含蛋白质的
proteid	含蛋白质
endangeitis	血管内膜炎
hemistich	诗的半句
hemistich	半行
hemistich	不完全诗行
keten	=ketene
checkerboard	西洋跳棋盘
karaya	gum刺梧桐树胶
ganov	小偷
ganov	扒手
hydroplane	水上滑艇
hydroplane	水上飞机
sauceboat	船型酱油容器
stereography	立体画法
stereography	立体平画法
frequence	频数
frequence	频繁
heartsease	心平气和
heartsease	三色堇
admetus	阿德墨托斯
chesterfieldian	柴斯特菲尔德爵士所有的
chesterfieldian	柴斯特菲尔德爵士所有
chesterfieldian	温文儒雅的
chesterfieldian	温文儒雅
organum	推理法
organum	工具论
jetliner	喷气客机
trailerite	活动房屋居住人
trailerite	乘拖车式活动房屋旅行者
sloyd	瑞典式的手工艺教育
semeiology	症状学
semeiology	符号学
anticipation	预期
anticipation	预料
assess	估定
assess	评定
laced	有花边的
laced	有花边
laced	绑带子的
laced	绑带子
laced	加酒的
laced	加酒
dah	大刀
dah	长划
oratorio	宗教剧
begrimed	污秽的
begrimed	污秽
canaliform	状似运河或管子的
canaliform	状似运河或管子
grasping	抓的
grasping	抓
grasping	贪婪的
grasping	贪婪
grasping	握的
grasping	握
malleate	锻
malleate	压延
malleate	将……锤薄
ascomycetous	子囊菌类的
ascomycetous	子囊菌类
synthase	合酶
skimeister	滑雪能手
skimeister	职业滑雪运动员
skimeister	滑雪教练
lurch	突然倾斜
lurch	挫折
lurch	举步蹒跚
lurch	徘徊
lurch	困境
lurch	惨败
lurch	倾斜
lurch	徘徊
lurch	击败
condyloma	湿疣
giddiness	眼花
giddiness	轻率
cofacter	余因子
squeezer	扑克牌
squeezer	剥削者
lystrosaurus	水龙兽
montanic	山区的
montanic	山区
montanic	多山的
montanic	多山
wishfully	渴望地
wishfully	渴望
wishfully	希望地
wishfully	希望
spica	角宿
intramarginal	页边内的
intramarginal	页边内
intramarginal	边缘内的
intramarginal	边缘内
suborbicular	近似圆形的
suborbicular	近似圆形
sopite	使入睡
sopite	解决
consort	配偶君王或女王的配偶
consort	同航线的船
consort	陪伴
consort	结交
consort	符合
consort	使配对
yellowy	淡黄的
yellowy	淡黄
yellowy	略带黄色的
yellowy	略带黄色
betimes	及早
betimes	及时
grabbing	抓
ergonomic	人类环境改造学的
ergonomic	人类环境改造学
isogamy	同配生殖
understatement	保守的陈述
understatement	掩饰
shrimp	小虾
shrimp	捕虾
inclose	围起来
inclose	附上
experience	经验
experience	体验
experience	经历
experience	阅历
flickeringly	闪烁地
flickeringly	闪烁
flickeringly	摇曳地
flickeringly	摇曳
brainworker	脑力劳动者
muderer	谋杀犯
muderer	凶手
fpe	一个用于修改游戏的工具软件
univocal	单一意思的
univocal	单一意思
univocal	意义明确的
univocal	意义明确
boatable	可行船的
boatable	可行船
boatable	小船可通行的
boatable	小船可通行
jibuti	=Djibouti
astragali	紫云英属
hazily	朦胧地
hazily	朦胧
hazily	模糊地
hazily	模糊
impasto	厚涂颜料的绘画法
impasto	厚涂的颜料
aquarium	养鱼池
aquarium	玻璃缸
aquarium	水族馆
enslavedness	被奴役之状态
acousma	幻听
horatio	霍雷肖
tribology	摩擦学
implied	暗指的
implied	暗指
implied	含蓄的
implied	含蓄
pour	灌注
pour	倾泻
pour	涌入
pour	流
pour	倾盆大雨
apprehensible	可理解的
apprehensible	可理解
apprehensible	可了解的
apprehensible	可了解
shrubby	灌木的
shrubby	灌木
shrubby	灌木一般的
shrubby	灌木一般
denasalize	使鼻音减低
jakes	厕所
hardly	刚刚
hardly	几乎不
hardly	仅
hardly	严厉的
hardly	严厉
hardly	艰辛的
hardly	艰辛
drawgate	运河中之水闸门
retune	重新调整
chomskian	乔姆斯基语言学理论的
chomskian	乔姆斯基语言学理论
tpi	Town
tpi	Planning
tpi	Institute城市规划学会
dhu	12月
possessory	所有的
possessory	所有
possessory	所有者的
possessory	所有者
hack	砍
hack	出租
sediment	沉淀物
sediment	沉积
henchman	忠实的追随者
henchman	党羽
henchman	跟随者
keckling	包缆绳
keckling	防磨卷
circassia	切尔卡西亚
aerobacter	气杆菌
mouthpart	口器
foreground	前景
foreground	最显著的位置
deficient	缺乏的
deficient	缺乏
deficient	不足的
deficient	不足
deficient	不完善的
deficient	不完善
spectrochemistry	光谱化学
altherbosa	高草群落
peregrination	游历
peregrination	旅行
impedance	阻抗
gemini	双子宫
gemini	双子座
indocile	难驯服的
indocile	难驯服
interfluve	河间地
interfluve	河间
interfluve	分野
flintiness	燧石质
flintiness	冷酷
flintiness	坚硬
incompletive	=imperfective
ream	令
ream	大量的纸
ream	扩展
ream	铰大
ream	榨取
ream	铰除
ream	刮
ream	欺骗
broadish	稍宽阔的
broadish	稍宽阔
spadework	挖掘的工作
spadework	基本研究
spadework	费力的基础工作
mendelism	孟德尔遗传学说
costly	昂贵的
costly	昂贵
costly	贵重的
costly	贵重
hemimorphite	异极矿
deodorization	除臭
deodorization	防臭
escolar	玉梭鱼
tinfoil	锡纸
tinfoil	锡箔的
tinfoil	锡箔
strychnin	士的宁
strychnin	番木鳖碱
oct	十月
duumvir	共同担任同一职务的两官吏之一人
saronic	Gulf
saronic	萨罗尼克湾
fastball	快球
mauritania	毛利塔尼亚
dynameter	倍率计
envier	妒忌者
envier	羡慕者
ddvp	二甲基二氯乙烯基磷酸酯
ddvp	敌敌畏
fronton	山墙
sylvicultural	造林的
sylvicultural	造林
sylvicultural	造林学的
sylvicultural	造林学
cowled	带头巾的
cowled	带头巾
bacteriolysis	细菌分解处理
bacteriolysis	溶菌作用
constative	表命令、计划、愿望等之假定的
constative	表命令、计划、愿望等之假定
commotion	骚动
commotion	暴乱
ammeter	电表
pdu	协议数据单元
rapidity	速度
rapidity	迅速
rapidity	急速
swathe	绑
swathe	裹
swathe	包围
swathe	包装品
swathe	带子
swathe	绷带
reinsurance	再保险
reinsurance	再保险金额
zombiism	蛇神崇拜
wheaten	小麦的
wheaten	小麦
wheaten	小麦制成的
wheaten	小麦制成
unfreedom	无自由
dae	doctor
dae	of
dae	aeronautics
dae	航空学博士
ruckle	弄绉
ruckle	起绉褶
dissembler	伪君子
dissembler	伪善者
planography	平版
mistakenly	错误地
mistakenly	错误
mistakenly	曲解地
mistakenly	曲解
hexasyllable	六音节
lie	躺
lie	平放
lie	展现
lie	展开
lie	位于
lie	说谎
lie	躺
lie	谎话
lie	谎言
rubble	碎石
exciseman	收税官
tuppence	两便士
tuppence	两便士铜币
tuppence	微不足道的东西
perioeci	珀里俄基人
bioelectronics	生理功能电子控制学
bioelectronics	生物电子学
nigrescence	变黑
nigrescence	发黑
sinnet	=sennit
utilization	利用
pomade	润发油
pomade	涂以润发油
chineselantern	plant酸浆
fmi	Fonds
fmi	Mon
fmi	e
fmi	taire
fmi	International
fmi	国际货币基金组织
redware	红土陶
redware	掌状昆布
demoniacal	着魔之人
demoniacal	狂暴者
apprehensively	担心地
apprehensively	担心
backing	衬背
backing	援助
backing	支持者
backing	赞助者
rabboni	先生
lorn	寂寞的
lorn	寂寞
lorn	孤单的
lorn	孤单
lorn	荒凉的
lorn	荒凉
nonexportation	不可出口
nonexportation	禁止出口
vellum	上等犊皮纸
vellum	皮纸文书
vellum	牛皮纸
vellum	犊皮纸的
vellum	犊皮纸
babism	巴布教
potherb	熟食叶用菜野菜
tangent	接触的
tangent	接触
tangent	切线的
tangent	切线
tangent	相切的
tangent	相切
tangent	离题的
tangent	离题
tangent	切线
tangent	正切
melodramatise	=melodramatize
metatherian	后哺乳下纲的
metatherian	后哺乳下纲
metatherian	后兽亚纲的
metatherian	后兽亚纲
fasciculi	纤维束
semibarbarous	=semibarbaric
equalise	=equalize
jamaica	牙买加
jamaica	牙买加甜酒
defervescence	退热
paygrade	薪饷等级
elide	取消
elide	省略
elide	省略发音
elide	不予考虑删节
nougat	奶油杏仁糖
dvi	Digital
dvi	Visual
dvi	Interface
dvi	数码视像接口
denture	一副假牙
denture	一副牙齿
sakhalin	库页岛
sicilia	=Sicily
hsaa	Health
hsaa	Sciences
hsaa	Advancement
hsaa	Award
hsaa	保健科学促进奖
oxycalcium	氧钙的
oxycalcium	氧钙
oxycalcium	由氧钙产生的
oxycalcium	由氧钙产生
explicandum	在待解释的术语或陈述
methanation	甲烷化
osteocope	骨剧痛
bid	出价
bid	投标
bid	祝愿
bid	命令
bid	吩咐
bid	出价
bid	投标
bid	支付
alogia	失语症
kickback	强烈反应
kickback	不良后果
kickback	回扣
kickback	酬金
kickback	退回赃物
methoxamine	美速克新命
methoxamine	甲氧胺
antiremonstrant	反对抗议者
pedodontic	儿童牙科的
pedodontic	儿童牙科
britzka	敞篷四轮马车的一种
allophane	水铝英石
antilysin	抗溶素
faints	劣质酒精
carioca	克力欧卡舞
carioca	卡里奥克舞
nitroaniline	硝基苯胺
enculturate	使适应某种文化
sirup	糖浆
sirup	糖蜜
inadvisability	不能变更
inadvisability	失策
sourkrout	=sourcrout
inobtrusive	客气的
inobtrusive	客气
inobtrusive	谦虚的
inobtrusive	谦虚
inobtrusive	不冒失的
inobtrusive	不冒失
catling	小猫
catling	肠线
catling	两刃切断刀
azonic	不限于一地方的
azonic	不限于一地方
azonic	非地方性的
azonic	非地方性
brahmaputra	雅鲁藏布江
daybill	戏剧或其他娱乐节目之海报
closure	关闭
closure	使终止
delicate	精巧的
delicate	精巧
delicate	精致的
delicate	精致
delicate	病弱的
delicate	病弱
delicate	脆弱的
delicate	脆弱
delicate	微妙的
delicate	微妙
delicate	棘手的
delicate	棘手
delicate	灵敏的
delicate	灵敏
delicate	精密的
delicate	精密
knightlike	骑士风尚的
knightlike	骑士风尚
knightlike	正义的
knightlike	正义
numbers	民数记
picnicky	郊游的
picnicky	郊游
picnicky	行乐的
picnicky	行乐
please	满足的
please	满足
please	请
please	使喜欢
please	中……的意
please	使满足
please	取悦
beguilement	欺骗
beguilement	散心
beguilement	欺瞒
ploughback	利润再投资
recollectedness	冷静
recollectedness	镇定
grandmotherly	祖母的
grandmotherly	祖母
grandmotherly	慈祥的
grandmotherly	慈祥
goosegog	醋栗
papillectomy	乳头切除术
retroreflection	回射
bacteriolytic	溶菌的
bacteriolytic	溶菌
bacteriolytic	杀菌的
bacteriolytic	杀菌
enrolment	登记
enrolment	入学
frigidarium	冷水浴室
frigidarium	保持低温的房间
inquiet	不安的
inquiet	不安
inquiet	焦急的
inquiet	焦急
fabricate	制作
fabricate	构成
fabricate	捏造
fabricate	伪造
fabricate	虚构
cambridge	剑桥
schlockmeister	劣货制造者
schlockmeister	次品制作者
unfed	未得到食物的
unfed	未得到食物
unfed	未得到支持的
unfed	未得到支持
lateralization	偏侧性
lateralization	偏侧优势
lateralization	偏利
depaint	描写
depaint	描绘
osmious	=osmous
doum	埃及姜果棕
insipience	愚蠢
bloemfontein	布隆方丹
metalingual	=metalinguistic
checkroom	衣帽寄放处
biophil	elements亲生物元素
cashmere	开士米
cashmere	山羊绒
cashmere	羊绒
cashmere	开士米织物
cashmere	开士米绒线
homilist	怖道者
homilist	说教者
besieger	围攻者
besieger	围攻军
chalutz	=halutz
aficionado	狂热爱好者
aficionado	迷
ethnics	伦理学
ethnics	人种学
desirability	愿望
desirability	希求
maxilla	上颌骨
maxilla	小颚
maxilla	上颔骨
islamitic	=Islamic
unlearned	无学问的
unlearned	无学问
unlearned	无教育的
unlearned	无教育
unlearned	不熟练的
unlearned	不熟练
unlearned	天然的
unlearned	天然
unlearned	没学好的
unlearned	没学好
unlearned	没有文化的人们
delusterant	去光剂
brickdust	砖屑
brickdust	砖粉
rosanne	罗赞
piscary	捕鱼权
piscary	捕鱼场
dustbinman	垃圾工
dustbinman	环卫工
lamington	拉明顿蛋糕
lamington	巧克力椰丝方块蛋糕
hyperemia	=hyperaemia
debark	使登陆
debark	卸载
debark	使下船
debark	登陆
trivalve	三瓣的
trivalve	三瓣
enterococcus	肠球菌
hammy	火腿味的
hammy	火腿味
hammy	闹剧的
hammy	闹剧
tafia	塔非亚酒
jodie	平民男子
jodie	征兵不录
firstname	名
begird	围绕
begird	缚
begird	以带子缠绕
seven	七
seven	七个
tentatively	试验性地
tentatively	试验性
tentatively	暂时地
tentatively	暂时
lithophile	亲石元素
lithophile	亲岩性的
lithophile	亲岩性
azure	天蓝色
azure	苍天
azure	碧空
azure	蔚蓝的
azure	蔚蓝
waterworks	供水系统
waterworks	自来水厂
waterworks	喷水装置
waterworks	眼泪
electrosol	电溶胶
debriefing	任务报告
debriefing	任务报告中提出的情报
troublous	纷乱的
troublous	纷乱
troublous	动乱不安的
troublous	动乱不安
troublous	动乱的
troublous	动乱
troublous	暴乱的
troublous	暴乱
operatize	编成歌剧
downstreet	去闹市区
reductant	=reducing
reductant	agent
hylozoism	万物有生命论
submaster	副校长
preclear	预先给……核发许可证
preclear	事先批准
merohedral	缺面的
merohedral	缺面
merohedral	缺面对称的
merohedral	缺面对称
syncrude	合成原油
hydrographic	与水道测量有关的
hydrographic	与水道测量有关
hydrographic	与水文地理有关的
hydrographic	与水文地理有关
riskiness	富有冒险性的事
riskiness	危险重重
babyhouse	婴儿玩具室
babyhouse	儿童游戏室
taxloss	赋税亏损
lizzie	廉价的破旧汽车
lizzie	早期的福特汽车
lemme	=let
lemme	me
shoji	障子
shoji	亦作shoji
shoji	screen
sizer	大小分拣器
sizer	筛选器
rayon	人造丝
rayon	人造纤维
rayon	人造丝织物
rayon	人造纤维织物
lathi	包铁粗杖
lathi	警棍
hypoacid	酸减低的
hypoacid	酸减低
hypoacid	酸度过低的
hypoacid	酸度过低
nested	嵌套的
nested	嵌套
lapsuslinguae	口误
lapsuslinguae	失言
semiautomated	半自动的
semiautomated	半自动
secretively	稳秘地
secretively	稳秘
secretively	隐匿地
secretively	隐匿
sural	腓肠的
sural	腓肠
sural	小腿肚的
sural	小腿肚
knopkierie	=knobkerrie
unicode	统一的字符编码标准
unicode	采用双字节对字符进行编码
tuatara	大蜥蜴
miogeoclinal	=miogeosynclinal
estuary	河口
estuary	江口
thurifer	宗教仪式中捧香炉的人
umbelliferous	有伞状花的
umbelliferous	有伞状花
umbelliferous	伞状花科的
umbelliferous	伞状花科
knitgoods	针织品
stipple	点刻
stipple	点画
stipple	点刻
stipple	画点画
stipple	点彩
nauseating	作呕的
nauseating	作呕
nauseating	恶心的
nauseating	恶心
nauseating	厌恶的
nauseating	厌恶
detoxify	使解毒
byelaw	条例
byelaw	规则
byelaw	内部规则
strategically	战略上
noninitially	不是起首字母地
noninitially	不是起首字母
noninitially	不是最早地
noninitially	不是最早
synchronously	同时地
synchronously	同时
synchronously	同步地
synchronously	同步
ravenous	贪婪的
ravenous	贪婪
ravenous	渴望的
ravenous	渴望
ravenous	狼吞虎咽的
ravenous	狼吞虎咽
elate	使兴高采烈
elate	使得意
prolixly	冗长地
prolixly	冗长
redivious	复活的
redivious	复活
redivious	再现的
redivious	再现
calathos	花瓶式果篮
society	社会
society	……会
society	……社
society	友伴
society	交际
society	社交界
society	上流社会
gilder	镀金工人
antiferromagnet	反磁tism/`AntI9ferEJ晕镏
lms	London
lms	Mathematical
lms	Society伦敦数学学会
isoprenoid	类异戊二烯
latency	潜伏
latency	潜在
latency	潜伏物
latency	性潜伏期
kelly	黄绿色
kelly	鲜绿色
controvertible	可争论的
controvertible	可争论
controvertible	有辩论余地的
controvertible	有辩论余
controvertible	可辩论的
controvertible	可辩论
aver	断言
aver	主张
oropharynx	口咽
hybridist	杂种繁殖者
hybridist	杂交工作者
parametrical	参量的
parametrical	参量
promulgate	发布
promulgate	公布
promulgate	传播
aeruginous	绿青色的
aeruginous	绿青色
aeruginous	铜绿色的
aeruginous	铜绿色
ratproofed	使能防鼠
ratproofed	作了防鼠处理的
ratproofed	作了防鼠处理
tgwu	Transport
tgwu	and
tgwu	General
tgwu	Workers''
tgwu	Union运输与普通工人工会
redraw	重画
redraw	刷新屏幕
transposal	调换
transposal	易位
kingsun	金山公司
kingsun	大型专业化软件公司
concur	同时发生
illinoisan	伊利诺斯州的
illinoisan	伊利诺斯州
illinoisan	伊利诺斯州人的
illinoisan	伊利诺斯州人
bedin	示威游行
ovarian	卵巢的
ovarian	卵巢
peshitta	伯西托本
transfiguration	变形
transfiguration	变貌
transfiguration	变容
howdy	您好
barbette	炮座
barbette	炮塔
barbette	露天炮塔
semiology	记号语言
semiology	记号学
semiology	症状学
darkling	在暗中
darkling	令人可怕的
darkling	令人可怕
darkling	黑暗的
darkling	黑暗
cancellation	取消
supercrescent	寄生的
supercrescent	寄生
uda	Universal
uda	Data
uda	Access
uda	通用数据访问
walsall	沃尔索耳
unwrought	未做成的
unwrought	未做成
unwrought	未加工的
unwrought	未加工
