varioloid	假性天花
vernean	凡尔纳科幻小说
fantad	=fantod
muggur	鳄鱼之一种
pressboard	纸板
crystallitis	晶状体炎
vernissage	=varnishing
vernissage	day
areola	网眼状空隙
righteously	公正地
righteously	公正
righteously	正直地
righteously	正直
candlemas	圣烛节
combinative	结合的
combinative	结合
combinative	可组合的
combinative	可组合
combinative	有结合力的
combinative	有结合力
undereducation	未受充分教育
undereducation	未受良好教育
dermic	真皮的
dermic	真皮
dermic	皮肤的
dermic	皮肤
curable	可医治的
curable	可医治
curable	医得好的
curable	医得好
apercu	摘要
apercu	梗概
zoomorphism	动物形象
zoomorphism	用动物之形象
chokey	窒息的
chokey	窒息
chokey	憋闷的
chokey	憋闷
chokey	拘留所
chokey	监狱
cystin	=cystine
guestship	客人身份
guestship	作客之道
loincloth	缠腰带
laity	俗人
laity	外行
reproof	谴责
reproof	非难
whitish	发白的
whitish	发白
whitish	带白色的
whitish	带白色
equiaxed	各方等大的
equiaxed	各方等大
equiaxed	由等轴晶粒组成的
equiaxed	由等轴晶粒组成
clomp	重踏着走
coprolalia	秽语症
coprolalia	污秽言语
humorsome	情绪不定的
humorsome	情绪不定
humorsome	易怒的
humorsome	易怒
humorsome	性情反复无常的
humorsome	性情反复无常
humorsome	想入非非的
humorsome	想入非非
agrarianism	田地均分法
agrarianism	平均地权论
sherbert	果汁牛奶冻
stratiformis	成层状的
stratiformis	成层状
esophagus	食道
awning	遮阳篷
awning	雨篷
nudnik	无聊的人
nudnik	惹人讨厌的人
contextualize	将
contextualize	溶入背景
episcopal	主教的
episcopal	主教
episcopal	主教制度的
episcopal	主教制度
episcopal	英国国教的
episcopal	英国国教
pilgrim	圣地朝拜者
pilgrim	朝圣
sanctifier	净化者
sanctifier	认可者
sanctifier	批准者
colessee	共租人
qualitatively	质量上
skewwhiff	歪斜的
skewwhiff	歪斜
spearfisherman	用鱼叉捕鱼的渔民
radiumize	用镭治疗
deraignment	抗辩
applicability	适用性
applicability	适应性
rostral	喙的
rostral	喙
rostral	有喙的
rostral	有喙
czarism	专制政治
czarism	独裁政治
gumball	警车顶灯
khapra	beetle
khapra	谷斑皮蠹
hobbesian	霍布斯的
hobbesian	霍布斯
hobbesian	霍布斯哲学的
hobbesian	霍布斯哲学
pyxie	沙盖花
witchweed	独脚金
squabble	争论
heister	强盗
heister	贼
geocentricism	地球中心论
oxytone	最后音节为重音的
oxytone	最后音节为重音
tupperware	塔珀家用塑料制品
burgess	英国从城市或大学选出的议员
enrico	恩里科
deacon	执事
bandjarmasin	马辰
hypoxanthic	次黄嘌呤的
hypoxanthic	次黄嘌呤
citrine	柠檬的
citrine	柠檬
citrine	柠檬黄的
citrine	柠檬黄
citrine	柠檬黄
citrine	黄水晶
nigh	在附近的
nigh	在附近
nigh	在附近地
nigh	在附近
nigh	近于
transpadane	波河彼岸的
transpadane	波河彼岸
transpadane	来自波河彼岸的
transpadane	来自波河彼岸
woodcarver	木雕艺人
woodcarver	木雕家
naderism	纳德运动
naderism	保护消费者权益者运动
biocenosis	=biocoenosis
devoutly	虔诚地
devoutly	虔诚
devoutly	虔敬地
devoutly	虔敬
shingon	真言宗
arkose	长石砂岩
sozzled	烂醉的
sozzled	烂醉
kefir	克非尔
kefir	酸乳酒
oakmoss	橡苔
oakmoss	栎扁枝衣
cook	厨师
cook	烹调
cook	煮
cook	伪造
cellulose	纤维素
clairschach	克拉榭竖琴
replicar	老式汽车复制品
nanchang	南昌
associable	可联想的
associable	可联想
associable	交感性的
associable	交感性
regulus	狮子座的一等星
regulus	金属渣
quantum	量
quantum	额
quantum	量子
quantum	量子论
quantum	美国昆腾公司
quantum	是世界领先的硬盘生产商
monopolise	垄断
monopolise	获得…………的专卖权
macrophage	巨噬细胞
divaricately	分歧地
divaricately	分歧
divaricately	展开地
divaricately	展开
sigrid	西格丽德
laser	激光
laser	Light
laser	amplification
laser	by
laser	stimulated
laser	emission
laser	of
laser	radiation
laser	激光器
laser	应用量子效应产生相干光束的设备。
anlace	双刃短剑
executorial	遗嘱执行人的
executorial	遗嘱执行人
dortmund	多特蒙德
scoutmaster	童子军团长
properly	适当地
properly	适当
properly	完全地
properly	完全
deuteragonist	当配角的人
abvolt	C
abvolt	G
abvolt	S
septum	隔膜
cantatrice	职业女歌手
uncomprehended	未被理解的
uncomprehended	未被理解
uncomprehended	未被领会的
uncomprehended	未被领会
uncinate	钩状的
uncinate	钩状
vamose	突然离去
vamose	跑走
dachshund	一种短腿长身的德国种猎犬
interpol	国际警察组织
ganosis	上光工艺
neoteny	性早熟
neoteny	幼态持续
laconism	简短
nhs	National
nhs	Health
nhs	Service
nhs	英国国民健康保险制度
patrimonial	祖传的
patrimonial	祖传
phreatic	井的
phreatic	井
roxy	罗克西影院联号的
roxy	罗克西影院联号
gird	束缚
beaming	照耀的
beaming	照耀
beaming	光亮的
beaming	光亮
beaming	喜气洋洋的
beaming	喜气洋洋
beaming	愉快的
beaming	愉快
sickroom	病房
unsearchable	神秘的
unsearchable	神秘
polyacid	多酸的
polyacid	多酸
pbs	Public
pbs	Broadcasting
pbs	Service
pbs	公共广播公司
courtly	尊严而有礼貌的
courtly	尊严而有礼貌
riblet	肋条
riblet	排骨
imprimatur	出版许可
imprimatur	认可
touchdown	攻方持球
touchdown	触地
touchdown	触
touchdown	触地得分
touchdown	着地
touchdown	着
touchdown	降落
missense	错义
reframe	再构造
reframe	再组织
winding	绕
winding	缠
winding	绕组
winding	线圈
disloyal	不忠的
disloyal	不忠
disloyal	背叛的
disloyal	背叛
disloyal	不忠诚的
disloyal	不忠诚
pucellas	玻璃钳
sharable	=shareable
camel	骆驼
camel	浮筒
instrumentation	使用仪器
jillion	巨量
jillion	很多的
jillion	很多
jillion	大量的
jillion	大量
pressor	有使血压增高的
pressor	有使血压增高
pressor	收缩血管的
pressor	收缩血管
pressor	升高血压的物质
systematizer	使系统化的人
systematizer	分类者
ammonify	加氨于
ammonify	使氨化
decimetre	公寸
professoriate	教授的职位
professoriate	教授会
segno	从标有记号处开始重复
platinocyanic	氰亚铂酸的
platinocyanic	氰亚铂酸
globulin	血球素
globulin	球蛋白
nephritogenic	致肾炎的
nephritogenic	致肾炎
phylloclad	叶状枝
phylloclad	代叶枝
churchyard	墓地
churchyard	墓
churchyard	境内
masker	戴面具者
fenugreek	胡芦巴
achondroplasia	软骨发育不全
roughy	=roughie
inland	内陆的
inland	内陆
inland	国内的
inland	国内
inland	在内地
inland	在内
inland	向内地
inland	向内
inland	内地
inland	内
housekeeper	主妇
housekeeper	女管家
dissolvable	可溶解的
dissolvable	可溶解
dissolvable	可分解的
dissolvable	可分解
dissolvable	可解散的
dissolvable	可解散
shaveling	剃光头发的人
shaveling	和尚
shaveling	少年
usar	United
usar	States
usar	Army
usar	Reserve
usar	美国陆军后备队
clotty	固结了的
clotty	固结了
clotty	块多的
clotty	块多
matral	=matricentred
incubous	蔽前式的
incubous	蔽前式
ascension	上升
ascension	耶稣升天
enfeeble	使衰弱
calvarian	颅顶的
calvarian	颅顶
calvarian	颅盖的
calvarian	颅盖
reticulate	网状的
reticulate	网状
reticulate	成网状
agammaglobulinaemia	/
agammaglobulinaemia	血中CbjJlI`ni:mIE/
agammaglobulinaemia	丙球蛋白贫乏
stir	轰动
stir	搅动
stir	监牢
stir	动
stir	移动
stir	摇动
stir	激起
stir	搅和
stir	惹起
stir	走动
stir	传播
stir	流行
wondering	显出惊奇
wondering	觉得奇怪
wondering	疑惑的
wondering	疑惑
girdlecake	烘板烘成的糕饼
da	Direct
da	Attack
da	直接攻击
da	Department
da	of
da	the
da	Army
da	陆军部
da	爸爸
da	爹爹
da	desk
da	accessory
da	桌面附件
lolland	洛兰岛
debauchery	放荡
debauchery	游荡
thumb	拇指
thumb	以拇指拨弄
thumb	笨拙处理
thumb	弄坏
thumb	翻阅
thumb	作搭车手势
thumb	用拇指翻书页
metempiricism	=metempirics
bicone	双锥体
rumbullion	一杯朗姆酒
clustering	聚类
rootstock	根茎
rootstock	初生主根
rootstock	根砧木
rootstock	根源
rootstock	起源
scroticles	阴囊
graphicacy	平面造型工艺技术
graphicacy	书画刻印工艺技术
medina	麦地那
medina	聚居区
perishable	容易腐烂的
perishable	容易腐烂
almost	几乎
almost	差不多
indie	独立的
indie	独立
indie	独立经营的电影院等
bartizan	小望台
bartizan	顶塔
sept	氏族
sept	家族
uppity	自负的
uppity	自负
uppity	傲慢的
uppity	傲慢
uppity	不易控制的
uppity	不易控制
pensel	=pencel
chit	小孩
chit	少女
chit	芽
chit	摘去芽
eighteen	十八的
eighteen	十八
eighteen	十八个的
eighteen	十八个
grapnel	小锚
grapnel	抓钩
define	定义
define	详细说明
brilliantine	润发油
brilliantine	光亮薄呢
brilliantine	羊毛与棉纱织成的织物
septicity	腐败性
heparin	肝磷脂
propylene	丙烯
dude	花花公子
dude	纨绔子弟
telecon	=teleconference
napoleonize	以拿破仑方式统治
visor	面颊
visor	帽舌
visor	盔甲
visor	遮护
pharyngology	咽学
black	黑色
black	黑颜料
black	黑人
black	黑色的
black	黑色
black	弄脏了的
black	弄脏了
black	忧郁的
black	忧郁
black	变黑
black	涂黑
hypoxemia	血氧不足
unilingual	只用一种语言的
unilingual	只用一种语言
unilingual	统一使用一种语言的
unilingual	统一使用一种语言
sportsmanship	运动家精神
duck	鸭子
duck	急忙蹲下
duck	闪避
duck	人
duck	家伙
duck	没入水中
duck	闪避
duck	猛按……入水
duck	躲避
honorary	荣誉的
honorary	荣誉
honorary	名誉的
honorary	名誉
honorary	道义上的
honorary	道义上
kibed	患冻疮的
kibed	患冻疮
kibed	生冻疮的
kibed	生冻疮
underrun	低于估计的产量
underrun	跑过……下面
underrun	从……下面通过
rampageous	暴跳的
rampageous	暴跳
secondly	第二
secondly	其次
probative	检验的
probative	检验
linac	直线性加速器
lysol	来沙尔
colophony	树脂
colophony	松香
raza	种族意识
caffeine	咖啡因
caffeine	茶精
giggit	快运
giggit	急运
acusector	电针
acusector	电割针
hoggerel	小羊
oxytocin	脑下垂体后叶荷尔蒙之一种
snack	小吃
snack	快餐
snack	一份
snack	吃快餐
employee	职工
employee	雇员
employee	店员
albescent	变白的
albescent	变白
albescent	带白的
albescent	带白
partisanship	党派性
partisanship	党派偏见
apronful	满满一围裙
conspire	共谋
conspire	阴谋
conspire	凑合起来
hornful	一个角制容器所容纳的量
hornful	一角制杯的量
proprietary	所有的
proprietary	所有
proprietary	私人拥有的
proprietary	私人拥有
proprietary	所有者
proprietary	所有权
atmolyze	以微孔分气法分离
prankish	戏弄的
prankish	戏弄
prankish	恶作剧的
prankish	恶作剧
callow	年轻而无经验的
callow	年轻而无经验
callow	未生羽毛的
callow	未生羽毛
aminophylline	氨茶碱
leadsman	测深员
pentamethylene	环戊烷
emprise	冒险
emprise	行动
emprise	侠义行动
emprise	壮举
lovingness	爱
lovingness	忠诚
lovingness	钟情
asclepiadaceous	萝摩科的
asclepiadaceous	萝摩科
tarry	等候
tarry	等候
tarry	逗留
ruddleman	红土商
ruddleman	卖赤铁矿的人
aiff	Audio
aiff	Interchange
aiff	File
aiff	Format
aiff	APPLE
aiff	开发的非压缩声音文件格式。
poteen	私酿的威士忌
mildewy	发霉的
mildewy	发霉
cockateel	鸡尾鹦鹉
volos	沃洛斯
endangered	有危险的
endangered	有危险
endangered	有灭绝危险的
endangered	有灭绝危险
endangered	将要绝种的
endangered	将要绝种
bepaint	着色
bepaint	化妆
bepaint	在……上涂漆
reproachingly	责备似地
reproachingly	责备似
reproachingly	非难似地
reproachingly	非难似
intervenient	介于其间的
intervenient	介于其间
afficionado	=aficionado
pledge	保证
pledge	誓言
pledge	抵押
pledge	抵押品
pledge	保证
pledge	使发誓
pledge	抵押
pledge	典当
pledge	举杯祝……健康
filling	填补物
filling	饼馅
filling	纬纱
filling	填充
filling	供应
loser	失主
loser	失败者
loser	输者
blundering	浮躁的
blundering	浮躁
blundering	笨拙的
blundering	笨拙
blundering	易犯错的
blundering	易犯错
batman	传令兵
batman	勤务员
batman	通讯员
taedong	大同江
hydropathy	水疗法
kiloliter	千升
ruddiness	红色
ruddiness	带红色
inevitable	不可避免的
inevitable	不可避免
inevitable	必然的
inevitable	必然
fenderbeam	护舷材
fenderbeam	碰垫
ethnohistory	人种史学
ducat	从前流通于欧洲各国的钱币达克特
ducat	硬币
djebel	=jebel
hick	乡下人
hick	土头土脑的人
hick	反应迟钝的人
trichloroacetaldehyde	三氯乙醛
trichloroacetaldehyde	氯醛
ocotillo	墨西哥刺木
ocotillo	马鞭
ocotillo	蔓仙人掌
novate	用新事物代替
novate	契约的代替
nonjuror	不肯宣誓效忠者
exhalant	发散管
exhalant	蒸发管
exhalant	呼出的
exhalant	呼出
fishpond	养鱼塘
fishpond	鱼池
fishpond	海
trousering	裤料
insensibility	没有知觉
insensibility	不在乎
insensibility	不关心
heterocyclic	杂环的
heterocyclic	杂环
heterocyclic	不同环式的
heterocyclic	不同环式
xerox	施乐复印机
pedestrian	步行者
pedestrian	徒步的
pedestrian	徒步
pedestrian	呆板的
pedestrian	呆板
pedestrian	通俗的
pedestrian	通俗
bennett	班尼特
osteologic	骨
osteologic	学的
osteologic	学
gyrostabilizer	回转稳定器
biochip	生物芯片
ganaderia	牧场
ganaderia	畜牧场
tethyan	蒂锡斯海的
tethyan	蒂锡斯海
tethyan	古地中海的
tethyan	古地中海
inferential	推论性的
inferential	推论性
allay	减轻
allay	减少
comte	伯爵
knop	球形手把
knop	球形装饰物
xylotile	换质石棉
tollgatherer	收费员
tollgatherer	收税员
phylactic	防御疾病的
phylactic	防御疾病
phylactic	防护的
phylactic	防护
infer	推断
designing	设计
designing	阴谋
designing	有计划的
designing	有计划
awane	衰落中的
awane	衰落中
awane	减弱中的
awane	减弱中
turboelectric	涡轮机发电的
turboelectric	涡轮机发电
turboelectric	用涡轮发电机的
turboelectric	用涡轮发电机
euphuistical	词藻华丽的
euphuistical	词藻华丽
shadowy	有阴影的
shadowy	有阴影
shadowy	多荫的
shadowy	多荫
shadowy	阴凉的
shadowy	阴凉
aorist	不定过去时
stargaze	眺望星星
stargaze	空想
stargaze	凝视
database	数据库
database	资料库
hovertrailer	气垫拖运车
sideroscope	铁屑检查器
ranine	蛙科动物的
ranine	蛙科动物
ranine	舌尖以下部份的
ranine	舌尖以下部份
goldie	金奖唱片
goldie	金奖唱片集
revolutionise	=revolutionize
chromeplate	镀铬
polyzoarium	苔藓虫的群体
filmmaking	电影摄制
filmmaking	制片
cowpox	牛痘
quartersaw	把原木锯成四块
boatman	船夫
calisthenic	柔软体操的
calisthenic	柔软体操
calisthenic	美容体操的
calisthenic	美容体操
abolitionize	使赞成废除黑奴制度
revolted	起来反抗的
revolted	起来反抗
revolted	起义的
revolted	起义
revolted	厌恶的
revolted	厌恶
scaremonger	扰乱社会民心的人
scaremonger	散布谣言的人
labouring	劳动
labouring	操劳
unsullied	无污点的
unsullied	无污点
unsullied	清白的
unsullied	清白
dona	小姐
dona	太太
dona	夫人
pigfish	鸡鱼科的小鱼
conamore	带着爱心地
conamore	带着爱心
conamore	热心地
conamore	热心
fuzhou	福州
hypocoristic	昵称的
hypocoristic	昵称
hypocoristic	表示亲爱的
hypocoristic	表示亲爱
tranquilization	安静
tranquilization	稳定
underworld	黑社会
pizazz	精力
pizazz	潇洒
migrate	移动
migrate	移往
migrate	移植
migrate	随季节而移居
migrate	迁徙
migrate	使移居
migrate	使移植
emphatic	语势强的
emphatic	语势强
emphatic	用力的
emphatic	用力
emphatic	显著的
emphatic	显著
emphatic	断然的
emphatic	断然
blewits	青紫色食用伞菌
ventriloquy	腹语术
neoromanticism	新浪漫主义
fogbank	雾峰
fogbank	雾堤
lilied	多百合花的
lilied	多百合花
lilied	百合花覆盖的
lilied	百合花覆盖
lilied	纯洁的
lilied	纯洁
warship	军舰
warship	战船
hindostan	=Hindustan
dogger	荷兰双桅渔船
milk	乳
milk	牛奶
milk	挤
humidity	湿气
humidity	潮湿
humidity	湿度沼泽中的肥沃高地
humidity	湿度沼泽中的肥沃高
mounting	装备
mounting	衬托纸
mounting	登上
mounting	乘骑
homeopathist	同种疗法医师
homeopathist	顺势医疗论者
aboard	在船
anesthetic	麻醉剂
anesthetic	麻药
anesthetic	麻醉的
anesthetic	麻醉
ishmael	以赛玛利
ishmael	被遗弃的人
ishmael	社会公敌
silvester	西尔维斯特
vulpecula	狐狸座
radiochromatogram	`reIdIEJ9kJmEtE^rAm/
radiochromatogram	rEJmE`tC^rEfI/
radiochromatogram	放射色谱图
exchangeable	可交的
exchangeable	可交
exchangeable	可兑交的
exchangeable	可兑交
exchangeable	可替交的
exchangeable	可替交
cracking	破裂
cracking	裂化
penates	家神
penates	家财
sporadosiderite	含有铁粒的陨石
tibiofibula	胫腓骨
sukhumi	苏呼米
montilla	蒙蒂勒白葡萄酒
christen	命名为
caracara	长腿兀鹰
mezzanine	包厢
tuscany	=Toscana
reist	=reest
ceuca	Central
ceuca	African
ceuca	Customs
ceuca	and
ceuca	Economic
ceuca	Union
ceuca	中非关税经济同盟
epistasis	上位
epistasis	异位显性
visualisation	=visualization
jackass	公驴
jackass	愚人
jackass	傻子
cab	一种压缩文件格式
cab	出租马车
cab	出租汽车
cab	计程车
cab	司机室
cab	驾驶室
cab	乘出租马车
diadochy	同晶性型
labourious	需要劳力的
labourious	需要劳力
labourious	费劲的
labourious	费劲
cythera	塞西拉
deneb	天津四
novelette	中篇小说
premiership	总理
premiership	首相之职位与任期
oracy	口语能力
sialidase	唾液酸酶
beetleheaded	笨的
beetleheaded	笨
reynold	雷诺
lumpenproletarian	`lQmpEn9prEJlI`teErIEn/
lumpenproletarian	alI`teErIEt/
lumpenproletarian	流氓无产阶级
gymnoplast	裸质体
melancholiac	患忧郁症的
melancholiac	患忧郁症
melancholiac	忧郁症患者
cracow	=Krakow
pleiades	昴宿星
subdepot	分仓库
subdepot	附属仓库
teletypesetter	电报排字机
teletypesetter	电报铸字机
silverfish	蠹虫
urubu	黑秃鹫
urubu	食腐肉的乌鸦
ashler	琢石
ashler	方石堆
bouffe	滑稽的
bouffe	滑稽
bouffe	喜剧性的
bouffe	喜剧性
twistification	扭曲
twistification	歪曲
twistification	的事物
authoritative	权威的
authoritative	权威
authoritative	有权威的
authoritative	有权威
authoritative	命令的
authoritative	命令
mss	多光谱扫描器
haemocoele	节足动物的血管体腔
methodenstreit	关于方法论的讨论
rallymaster	公路汽车赛主持人
lettic	列托语
lettic	列托族的
lettic	列托族
lettic	列托语的
lettic	列托语
ruching	褶饰
quintan	五日热
quintan	每隔五天发作的
quintan	每隔五天发作
multiplicity	多样性
prothalamion	婚礼预祝歌
reins	感情
reins	激情
forgiveness	宽恕
forgiveness	宽仁之心
heatstroke	中暑
tailhead	尾基部
valiant	勇敢的
valiant	勇敢
valiant	英勇的
valiant	英勇
valiant	勇敢的人
drum	鼓
drum	鼓声
drum	鼓形圆桶
drum	鼓膜
drum	鼓室
drum	击鼓
drum	作鼓声
drum	打鼓奏
lobe	圆形突出部
lobe	圆裂片
spaceplane	航天飞机
falangist	长枪党党员
random	随意
random	任意
random	任意的
random	任意
random	随便的
random	随便
random	胡乱的
random	胡乱
random	胡乱地
random	胡乱
microsome	微粒体
orel	奥廖尔
gombroon	冈布龙陶瓷器皿
galago	狉
galago	丛猴
galago	夜猴
phthisical	肺结核的
phthisical	肺结核
hitchhiker	搭便车的旅行者
hitchhiker	顺便插入的广告
hitchhiker	短篇广告
overflew	overfly
overflew	的过去式
afterwar	战后的
afterwar	战后
warp	弯曲
warp	歪曲
warp	乖僻
warp	偏差
warp	乖戾
warp	偏见
warp	弄歪
warp	使翘曲
warp	使不正常
warp	歪曲
warp	使有偏见
warp	变弯
warp	变歪
warp	变的反常
greyly	带灰地
greyly	带灰
phototransistor	光电晶体管
phototransistor	光敏晶体管
carman	运货马车的车夫
carman	电车的车长
kenning	比喻的复合辞
bertrand	伯特兰
ripplet	小涟漪
lard	猪油
wild	野性的
wild	野性
wild	野生的
wild	野生
wild	野蛮的
wild	野蛮
wild	狂热的
wild	狂热
wild	疯狂的
wild	疯狂
insolate	曝晒
mysid	糖虾
everett	埃弗雷特
biostrome	生物层
electropositive	阳电的
electropositive	阳电
electropositive	带阳电的
electropositive	带阳电
electropositive	阳性的
electropositive	阳性
electropositive	盐基性的
electropositive	盐基性
electropositive	金属的
electropositive	金属
thataway	朝那个方向
thataway	按指示
cleat	夹板
kreisler	克莱斯勒
indwell	存在于
indwell	存在
onflow	湍流
onflow	洪湍
guidance	指导
guidance	领导
photoactive	光
photoactive	活的
photoactive	活
photoactive	光敏的
photoactive	光敏
interlude	两段时期中间之时间
interlude	间隔的时间)
interlude	戏剧或歌剧两幕间
interlude	圣诗等两段之间之间歇
chert	燧石
chert	黑硅石
angiotomy	血管切开术
angiotomy	血管解剖术
igmp	Internet
igmp	Group
igmp	Management
igmp	Protocol
igmp	Internet组管理协议
animalize	使动物化
baptism	浸洗
baptism	洗礼
baptism	严峻考验
coring	去除中心部份
coring	地层中取出之圆形岩石样品
emmet	蚂蚁
astrophysics	天体物理学
hydraulics	水力学
memorization	记住
memorization	默记
tarre	=tar
godparent	名义双亲
godparent	教父或教母
catapult	弹弓
catapult	飞机弹射器
edi	Electronic
edi	Data
edi	Interchange
edi	电子数据交换
edi	无纸贸易
louisiana	路易斯安那
refreshant	提神物
refreshant	提神清凉饮料
servo	伺服
servo	伺服系统
uprise	起义
uprise	暴动
uprise	上升
uprise	起床
uprise	起坡
uprise	升起
wwf	World
wwf	Wrestling
wwf	Federation
wwf	世界摔跤联合会
wwf	World
wwf	Wildlife
wwf	Fund
wwf	世界野生动物基金
eventless	平静无事的
eventless	平静无事
eventless	平静的
eventless	平静
eventless	平凡的
eventless	平凡
certain	确定的
certain	确定
certain	某一个
certain	无疑的
certain	无疑
certain	必然的
certain	必然
certain	可靠的
certain	可靠
certain	pro
certain	某几个
certain	某些
specky	有斑点的
specky	有斑点
specky	有瑕疵的
specky	有瑕疵
cdnc	计算机辅助设计数字控制
smoothie	善于讨好女人的男子
smoothie	举止优雅的人
pgdn	pagedown
pgdn	翻下页
highness	高
highness	高度
highness	高位
highness	殿下
fritz	德国人
disapprobation	不答应
disapprobation	非难
disapprobation	不赞成
shoreward	面向岸
shoreward	面朝岸
shoreward	朝向陆地
shoreward	朝向陆
shoreward	面向岸的
shoreward	面向岸
shoreward	朝向陆地的
shoreward	朝向陆
recreation	消遣
recreation	娱乐
parterre	花坛
parterre	花圃
preform	预先形成
preform	粗加工的成品
detector	发现者
detector	侦察器
detector	探测器
detector	检波器
detector	检电器
unacknowledged	不被承认的
unacknowledged	不被承认
unacknowledged	未答复的
unacknowledged	未答复
backslid	backslide的过去式
circumlunar	绕月球运动的
circumlunar	绕月球运动
circumlunar	月球周围的
circumlunar	月球周围
naturalize	使入国籍
naturalize	移植
rfc	Request
rfc	For
rfc	Comments
rfc	请求注解
crackly	容易破裂的
crackly	容易破裂
electrochronograph	电动精密记时计
carcass	畜体
lithemia	结石性血
lithemia	尿酸血症
elea	埃里亚
palliative	减轻的
palliative	减轻
palliative	辩解
subtense	弦
subtense	对边
amateurship	业余者的资格或身份
mspe	Master
mspe	of
mspe	Science
mspe	in
mspe	Physical
mspe	Education
mspe	体育硕士
exhortatory	劝诫的
exhortatory	劝诫
exhortatory	告诫的
exhortatory	告诫
bookmarker	书签
woodskin	制造小划子的树皮
woodskin	用树皮制造的小划子
ya	young
ya	adult
ya	年轻人
columbine	鸽的
columbine	鸽
columbine	鸽似的
columbine	鸽似
columbine	鸽色的
columbine	鸽色
columbine	耧斗菜
theorbo	琵琶的一种
anthologist	选集的编者
monogenist	人类同源论者
jobber	临时工
jobber	做散工者
jobber	批发商
jobber	股票经纪人
vestibulectomy	耳前庭切除术
facemaking	扮鬼脸
facemaking	作苦相
theses	指挥棒的朝下挥动
pesticidal	杀虫的
pesticidal	杀虫
privately	私下地
privately	私下
privately	秘密地
privately	秘密
disputed	争议
disputed	争议
validly	正当地
validly	正当
validly	妥当地
validly	妥当
porcellanous	=porcelaneous
athena	雅典娜
wearability	穿着性能
wearability	耐磨损性
ageing	成熟
ageing	变老
diphosphate	二磷酸
explicans	术语或陈述的意义
hub	毂
hub	木片
hub	中心
hub	网络集线器
hub	网络中心
quackster	庸医
quackster	骗子
heterotrophe	异养生物
entomologize	研究昆虫学
entomologize	采集昆虫
tradesfolk	商人
tradesfolk	开商店者及其家属
thalassic	海的
thalassic	海
thalassic	内海的
thalassic	内海
thalassic	海湾的
thalassic	海湾
sutteeism	寡妇殉夫自焚的风俗
skint	身无分文的
skint	身无分文
skint	穷光蛋的
skint	穷光蛋
whitewash	石灰水
whitewash	白色涂料
whitewash	白粉胶泥水
whitewash	涂脂抹粉
whitewash	用石灰水把……刷白
casbah	阿拉伯式之宫廷
concessioner	受让人
concessioner	特许权所有人
dropsical	水肿的
dropsical	水肿
monolatrist	单拜一神教教徒
couture	服装设计或其服装店
straggling	脱离队伍的
straggling	脱离队伍
straggling	落后的
straggling	落后
supervisal	监督
supervisal	管理
grebe	一种鸟
rimal	细长之口的
rimal	细长之口
rimal	裂缝的
rimal	裂缝
kirov	基洛夫(旧称维亚特卡
resignation	辞职
resignation	辞职书
resignation	放弃
resignation	顺从
judaism	犹太教
bitterbrush	蔷薇科淡灰色灌木
kbe	Knight
kbe	Commander
kbe	of
kbe	the
kbe	Order
kbe	of
kbe	theBritish
kbe	Empire
kbe	第二等的高级英帝国勋爵士
tafferel	船尾上部
tafferel	船尾栏杆
animated	活生生的
animated	活生生
animated	活泼的
animated	活泼
animated	动的
animated	动
animated	愉快的
animated	愉快
hermeneutic	解释的
hermeneutic	解释
hermeneutic	解释学
hermeneutic	圣经注解学
zebeck	小型三桅船
marianist	巴黎圣母会成员
unsubmissive	不服从的
unsubmissive	不服从
unsubmissive	不顺从的
unsubmissive	不顺从
unsubmissive	不柔顺的
unsubmissive	不柔顺
unsubmissive	坚强不屈的
unsubmissive	坚强不屈
therapeutist	治疗学家
therapeutist	临床医学家
mycetozoan	粘菌
mycetozoan	变形菌
shareholding	股权
cavalvy	骑兵
cavalvy	骑兵队
rathripe	=ratheripe
forklike	像叉一样的
forklike	像叉一样
rueful	悔恨的
rueful	悔恨
douglas	道格拉斯
superorder	总目
acryl	压克力
povera	概念派的
povera	概念派
dyarchy	两头政治
claque	拍手喝彩者
claque	一群捧场者
plasmolyse	=plasmolyze
nardoo	一种苹属植物
nardoo	大柄苹
starveling	挨饿者
starveling	饿瘦了的人
starveling	挨饿的
starveling	挨饿
starveling	饿瘦了的
starveling	饿瘦了
starveling	贫穷的
starveling	贫穷
flagellate	鞭打
flagellate	鞭挞
flagellate	鞭状的
flagellate	鞭状
flagellate	鞭索形的
flagellate	鞭索形
flagellate	有鞭毛的
flagellate	有鞭毛
flagellate	鞭毛虫
flagellate	鞭毛藻
girosol	=girasol
tollie	=tolly
alnico	铝镍钴合金
alnico	磁钢
repressive	压抑的
repressive	压抑
repressive	压制的
repressive	压制
wany	=waney
deprecation	强烈不赞成
deprecation	祈免
deprecation	反对
gneissose	片麻岩的
gneissose	片麻岩
gneissose	像片麻岩的
gneissose	像片麻岩
acred	拥有许多地产的
acred	拥有许多地产
quickie	简短的
quickie	简短
quickie	速成的
quickie	速成
rummage	到处翻寻
rummage	搜出
rummage	检查
rummage	翻箱倒柜的寻找
rummage	检查
rummage	零星杂物
exumbrella	外伞
exumbrella	上伞
cosmic	宇宙的
cosmic	宇宙
underwriter	保险业者
underwriter	承诺支付者
underwriter	保险商
upborne	被举起的
upborne	被举起
upborne	被升高的
upborne	被升高
upborne	被支撑着的
upborne	被支撑着
mycostat	防霉菌剂
mycostat	灭霉菌剂
tincal	粗硼砂
replacer	替代者
replacer	复原者
