balalaika	俄式三弦琴
mysticize	使神秘化
mysticize	给予……神秘意义
mysticize	就神秘性主题演讲
incidentally	附带地
incidentally	附带
incidentally	顺便提及
supersensory	超感觉的
supersensory	超感觉
angrily	愤怒地
angrily	愤怒
arminianize	使信奉阿米尼乌斯派教义
twist	一扭
twist	扭曲
twist	盘旋
twist	曲折
twist	歪曲
twist	手法
twist	螺旋状
twist	拧
twist	扭曲
twist	绞
twist	搓
twist	捻
twist	使苦恼
twist	使转动
twist	编织
twist	扭弯
twist	扭曲
twist	缠绕
twist	扭动
twist	呈螺旋形
inning	一局
inning	荒地的周围
inning	发展的机会
inning	好时机
inning	围垦
enzymatic	酶的
enzymatic	酶
ikon	圣像
ikon	画像
horseflesh	马肉
horseflesh	马
miliary	栗粒状的
miliary	栗粒状
geothermal	地热的
geothermal	热
geothermal	地温的
geothermal	温
geothermal	地热产生的
geothermal	热产生
knag	木节
knag	木瘤
lactic	乳的
lactic	乳
lactic	乳汁的
lactic	乳汁
geothermic	地热的
geothermic	热
abfarad	C
abfarad	G
abfarad	S
carbolize	用酚处理
carbolize	使与酚结合
oxidization	氧化
counterfeiter	伪造者
counterfeiter	造伪币者
counterfeiter	假造者
membrum	阴茎
membrum	阳具
alienee	受让人
recumbent	靠着的
recumbent	靠着
recumbent	斜躺着的
recumbent	斜躺着
recumbent	不活动的
recumbent	不活动
recumbent	休息的
recumbent	休息
moisture	潮湿
moisture	湿气
sequenator	顺序分析仪
forgetful	健忘的
forgetful	健忘
forgetful	易忘的
forgetful	易忘
febrifacient	引起发热的病原
febrifacient	产热剂
febrifacient	产热的
febrifacient	产热
viperous	有毒的
viperous	有毒
viperous	阴险的
viperous	阴险
tickey	三便士
bersagliere	狙击兵
unuttered	未说出口的
unuttered	未说出口
unuttered	没有用言词表达的
unuttered	没有用言词表达
unuttered	不吭声的
unuttered	不吭声
represent	表现
represent	描绘
represent	声称
represent	象征
represent	扮演
represent	回忆
represent	再赠送
represent	再上演
represent	提出异议
ascender	上升的人或物
ascender	小写字体中超出x字母高度部分
coke	可乐
coke	焦炭
coke	成焦炭
leadenhall	伦敦肉类市场
hydrokinetic	液体动力学的
hydrokinetic	液体动力学
hydrokinetic	流体运动的
hydrokinetic	流体运动
univariant	单变的
univariant	单变
derate	减免
limean	=Limenian
farmeress	农人之妻
farmeress	农场女工
squaresville	Ⅰ
squaresville	守旧的社会
squaresville	老派社会
brusa	=Bursa
vaudevillian	轻歌舞剧编剧者
vaudevillian	杂耍演员
tineid	谷蛾科昆虫
sandek	抱男童的人
dossal	挂布
dossal	缎帐
assuasive	有和缓性的
assuasive	有和缓性
assuasive	镇静的
assuasive	镇静
assuasive	缓和的
assuasive	缓和
heterosphere	非均质层
decreasing	减少的
decreasing	减少
decreasing	渐减的
decreasing	渐减
obedientiary	隐修院执事
trance	恍惚
trance	出神
trance	着迷
trance	迷睡
trance	使恍惚
trance	使发呆
nonliquid	不是流体的
nonliquid	不是流体
nonliquid	非流动性的
nonliquid	非流动性
phrenogastric	膈胃的
phrenogastric	膈胃
extensionless	无广延性的
extensionless	无广延性
extensionless	无广袤性的
extensionless	无广袤性
succorance	求助心态
passerby	过路人
passerby	行人
hail	冰雹
hail	致敬
hail	招呼
hail	一阵
hail	向……欢呼
hail	致敬
hail	招呼
hail	使象下雹样落下
hail	猛发
hail	招呼
hail	下雹
hail	万岁
hail	欢迎
hydroscopicity	深水望远镜
hephaestus	赫菲斯托斯
heated	热的
heated	热
heated	激昂的
heated	激昂
heated	兴奋的
heated	兴奋
roading	公路建设与保养
mesenchyma	=mesenchyme
mensuration	测定
mensuration	测量
mensuration	测定法
mensuration	求积法
vermicelli	细面条
vermicelli	粉条
idleness	闲散
idleness	懒惰
idleness	赋闲无事
internalization	成为主观
internalization	内在化
nepenthes	猪笼草
nepenthes	忘忧草
tws	timed
tws	wire
tws	service
tws	定时线路服务
ecclesial	教会的
ecclesial	教会
semimute	半哑的
semimute	半哑
semimute	几乎不能说话的
semimute	几乎不能说话
disburser	支付者
disburser	付出者
philology	语言学
philology	文献学
chansonnette	小歌
cybernation	自动控制
liquidate	清算
later	更迟的
later	更迟
later	更后的
later	更后
later	稍后
later	随后
totany	完全
totany	统统
monograph	专论
propylaea	通廊
inwoven	inweave的过去分词
iridescent	彩虹色的
iridescent	彩虹色
iridescent	闪光的
iridescent	闪光
flagrantly	千真万确地
flagrantly	千真万确
flagrantly	极恶地
flagrantly	极恶
spandrel	拱肩
ergotize	使染麦角病
mzungu	白人
fakery	伪造
fakery	伪装
autoformat	自动套用格式
sialogogic	催涎的
sialogogic	催涎
paternally	父亲一般地
paternally	父亲一般
pas	舞步
pas	舞蹈
crowbar	撬棍
crowbar	铁橇
exarticulate	无关节的
exarticulate	无关节
forego	走在……之前
forego	居先
seletron	硒整流器
ise	伊势
muddiness	混浊不清
illusiveness	幻影
illusiveness	错觉
javabeans	Sun公司开发的一种面向对象的编程接口
betrayer	叛徒
betrayer	背叛者
intermediation	调停
intermediation	仲裁
intermediation	调解
reclaimable	可收回的
reclaimable	可收回
reclaimable	可教化的
reclaimable	可教化
gidgee	小相思树
energetics	热力学
energetics	动能学
energetics	力能学
hematometer	血球计
hematometer	血压计
androcles	安德鲁克里斯
snowsuit	孩童用防雪装
overwrap	透明外包装纸
expressage	快递
expressage	速递费
komsomol	共青团员
gabber	唠叨的人
faraway	遥远的
faraway	遥远
faraway	久远的
faraway	久远
faraway	恍惚的
faraway	恍惚
faraway	出神的
faraway	出神
faraway	朦胧的
faraway	朦胧
oam	操作维护管理
erp	European
erp	Recovery
erp	Program
erp	欧洲复兴计划
genseng	=ginseng
designation	指示
designation	指定
designation	选派
designation	名称
xviii	罗马数字
xviii	18
oxygenous	氧气的
oxygenous	氧气
oxygenous	含氧的
oxygenous	含氧
fanconi	syndrome范可尼综合征
fanconi	胱氨酸病
omphalitis	脐炎
chongjin	清津
wto	Warsaw
wto	Treaty
wto	Organization
belitoeng	=Belitung
diglossia	使用两种语言或方言
guanaco	产于南美
guanaco	Andes山脉的骆马之类
hanker	渴望
hanker	追求
toilsome	辛苦的
toilsome	辛苦
glossectomy	舌截除术
montenegrin	Montenegro
montenegrin	Montenegro
montenegrin	人
lecithotrophic	蛋黄营养的
lecithotrophic	蛋黄营养
hindi	北印度的
hindi	北印度
hindi	北印度语
pigmental	颜料的
pigmental	颜料
pigmental	颜色的
pigmental	颜色
enslaver	奴役者
enslaver	征服者
vermiculate	蠕虫状的
vermiculate	蠕虫状
vermiculate	虫蛀的
vermiculate	虫蛀
vermiculate	迂回的
vermiculate	迂回
vermiculate	使虫蛀
vermiculate	给……作虫迹形装饰
kantism	康德哲学
michiganite	密歇根人
plastisol	塑料溶胶
plastisol	增塑溶胶
soon	立刻
soon	不久
soon	快
soon	早
soon	宁愿
ridgeplate	=ridgepole
honkey	=honky
lampoonery	讽刺诗的写作
lampoonery	讽刺性质
nectary	蜜槽
nectary	蜜腺
nectary	蜜管
fibonacci	numbers斐波纳契数列
hookup	连接
hookup	转播
hookup	接线图
nonstop	不断的
nonstop	不断
recusation	反对
bibelot	小摆设
bibelot	小装饰品
bibelot	微型书
keyboard	键盘
ma	妈
ma	Morocco
ma	摩洛哥
ma	MA
ma	:
ma	文学硕士
fairylike	仙女一般的
fairylike	仙女一般
fairylike	精灵一般的
fairylike	精灵一般
hypogonadism	性腺机能减退
hypogonadism	生殖官能不良
headphones	听筒
headphones	耳机
adrenal	肾上腺的
adrenal	肾上腺
adrenal	肾上腺
virid	绿色的
virid	绿色
virid	青绿的
virid	青绿
hypogenetic	发育不良的
hypogenetic	发育不良
questionary	调查表
questionary	问卷
questionary	质问的
questionary	质问
protostele	原生中柱
kier	煮布锅
kier	染布缸
kief	吸毒后的迷糊状态
kief	麻醉品
dinitrogen	tetroxide四氧化二氮
dorchester	多尔切斯特
aseismatic	耐震的
aseismatic	耐震
aseismatic	抗震的
aseismatic	抗震
forked	有叉子的
forked	有叉子
forked	叉状的
forked	叉状
canalage	开掘运河
canalage	运河
canalage	水路
canalage	运河通行税
blackish	带黑色的
blackish	带黑色
bouilli	红烧肉
shortia	岩扇
shortia	杖草叶岩扇
bored	无聊的
bored	无聊
bored	无趣的
bored	无趣
bored	烦人的
bored	烦人
slummock	狼吞虎咽
slummock	瞎扯
hircine	山羊的
hircine	山羊
hircine	山羊般气味的
hircine	山羊般气味
hircine	山羊般的
hircine	山羊般
razee	拆除上层甲板的船
razee	削减
razee	删节
caudle	酒汤
caudle	粥汤
interrelate	相互关连
marzipan	杏仁蛋白软糖
trochleae	软骨轮
habitacle	壁龛
selected	经由选择的
selected	经由选择
selected	挑选的
selected	挑选
sebotrophic	刺激泌脂的
sebotrophic	刺激泌脂
metathoracic	后胸的
metathoracic	后胸
greasy	多脂的
greasy	多脂
greasy	油脂的
greasy	油脂
greasy	油污的
greasy	油污
revivify	振奋精神
lowriding	驾驶低底盘汽车兜风
velamen	根被
rearview	mirror后视镜
hyperparasite	重寄生物
department	部
department	局
department	处
department	科
department	部门
department	系
department	学部
pterylography	羽区研究
pterylography	鸟羽分布描述
excubitorium	值夜人的职位或岗位
excubitorium	值夜人的房间
neurasthenia	神经衰弱症
knout	皮鞭
knout	笞
knout	鞭打
diatomite	硅藻土
incarcerate	把……关进监狱
incarcerate	监禁
incarcerate	幽闭
cirrous	a
cirrous	有触毛的
cirrous	有触毛
formulize	公式化
formulize	用公式表示
formulize	把……作成公式
guyanese	圭亚那居民
guyanese	圭亚那的
guyanese	圭亚那
salina	盐碱滩
salina	盐水湖
salina	盐沼
snobol	SNOBOL语言
uniplanar	单平面的
uniplanar	单平面
uniplanar	单面延展的
uniplanar	单面延展
uniplanar	同平面的
uniplanar	同平面
catamount	山猫
catamount	美洲豹
catamount	野猫
catamount	猫科动物
linguistic	语言上的
linguistic	语言上
linguistic	语言学上的
linguistic	语言学上
duff	布丁的一种
duff	揉好的面团
duff	半腐烂的落叶堆
duff	笨拙的人
duff	顽固不讲理的人
duff	虚饰以欺骗人
analogously	类似地
analogously	类似
analogously	近似地
analogously	近似
lemming	旅鼠
quitch	茅草类植物
dreamfully	梦多地
dreamfully	梦多
dreamfully	常易梦见地
dreamfully	常易梦见
scrawny	瘦脊的
scrawny	瘦脊
scrawny	骨瘦如柴的
scrawny	骨瘦如柴
consolidation	巩固
consolidation	合并
amesace	=ambsace
supercharge	对……增压
unkink	除去……的纠结
unkink	使变直
unkink	松开
unkink	放松
oleomargarine	人造黄油
serra	锯齿状器官
centrobaric	重心的
centrobaric	重心
centrobaric	有重心的
centrobaric	有重心
anaheim	阿纳海姆
platypusary	鸭嘴兽圈养地
platypusary	鸭嘴兽圈养
newsflash	简短的新闻报道
gaelic	盖尔语
gaelic	盖尔人的
gaelic	盖尔人
alms	施舍
alms	救济物
italiot	意大利南部古希腊移民城邦的居民
poseur	装模作样的人
poseur	装腔作势的人
mane	鬃毛
clinging	执着的
clinging	执着
clinging	有粘性的
clinging	有粘性
practised	熟练的
practised	熟练
practised	老练的
practised	老练
veiny	纹理状的
veiny	纹理状
magyar	马扎尔人
magyar	马扎尔语
magyar	马扎尔人的
magyar	马扎尔人
magyar	匈牙利人的
magyar	匈牙利人
jeepload	吉普车所能装的数量
jolo	霍洛岛
ecologist	生态学者
australorp	澳洲黑
centralia	澳大利亚的中部偏僻地区
newish	稍新的
newish	稍新
unstressed	不着重的
unstressed	不着重
unstressed	无重音的
unstressed	无重音
menopausic	=menopausal
tulsa	塔尔萨
finch	雀类
sandwort	蚤缀
sandwort	鹅不食
juju	物神
juju	符咒
tubilingual	有管状舌的
tubilingual	有管状舌
jointless	无接缝的
jointless	无接缝
jointless	无关节的
jointless	无关节
spokesman	发言人
spokesman	代表者
zearalenone	玉米烯酮
platypus	鸭嘴兽
msee	Master
msee	of
msee	Science
msee	in
msee	Electrical
msee	Engineering
msee	电机工程学硕士
macrobiosis	长寿
macrobiosis	长命
felony	重罪
acclimate	使适应新环境
acclimate	使服水土
acclimate	服水土
acclimate	适应
remuneration	报酬
reconciliatory	一致的
reconciliatory	一致
anatomize	解剖
anatomize	仔细分析
baseball	棒球
baseball	棒球运动
startling	令人吃惊的
startling	令人吃惊
colorless	无色的
colorless	无色
colorless	无趣味的
colorless	无趣味
arrowroot	竹芋
arrowroot	竹芋粉
considered	考虑过的
considered	考虑过
considered	被尊重的
considered	被尊重
covenant	契约
covenant	盟约
covenant	缔结
covenant	立约
coarseness	粗糙
coarseness	劣等
coarseness	粗劣的
coarseness	粗劣
macroengineering	大规模工程
stockrider	骑马的牧牛或牧羊人
stockrider	牛仔
wellborn	出身名门的
wellborn	出身名门
sexidecimal	16进位的
sexidecimal	16进位
orvieto	奥维多白葡萄酒
liverleaf	獐耳细辛
yanomamo	雅诺马马人
incognizance	不认识
incognizance	不知觉
lara	拉腊
spirality	螺旋形
circlet	小圈
reintroduce	再引入
reintroduce	再提出
rubidium	铷
mesmerize	施催眠术
cardiac	强心剂
cardiac	强胃剂
cardiac	心脏的
cardiac	心脏
cardiac	贲门的
cardiac	贲门
pollen	花粉
pollen	传授花粉给
factrix	女代理人
tangleweed	=tangle
foetor	=fetor
hypothesis	假设
tchad	=Chad
nonflammable	不燃烧的
nonflammable	不燃烧
baseburner	自动添煤之火炉
syphilitic	梅毒的
syphilitic	梅毒
syphilitic	感染梅毒的
syphilitic	感染梅毒
syphilitic	梅毒病人
latah	拉塔病
brecknock	=Brecon
retell	重讲
magnetogram	磁力图
marrowless	无髓的
marrowless	无髓
marrowless	无力的
marrowless	无力
mazaedium	粉状物
oxlip	樱草之一种
turfski	滑草板
chemigraphically	化学镌版术地
chemigraphically	化学镌版术
osmotic	渗透的
osmotic	渗透
osmotic	渗透性的
osmotic	渗透性
dnotice	国防机密通知
futhark	北欧古字母
ovl	覆盖文件的扩展名
hurler	投掷者
hurler	投手
pastorage	=parsonage
chromiderosis	色汗症
areological	火星科学研究的
areological	火星科学研究
counterpart	副本
counterpart	极相似的人或物
counterpart	配对物
shetland	设得兰群岛
recitative	背诵的
recitative	背诵
recitative	吟诵的
recitative	吟诵
recitative	叙述的
recitative	叙述
pee	小便
pee	撒尿
pee	小便
pee	撒尿
vasodilatation	血管舒张
bipolar	有两极的
bipolar	有两极
bipolar	双极的
bipolar	双极
atheistic	无神论的
atheistic	无神论
atheistic	无神论者的
atheistic	无神论者
tumefy	肿大
tumefy	浮华的
tumefy	浮华
tumefy	隆起的
tumefy	隆起
multiuser	多用户
bagpiper	吹风笛的人
bagpiper	风笛手
bondon	软乳酪
flyable	可以飞行的
flyable	可以飞行
flyable	可驾驶的
flyable	可驾驶
teak	柚木
helvetia	赫尔维蒂
helvetia	瑞士的拉丁名
tipsily	喝酒地
tipsily	喝酒
tipsily	倾斜地
tipsily	倾斜
xyloglyphy	木刻术
sclerotic	硬化的
sclerotic	硬化
pigskin	猪皮
pigskin	猪皮革
coronach	葬歌
coronach	挽歌
incessant	不断的
incessant	不断
incessant	不停的
incessant	不停
tromp	践踏
tromp	跺脚
indexless	无索引的
indexless	无索引
aphrodisiac	引起性欲的
aphrodisiac	引起性欲
aphrodisiac	壮阳剂
aphrodisiac	春药
dimensionality	幅员
dimensionality	广延
dimensionality	维度
cerebroid	如脑或大脑的
cerebroid	如脑或大脑
homopterous	同翅类的
homopterous	同翅类
shaikh	族长
shaikh	酋长
villus	长茸毛
rigorism	严格主义
rigorism	严格
rigorism	死脂
edward	爱德华
bedspread	床单
bedspread	床罩
sitomania	贪食症
sitomania	间发性善饥
valetudinarian	9vAlItjU
valetudinarian	dI`IEn/
valetudinarian	有病的
valetudinarian	有病
valetudinarian	衝eErIEnIzEm/
valetudinarian	体槿醯
valetudinarian	体弱多病弱多病
valetudinarian	无病呻吟者/的人
tungstite	钨华
holophrase	表句词
holophrase	整句字
snubbingly	冷落怠慢地
snubbingly	冷落怠慢
snubbingly	严厉斥责地
snubbingly	严厉斥责
snubbingly	厉声制止地
snubbingly	厉声制止
gammadia	万字形
dribble	滴下
creaming	乳状物之沉淀或上层
unemotionality	无感情
unemotionality	无动于衷
unemotionality	客观
unemotionality	冷漠
iceman	售冰者
iceman	送冰人
iceman	善于在冰的行走的人
provirus	前病毒
innate	先天的
innate	先天
innate	天生的
innate	天生
precensor	事先审查
aethereally	轻飘地
aethereally	轻飘
aethereally	飘渺地
aethereally	飘渺
aethereally	天上的
aethereally	天上
aethereally	非人间的
aethereally	非人间
birman	缅甸猫
baku	巴库
capybara	水豚
parity	奇偶
aleksandrovsk	亚历山德罗夫斯克
crosier	权杖
pluteus	长腕幼虫
joyously	快乐地
joyously	快乐
joyously	快活地
joyously	快活
fagoting	抽纱法
rumbustiously	喧嚣地
rumbustiously	喧嚣
rumbustiously	难驯地
rumbustiously	难驯
hagiographer	圣徒传作者
hobohemia	游民所居之贫民窟
hobohemia	流浪者生活
visiting	拜访
visiting	访问
elaphine	红鹿的
elaphine	红鹿
elaphine	似红鹿的
elaphine	似红鹿
hyperostotic	骨肥大的
hyperostotic	骨肥大
hyperostotic	骨肥厚的
hyperostotic	骨肥厚
angora	安哥拉猫
angora	安哥拉山羊
shantung	山东绸
triaxial	三轴的
triaxial	三轴
triaxial	三维的
triaxial	三维
triaxial	空间的
triaxial	空间
kalimantan	加里曼丹
geometrid	尺蠖娥
significance	意义
significance	重要性
anenst	关于
friskful	活泼的
friskful	活泼
friskful	有生气的
friskful	有生气
incessancy	持续不断
incessancy	连续性
hereditarian	遗传论者
tapster	酒吧的酒保
osmolarity	同渗容摩
koine	以阿提喀方言为主的希腊共通语
charnel	藏骸所
charnel	停尸房
charnel	似停尸房的
charnel	似停尸房
charnel	恐怖的
charnel	恐怖
charnel	阴森的
charnel	阴森
mym	myriametre
lemongrass	柠檬香草
tellable	可述说的
tellable	可述说
tellable	值得说的
tellable	值得说
trash	无价值之物
trash	无聊的作品
trash	垃圾
trash	废物
magnetooptical	磁光的
magnetooptical	磁光
magnetooptical	磁场对光线的影响的
magnetooptical	磁场对光线的影响
taileron	全动平尾副翼
taileron	尾部升降副翼
washerette	自助洗衣店
assibilate	使成咝擦音
assibilate	使齿音化
maguey	龙舌兰
maguey	其纤维
limay	利迈河
questionless	无疑的
questionless	无疑
questionless	无疑地
questionless	无疑
splodgy	有污点的
splodgy	有污点
splodgy	有污垢的
splodgy	有污垢
greyfish	角鲨
fucking	用以增强表示愤怒
fucking	烦恼等的语气
lidocaine	利多卡因
barotolerance	耐高压性
interrelation	相互关系
infrequency	很少发生
infrequency	罕见
sensibly	明显地
sensibly	明显
sensibly	敏感地
sensibly	敏感
sensibly	聪明地
sensibly	聪明
adown	向下
adown	朝下
tetchy	易暴怒的
tetchy	易暴怒
tetchy	脾气怪的
tetchy	脾气怪
humanisation	=humanization
begohm	十亿欧姆
isoglucose	糖类代用品
insufflator	吹入器
insufflator	吹药器
insufflator	指纹印显示器
tilt	翘起
tilt	以言词或文字抨击
frostfish	北美产的一种小雪鱼
unstep	由桅座移去
amylase	淀粉酶
sorn	强求膳宿
imponderabilia	无法估量之事物
impala	黑斑羚
unbuttoned	解开钮扣的
unbuttoned	解开钮扣
unbuttoned	无拘束的
unbuttoned	无拘束
etruscan	伊特鲁里亚的
etruscan	伊特鲁里亚
etruscan	伊特鲁里亚人的
etruscan	伊特鲁里亚人
etruscan	伊特鲁里亚人
postpose	用在后面的
postpose	用在后面
intervallic	音程的
intervallic	音程
residency	住处
residency	住院医生实习期
residency	住院医生的职位
residency	高级训练
courtesy	谦恭
courtesy	允许
courtesy	礼貌
backwater	死水
backwater	停滞不进的状态或地方
subsumption	包容
subsumption	包含
nemertinean	纽虫
benzophenone	苯甲酮
wangan	=wanigan
inbreed	生育
inbreed	生产
lockbox	有锁的箱子
haulm	茎
haulm	杆
haulm	稻草
lazurite	天青石
lazurite	青金石
steering	操纵
steering	掌舵
steering	指导
pesterous	纠缠不休的
pesterous	纠缠不休
pesterous	讨厌的
pesterous	讨厌
dairy	牛奶场
dairy	奶品场
dairy	售牛奶
dairy	奶油
dairy	鸡蛋等的商店
dairy	奶制品
egoistical	自我中心的
egoistical	自我中心
egoistical	自私自利的
egoistical	自私自利
egoistical	利已主义的
egoistical	利已主义
emmenology	月经学
scoot	疾走
scoot	迅速跑开
scoot	溜走
quadripartition	分成四部份
quadripartition	一分为四
appall	使胆寒
appall	使惊骇
pinocytotic	胞饮的
pinocytotic	胞饮
pinocytotic	胞饮作用形成的
pinocytotic	胞饮作用形成
recombination	再结合
rhapsodic	狂想的
rhapsodic	狂想
rhapsodic	狂想曲的
rhapsodic	狂想曲
yawny	打呵欠的
yawny	打呵欠
yawny	令人打呵欠的
yawny	令人打呵欠
tantalising	=tantalizing
calypso	卡里普索
calypso	特立尼达岛上土人所演唱之歌曲的
calypso	特立尼达岛上土人所演唱之歌曲
numinosum	对神既敬畏又向往的感情交织
monoxide	一氧化物
insusceptible	不为所动的
insusceptible	不为所动
insusceptible	不易受影响的
insusceptible	不易受影响
niobite	铌铁矿
vaunting	吹嘘的
vaunting	吹嘘
vaunting	傲慢的
vaunting	傲慢
vaunting	自吹自擂
chorea	舞蹈病
laborage	工资
laborage	工钱
dieb	胡狼
calif	哈里发
patrin	路标
figurehead	装饰船头的雕像
figurehead	破浪神
figurehead	有名无实的领袖
misunderstanding	误会
misunderstanding	误解
slander	诽谤
slander	诽谤
fact	事实
fact	实际
fact	实情
fact	真相
fact	行为
fact	论据
clothbound	布面精装的
clothbound	布面精装
articulatory	分节的
articulatory	分节
articulatory	关节的
articulatory	关节
extroverted	外向性的
extroverted	外向性
extroverted	喜社交的
extroverted	喜社交
optician	光学仪器商
optician	眼镜商
optician	光学仪器制造者
archdeaconate	副主教的职位
purpura	紫癜
mb	MegaByte
mb	兆字节
pusher	推动者
pusher	推动器
pusher	作家
pusher	文书
leukoplasia	黏膜白斑病
proconsul	地方总督
proconsul	殖民地总督
brisk	敏锐的
brisk	敏锐
brisk	凛冽的
brisk	凛冽
brisk	轻快的
brisk	轻快
brisk	活泼的
brisk	活泼
brisk	使活泼
brisk	活跃起来
oxazepam	去甲羟基安定
oxazepam	氯羟氧二氮草
scoticism	=Scotticism
micros	微指令
coverlet	被单
coverlet	床单
malign	诽谤
malign	恶毒的
malign	恶毒
flyer	飞鸟
flyer	飞行物
flyer	飞行员
flyer	飞跳
flyer	传单
flyer	孤注一掷
scoop	铲子
scoop	掘
scoop	挖
pensive	沉思的
pensive	沉思
discontiguous	不连续的
discontiguous	不连续
lim	秘鲁利马机场之代号
receving	收到
receving	接受
smite	重击
xerogram	干式影印副本
hydromancy	水占术
solarism	太阳中心说
moosewood	条纹槭
distinguishability	可区别性
distinguishability	可识别性
walkaway	轻易得到的胜利
walkaway	轻易完成的事
caballer	与别人合作图以阴谋手段达成目的者
caballer	阴谋家
kilchu	吉州
chaptalize	增加糖分
irrepressibility	镇压不住
dispraise	指责
lubricant	滑润剂
regild	再镀金于
gunbattle	枪战
desirable	值得要的
desirable	值得要
desirable	合意的
desirable	合意
desirable	令人想要的
desirable	令人想要
desirable	悦人心意的
desirable	悦人心意
granularity	间隔尺寸
granularity	粒度
killing	杀害
killing	猎护品
killing	赚得的一笔大钱
killing	致死的
killing	致死
killing	使人疲乏的
killing	使人疲乏
killing	杀害
punge	=punji
unbrace	放松
unbrace	使衰弱
unbrace	解开……索带
unbrace	松驰
cogent	强有力的
cogent	强有力
cogent	使人信服的
cogent	使人信服
cogent	使人首肯的
cogent	使人首肯
cogent	恰到好处的
cogent	恰到好处
verbal	口头的
verbal	口头
gynaecic	女性的
gynaecic	女性
somatotroph	亲躯体细胞
hatting	制帽
emarcid	凋谢的
emarcid	凋谢
emarcid	枯萎的
emarcid	枯萎
enrobe	使穿衣袍
doa	dead
doa	on
doa	arrival
doa	到达前死亡
doa	送到时已死的
doa	送到时已死
polyspermous	多种子的
polyspermous	多种子
exophasia	外部语言
exophasia	有声的语言
masscult	大众文化
unsegregated	没有种族隔离的
unsegregated	没有种族隔离
unsegregated	打成一片的
unsegregated	打成一片
heft	重量
heft	重要性
heft	分量
heft	举起试重量
heft	举起
heft	重达
linendraper	亚麻布商
linendraper	衬衣类商人
photocomposer	照相排版机
toom	空的
toom	空
rehash	改头换面地重复
rehash	旧调重弹的作品
pelagic	远洋的
pelagic	远洋
pelagic	浮游的
pelagic	浮游
toolroom	工具室
toolroom	工具间
sporangia	sporangium的复数
slowish	速度较慢的
slowish	速度较慢
slowish	速度稍慢的
slowish	速度稍慢
dowlas	粗亚麻布
dowlas	粗花布
streptococcic	链球菌的
streptococcic	链球菌
madid	潮湿的
madid	潮湿
madid	湿润的
madid	湿润
madid	泪汪汪的
madid	泪汪汪
antiimperialism	反对帝国主义
limy	涂有鸟胶的
limy	涂有鸟胶
limy	含石灰的
limy	含石灰
limy	石灰似的
limy	石灰似
gallium	镓
nomenclaturist	术语定名者
nomenclaturist	学名命名人
drawerful	一抽屉之量
drawerful	大量
ssrc	Social
ssrc	Science
ssrc	Research
ssrc	Council
ssrc	社会科学研究委员会
sacrosciatic	骶骨坐骨的
sacrosciatic	骶骨坐骨
dystopian	反面乌托邦的
dystopian	反面乌托邦
dystopian	反面假想国的
dystopian	反面假想国
dystopian	反面乌托邦的鼓吹者
aircondition	设以空气调节装置
aircondition	装冷气机于……
opalesce	发出乳白色光
mondrian	蒙德里安绘画风格的
mondrian	蒙德里安绘画风格
combust	消耗
combust	燃烧
bull	公牛
bull	粗壮如牛的人
gray	灰色
gray	暗淡
gray	灰暗
gray	灰色的
gray	灰色
gray	灰白的
gray	灰白
gray	老的
gray	老
gray	老练的
gray	老练
gray	阴沉的
gray	阴沉
gray	广告商的
gray	广告商
gray	广告业的
gray	广告业
gray	变灰色
jupe	上衣
jupe	胸衣
jupe	女裙
sarcology	软组织解剖学
terminal	终点站
terminal	终端
terminal	接线端
terminal	末期
terminal	每期的
terminal	每期
terminal	每学期的
terminal	每学期
kilocurie	千居里
pulicide	灭蚤剂
somnambulance	梦行
signatureless	未签名的
signatureless	未签名
laurustinus	棉毛荚莱
cyclo	出租机动三轮车
cyclo	三轮人力车
cyclo	三轮车
lsv	lunar
lsv	surface
lsv	vehicle月面车
chemakuan	彻默库安语
patroness	女资助人
patroness	女赞助者
patroness	女主顾
knobbly	有节的
knobbly	有节
knobbly	棘手的
knobbly	棘手
haddingtonshire	哈丁顿郡(即东洛锡安郡
serpulid	龙介属动物
harrumph	哼声
harrumph	鼻息
harrumph	发哼声
frigidly	冷淡地
frigidly	冷淡
frigidly	呆板地
frigidly	呆板
spcc	Society
spcc	for
spcc	the
spcc	Prevension
spcc	of
spcc	Cruelty
spcc	to
spcc	Children
spcc	英国防止儿童虐待协会
visitor	访问者
visitor	来宾
visitor	游客
hydroxylate	化
occasionality	偶然性
soldiery	军人
telstar	通讯卫星
filmdom	电影界
filmdom	电影业
letterspacing	字间隔空
susceptibility	易感性
susceptibility	感受性
susceptibility	感情
susceptibility	磁化系数
huarache	条带鞋帮拖鞋
ripsnorting	了不起的
ripsnorting	了不起
ripsnorting	大不了的
ripsnorting	大不了
gape	打呵欠
gape	呵欠
diorama	透视画
diorama	立体模型
diorama	西洋景
transfluent	越流的
transfluent	越流
giantess	女巨人
quadrennially	四年一次地
quadrennially	四年一次
bombsite	被炸区域
lah	长音阶的第
lah	6
lah	音
varicellate	具有小螺层隆起的
varicellate	具有小螺层隆起
dramatize	改编成为戏剧
dramatize	编写剧本
dramatize	戏剧地表现
asonia	音盲
puling	呜咽的
puling	呜咽
puling	哀鸣的
puling	哀鸣
puling	哀诉的
puling	哀诉
reemphasis	再度强调
extracurricular	课外的
extracurricular	课外
extracurricular	业余的
extracurricular	业余
intertangle	使纠缠
resinous	树脂质的
resinous	树脂质
resinous	含树脂的
resinous	含树脂
