theosophical	神智学
british	英国人的
british	英国人
ageless	不老的
ageless	不老
ageless	永恒的
ageless	永恒
intravehicular	宇宙飞船的
intravehicular	宇宙飞船
intravehicular	用于宇宙飞船内的
intravehicular	用于宇宙飞船内
croppie	=crappie
ropey	破旧的
ropey	破旧
ropey	旧式的
ropey	旧式
ditty	小调
ditty	小曲
nystagmic	眼球震颤的
nystagmic	眼球震颤
encystment	成囊
encystment	胞囊形成
pogrom	大屠杀
pogrom	对……大屠杀
ulerythema	瘢痕性红斑
iips	交互式信息处理系统
artistic	艺术的
artistic	艺术
artistic	有美感的
artistic	有美感
artistic	风雅的
artistic	风雅
desman	麝香鼠
nociassociation	伤害性丧失脑力
alpinist	登山家
alpinist	阿尔卑斯登山家
emasculation	阉割
emasculation	柔弱
emasculation	去势
lido	海滨浴场
lido	海滨游乐场
lido	露天游泳池
puseyism	皮由兹运动
ocelot	虎猫
sinking	沉没
glassboro	葛拉斯堡罗
ghana	加纳
coexistent	同时共存的
coexistent	同时共存
coexistent	同时代的
coexistent	同时代
pistonhead	活塞头
retrobronchial	在支气管后面的
retrobronchial	在支气管后面
nhtsa	National
nhtsa	Highway
nhtsa	Traffic
nhtsa	Safety
nhtsa	Administration
nhtsa	国家公路交通安全管理局
transform	转换
transform	改变
transform	改造
transform	使……变形
transform	改变
transform	转化
transform	变换
transform	转换
skotophile	=scotophil
defenceless	无防御的
defenceless	无防御
defenceless	无保护的
defenceless	无保护
defenceless	不能自卫的
defenceless	不能自卫
defenceless	无助的:
transformable	可变形的
transformable	可变形
transformable	可变化的
transformable	可变化
indanthrene	阴丹士林
turboshaft	涡轮轴发动机
samovar	俄国的一种茶壶
misattribution	错误认定
misattribution	错误归属
misattribution	张冠李戴
lautenclavicymbal	羊肠弦大提琴
toolholder	工具的把柄
ferromagnet	铁磁物质
ferromagnet	铁磁的磁体
adriamycin	亚德里亚霉素
adriamycin	阿霉素
sabaean	塞巴人的
sabaean	塞巴人
streetlamp	街灯
counterproposal	反建议
kannada	埃纳德语
icterus	黄疸
bandmoll	结交摇摆舞乐师的少女
bandmoll	追随摇摆舞乐队的姑娘
trilinear	三线的
trilinear	三线
trilinear	包含三条线的
trilinear	包含三条线
trilinear	以三条线为界的
trilinear	以三条线为界
parthenocarpy	单性结实
pargana	=pergunnah
swordfish	旗鱼
xerophilous	好干燥的
xerophilous	好干燥
xerophilous	生于热带干燥地的
xerophilous	生于热带干燥
tapi	电话应用程序接口
tridactylous	有三指的
tridactylous	有三指
tridactylous	有三趾的
tridactylous	有三趾
contingent	可能发生的
contingent	可能发生
contingent	附随的
contingent	附随
contingent	暂时的
contingent	暂时
contingent	偶然的事情
contingent	分遣队
jonsonian	琼森的
jonsonian	琼森
jonsonian	琼森作品的
jonsonian	琼森作品
jonsonian	琼森风格的
jonsonian	琼森风格
haik	长方形布
euciliate	真纤毛亚纲的纤毛原生动物
drawdown	水位降低
drawdown	水位降低量
cornetcy	古时骑兵掌旗官之官阶
manifold	复印本
manifold	多种
manifold	多种形式的
manifold	多种形式
manifold	有许多部分的
manifold	有许多部分
manifold	多方面的
manifold	多方面
manifold	复写
manifold	繁殖
manifold	增多
levant	躲债
levant	逃赌债
levant	Levant
levant	累范特
levant	地中海东部地区
chloride	氯化物
vaporing	说大话
vaporing	吹牛
vaporing	蒸发的
vaporing	蒸发
vaporing	自夸的
vaporing	自夸
carburant	渗碳剂
carburant	增碳剂
carburant	碳化剂
scam	诡计
scam	故事
allonge	附笺
allonge	附加纸条
sabbatical	安息日的
sabbatical	安息日
sabbatical	似安息日的
sabbatical	似安息日
sabbatical	周期性休息的
sabbatical	周期性休息
errancy	犯错
errancy	出差错
errancy	离格
errancy	出轨的行为*
pinny	围嘴儿
pinny	围巾
ig	immunoglobulin
jdk	Java
jdk	Developer''s
jdk	Kit
jdk	java开发工具包
bijection	双向单射
bijection	双射
diptych	双折的记事板
diptych	双折的画
angularly	有角度地
angularly	有角度
angularly	消瘦地
angularly	消瘦
dammar	达马
sonata	奏鸣曲
moon	月球
moon	月亮
moon	卫星
ftpd	文件传输服务器软件
protection	保护
awfulness	威严
awfulness	庄严
awfulness	不高兴
pisciform	鱼形的
pisciform	鱼形
formicary	蚁窝
logography	使用单语活字
logography	分担记录法
booklearned	有书本知识的
booklearned	有书本知识
foveolar	小凹的
foveolar	小凹
foveolar	孔穴的
foveolar	孔穴
marse	主人
unsociable	不爱交际的
unsociable	不爱交际
rattan	藤杖
rattan	藤条
jynx	蚁鴷
epichlorohydrin	表氯醇
desipience	琐事
desipience	愚蠢
taeniacide	杀绦虫药
inflexional	=inflectional
boudicca	布迪卡
hardstand	可停放车辆飞机等的硬质地面
vascula	vasculum的复数
cataclasm	碎裂
bridgetown	布里奇顿
flabellate	扇状的
flabellate	扇状
flabellate	扇形的
flabellate	扇形
ceviche	=seviche
reshipment	重装
reshipment	重装的物
rimose	裂缝的
rimose	裂缝
abampere	电磁安
miltown	安宁
miltown	眠尔通
hagseed	女巫的子孙
chair	椅子
chair	教授职位
chair	主席位
chair	讲座
chair	使入座
chair	使就任要职
turbinoid	蝾螺属的
turbinoid	蝾螺属
seduceable	=seducible
bedrock	岩床
bedrock	根底
bedrock	基础
semihuman	半人的
semihuman	半人
quadrel	方形石
quadrel	方砖
nativist	先天论者
nativist	本土主义者
sanitize	清洁
travail	辛苦
apparent	显然的
apparent	显然
apparent	外观上的
apparent	外观上
anemograph	风力记录计
anemograph	自动记风仪
cooperant	合作的
cooperant	合作
cooperant	一起工作的
cooperant	一起工作
mycelial	菌丝体的
mycelial	菌丝体
ionograpky	离子谱法
amphiploid	具有双倍体的
amphiploid	具有双倍体
calcutta	加尔各答
calcutta	印度东北部的港市
lazyback	靠背
inlander	内地人
undressable	可脱去衣服的
undressable	可脱去衣服
centroclinal	向同一点或中心倾斜的
centroclinal	向同一点或中心倾斜
gabbart	平底驳船
macrogamete	大配子
macrogamete	巨配子
hyrax	蹄兔
diver	潜水者
unintermitted	不间断的
unintermitted	不间断
unintermitted	连续的
unintermitted	连续
donjon	中世纪城堡的主楼
barony	男爵的领地、爵位
apo	Army
apo	Post
apo	Office
apo	陆军军邮局
apo	阿波火山
apo	apogee
dithiocarbamate	二硫代氨基甲酸盐
carding	梳理
consigner	发货人
consigner	委托人
consigner	交付人
lufthansa	汉莎航空公司
dragonhead	青兰属植物
calcspar	方解石
decameron	意大利作家薄伽丘著
decameron	内有100个故事
pinkeye	传染性极性结膜炎
pinkeye	红眼睛
cellarway	通往地窖的路
torrance	托兰斯
albuquerque	美国新墨西哥州中部大城
mattery	化脓的
mattery	化脓
mattery	有脓的
mattery	有脓
mattery	流脓的
mattery	流脓
magnoliaceous	木兰科的
magnoliaceous	木兰科
desalinize	除去盐分
desalinize	淡化海水
sailage	全部船帆
manyatta	村庄
manyatta	村塞
ganof	小偷
ganof	扒手
entrance	入口
entrance	门口
entrance	进入
chokebore	口径逐渐收小之枪
gearless	无齿轮的
gearless	无齿轮
gearless	无传动装置的
gearless	无传动装置
ammoniated	与氨化合了的
ammoniated	与氨化合了
hairline	极细的织物
gloriole	后光
gloriole	光轮
furfural	糠醛
kingcraft	治国之术
kingcraft	王道
toilworn	工作疲劳的
toilworn	工作疲劳
toilworn	憔悴的
toilworn	憔悴
overcome	战胜
overcome	克服
overcome	胜过
overcome	征服
overcome	得胜
gangliate	有神经节的
gangliate	有神经节
collyria	洗眼剂
scabby	结痂的
scabby	结痂
outlander	外国人
outlander	外地人
immersible	可浸入的
immersible	可浸入
immersible	可没入的
immersible	可没入
concentrical	共中心的
concentrical	共中心
concentrical	集中的
concentrical	集中
adiathermancy	绝热性
adiathermancy	不透红外线性
trend	倾向
trend	趋势
trend	伸向
trend	倾向
trend	通向
joycean	乔伊斯专家
joycean	拥护或喜欢乔伊斯的人
joycean	乔伊斯的
joycean	乔伊斯
eblan	=Eblaite
cryoelectronics	低温电子学
housebreaking	侵入家宅
housebreaking	盗取
housebreaking	拆屋
housebreaking	行窃
haft	柄
haft	把手
haft	装上柄
bumtang	布姆唐
calfdozer	小型推土机
genal	颊的
genal	颊
tekecommunications	远程通信
recumbency	斜靠着
recumbency	躺着
recumbency	休息
xylophagous	蚀木的
xylophagous	蚀木
xylophagous	蚀木穿孔的
xylophagous	蚀木穿孔
photoset	照相排
chowder	杂脍
interfoliaceous	两叶间的
interfoliaceous	两叶间
interfoliaceous	叶间的
interfoliaceous	叶间
astonied	大吃一惊的
astonied	大吃一惊
fumaroyl	延胡索二酰
dlp	Digital
dlp	Light
dlp	Processor
dlp	数码光输处理器
recast	重铸
recast	彻底改动
recast	重做
recast	重新铸造
recast	重铸
recast	重铸物
recast	重做
recast	重做的事物
iambi	短长格
protuberate	隆起
protuberate	凸出
unstrikable	不得罢工的
unstrikable	不得罢工
unstrikable	禁止罢工的
unstrikable	禁止罢工
advance	前进
advance	提升
advance	预付款
advance	前进
advance	提前
advance	预付
advance	前面的
advance	前面
advance	预先的
advance	预先
advance	预付
fiver	五镑钞票
fiver	五元美钞
floorboarding	将汽车油门踏到底
teleconverter	望远倍率镜
outgo	走得比……远或快
outgo	优于
outgo	支出
outgo	消耗
metewand	评价基准
metewand	尺度
ninth	第九
ninth	九分之一
unnecessaries	非必需品
retrenchment	节省
retrenchment	删除
turnstile	十字转门
technocrat	专家政治论者
technocrat	技术统治论者
caseation	干酪样变
caseation	干酪化
dine	吃饭
dine	进餐
tablet	写字板
tablet	书写板
tablet	碑
tablet	牌匾
tablet	拍纸簿
tablet	便笺簿
tablet	药片
tablet	小块
marketer	市场商人
livorno	里窝那
subpleural	胸膜下的
subpleural	胸膜下
titleholder	冠军保持者
insincerely	不诚实地
insincerely	不诚实
insincerely	无诚意地
insincerely	无诚意
denazify	解除纳粹制度
denazify	消除纳粹影响
perceptibility	可感知
airman	飞行员
airman	空军
nummulated	钱币形的
nummulated	钱币形
nummulated	钱串状的
nummulated	钱串状
demob	遣散
demob	复员
shirtdress	衬衣式连衣裙
christian	基督徒
christian	信徒
christian	基督教的
christian	基督教
christian	信基督教的
christian	信基督教
paceway	遛马场
anomalous	不规则的
anomalous	不规则
anomalous	反常的
anomalous	反常
discontinuer	停止
discontinuer	中止
sphragistics	金石学
sphragistics	印章学
sat	sit的过去式
ryot	印度农夫
ryot	佃农
blastema	芽基
blastema	胚基
blastema	胚轴原
blastema	原基
bevy	一群鸟
bevy	一群
bevy	一堆东西
bevy	一群人
boson	玻色子
monomaniacal	对一事狂热的
monomaniacal	对一事狂热
monomaniacal	偏执狂的
monomaniacal	偏执狂
mend	改进
mend	改良
mend	补丁
mend	修理部分
mend	好转
mend	修改
mend	改进
mend	加快
mend	修理
mend	修补
mend	好转
mend	改善
mend	改正
frontward	朝前地
frontward	朝前
refragable	可证明为妄想的
refragable	可证明为妄想
signwriter	写招牌的人
hatefully	可憎地
hatefully	可憎
hatefully	憎恨地
hatefully	憎恨
cdt	中央时区
distaste	讨厌
distaste	嫌恶
zooplastic	动物组织移植术的
zooplastic	动物组织移植术
malcontent	不满的
malcontent	不满
malcontent	不满者
lambeth	伦敦坎特伯雷大主教官邸
lambeth	伦敦朗伯斯区
bomb	炸弹
bomb	投弹于
bomb	轰炸
shadberry	唐棣
shadberry	唐棣果实
argali	盘羊
argali	原羊
decimate	每十人杀一人
decimate	大批杀害
phlogosis	炎症
phlogosis	丹毒
recessive	退行的
recessive	退行
recessive	逆行的
recessive	逆行
recessive	隐性的
recessive	隐性
recessive	隐性性状
muckle	多量
muckle	重要的事
inadequateness	不适当
kokeshi	小木偶
taeniasis	绦虫病
roughrider	驯马师
col	关口
col	峡路
col	关隘
col	上校
col	Col
hypomnesia	记忆力减低
smorgasbord	瑞典式自助餐
puny	小的
puny	小
puny	弱的
puny	弱
puny	微不足道的
puny	微不足道
baptistry	洗礼池
baptistry	洗礼用桶
slanguage	使用俚语的表现法
filterable	可滤过的
filterable	可滤过
orchidist	兰栽培者
cotswold	=Cotswold
cotswold	sheep
stinginess	小气
subroutine	子程序
pent	被关闭的
pent	被关闭
pent	郁积的
pent	郁积
pent	pen的过去式及过去分词
somatosensory	体觉的
somatosensory	体觉
constantly	不变地
constantly	不变
constantly	经常地
constantly	经常
constantly	坚持不懈地
constantly	坚持不懈
dissociableness	孤癖
caliban	凯列班
caliban	丑恶而残忍的人
suffosion	管流现象
decrypt	译
decrypt	解释明白
nonmiscibility	不混合
nonmiscibility	不易混合
morellian	莫雷利批评法的
morellian	莫雷利批评法
tanalized	用防腐剂处理过的
tanalized	用防腐剂处理过
egret	白鹭
termini	目的地
termini	目的
termini	界标
germinability	发芽性
illative	推理的
illative	推理
illative	推论的
illative	推论
endometrium	子宫内膜
administrivia	每天重复性的电子信件
administrivia	新闻
administrivia	摘要等的处理工作
triennium	三年时间
triennium	三年
barred	有木栅的
barred	有木栅
barred	隔绝的
barred	隔绝
barred	被禁止的
barred	被禁止
nonacquaintance	不相识
hackmanite	紫方钠石
refreeze	再冰冻
refreeze	再结冰
kos	科斯
cabinetwork	细木工
unshaken	不动摇的
unshaken	不动摇
emblaze	点燃
emblaze	颂扬
emblaze	照亮
deposable	可废除的
deposable	可废除
deposable	可供证的
deposable	可供证
deposable	可罢黜的
deposable	可罢黜
westphalia	威斯特伐利亚
plosive	爆破音
plosive	爆破音的
plosive	爆破音
capitate	头状花序的
capitate	头状花序
adoze	在瞌睡中
disseminule	传播体
tempermament	气质
tempermament	性情
uncommon	不凡的
uncommon	不凡
uncommon	罕有的
uncommon	罕有
uncommon	难得的
uncommon	难
brantail	欧洲红尾鸲
crabwise	横斜地
crabwise	横斜
crabwise	小心地
crabwise	小心
bibliofilm	图书缩摄胶片
bibliofilm	显微胶片
disspirit	=dispirit
pectinose	果胶糖
pectinose	阿拉伯糖
aircrewman	空勤组员
subsidiary	辅助的
subsidiary	辅助
subsidiary	补充的
subsidiary	补充
vinegrower	葡萄栽植者
cryogeny	=cryogenics
bastioned	具备棱堡的
bastioned	具备棱堡
glycine	糖胶
glycine	氨基乙酸
photoflood	照相泛光灯的
photoflood	照相泛光灯
photoflood	使用照相泛光灯的
photoflood	使用照相泛光灯
macarthur	麦克阿瑟
crevice	裂缝
sciential	知识的
sciential	知识
sciential	有学识的
sciential	有学识
johannes	葡萄牙十八
johannes	九世纪的金币
executorship	遗嘱执行人的职责
anabasis	进军
anabasis	侵入
anabasis	远征
laurentian	劳伦系
laurentian	劳伦系岩石层
laurentian	劳伦系的
laurentian	劳伦系
foveolate	有小凹的
foveolate	有小凹
refight	再战
animalization	动物化
animalization	兽性化
wingmanship	飞行技术
beefburger	德式牛排
beefburger	煎牛肉饼
shiv	刀
shiv	开门闸刀
shiv	剃刀
baume	波美比重计的
baume	波美比重计
baume	波美比浮计的
baume	波美比浮计
democratic	民主的
democratic	民主
democratic	民主主义的
democratic	民主主义
democratic	民主政体的
democratic	民主政体
democratic	平民的
democratic	平民
inferable	能推理的
inferable	能推理
inferable	能推论的
inferable	能推论
soliflucted	因泥流作用而移动的
soliflucted	因泥流作用而移动
maracca	=maraca
parabolic	比喻的
parabolic	比喻
parabolic	寓言似的
parabolic	寓言似
aspidistra	蜘蛛抱蛋属植物
dccc	罗马数字
dccc	800
insulation	绝缘
hypertherm	人工发热机
carrick	=carrack
heater	加热器
heater	发热器
indian	印度的
indian	印度
indian	印度人的
indian	印度人
indian	印第安人的
indian	印第安人
indian	印度人
indian	印第安人
indian	印第安语
imbosom	拥抱
imbosom	怀抱
liberalistic	自由主义的
liberalistic	自由主义
endogenesis	内生
endogenesis	内源
impressure	感觉
impressure	印象
ratt	radioteletype无线电电传打字电报机
stolen	steal的过去分词
phytography	记述植物学
phytography	植物分类学
fashioner	创造者
fashioner	裁缝
opern	歌剧
opern	歌剧院
opern	曲谱
heterozygous	杂合的
heterozygous	杂合
maladaptive	不适应的
maladaptive	不适应
maladaptive	适应不良的
maladaptive	适应不良
maladaptive	不利于适应的
maladaptive	不利于适应
maladaptive	显示不适应的
maladaptive	显示不适应
antler	鹿角
antler	茸角
redistribution	重新分配
redistribution	再莍st/9ri:dIstrI`b
embark	上船
embark	上飞机
embark	着手
embark	从事
embark	装于船上
embark	登上
innards	内脏
tensive	张力的
tensive	张力
sulk	生气
sulk	愠怒
sulk	愠怒的人
sulk	生气
sulk	愠怒
bucharest	布加勒斯特
ilex	冬青属
outcamp	偏远的营地
outcamp	偏远的营
gazetteer	地名辞典
gazetteer	记者
gazetteer	公报记者
renegue	违例出牌
renegue	食言
renegue	否认
renegue	拒绝
renegue	出牌违例
doest	do的第二人称单数现在式
gulch	干谷峡谷
gulch	冲沟
immensurable	不可衡量的
immensurable	不可衡量
immensurable	无垠的
immensurable	无垠
pulverize	研磨成粉
bigamist	重婚者
lymphoma	淋巴瘤
roughhewn	粗凿的
roughhewn	粗凿
roughhewn	草率的
roughhewn	草率
extol	赞美
goldeneye	白颊鸭
fortuitism	偶然论
subtle	狡猾的
subtle	狡猾
subtle	敏感的
subtle	敏感
subtle	微妙的
subtle	微妙
subtle	精细的
subtle	精细
subtle	稀薄的
subtle	稀薄
orientate	向东
orientate	朝向
vignette	装饰图案
vignette	小插图
vignette	把……
vignette	印放为虚光照
knowledgable	=knowledgeable
bloodwort	仙茅科植物
bloodwort	血红酸模
bloodwort	地榆
bloodwort	美洲血根草
brockage	有缺陷的硬币
radionuclide	放射性核
matsudo	松户
pharmacology	药理学
calciferous	含碳酸钙的
calciferous	含碳酸钙
soloist	独奏者
soloist	独唱者
maestro	艺术大师
maestro	名作曲家
soberize	使清醒
soberize	使严肃
soberize	使持重
cardamine	碎米荠属植物
swizz	诈取
swizz	欺骗
thomasine	托马森
semioccasional	偶尔的
semioccasional	偶尔
vindaloo	咖喱肉
tamer	驯服手
pudicity	羞怯
pudicity	贞洁
substantia	nigra黑质
substantia	塞梅林氏神经节
defilement	弄脏
defilement	污辱
defilement	污秽
unperfect	=imperfect
decomposer	分解体
spaceman	太空船上的飞行员
spaceman	宇宙人
infuse	灌输
infuse	注入
infuse	沏或泡
infuse	浸渍
infuse	鼓舞
infuse	泡
infuse	注
chromoplast	色素母细胞
chromoplast	成色素细胞
zymosterol	酵母甾醇
paal	桩
gelding	去势
gelding	去势的人或牲畜
pekingology	北京学
pekingology	中国政策研究
compendia	概略
orb	球
orb	天体
orb	圆形物
orb	弄圆
orb	成球形
orb	围着
orb	沿着轨道移动
nightwear	睡衣
nightwear	寝衣
occlusive	闭塞的
occlusive	闭塞
occlusive	咬合的
occlusive	咬合
parodist	打油诗作者
parodist	诙谐文作者
brumous	多雾的
brumous	多雾
brumous	冬天的
brumous	冬天
vectorcardiogram	`vektE9kB:
vectorcardiogram	^rAm/
vectorcardiogram	蛄客
aeroengine	飞机引擎
aeroengine	航空发动机
hemofuscin	血棕色素
asthmatic	哮喘的
asthmatic	哮喘
asthmatic	患哮喘症
waveoff	禁止着陆
waveoff	复飞
fallfish	小眼须雅罗鱼
yanam	亚南
earned	挣得的
earned	挣
photoneutron	光中子
hyposensitization	使敏感度减弱
hyposensitization	消除过敏
lusty	健壮的
lusty	健壮
lusty	精力充沛的
lusty	精力充沛
literalist	直译者
literalist	拘泥字义者
gantlope	=gantelope
untillable	不能耕种的
untillable	不能耕种
larch	落叶松属植物
larch	其木材
rook	车
rook	赌棍
rook	骗子
rook	欺骗
edging	边饰
edging	缘饰
edging	边缘
edging	流苏
preclusive	除外的
preclusive	除外
preclusive	妨碍的
preclusive	妨碍
hight	被称为
hight	名叫
variable	变量的
variable	变量
institution	公共机构
institution	协会
institution	制度
saponifiable	可皂化的
saponifiable	可皂化
underpopulation	人口不足
underpopulation	人口稀少
hypnotoxin	催眠激素
mescaline	酶斯卡灵
idle	空闲的
idle	空闲
idle	懒惰的
idle	懒惰
idle	停顿的
idle	停顿
idle	无用的
idle	无用
idle	无价值的
idle	无价值
idle	不做事
idle	游手好闲
idle	空转
idle	虚度
idle	闲散
idle	不作事
idle	游手好闲
idle	浪费
idle	虚度
idle	使空闲
idle	使空转
parlourmaid	客厅女侍
directoire	执政内阁
directoire	执政内阁时代式的
directoire	执政内阁时代式
ferocity	凶猛
ferocity	残忍
ferocity	暴行
heretic	异教徒
heretic	异端者
carnally	肉体地
carnally	肉体
carnally	世俗地
carnally	世俗
micawberism	空想的乐天主义
exchangeability	可交换性
db	decibel
db	分贝
db	分贝
db	dB
db	database
db	数据库
hypnotic	催眠的
hypnotic	催眠
hypnotic	易被催眠的
hypnotic	易被催眠
hypnotic	催眠药
cleruchy	古希腊将征服土地配给公民之制度
belabour	痛打
belabour	不断辱骂和嘲弄
belabour	就……作过分的冗长的讨论或分析等
allround	多方面的
allround	多方面
allround	多才多艺的
allround	多才多艺
mccarthyist	麦卡锡主义者
incompetent	不合格的
incompetent	不合格
incompetent	不胜任的
incompetent	不胜任
incompetent	无能力者
sectarial	=sectarian
antennal	触角的
antennal	触角
antitubercular	抗结核的
antitubercular	抗结核
matsuyama	松山
expedite	加速
expedite	派出
expedite	畅通的
expedite	畅通
expedite	迅速的
expedite	迅速
nog	木钉
nog	根株
nog	支架
nog	支撑
nog	钉
salification	成盐作用
salification	成盐状态
striae	细沟
dendrite	树枝石
dendrite	模树石
dendrite	树枝状结晶
virtually	事实上
virtually	实质上
antipyrotic	消炎剂
antipyrotic	治灼伤药
antipyrotic	消炎的
antipyrotic	消炎
cheerleading	带领啦啦队
allamanda	黄蔓
loathe	厌恶
loathe	憎恶
smudge	污迹
smudge	熏烟
smudge	弄脏
smudge	用浓烟熏
smudge	染污
implacability	不缓和
implacability	不安静
implacability	无情
turnery	车削产品
turnery	车床工厂
turnery	车工工艺
telomitic	=telocentric
choreopoem	配舞诗剧
thali	大浅盘
irkutsk	伊尔库次克
residential	住宅的
residential	住宅
residential	与居住有关的
residential	与居住有关
walloon	瓦龙人的
walloon	瓦龙人
denish	丹麦语
denish	丹麦的
denish	丹麦
denish	丹麦人的
denish	丹麦人
trillionth	第一兆
trillionth	第一百万兆
lister	制表人
lister	造册者
ketch	一种双桅船
ergotoxine	麦角毒碱
drollery	滑稽诙谐之事
drollery	笑谈
drollery	笑话
phalera	金属圆牌
briticism	英国英语
briticism	英国英语语法
refinery	精炼厂
stale	尿
stale	不新鲜的
stale	不新鲜
stale	陈腐的
stale	陈腐
stale	疲倦的
stale	疲倦
stale	陈旧的
stale	陈旧
stale	使变旧
stale	走味
stale	变陈旧
stale	变无味
stale	失时效
stale	撒尿
kumgang	Mountains
kumgang	金刚山
laryngeal	喉的
laryngeal	喉
laryngeal	喉部
matra	马特勒
sudoriferous	分泌汗的
sudoriferous	分泌汗
sudoriferous	发汗的
sudoriferous	发汗
synectics	共同研讨
northwestwards	向西北方地
northwestwards	向西北方
dovecote	鸽房
dovecote	鸽舍
ratify	批准
ratify	认可
wellhead	水源
wellhead	泉源
athrocytosis	细胞摄物作用
comitragedy	喜悲剧
exude	渗出
exude	发散开来
emulational	仿真的
emulational	仿真
conqueror	征服者
conqueror	胜利者
mizzle	蒙蒙细雨
mizzle	下蒙蒙细雨
cyclodiene	环戊二烯类杀虫剂
gleeful	愉快的
gleeful	愉快
antiphonal	交互轮唱
antiphonal	轮唱赞美诗集
symmetrical	对称的
symmetrical	对称
symmetrical	均匀的
symmetrical	均匀
velutinous	有绒毛的
velutinous	有绒毛
velutinous	天鹅绒状的
velutinous	天鹅绒状
anourous	无尾的
anourous	无尾
ballroom	舞厅
ballroom	跳舞场
haneda	羽田
histotomy	组织切开术
histotomy	组织切片术
praiseworthily	值得称许地
praiseworthily	值得称许
superempirical	超经验的
superempirical	超经验
hoik	急剧上升
tsetse	舌蝇
tsetse	采采蝇
undergone	undergo的过去分词
silt	淤泥
silt	残渣
silt	煤粉
silt	泥沙
silt	淤塞
silt	充塞
diagnose	诊断
mawsie	羊毛衫
parure	全套首饰
catadioptric	兼反射光及折射光的
catadioptric	兼反射光及折射光
thrombus	血栓
setover	超过位置
setover	偏距
undignified	不庄重的
undignified	不庄重
undignified	无威严的
undignified	无威严
undignified	有损尊严的
undignified	有损尊严
napu	矮麝香鹿
groats	碾去壳的燕麦
pacifist	和平主义者
waterbrain	=gid
holding	把握
holding	支持
holding	持有
holding	所有物
holding	财产
airfreighter	运货飞机
hydraulician	水力学家
hydraulician	水利工程师
wannegan	=wanigan
upperclassman	高年级学生
cline	渐变群
zveno	作业组
milieu	周围
milieu	环境
oviparity	卵生
dinah	黛娜
dinah	女子名
plasmodium	原形体
plasmodium	变形体
plasmodium	疟原虫
qualification	资格
qualification	条件
qualification	限制
qualification	限定
qualification	赋予资格
hydroscopical	深水望远镜的
hydroscopical	深水望远镜
larva	幼虫
nicer	良好的
nicer	良好
nicer	良好的
nicer	良好
curassow	大鸟
revolting	令人厌恶的
revolting	令人厌恶
revolting	反抗
pericarditis	心包炎
malodorous	有恶臭的
malodorous	有恶臭
nephometer	云量仪
keelboat	一种河船
ergastulum	囚禁奴隶的私人监狱
ergastulum	感化院
bestialize	使行动如禽兽一般
bestialize	使野蛮
depute	委托
foulmouthed	口出粗俗的
foulmouthed	口出粗俗
foulmouthed	出言不逊的
foulmouthed	出言不逊
melitopol	美利托波尔
predicably	可断定地
predicably	可断定
fidelism	=Fidelismo
gastriloquy	口技
gastriloquy	腹语术
asonant	无声音的
asonant	无声音
internationally	国际性地
internationally	国际性
internationally	在国际间
negligee	妇女长睡衣
negligee	随便的衣着
machicolate	开堞眼
checksummat	求校验和
cystic	胞囊的
cystic	胞囊
cystic	膀胱的
cystic	膀胱
cystic	胆囊的
cystic	胆囊
rubricity	红色
rubricity	变红
rubricity	遵守教仪
cytherea	维纳斯女神
kerflop	扑通地
kerflop	扑通
vigor	精力
vigor	活力
amt	丹麦最大的行政单位
bulbaceous	=bulbous
sulfonic	磺酸基的
sulfonic	磺酸基
ownerless	无主的
ownerless	无主
palankeen	担在肩上的轿子
infiltrate	渗透
spasmodism	突发的情绪
cellulosic	有纤维质的
cellulosic	有纤维质
unconvincing	不足以令人相信的
unconvincing	不足以令人相信
pharyngitis	咽炎
immelmann	turn殷麦曼
immelmann	半斤斗翻转(德国飞行员殷麦曼
hypercautious	极其小心的
hypercautious	极其小心
hypercautious	过于小心的
hypercautious	过于小心
enactory	制定法律的
enactory	制定法律
frostbound	冰冻的
frostbound	冰冻
frostbound	不热情的
frostbound	不热情
asphaltene	沥青质
asphaltene	沥青烯
resole	给换鞋底
recuperation	恢复
earthrise	地出
laundryman	洗衣工
grossularite	钙铝榴石
irrespective	不顾的
irrespective	不顾
irrespective	不考虑的
irrespective	不考虑
irrespective	无关的
irrespective	无关
carlsruhe	=Karlsruhe
unjustifiable	不合道理的
unjustifiable	不合道理
unjustifiable	无法辩护的
unjustifiable	无法辩护
unjustifiable	不能分辩的
unjustifiable	不能分辩
tendency	趋向
tendency	倾向
syphiloid	象梅毒的
syphiloid	象梅毒
syphiloid	梅毒状的
syphiloid	梅毒状
ordzhonikidze	奥尔忠尼启则(苏联高加索城市弗拉基高加索
cms	Church
cms	Missionary
cms	Society
cms	教会传教士协会
cms	color
cms	management
cms	system
cms	颜色管理系统
krooboy	克鲁人
hypermnestra	许珀耳涅斯特拉
optimistical	乐观的
optimistical	乐观
optimistical	乐天的
optimistical	乐天
evadible	=evadable
conifer	松类
conifer	针叶树
undershrub	小灌木
heeler	制做鞋跟的工人
heeler	一帮捧场的人
heeler	手下
safety	安全
safety	保险
safety	安全设备
safety	保险装置
bohr	波尔
pneumonia	肺炎
leeward	在下风方向的
leeward	在下风方向
leeward	向下风
leeward	下风
tittlebat	刺鱼
colemanite	硬硼酸钙石
fddi	Fiber
fddi	Distributed
fddi	Data
fddi	Interface
fddi	光纤分布式数据接口
humoral	体液的
humoral	体液
humoral	温性的
humoral	温性
humoral	由体液引起的
humoral	由体液引起
nebular	星云的
