sclerotioid	似菌核
sedlitz	powder
varicose	肿胀的
varicose	肿胀
varicose	曲张的
varicose	曲张
statist	统计学者
statist	中央经济统制论者
nartjie	柑橘
wharfage	码头
taborine	=taborin
generable	能被产生的
generable	能被产生
exportable	可输出的
exportable	可输出
exportable	适于输出的
exportable	适于输出
chiz	欺骗
chiz	诈取
perfumer	香料商
energic	精力充沛的
energic	精力充沛
nephew	侄子
nephew	外甥
nutsedge	=nut
nutsedge	grass
corroborant	确证的
corroborant	确证
corroborant	使强固的
corroborant	使强固
corroborant	强壮剂
corroborant	确证的资料
volitation	飞翔
razzmatazz	活力
razzmatazz	精力
shoran	测定自己位置用的一种仪器
dismount	下马
rockshaft	摇轴
alveolation	有肺泡
alveolation	有小窝
radiosensitive	对放射线敏感的
radiosensitive	对放射线敏感
fobs	fractional
fobs	orbit
fobs	bombardment
fobs	system轨道轰炸系统
pinhole	针孔
pinhole	小孔
firebill	防火员的配置图
unedifying	无启发性的
unedifying	无启发性
unedifying	无益于教化的
unedifying	无益于教化
unedifying	令人厌恶的
unedifying	令人厌恶
nina	尼娜
arpanet	ARPA网
skijoring	滑雪游戏
helicopt	=helicopter
inability	无能
inability	无力
hypervitaminosis	维生素过多症
micrometeorology	微气象学
eng	England
eng	英国
eng	English
eng	英文
immobile	稳定
enrichment	发财致富
enrichment	丰富
enrichment	肥沃
enrichment	浓缩
enrichment	富集
enterable	可进入的
enterable	可进入
enterable	可参加的
enterable	可参加
kyoodle	乱叫
kyoodle	吠
petroglyph	岩石雕刻
sentience	感觉性
sentience	感觉能力
sentience	感觉
sentience	知觉
nanook	北极熊
empocket	放入口袋中
discountable	可贴现的
discountable	可贴现
discountable	可折扣的
discountable	可折扣
morocco	摩洛哥
morocco	摩洛哥皮
schtick	=shtick
apocalypse	启示
apocalypse	天启
laminative	叠层结构的
laminative	叠层结构
wedge	楔
wedge	楔入
wedge	楔进
ungracefully	笨拙地
ungracefully	笨拙
ungracefully	没有风度地
ungracefully	没有风度
ungracefully	不雅地
ungracefully	不雅
crimson	深红色的
crimson	深红色
crimson	深红色
pyrographic	烙花的
pyrographic	烙花
pyrographic	烫花的
pyrographic	烫花
ciseaux	芭蕾舞中之跳跃
pycnocline	密度跃层
feedbag	饲料袋
feedbag	一餐
unilateral	单方面
unilateral	单边的
unilateral	单边
unilateral	片面的
unilateral	片面
unilateral	单系
unilateral	单边音
sulphazin	磺胺异噁唑
sulphazin	菌得清
sulphazin	净尿磺
bezoar	胃石
bezoar	牛黄
eumorphic	中胚层体型的
eumorphic	中胚层体型
priorate	修道院副院长之职位或任期
mbandaka	姆班达卡
dungaree	粗棉布的一种
dungaree	工作服
dungaree	用粗棉布所做的裤子
yuma	尤马
yuma	尤马族
yuwei	有为
restlesseness	不安
restlesseness	慌张
mothproof	防虫的
mothproof	防虫
mothproof	不怕虫的
mothproof	不怕虫
anorgastic	性快感缺乏的
anorgastic	性快感缺乏
haulier	拖曳者
haulier	货运马车夫
unpatented	没有获得专利权的
unpatented	没有获得专利权
unpatented	非专利的
unpatented	非专利
lek	阿尔巴尼亚的货币单位
lek	其货币
offspeed	比正常速度慢的
offspeed	比正常速度慢
raying	暴露在辐射中
nonsectarian	无宗派的
nonsectarian	无宗派
ionian	爱奥尼亚的
ionian	爱奥尼亚
ionian	爱奥尼亚人的
ionian	爱奥尼亚人
ionian	爱奥尼亚式的
ionian	爱奥尼亚式
ionian	爱奥尼亚人
ionian	爱奥尼亚
mouther	吹牛的人
mouther	用演说腔调说话的人
foolhardy	愚勇的
foolhardy	愚勇
foolhardy	有勇无谋的
foolhardy	有勇无谋
riia	Royal
riia	Institute
riia	of
riia	International
riia	Affairs皇家国际问题研究所
tillite	冰碛岩
hypnagogic	催眠的
hypnagogic	催眠
hypnagogic	使瞌睡的
hypnagogic	使瞌睡
hypnagogic	入睡前发生的
hypnagogic	入睡前发生
mountainward	向着山
hemihydrated	半水化合物的
hemihydrated	半水化合物
hemihydrated	半氢氧化物的
hemihydrated	半氢氧化物
mood	心情
mood	情绪
mood	语气
mood	状态
hypocycloid	圆内旋轮线
hypocycloid	内摆线
polyfoil	多叶饰
toolkit	工具包
toolkit	工具箱
prepense	故意的
prepense	故意
dioramic	透视画的
dioramic	透视画
lehua	桃金娘花
troopial	=troupial
photoluminescence	光致发光
photoluminescence	光激发光
muskrat	麝鼠
muskrat	麝鼠的毛皮
aeromechanics	航空力学
lwei	勒韦
seafolk	海员
seafolk	水手
seafolk	航海者
jubilarian	庆祝50周年的人
myl	myrialitre
forcefully	强有力地
forcefully	强有力
forcefully	激烈地
forcefully	激烈
vibrant	振动
commonsense	具有常识的
commonsense	具有常识
vulgarian	俗物
vulgarian	俗人
vulgarian	粗俗的富人
feint	假象
feint	伪装
feint	假装
feint	假托
feint	佯攻
feint	虚击
feint	装作
feint	假装
feint	佯攻
feint	假的
feint	假
feint	虚饰的
feint	虚饰
feint	不鲜明的
feint	不鲜明
feint	淡的
feint	淡
pharyngocele	咽突出
pharyngocele	咽囊肿
telotype	打字电报机
telotype	打字电报
synchronoscope	同步指示器
synchronoscope	同步示波器
phlegmy	痰的
phlegmy	痰
phlegmy	有痰的
phlegmy	有痰
phlegmy	生痰的
phlegmy	生痰
polysynapse	多突触
ray	光线
ray	闪烁
ray	微量
ray	射出光线
ray	浮现
ray	放射光线
ray	放射
ray	显出
gildhall	=guildhall
idealise	=idealize
delores	德洛丽丝
mackintosh	橡皮布
mackintosh	橡皮布防水衣
inwreathe	饰
inwreathe	一以花环
inwreathe	包围
inwreathe	围绕
dig	掘
dig	挖
dig	钻研
dig	搜集
attagal	好啊
attagal	好棒
upbore	upbear
upbore	的过去式
piedfort	厚坯硬币
biophysics	生物物理学
longanimous	忍受的
longanimous	忍受
longanimous	忍耐的
longanimous	忍耐
farer	旅行者
daunorubicin	=daunomycin
fogyism	守旧
fogyism	落伍
soundboard	共鸣板
soundboard	响板
attentively	注意地
attentively	注意
attentively	留意地
attentively	留意
conification	形成圆锥状
intrapopulation	人口内部的
intrapopulation	人口内部
intrapopulation	居民内的
intrapopulation	居民内
intrapopulation	人口成员之间的
intrapopulation	人口成员之间
intrapopulation	居民间发生的
intrapopulation	居民间发生
metralgia	子宫痛
passbook	存款簿
passbook	银行存折
glutei	gluteus的复数
dowry	嫁妆
dowry	天资
negligence	疏忽
pattypan	面饼锅
feminist	男女平等主义者
feminist	女权扩张论者
tromometer	微震计
druggery	药物
druggery	药橱
bbfc	British
bbfc	Board
bbfc	of
bbfc	Film
bbfc	Censors
bbfc	英国电影审查局
dimmish	暗淡的
dimmish	暗淡
dimmish	朦胧的
dimmish	朦胧
directory	姓名地址录
directory	目录
threnetical	悲哀的
threnetical	悲哀
threnetical	哀悼的
threnetical	哀悼
threnetical	悲哀的
threnetical	悲哀
threnetical	哀悼的
threnetical	哀悼
threnetical	哀歌的
threnetical	哀歌
grader	分类机
grader	分级机
yellowcake	"黄饼"
transcalent	传热性佳的
transcalent	传热性佳
transcalent	透热性的
transcalent	透热性
transcalent	易导热的
transcalent	易导热
physiometry	生理功能测定
physiometry	生理机能测验
preaddict	潜在吸毒成瘾者
spondaic	扬扬格的
spondaic	扬扬格
nitrogenize	使氮化
nitrogenize	使含氮
semivolatile	半挥发性的
semivolatile	半挥发性
breechcloth	土人的腰布
breechcloth	短裤
fucus	黑角菜属之海藻
achromatopsy	完全色盲
excarnate	剥除肉质
excarnate	免去肉体
anagnorisis	发现
salt	食盐
salt	风趣
salt	刺激
salt	含盐的
salt	含盐
salt	咸的
salt	咸
salt	风趣的
salt	风趣
salt	辛辣的
salt	辛辣
salt	加盐于
salt	用盐腌
salt	SALT
salt	限制战略武器会谈
affectionateness	深情
affectionateness	柔情
tallith	犹太教男人晨祷时的披巾
conjee	稀饭
conjee	粥
disloyally	不诚实地
disloyally	不诚实
disloyally	不义地
disloyally	不义
codification	法典编纂
codification	法律成文化
gastriloquism	口技
gastriloquism	腹语术
kulan	西亚野驴
kulan	吉尔吉斯草原野驴
mythic	神话的
mythic	神话
mythic	虚构的
mythic	虚构
blush	脸红
blush	羞愧
blush	呈现红色
blush	使成红色
blush	脸红
blush	红色
blush	红光
affirmative	肯定的
affirmative	肯定
affirmative	积极的
affirmative	积极
affirmative	乐观的
affirmative	乐观
affirmative	怀有希望的
affirmative	怀有希望
affirmative	肯定语
suspiciously	猜疑着
suspiciously	怀疑着
filopodium	外肉伪足
dfa	Doctor
dfa	of
dfa	Fine
dfa	Arts美术博士
insheathe	把……插入鞘内
insheathe	把……放入套中
bolshevistic	布尔什维克的
bolshevistic	布尔什维克
oilstove	油炉
oilstove	煤油炉
godhead	神之所为神者
godhead	神性
heptangular	七角的
heptangular	七角
irides	鸢尾科植物
irides	彩虹
septette	七重奏
septette	七人一组
iatrical	医学的
iatrical	医学
iatrical	医疗的
iatrical	医疗
armrest	扶手
armrest	靠手
monotreme	单孔类动物
jilt	抛弃情人的女子
jilt	任意抛弃
neovascularization	新血管形成
neovascularization	新血管化
often	常常
often	经常
habitmaker	女用骑马装的裁缝师
shortage	不足
shortage	缺乏
amphistylar	前后两排柱而两边无柱的的
amphistylar	前后两排柱而两边无柱
retort	反驳
retort	反击
retort	回报
retort	曲颈甑
retort	曲颈瓶
retort	蒸器
learnt	learn的过去式和过去分词
eupneic	呼吸正常的
eupneic	呼吸正常
eupneic	平静呼吸的
eupneic	平静呼吸
inflection	变形
pacification	讲和
pacification	和解
pacification	平定
headcheese	头肉冻
headcheese	头肉香肠
en	N
en	字
en	半方
en	在
en	在……中
aerohydroplane	水上飞机
aerohydroplane	水上飞艇
transferability	可转让性
transferability	可转移性
illustrious	杰出的
illustrious	杰出
dreadnaught	厚呢
dreadnaught	无畏
cohabitation	同居
cohabitation	同居生活
recolonize	开拓殖民地
recolonize	开拓殖民
recolonize	再度移民到……
datcha	乡间邸宅
datcha	别墅
dichloromethane	二氯甲
seroreaction	血清反应
debride	清除
trigonous	三棱的
trigonous	三棱
demultiplexer	信号分离器
demultiplexer	多路输出选择器
amphiaster	双星体
amphiaster	双星型
guillemot	海雀科的鸟
nerol	橙花醇
mayonnaise	蛋黄酱
codiscoverer	共同发现者
kiss	吻
kiss	拂
kiss	吻
kiss	轻拂
kiss	接吻
continue	继续
continue	连续
continue	延伸
saw	锯
saw	锯
saw	see的过去式
procreate	生
procreate	生殖
procreate	产生
procreate	生殖
procreate	生育
anacrusis	诗句开头的非重读音节
pullout	撤退
pullout	拔
pullout	拉
pullout	离去
pompano	鲳参鱼
xenial	异花受粉的
xenial	异花受粉
backbiter	背后诽谤者
zolaist	自然主义作家
zolaist	左拉主义者
disaccharid	二醣类
duties	关税
hydrotaxis	趋水性
maund	重量单位
macrostylous	具长花柱的
macrostylous	具长花柱
unwarrantable	无正当理由的
unwarrantable	无正当理由
unwarrantable	无法辩护的
unwarrantable	无法辩护
unwarrantable	不正当的
unwarrantable	不正当
unwarrantable	不允许的
unwarrantable	不允许
bulletproof	防弹的
bulletproof	防弹
overstrain	使过度紧张
overstrain	使工作过度
overstrain	过度紧张
overstrain	过度紧张
overstrain	过劳
bentonite	斑脱土
pogonia	朱兰
pogonia	朱兰花
prepotent	优势的
prepotent	优势
unweeting	=unwitting
neorealism	新现实主义
bedpan	便盆
bedpan	睡床用脚炉
xerothermic	干热的
xerothermic	干热
xerothermic	适于干热环境的
xerothermic	适于干热环境
phosphene	压眼闪光
phosphene	光幻视
interrelated	相关的
interrelated	相关
adverbially	当副词地
adverbially	当副词
campagna	平原
rongeur	骨钳
rongeur	咬骨钳
mughal	=Mogul
exertion	尽力
exertion	努力
exertion	发挥
exertion	行使
exertion	运用
aslant	倾斜地
aslant	倾斜
roentgenometer	X光测定器
greenyard	走失牲畜待领场
switch	开关
switch	电闸
switch	转换
switch	转换
switch	转变
uncondescending	不俯就的
uncondescending	不俯就
uncondescending	不屈尊的
uncondescending	不屈尊
priss	娇女孩
priss	娇气的人
priss	脂粉气的男子
lacet	靴带
lacet	带子
suggestive	提示的
suggestive	提示
suggestive	启发的
suggestive	启发
suggestive	暗示的
suggestive	暗示
elaeometer	油重计
xizang	西藏
accomplice	同谋者
accomplice	帮凶
exosphere	外大气层
exosphere	外逸层
retype	重打字
foliate	有叶的
foliate	有叶
foliate	覆有叶的
foliate	覆有叶
phonebooth	公用电话亭
rhumbatron	空腔共振器
magnipotent	强有力的
magnipotent	强有力
warty	有疣的
warty	有疣
warty	似疣的
warty	似疣
autotransformer	自耦变压器
rigour	严格
shul	=synagogue
annihilationism	灵魂毁灭说
annihilationism	t//
annihilationism	灵魂毁灭说
annihilationism	tic//
annihilationism	灵魂毁胻ical//
annihilationism	灵魂涣榛昙琶鹇
supersensible	超感觉的
supersensible	超感觉
supersensible	超知觉的
supersensible	超知觉
mercy	仁慈
mercy	宽恕
mercy	怜悯
coquilla	nut
coquilla	巴西棕坚果
naughty	顽皮的
naughty	顽皮
naughty	淘气的
naughty	淘气
naughty	不听话的
naughty	不听话
naughty	没规矩的
naughty	没规矩
naughty	不适当的
naughty	不适当
naughty	下流的
naughty	下流
skullcap	无边便帽
skullcap	并头草属的植物
samlet	鲑科的幼鱼
encapsulate	装入胶囊
encapsulate	压缩
encapsulate	形成胶囊
oligophrenia	=mental
oligophrenia	deficiency
skimming	撇取浮沫
skimming	所撇取的浮沫
dogmatize	武断地提出
bock	烈性黑啤酒
bock	一杯啤酒
attaboy	好啊!
attaboy	好样的!
pardi	肯定
pardi	当然
pardi	无疑
pardi	确实
irredeemable	不能赎回的
irredeemable	不能赎回
irredeemable	不能兑现的
irredeemable	不能兑现
irredeemable	不可救药的
irredeemable	不可救药
unhitch	解开绳子
unhitch	放松
appetiser	=appetizer
shufty	=shufti
inarch	接枝
inarch	插枝
catercornered	对角线的斜放的
catercornered	对角线的斜放
kionectomy	悬雍垂切除术
anigh	靠近
trot	快步走
trot	骑马小跑
trot	疾走
trot	小跑
trot	骑马
trot	疾走
trot	忙碌
nonarticulate	不分节的
nonarticulate	不分节
nonarticulate	不连接的
nonarticulate	不连接
loliginid	枪乌贼科的
loliginid	枪乌贼科
scaled	有鳞状斑点的
scaled	有鳞状斑点
scaled	有鳞的
scaled	有鳞
thermometrical	温度计的
thermometrical	温度计
thermometrical	寒暑表的
thermometrical	寒暑表
cadmean	卡德摩斯的
cadmean	卡德摩斯
cadmean	卡德摩斯式的
cadmean	卡德摩斯式
capacity	容量
capacity	生产量
capacity	容量
capacity	智能
capacity	才能
capacity	能力
capacity	接受力
capacity	地位
telukbetung	直落勿洞
carabinier	卡宾枪手
alayne	阿莱恩
bnd	Bundesnachrichtendienst
alackaday	呜呼
alackaday	哀哉
underwrote	underwrite的过去式
accost	对……说话
accost	搭话
tearful	含泪的
tearful	含泪
subterrene	熔岩钻
inconducive	无益的
inconducive	无益
inconducive	没有帮助的
inconducive	没有帮助
thiomersal	硫柳汞
thiomersal	邻乙汞硫基苯酸钠
inkpot	墨水壶
virilescence	男性化
isobarometric	=isobaric
theomancy	求神问卜
ganelon	冈隆
etypic	由某种形态转变的
etypic	由某种形态转变
amboceptor	介体
amboceptor	溶血素
ectoplasm	外质
rubefacient	使发红的
rubefacient	使发红
rubefacient	发红剂
marbleize	作成大理石状
marbleize	使有大理石花纹
precedence	优先
precedence	居先
zymurgy	酿造学
emplacement	放列动作
emplacement	炮兵掩体
emplacement	炮位
emplacement	炮台
smeltery	冶炼厂
retem	杜松豆
bevatron	质子加速器
homogametic	同
eidetically	特别逼真地
eidetically	特别逼真
eidetically	仍在眼前的
eidetically	仍在眼前
gazebo	眺望台
gazebo	露台
shimmy	西迷舞
shimmy	摇动
shimmy	摇动
shimmy	震颤
shimmy	晃动
jacqueminot	一种红透的蔷薇
abolisher	废除者
shipmate	同船水手
telengiscope	显微望远镜
californiate	以都市化和工业化毁坏的自然景色
californiate	使加利福尼亚化
omnipotence	全能
omnipotence	万能
omnipotence	无限威力
zoogeographer	动物地理学家
medusa	水母
medusa	水母体
epode	长短句交替的古代抒情诗体
epode	希腊抒情颂诗第三节
etep	Electronic
etep	Trading
etep	Efficiency
etep	Progrom
etep	电子贸易系统
aerodontalgia	牙痛
m	字母M
m	/存款单
m	发票后一月
m	发票日
m	……月后之同日
potsherd	陶瓷碎片
chiaroscuro	明暗的配合
chiaroscuro	明暗法
monotrichous	单鞭毛的
monotrichous	单鞭毛
thoroughwort	贯叶泽兰
aire	亚耳河
bogota	波哥大
interword	字间的
interword	字间
silverpoint	银尖笔画法
silverpoint	银尖笔
macronucleus	大核
macronucleus	滋养核
provocate	激怒
provocate	刺激
provocate	惹起
methoxybenzene	茴香醚
shokku	轰动事件
chorography	地方志
chorography	地势图
orthohydrogen	正氢
orthohydrogen	反转氢
fudge	梦话
fudge	胡话
fudge	纸中另版插印记事
fudge	胡说八道!
fudge	蒙混
fudge	逃避责任
fudge	粗制滥造
fudge	捏造
parachutist	跳伞人
parachutist	伞兵
karyotype	染色体组型
panicum	黍
osb	Order
osb	of
osb	St
osb	Benedict
osb	本笃会
vacationer	度假者
vacationer	休假者
petard	攻城炸药箱
petard	爆竹
louse	虱子
louse	寄生虫
tenuous	纤细的
tenuous	纤细
politely	客气地
politely	客气
politely	斯文地
politely	斯文
politely	优雅地
politely	优雅
celeriac	块根芹
barrelhead	桶盖
skylon	云霄塔
pentagynous	五雌蕊的
pentagynous	五雌蕊
spasmodic	痉挛的
spasmodic	痉挛
spasmodic	间歇性的
spasmodic	间歇性
thylakoid	类囊体
amyotonia	肌弛缓
backstroke	反手拍球
backstroke	仰泳
backstroke	用反手击
typhoidin	伤寒菌素
disharmonize	打破调和
disharmonize	使不和谐
redevelopment	恢复经济发展
redevelopment	重点恢复
cowhouse	牛舍
cowhouse	牛房
veinulet	小静脉
ciborium	祭坛上的天盖
ciborium	圣礼容器
advertise	做广告
advertise	登广告
discourteous	失礼的
discourteous	失礼
discourteous	无礼貌的
discourteous	无礼貌
coagulase	凝固酵素
leukotomy	前额脑叶切除手术
muton	突变子
fiber	=fibre
fiber	光纤
thermotensile	热抗张强度的
thermotensile	热抗张强度
tale	故事
tale	坏话
tale	流言蜚语
tale	谣言
tale	叙述
tale	传说
coliphage	大肠杆菌噬菌体
anachronously	不合时代地
anachronously	不合时代
recalculate	重新计算
barcarolle	威尼斯的船歌
battu	打脚的
battu	打脚
trappy	圈套的
trappy	圈套
trappy	艰险的
trappy	艰险
undiscernible	无法看出的
undiscernible	无法看出
undiscernible	辨别不出的
undiscernible	辨别不出
broch	史前圆形石塔
saltimbanque	骗子
saltimbanque	江湖骗子
saltimbanque	江湖医生
fumaric	反丁烯二酸的
fumaric	反丁烯二酸
gobi	戈壁
noncommunicant	不做礼拜的人
noncommunicant	不受圣餐的人
encephalogram	大脑摄影图
theanthropic	具有神人两性的
theanthropic	具有神人两性
theanthropic	把神性表现于人身的
theanthropic	把神性表现于人身
tenebrionid	拟步甲科昆虫
qualificative	限定的
qualificative	限定
qualificative	修饰的
qualificative	修饰
documentarian	记实小说作者
documentarian	记录影片导演
testosterone	睾丸激素
skete	僧侣团体
skete	隐士团体
dyeing	染色
dyeing	染色工艺
humanization	人类化
humanization	教化
thrombosthenin	血栓收缩蛋白
biotic	关于生命的
biotic	关于生命
biotic	生物的
biotic	生物
sunder	切开
sunder	分离
crisply	易碎地
crisply	易碎
crisply	清楚地
crisply	清楚
tellurium	碲
ivba	International
ivba	Volleyball
ivba	Association
ivba	国际排球协会
bondsman	奴隶
assemblyman	议员
nephrostomy	肾造口术
marisat	海洋卫星
forborne	forbear的过去分词
prosthodontia	镶牙学
scrobiculate	具粒陷的
scrobiculate	具粒陷
unclos	United
unclos	Nations
unclos	Conference
unclos	on
unclos	the
unclos	Law
unclos	of
unclos	the
unclos	Sea
unclos	联合国海洋法会议
indebtedness	受恩惠
indebtedness	亏欠
indebtedness	债务
pterin	蝶呤
undershirt	汗衫
abettor	教唆犯
chiffonade	细切的蔬菜
preferences	参数选择
apple	苹果
apple	似苹果的果实
everglade	湿地
everglade	湿
everglade	沼泽地
everglade	沼泽
declivitous	相当陡的
declivitous	相当陡
declivitous	向下倾斜的
declivitous	向下倾斜
usia	United
usia	States
usia	Information
usia	Agency
usia	美国新闻署
fascinating	迷人的
fascinating	迷人
fascinating	醉人的
fascinating	醉人
fascinating	着魔的
fascinating	着魔
dissect	把……解剖
dissect	切开仔细研究
dissect	把……切成碎片
deject	使沮丧
deject	使灰心
pulse	脉搏
pulse	脉冲
raggie	非常亲密的朋友
coehorn	掷弹筒
arcticology	研究南北极的科学
nerd	讨厌的人
nerd	卑微的人
tillable	适于耕种的
tillable	适于耕种
tillable	可耕种的
tillable	可耕种
detection	察觉
detection	发觉
detection	侦查
detection	探测
detection	发现
instead	代替
instead	改为
instead	抵作
instead	更换
unentangled	未缠住的
unentangled	未缠住
unentangled	不纠缠的
unentangled	不纠缠
unentangled	不曾复杂化的
unentangled	不曾复杂化
wye	Y字
wye	Y字形物
fag	吃力的工作
fag	疲劳
fag	苦工
fag	努力地工作
fag	使劳累
toothed	有……齿的
toothed	有……齿
toothed	锯齿状的
toothed	锯齿状
collegiate	学院的
collegiate	学院
foxfire	狐火
tease	揶揄
tease	戏弄
tease	逗惹
tease	取笑
tease	逗恼
tease	奚落
tease	欺负
tease	嘲弄
tease	取笑
tease	强求
tease	梳理
tamburitza	坦姆布里扎琴
expositor	说明者
expositor	解释者
expositor	评注者
subtenant	转借者
amendatory	改善的
amendatory	改善
amendatory	修正的
amendatory	修正
amendatory	改正的
amendatory	改正
aventall	=ventail
anteprohibition	禁令前的
anteprohibition	禁令前
trivalency	三价
trivalency	有三价不同的原子价
uart	Universal
uart	Asynchronous
uart	Receiver
uart	Transmitter
uart	通用异步收发器
salle	大厅
salle	室
exegetical	评释的
exegetical	评释
exegetical	解经的
exegetical	解经
rhythmed	有节奏的
rhythmed	有节奏
hippocampal	海马趾的
hippocampal	海马趾
recalcitrant	反抗的
recalcitrant	反抗
recalcitrant	反对的
recalcitrant	反对
recalcitrant	顽抗的
recalcitrant	顽抗
recalcitrant	反抗的人
recalcitrant	顽抗者
autodial	自动拨号
scapegrace	不可救药的恶棍
scapegrace	饭桶
chalk	粉笔
chalk	白垩
chalk	用粉笔写
chalk	和以白垩
paranephros	肾上腺
outrigged	装有外伸支架的
outrigged	装有外伸支架
rheotactic	微生物在水流中之行动的
rheotactic	微生物在水流中之行动
nonresidential	非居住的
nonresidential	非居住
nonresidential	非住宅的
nonresidential	非住宅
bondwoman	女奴隶
evident	明显的
evident	明显
evident	显然的
evident	显然
bloodsucker	吸血生物
bloodsucker	水蛭
bloodsucker	剥削者
aerolite	陨石
unstuck	未粘住的
unstuck	未粘住
unstuck	松开的
unstuck	松开
unstuck	紊乱的
unstuck	紊乱
enfeeblement	弄弱
tensible	可伸长的
tensible	可伸长
catenulate	链状的
catenulate	链状
averse	不愿意的
averse	不愿意
averse	反对的
averse	反对
streakily	有条纹地
streakily	有条纹
streakily	容易生气地
streakily	容易生气
cardplayer	玩牌的人
dewlap	喉部之垂肉
dewlap	胖人喉部鼓出的肥肉
budge	移动
baggageman	行李收发员
graver	雕刻师
graver	雕刻刀
fabrikoid	一种防水假皮
degustate	尝
degustate	品尝
auxocardia	心增大
auxocardia	心扩大
kick	踢
kick	踢
munga	食物
epithalamium	喜歌
epithalamium	颂歌
antics	滑稽的动作
antics	古怪的姿态
forepast	=forepassed
cottonwood	三叶杨
cottonwood	棉白杨
je	六月的简写
carbanion	负碳离子
impitoyable	大品酒杯
tcheka	=Cheka
cointreau	橘味白酒
parallelism	平行
parallelism	对应
parallelism	类似
philologize	研究语言文献
philologize	研究语言学
hitherto	迄今
hitherto	至今
woundy	极大的
woundy	极大
woundy	极度的
woundy	极度
metronome	节拍器
console	安慰
console	藉慰
console	控制台
heterogenesis	世代交替
heterogenesis	异形生殖
heterogenesis	自然发生
corticated	有外皮的
corticated	有外皮
corticated	有皮层的
corticated	有皮层
corticated	有树皮的
corticated	有树皮
inconsequently	不合理地
inconsequently	不合理
inconsequently	矛盾地
inconsequently	矛盾
inconsequently	不合适地
inconsequently	不合适
allness	全部
subprior	修道院副院长
dechlorinate	脱去……的氯
dechlorinate	除去……的氯
amputator	切断者
amputator	切断器
jointing	焊接
jointing	填料
outsat	outsit的过去式
bantingize	施以班亭氏疗法
enterozoon	=entozoon
incubate	孵卵
conceptive	概念上
conceptive	构思
conceptive	有想象的
conceptive	有想象
glycosylate	使糖基化
george	男子名
physiotherapy	物理疗法
sexagesima	四旬斋前的第二个星期日
topiary	修剪灌木的
topiary	修剪灌木
topiary	灌木修剪法
cleared	清除的
cleared	清除
inaugural	就职的
inaugural	就职
inaugural	开始的
inaugural	开始
inaugural	就职演说
learner	学习者
learner	初学者
alcyonarian	低等腔肠动物
alcyonarian	珊瑚类
racerunner	鞭尾蜥
questionmaster	答问节目的主持人
monogamous	一夫一妻的
monogamous	一夫一妻
monogamous	单配的
monogamous	单配
monogamous	一雌一雄的
monogamous	一雌一雄
eelworm	线虫
weather	天气
weather	气候
weather	气象
weather	处境
weather	迎风的
weather	迎风
weather	露天的
weather	露天
weather	使受风吹雨打
weather	侵蚀
weather	使风化
weather	经受住
weather	风化
weather	受侵蚀
weather	经受风雨
segar	=cigar
congeniality	同精神
congeniality	适意
congeniality	同性质
eutrophy	营养正常
eutrophy	由于矿物质的增加而适合动植物生长
transcendency	超越
transcendency	卓越
transcendency	超然性
transcendency	超凡
unspell	解除……的魅力
unspell	使从着魔状态解脱出来
borne	bear的过去分词
cuttle	墨鱼
cuttle	乌贼
malimprinted	缺损印记的
malimprinted	缺损印记
cruellie	挖苦人的笑话
bailor	寄托人
diffractive	衍射的
diffractive	衍射
pigeongram	传书鸽传送的信
prau	马来人所用的细长快速帆船
maidenliness	谨慎
maidenliness	处女样子
maidenliness	柔和
laevorotary	=laevorotatory
diffrangible	可分解的
diffrangible	可分解
diffrangible	可绕射的
diffrangible	可绕射
glare	眩目的光
glare	显眼
glare	怒目而视
glare	光滑的表面
glare	闪耀
bumpety	猛烈地
bumpety	猛烈
bumpety	砰地
bumpety	砰
notify	通报
ungulate	蹄状的
ungulate	蹄状
ungulate	有蹄类动物
agroboy	=skinhead
pandemonium	混战场
pandemonium	喧哗吵闹
pandemonium	喧嚣
pandemonium	大混乱
pandemonium	大吵大闹
clonesome	模仿别人的
clonesome	模仿别人
clonesome	无独创性的
clonesome	无独创性
clonesome	机器人般的
clonesome	机器人般
underdress	穿得太单薄
underdress	穿着过分朴素的衣服
underdress	内衣
underdress	裙子
underdress	内裙
idc	智能磁盘控制器
idc	Internet
idc	Data
idc	Center
idc	互联网数据中心
endhand	三人牌局中之发牌者
charade	看手势猜字谜游戏
northwesternmost	最西北的
northwesternmost	最西北
northwesternmost	极西北的
northwesternmost	极西北
arthral	关节的
arthral	关节
indigestible	不吸收的
indigestible	不吸收
gentoo	巴布亚企鹅
abstinent	饮食有度的
abstinent	饮食有度
abstinent	有节制的
abstinent	有节制
abstinent	禁欲的
abstinent	禁欲
abstinent	禁欲者
tonsil	扁桃腺
psikhushka	=psychoprison
iil	integrated
iil	injection
iil	logic
ergophile	爱好工作者
eristical	=eristic
adynamic	衰弱的
adynamic	衰弱
niffy	散发恶臭的
niffy	散发恶臭
electrooptics	电光学
deepwater	深海的
deepwater	深海
deepwater	海洋上的
deepwater	海洋上
deepwater	靠近海洋的
deepwater	靠近海洋
blowlamp	汽油吹焰管
wsb	Wage
wsb	Stabilization
wsb	Board
wsb	工资稳定委员会
slipcover	覆盖物
slipcover	沙发套
slipcover	套子
personalism	人格主义
eutectoid	类低共熔体
eutectoid	类低共熔体的
eutectoid	类低共熔体
eutectoid	共析的
eutectoid	共析
basal	基础的
basal	基础
basal	基本的
basal	基本
basal	基部的
basal	基部
